Date,Balance
7/30/2018,25000.00
7/31/2018,24976.79
8/1/2018,24951.81
8/2/2018,25074.08
8/3/2018,25189.42
8/6/2018,25277.58
8/7/2018,25348.36
8/8/2018,25340.75
8/9/2018,25305.28
8/10/2018,25125.61
8/13/2018,25025.11
8/14/2018,25185.27
8/15/2018,24993.86
8/16/2018,25191.31
8/17/2018,25274.44
8/20/2018,25335.10
8/21/2018,25388.30
8/22/2018,25378.15
8/23/2018,25335.01
8/24/2018,25492.08
8/27/2018,25688.37
8/28/2018,25696.08
8/29/2018,25842.55
8/30/2018,25728.84
8/31/2018,25731.41
9/4/2018,25687.67
9/5/2018,25615.74
9/6/2018,25520.96
9/7/2018,25464.82
9/10/2018,25513.20
9/11/2018,25607.60
9/12/2018,25617.84
9/13/2018,25753.62
9/14/2018,25761.34
9/17/2018,25617.08
9/18/2018,25755.41
9/19/2018,25788.89
9/20/2018,25990.05
9/21/2018,25979.65
9/24/2018,25888.72
9/25/2018,25855.07
9/26/2018,25769.75
9/27/2018,25841.90
9/28/2018,25841.90
10/1/2018,25934.93
10/2/2018,25924.56
10/3/2018,25942.71
10/4/2018,25729.98
10/5/2018,25588.46
10/8/2018,25578.23
10/9/2018,25542.42
10/10/2018,24702.07
10/11/2018,24193.21
10/12/2018,24536.75
10/15/2018,24391.98
10/16/2018,24916.41
10/17/2018,24908.94
10/18/2018,24550.25
10/19/2018,24540.43
10/22/2018,24434.90
10/23/2018,24300.51
10/24/2018,23549.63
10/25/2018,23987.65
10/26/2018,23572.66
10/29/2018,23417.08
10/30/2018,23784.73
10/31/2018,24043.99
11/1/2018,24298.85
11/2/2018,24145.77
11/5/2018,24280.99
11/6/2018,24433.96
11/7/2018,24951.96
11/8/2018,24889.58
11/9/2018,24660.59
11/12/2018,24174.78
11/13/2018,24138.52
11/14/2018,23955.06
11/15/2018,24208.99
11/16/2018,24262.25
11/19/2018,23859.49
11/20/2018,23425.25
11/21/2018,23495.53
11/23/2018,23340.46
11/26/2018,23702.23
11/27/2018,23780.45
11/28/2018,24327.40
11/29/2018,24273.88
11/30/2018,24472.93
12/3/2018,24739.68
12/4/2018,23938.12
12/6/2018,23902.21
12/7/2018,23345.29
12/10/2018,23387.31
12/11/2018,23377.95
12/12/2018,23504.19
12/13/2018,23499.49
12/14/2018,23050.65
12/17/2018,22571.20
12/18/2018,22573.46
12/19/2018,22225.83
12/20/2018,21874.66
12/21/2018,21424.04
12/24/2018,20843.45
12/26/2018,21877.28
12/27/2018,22065.43
12/28/2018,22038.95
12/31/2018,22226.28
1/2/2019,22255.17
1/3/2019,21703.25
1/4/2019,22447.67
1/7/2019,22604.80
1/8/2019,22824.07
1/9/2019,22917.65
1/10/2019,23020.78
1/11/2019,23018.47
1/14/2019,22896.48
1/15/2019,23141.47
1/16/2019,23192.38
1/17/2019,23368.64
1/18/2019,23677.11
1/22/2019,23340.89
1/23/2019,23392.24
1/24/2019,23424.99
1/25/2019,23624.10
1/28/2019,23439.84
1/29/2019,23404.68
1/30/2019,23767.45
1/31/2019,23971.85
2/1/2019,23993.42
2/4/2019,24156.58
2/5/2019,24270.11
2/6/2019,24216.72
2/7/2019,23989.08
2/8/2019,24005.88
2/11/2019,24022.68
2/12/2019,24332.57
2/13/2019,24405.57
2/14/2019,24339.67
2/15/2019,24604.98
2/19/2019,24641.88
2/20/2019,24686.24
2/21/2019,24599.84
2/22/2019,24757.28
2/25/2019,24786.99
2/26/2019,24767.16
2/27/2019,24754.77
2/28/2019,24685.46
3/1/2019,24855.79
3/4/2019,24758.85
3/5/2019,24731.62
3/6/2019,24570.86
3/7/2019,24371.84
3/8/2019,24320.66
3/11/2019,24678.17
3/12/2019,24752.20
3/13/2019,24922.99
3/14/2019,24900.56
3/15/2019,25025.07
3/18/2019,25117.66
3/19/2019,25115.15
3/20/2019,25042.31
3/21/2019,25315.28
3/22/2019,24834.28
3/25/2019,24814.42
3/26/2019,24993.08
3/27/2019,24878.11
3/28/2019,24967.67
3/29/2019,25134.96
4/1/2019,25426.52
4/2/2019,25426.52
4/3/2019,25479.92
4/4/2019,25533.43
4/5/2019,25650.88
4/8/2019,25676.53
4/9/2019,25519.90
4/10/2019,25609.22
4/11/2019,25609.22
4/12/2019,25778.25
4/15/2019,25762.78
4/16/2019,25775.66
4/17/2019,25716.38
4/18/2019,25757.52
4/22/2019,25783.28
4/23/2019,26010.17
4/24/2019,25952.95
4/25/2019,25942.57
4/26/2019,26064.50
4/29/2019,26093.17
4/30/2019,26119.26
5/1/2019,25923.37
5/2/2019,25868.93
5/3/2019,26117.27
5/6/2019,25999.74
5/7/2019,25570.75
5/8/2019,25529.83
5/9/2019,25453.24
5/10/2019,25547.42
5/13/2019,24931.73
5/14/2019,25131.18
5/15/2019,25276.94
5/16/2019,25501.91
5/17/2019,25354.00
5/20/2019,25184.13
5/21/2019,25398.19
5/22/2019,25327.08
5/23/2019,25025.68
5/24/2019,25060.72
5/28/2019,24850.21
5/29/2019,24678.74
5/30/2019,24730.57
5/31/2019,24404.12
6/3/2019,24335.79
6/4/2019,24856.58
6/5/2019,25060.40
6/6/2019,25213.27
6/7/2019,25478.01
6/10/2019,25597.76
6/11/2019,25590.08
6/12/2019,25538.90
6/13/2019,25643.61
6/14/2019,25602.58
6/17/2019,25625.62
6/18/2019,25874.19
6/19/2019,25951.81
6/20/2019,26198.35
6/21/2019,26164.30
6/24/2019,26119.82
6/25/2019,25871.68
6/26/2019,25840.63
6/27/2019,25938.83
6/28/2019,26089.27
7/1/2019,26290.16
7/2/2019,26366.40
7/3/2019,26569.42
7/5/2019,26521.60
7/8/2019,26394.29
7/9/2019,26425.97
7/10/2019,26544.88
7/11/2019,26605.94
7/12/2019,26728.32
7/15/2019,26733.67
7/16/2019,26642.77
7/17/2019,26469.60
7/18/2019,26564.89
7/19/2019,26400.19
7/22/2019,26474.11
7/23/2019,26654.13
7/24/2019,26779.40
7/25/2019,26637.47
7/26/2019,26834.59
7/29/2019,26791.65
7/30/2019,26722.00
7/31/2019,26430.73
8/1/2019,26192.85
8/2/2019,26001.64
8/5/2019,25226.79
