Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2021-12-29,0.34,0.34,0.34,0.34,10000,0.0,,3400.0,
2021-12-30,0.34,0.38,0.32,0.34,89000,0.0,0.0,30260.0,
2021-12-31,0.33,0.33,0.33,0.33,22200,0.0,-0.0294,7326.0,
2022-01-03,0.33,0.33,0.33,0.33,35000,0.0,0.0,11550.0,
2022-01-04,0.33,0.33,0.33,0.33,500,0.0,0.0,165.0,
2022-01-05,0.33,0.33,0.33,0.33,0,0.0,0.0,0.0,
2022-01-06,0.32,0.34,0.31,0.31,119000,-0.0312,-0.0606,36890.0,
2022-01-07,0.32,0.32,0.32,0.32,50000,0.0,0.0323,16000.0,
2022-01-10,0.33,0.33,0.32,0.32,74000,-0.0303,0.0,23680.0,
2022-01-11,0.31,0.34,0.31,0.33,37700,0.0645,0.0312,12441.0,
2022-01-12,0.33,0.33,0.33,0.33,100000,0.0,0.0,33000.0,
2022-01-13,0.33,0.33,0.33,0.33,3000,0.0,0.0,990.0,
2022-01-14,0.33,0.34,0.33,0.34,193000,0.0303,0.0303,65620.0,
2022-01-17,0.34,0.34,0.34,0.34,700,0.0,0.0,238.0,
2022-01-18,0.34,0.34,0.34,0.34,1000,0.0,0.0,340.0,
2022-01-19,0.35,0.35,0.35,0.35,89000,0.0,0.0294,31150.0,
2022-01-20,0.35,0.35,0.34,0.34,20000,-0.0286,-0.0286,6800.0,
2022-01-21,0.35,0.35,0.35,0.35,12000,0.0,0.0294,4200.0,
2022-01-24,0.34,0.34,0.34,0.34,100,0.0,-0.0286,34.0,
2022-01-25,0.35,0.35,0.34,0.34,87100,-0.0286,0.0,29614.0,
2022-01-26,0.34,0.35,0.34,0.35,28000,0.0294,0.0294,9800.0,
2022-01-27,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,
2022-01-28,0.34,0.35,0.34,0.35,21500,0.0294,0.0,7525.0,
2022-01-31,0.34,0.34,0.34,0.34,8200,0.0,-0.0286,2788.0,
2022-02-03,0.34,0.35,0.34,0.35,3700,0.0294,0.0294,1295.0,
2022-02-04,0.35,0.35,0.35,0.35,50000,0.0,0.0,17500.0,
2022-02-07,0.35,0.36,0.35,0.36,20600,0.0286,0.0286,7416.0,
2022-02-08,0.34,0.34,0.34,0.34,10000,0.0,-0.0556,3400.0,
2022-02-09,0.34,0.35,0.34,0.35,7600,0.0294,0.0294,2660.0,
2022-02-10,0.35,0.36,0.35,0.36,53200,0.0286,0.0286,19152.0,
2022-02-11,0.35,0.37,0.35,0.36,272400,0.0286,0.0,98064.0,
2022-02-14,0.37,0.37,0.35,0.36,106400,-0.027,0.0,38304.0,
2022-02-15,0.37,0.37,0.36,0.36,48000,-0.027,0.0,17280.0,
2022-02-16,0.37,0.37,0.36,0.37,24100,0.0,0.0278,8917.0,
2022-02-17,0.37,0.37,0.36,0.36,68000,-0.027,-0.027,24480.0,
2022-02-18,0.36,0.36,0.36,0.36,0,0.0,0.0,0.0,
2022-02-21,0.37,0.37,0.37,0.37,7500,0.0,0.0278,2775.0,
2022-02-22,0.37,0.37,0.37,0.37,0,0.0,0.0,0.0,
2022-02-23,0.36,0.36,0.36,0.36,17000,0.0,-0.027,6120.0,
2022-02-24,0.35,0.35,0.35,0.35,20600,0.0,-0.0278,7210.0,
2022-02-25,0.35,0.35,0.34,0.34,10000,-0.0286,-0.0286,3400.0,
2022-02-28,0.34,0.34,0.34,0.34,6000,0.0,0.0,2040.0,
2022-03-01,0.34,0.34,0.34,0.34,0,0.0,0.0,0.0,
2022-03-02,0.34,0.34,0.34,0.34,0,0.0,0.0,0.0,
2022-03-03,0.34,0.34,0.34,0.34,0,0.0,0.0,0.0,
2022-03-04,0.34,0.34,0.34,0.34,0,0.0,0.0,0.0,
2022-03-07,0.34,0.34,0.34,0.34,0,0.0,0.0,0.0,
2022-03-08,0.34,0.34,0.34,0.34,6000,0.0,0.0,2040.0,
2022-03-09,0.33,0.34,0.32,0.33,101000,0.0,-0.0294,33330.0,
2022-03-10,0.33,0.33,0.33,0.33,0,0.0,0.0,0.0,12583.88
2022-03-11,0.33,0.33,0.33,0.33,50500,0.0,0.0,16665.0,12849.18
2022-03-14,0.33,0.33,0.32,0.32,22200,-0.0303,-0.0303,7104.0,12386.06
2022-03-15,0.33,0.33,0.33,0.33,55100,0.0,0.0312,18183.0,12603.2
2022-03-16,0.33,0.33,0.33,0.33,300000,0.0,0.0,99000.0,14352.2
2022-03-17,0.33,0.33,0.33,0.33,0,0.0,0.0,0.0,14348.9
2022-03-18,0.32,0.32,0.32,0.32,6800,0.0,-0.0303,2176.0,14392.42
2022-03-21,0.32,0.33,0.32,0.33,26100,0.0312,0.0312,8613.0,13826.88
2022-03-22,0.32,0.32,0.31,0.32,30000,0.0,-0.0303,9600.0,13698.88
2022-03-23,0.33,0.34,0.33,0.33,27100,0.0,0.0312,8943.0,13404.14
2022-03-24,0.33,0.33,0.33,0.33,0,0.0,0.0,0.0,13155.32
2022-03-25,0.33,0.34,0.33,0.34,20900,0.0303,0.0303,7106.0,12637.44
2022-03-28,0.34,0.34,0.34,0.34,0,0.0,0.0,0.0,12617.64
2022-03-29,0.34,0.34,0.33,0.34,145700,0.0,0.0,49538.0,12296.0
2022-03-30,0.32,0.34,0.32,0.34,7100,0.0625,0.0,2414.0,12339.52
2022-03-31,0.34,0.34,0.34,0.34,0,0.0,0.0,0.0,12332.72
2022-04-01,0.33,0.34,0.32,0.34,36100,0.0303,0.0,12274.0,11955.2
2022-04-04,0.34,0.34,0.34,0.34,5900,0.0,0.0,2006.0,11859.32
2022-04-05,0.34,0.34,0.34,0.34,37000,0.0,0.0,12580.0,12026.92
2022-04-06,0.34,0.34,0.34,0.34,77000,0.0,0.0,26180.0,12549.84
2022-04-07,0.34,0.34,0.34,0.34,0,0.0,0.0,0.0,11957.56
2022-04-08,0.34,0.35,0.34,0.35,15100,0.0294,0.0294,5285.0,11867.26
2022-04-11,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,11867.26
2022-04-12,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,11716.76
2022-04-13,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,11661.0
2022-04-14,0.34,0.35,0.34,0.35,40200,0.0294,0.0,14070.0,11916.5
2022-04-18,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,11566.5
2022-04-19,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,11418.18
2022-04-20,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,11350.18
2022-04-21,0.34,0.36,0.34,0.36,5100,0.0588,0.0286,1836.0,11333.7
2022-04-22,0.36,0.36,0.36,0.36,0,0.0,0.0,0.0,10950.66
2022-04-25,0.36,0.36,0.36,0.36,0,0.0,0.0,0.0,8989.38
2022-04-26,0.34,0.34,0.34,0.34,14000,0.0,-0.0556,4760.0,8318.5
2022-04-27,0.35,0.35,0.35,0.35,50000,0.0,0.0294,17500.0,8322.9
2022-04-28,0.34,0.34,0.34,0.34,62500,0.0,-0.0286,21250.0,8569.56
2022-04-29,0.35,0.35,0.35,0.35,2500,0.0,0.0294,875.0,8097.46
2022-05-04,0.34,0.35,0.34,0.35,10100,0.0294,0.0,3535.0,8168.16
2022-05-05,0.34,0.34,0.34,0.34,18300,0.0,-0.0286,6222.0,8237.1
2022-05-06,0.34,0.35,0.34,0.35,39000,0.0294,0.0294,13650.0,8510.1
2022-05-09,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,8387.7
2022-05-10,0.33,0.34,0.33,0.34,17100,0.0303,-0.0286,5814.0,8359.78
2022-05-11,0.34,0.34,0.34,0.34,0,0.0,0.0,0.0,8291.78
2022-05-12,0.32,0.32,0.32,0.32,5000,0.0,-0.0588,1600.0,8282.98
2022-05-13,0.32,0.32,0.32,0.32,0,0.0,0.0,0.0,8282.98
2022-05-17,0.32,0.32,0.32,0.32,10000,0.0,0.0,3200.0,8346.98
2022-05-18,0.33,0.33,0.32,0.32,28500,-0.0303,0.0,9120.0,8529.38
