Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2015-07-29,0.37,0.4,0.37,0.37,7662100,0.0,,2834977.0,
2015-07-30,0.37,0.37,0.35,0.37,1213100,0.0,0.0,448847.0,
2015-07-31,0.37,0.37,0.35,0.36,243000,-0.027,-0.027,87480.0,
2015-08-03,0.36,0.37,0.35,0.37,153500,0.0278,0.0278,56795.0,
2015-08-04,0.35,0.36,0.35,0.36,104000,0.0286,-0.027,37440.0,
2015-08-05,0.35,0.36,0.35,0.36,468500,0.0286,0.0,168660.0,
2015-08-06,0.35,0.35,0.35,0.35,529100,0.0,-0.0278,185185.0,
2015-08-07,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,
2015-08-11,0.35,0.35,0.35,0.35,362000,0.0,0.0,126700.0,
2015-08-12,0.35,0.35,0.35,0.35,166000,0.0,0.0,58100.0,
2015-08-13,0.35,0.35,0.35,0.35,419000,0.0,0.0,146650.0,
2015-08-14,0.35,0.35,0.35,0.35,5000,0.0,0.0,1750.0,
2015-08-17,0.35,0.35,0.35,0.35,200,0.0,0.0,70.0,
2015-08-18,0.35,0.35,0.35,0.35,300100,0.0,0.0,105035.0,
2015-08-19,0.35,0.35,0.35,0.35,308600,0.0,0.0,108010.0,
2015-08-20,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,
2015-08-21,0.35,0.35,0.35,0.35,41000,0.0,0.0,14350.0,
2015-08-24,0.35,0.35,0.35,0.35,59600,0.0,0.0,20860.0,
2015-08-25,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,
2015-08-26,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,
2015-08-27,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,
2015-08-28,0.35,0.36,0.35,0.36,8100,0.0286,0.0286,2916.0,
2015-08-31,0.36,0.36,0.36,0.36,0,0.0,0.0,0.0,
2015-09-01,0.35,0.35,0.35,0.35,2000,0.0,-0.0278,700.0,
2015-09-02,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,
2015-09-03,0.35,0.35,0.35,0.35,30000,0.0,0.0,10500.0,
2015-09-04,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,
2015-09-07,0.35,0.35,0.35,0.35,180200,0.0,0.0,63070.0,
2015-09-08,0.35,0.35,0.35,0.35,1100,0.0,0.0,385.0,
2015-09-09,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,
2015-09-10,0.35,0.35,0.35,0.35,100,0.0,0.0,35.0,
2015-09-14,0.35,0.36,0.35,0.36,15200,0.0286,0.0286,5472.0,
2015-09-15,0.36,0.36,0.36,0.36,0,0.0,0.0,0.0,
2015-09-16,0.36,0.36,0.36,0.36,0,0.0,0.0,0.0,
2015-09-17,0.35,0.35,0.35,0.35,241000,0.0,-0.0278,84350.0,
2015-09-18,0.35,0.36,0.35,0.36,80100,0.0286,0.0286,28836.0,
2015-09-21,0.36,0.36,0.36,0.36,0,0.0,0.0,0.0,
2015-09-22,0.36,0.36,0.36,0.36,0,0.0,0.0,0.0,
2015-09-23,0.36,0.36,0.36,0.36,0,0.0,0.0,0.0,
2015-09-25,0.36,0.36,0.36,0.36,0,0.0,0.0,0.0,
2015-09-28,0.35,0.35,0.35,0.35,605100,0.0,-0.0278,211785.0,
2015-09-29,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,
2015-09-30,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,
2015-10-01,0.35,0.35,0.35,0.35,260000,0.0,0.0,91000.0,
2015-10-02,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,
2015-10-05,0.35,0.35,0.35,0.35,47100,0.0,0.0,16485.0,
2015-10-06,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,
2015-10-07,0.35,0.36,0.35,0.36,30000,0.0286,0.0286,10800.0,
2015-10-08,0.36,0.36,0.36,0.36,0,0.0,0.0,0.0,
2015-10-09,0.36,0.36,0.36,0.36,0,0.0,0.0,0.0,98544.86
