Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2003-12-01,0.34,0.34,0.32,0.32,410000.0,-0.0588,,131200.0,
2003-12-02,0.32,0.32,0.31,0.31,290000.0,-0.0312,-0.0312,89900.0,
2003-12-03,0.31,0.31,0.31,0.31,130000.0,0.0,0.0,40300.0,
2003-12-04,0.31,0.34,0.31,0.32,1274000.0,0.0323,0.0323,407680.0,
2003-12-05,0.33,0.33,0.32,0.32,576000.0,-0.0303,0.0,184320.0,
2003-12-08,0.32,0.32,0.32,0.32,46000.0,0.0,0.0,14720.0,
2003-12-09,0.32,0.32,0.32,0.32,202000.0,0.0,0.0,64640.0,
2003-12-10,0.32,0.32,0.31,0.32,202000.0,0.0,0.0,64640.0,
2003-12-11,0.31,0.32,0.31,0.32,165000.0,0.0323,0.0,52800.0,
2003-12-12,0.31,0.32,0.29,0.29,165000.0,-0.0645,-0.0938,47850.0,
2003-12-15,0.31,0.31,0.31,0.31,205000.0,0.0,0.069,63550.0,
2003-12-16,0.31,0.31,0.3,0.31,70000.0,0.0,0.0,21700.0,
2003-12-17,0.29,0.31,0.29,0.31,25000.0,0.069,0.0,7750.0,
2003-12-18,0.31,0.31,0.3,0.3,36000.0,-0.0323,-0.0323,10800.0,
2003-12-19,0.29,0.32,0.29,0.32,41000.0,0.1034,0.0667,13120.0,
2003-12-22,0.29,0.29,0.29,0.29,7000.0,0.0,-0.0938,2030.0,
2003-12-23,0.29,0.29,0.29,0.29,0.0,0.0,0.0,0.0,
2003-12-24,0.29,0.29,0.29,0.29,0.0,0.0,0.0,0.0,
2003-12-25,0.29,0.29,0.29,0.29,0.0,0.0,0.0,0.0,
2003-12-26,0.29,0.29,0.29,0.29,10000.0,0.0,0.0,2900.0,
2003-12-29,0.3,0.3,0.29,0.29,39000.0,-0.0333,0.0,11310.0,
2003-12-30,0.29,0.29,0.28,0.28,20000.0,-0.0345,-0.0345,5600.0,
2003-12-31,0.31,0.31,0.31,0.31,1000.0,0.0,0.1071,310.0,
2004-01-01,0.31,0.31,0.31,0.31,0.0,0.0,0.0,0.0,
2004-01-02,0.31,0.31,0.3,0.3,30000.0,-0.0323,-0.0323,9000.0,
2004-01-05,0.3,0.31,0.3,0.31,248000.0,0.0333,0.0333,76880.0,
2004-01-06,0.3,0.31,0.3,0.3,1105000.0,0.0,-0.0323,331500.0,
2004-01-07,0.29,0.29,0.29,0.29,50000.0,0.0,-0.0333,14500.0,
2004-01-08,0.29,0.29,0.29,0.29,60000.0,0.0,0.0,17400.0,
2004-01-09,0.3,0.3,0.29,0.3,145000.0,0.0,0.0345,43500.0,
2004-01-12,0.29,0.29,0.29,0.29,170000.0,0.0,-0.0333,49300.0,
2004-01-13,0.29,0.29,0.29,0.29,41000.0,0.0,0.0,11890.0,
2004-01-14,0.29,0.29,0.29,0.29,46000.0,0.0,0.0,13340.0,
2004-01-15,0.28,0.28,0.28,0.28,60000.0,0.0,-0.0345,16800.0,
2004-01-16,0.28,0.28,0.28,0.28,20000.0,0.0,0.0,5600.0,
2004-01-19,0.28,0.28,0.28,0.28,0.0,0.0,0.0,0.0,
2004-01-20,0.28,0.28,0.28,0.28,0.0,0.0,0.0,0.0,
2004-01-21,0.28,0.28,0.28,0.28,0.0,0.0,0.0,0.0,
2004-01-22,0.28,0.28,0.28,0.28,0.0,0.0,0.0,0.0,
2004-01-23,0.28,0.28,0.28,0.28,0.0,0.0,0.0,0.0,
