Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2004-09-16,0.18,0.18,0.17,0.17,13330987.0,-0.0556,,2266267.79,
2004-09-17,0.16,0.17,0.16,0.16,3120820.0,0.0,-0.0588,499331.2,
2004-09-20,0.16,0.16,0.16,0.16,756488.0,0.0,0.0,121038.08,
2004-09-21,0.16,0.16,0.15,0.15,1095814.0,-0.0625,-0.0625,164372.1,
2004-09-22,0.15,0.15,0.14,0.14,557028.0,-0.0667,-0.0667,77983.92,
2004-09-23,0.14,0.16,0.14,0.15,1752573.0,0.0714,0.0714,262885.95,
2004-09-24,0.15,0.15,0.14,0.14,667704.0,-0.0667,-0.0667,93478.56,
2004-09-27,0.14,0.14,0.14,0.14,395271.0,0.0,0.0,55337.94,
2004-09-28,0.14,0.14,0.14,0.14,481623.0,0.0,0.0,67427.22,
2004-09-29,0.14,0.14,0.13,0.14,172703.0,0.0,0.0,24178.42,
2004-09-30,0.14,0.14,0.13,0.13,487704.0,-0.0714,-0.0714,63401.52,
2004-10-01,0.13,0.13,0.13,0.13,492569.0,0.0,0.0,64033.97,
2004-10-04,0.13,0.13,0.13,0.13,657975.0,0.0,0.0,85536.75,
2004-10-05,0.13,0.13,0.12,0.13,229865.0,0.0,0.0,29882.45,
2004-10-06,0.13,0.14,0.13,0.14,1098246.0,0.0769,0.0769,153754.44,
2004-10-07,0.14,0.14,0.13,0.13,172703.0,-0.0714,-0.0714,22451.39,
2004-10-08,0.13,0.13,0.13,0.13,268784.0,0.0,0.0,34941.92,
2004-10-11,0.13,0.13,0.13,0.13,227433.0,0.0,0.0,29566.29,
2004-10-12,0.13,0.13,0.13,0.13,54729.0,0.0,0.0,7114.77,
2004-10-13,0.12,0.12,0.12,0.12,542434.0,0.0,-0.0769,65092.08,
2004-10-14,0.12,0.13,0.12,0.13,204324.0,0.0833,0.0833,26562.12,
2004-10-15,0.12,0.13,0.12,0.12,116757.0,0.0,-0.0769,14010.84,
2004-10-18,0.12,0.12,0.12,0.12,152027.0,0.0,0.0,18243.24,
2004-10-19,0.12,0.12,0.12,0.12,117973.0,0.0,0.0,14156.76,
2004-10-20,0.12,0.12,0.12,0.12,415947.0,0.0,0.0,49913.64,
2004-10-21,0.12,0.12,0.12,0.12,98513.0,0.0,0.0,11821.56,
2004-10-22,0.12,0.12,0.12,0.12,160541.0,0.0,0.0,19264.92,
2004-10-25,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,
2004-10-26,0.12,0.12,0.11,0.12,60811.0,0.0,0.0,7297.32,
2004-10-27,0.12,0.12,0.12,0.12,20675.0,0.0,0.0,2481.0,
2004-10-28,0.12,0.12,0.12,0.12,9729.0,0.0,0.0,1167.48,
2004-10-29,0.13,0.13,0.12,0.12,97297.0,-0.0769,0.0,11675.64,
2004-11-01,0.12,0.12,0.12,0.12,115540.0,0.0,0.0,13864.8,
2004-11-02,0.12,0.12,0.12,0.12,83919.0,0.0,0.0,10070.28,
2004-11-03,0.12,0.12,0.12,0.12,60811.0,0.0,0.0,7297.32,
2004-11-04,0.12,0.12,0.12,0.12,25540.0,0.0,0.0,3064.8,
2004-11-05,0.12,0.12,0.11,0.11,45000.0,-0.0833,-0.0833,4950.0,
2004-11-08,0.11,0.12,0.11,0.12,62027.0,0.0909,0.0909,7443.24,
2004-11-09,0.12,0.12,0.12,0.12,206757.0,0.0,0.0,24810.84,
2004-11-10,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,
2004-11-11,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,
2004-11-12,0.12,0.12,0.12,0.12,3648.0,0.0,0.0,437.76,
2004-11-15,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,
2004-11-16,0.12,0.12,0.12,0.12,60811.0,0.0,0.0,7297.32,
2004-11-17,0.11,0.11,0.1,0.1,437839.0,-0.0909,-0.1667,43783.9,
2004-11-18,0.1,0.11,0.1,0.11,148378.0,0.1,0.1,16321.58,
2004-11-19,0.1,0.11,0.1,0.1,52297.0,0.0,-0.0909,5229.7,
2004-11-22,0.1,0.11,0.1,0.11,149595.0,0.1,0.1,16455.45,
2004-11-23,0.11,0.11,0.11,0.11,12162.0,0.0,0.0,1337.82,
2004-11-24,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,90540.72
2004-11-25,0.1,0.1,0.1,0.1,12162.0,0.0,-0.0909,1216.2,45239.69
2004-11-26,0.1,0.1,0.1,0.1,37702.0,0.0,0.0,3770.2,35328.47
2004-11-29,0.09,0.09,0.09,0.09,6081.0,0.0,-0.1,547.29,32918.65
2004-11-30,0.09,0.1,0.09,0.09,40135.0,0.0,0.0,3612.15,29703.46
2004-12-01,0.09,0.09,0.09,0.09,9729.0,0.0,0.0,875.61,28161.29
2004-12-02,0.09,0.11,0.09,0.1,15810.0,0.1111,0.1111,1581.0,22935.19
2004-12-03,0.09,0.1,0.09,0.1,23108.0,0.1111,0.0,2310.8,21111.83
2004-12-06,0.09,0.09,0.09,0.09,97297.0,0.0,-0.1,8756.73,20180.21
2004-12-07,0.09,0.09,0.09,0.09,91216.0,0.0,0.0,8209.44,18995.86
2004-12-08,0.08,0.08,0.08,0.08,148378.0,0.0,-0.1111,11870.24,18749.69
2004-12-09,0.09,0.09,0.09,0.09,18243.0,0.0,0.125,1641.87,17514.5
2004-12-10,0.08,0.08,0.08,0.08,88784.0,0.0,-0.1111,7102.72,16375.87
2004-12-13,0.07,0.08,0.07,0.08,81486.0,0.1429,0.0,6518.88,14795.52
2004-12-14,0.08,0.08,0.08,0.08,0.0,0.0,0.0,0.0,14197.87
