Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2003-12-01,0.92,1.05,0.92,0.92,0.0,0.0,,0.0,
2003-12-02,0.95,0.95,0.95,0.95,3150.0,0.0,0.0326,2992.5,
2003-12-03,0.92,1.02,0.92,0.92,0.0,0.0,-0.0316,0.0,
2003-12-04,1.02,1.02,1.02,1.02,2363.0,0.0,0.1087,2410.26,
2003-12-05,1.02,1.11,1.02,1.02,0.0,0.0,0.0,0.0,
2003-12-08,1.02,1.02,0.95,0.95,4726.0,-0.0686,-0.0686,4489.7,
2003-12-09,0.95,1.05,0.95,0.95,0.0,0.0,0.0,0.0,
2003-12-10,0.98,1.05,0.98,0.98,0.0,0.0,0.0316,0.0,
2003-12-11,0.95,1.05,0.95,0.95,0.0,0.0,-0.0306,0.0,
2003-12-12,0.95,1.05,0.95,0.95,0.0,0.0,0.0,0.0,
2003-12-15,1.02,1.02,1.02,1.02,472.0,0.0,0.0737,481.44,
2003-12-16,0.98,1.08,0.98,0.98,0.0,0.0,-0.0392,0.0,
2003-12-17,0.98,1.08,0.98,0.98,0.0,0.0,0.0,0.0,
2003-12-18,1.02,1.02,1.02,1.02,6301.0,0.0,0.0408,6427.02,
2003-12-19,1.02,1.14,1.02,1.02,0.0,0.0,0.0,0.0,
2003-12-22,1.02,1.14,1.02,1.02,0.0,0.0,0.0,0.0,
2003-12-23,1.02,1.14,1.02,1.02,0.0,0.0,0.0,0.0,
2003-12-24,1.02,1.14,1.02,1.02,0.0,0.0,0.0,0.0,
2003-12-25,1.02,1.02,1.02,1.02,0.0,0.0,0.0,0.0,
2003-12-26,1.43,1.43,1.43,1.43,2835.0,0.0,0.402,4054.05,
2003-12-29,1.02,1.17,1.02,1.02,31192.0,0.0,-0.2867,31815.84,
2003-12-30,1.05,1.08,1.05,1.08,15753.0,0.0286,0.0588,17013.24,
2003-12-31,1.08,1.08,1.08,1.08,1575.0,0.0,0.0,1701.0,
2004-01-01,1.08,1.08,1.08,1.08,0.0,0.0,0.0,0.0,
2004-01-02,1.08,1.08,1.08,1.08,5513.0,0.0,0.0,5954.04,
2004-01-05,1.17,1.27,1.17,1.17,15596.0,0.0,0.0833,18247.32,
2004-01-06,1.52,1.65,1.52,1.59,87433.0,0.0461,0.359,139018.47,
2004-01-07,1.59,1.59,1.56,1.59,81132.0,0.0,0.0,128999.88,
2004-01-08,1.56,1.56,1.56,1.56,44583.0,0.0,-0.0189,69549.48,
2004-01-09,1.56,1.59,1.56,1.59,49939.0,0.0192,0.0192,79403.01,
2004-01-12,1.56,1.56,1.56,1.56,8349.0,0.0,-0.0189,13024.44,
2004-01-13,1.56,1.56,1.56,1.56,6144.0,0.0,0.0,9584.64,
2004-01-14,1.52,1.56,1.52,1.52,0.0,0.0,-0.0256,0.0,
2004-01-15,1.52,1.52,1.52,1.52,14178.0,0.0,0.0,21550.56,
2004-01-16,1.49,1.52,1.49,1.49,0.0,0.0,-0.0197,0.0,
2004-01-19,1.49,1.52,1.49,1.49,0.0,0.0,0.0,0.0,
2004-01-20,1.49,1.49,1.49,1.49,9609.0,0.0,0.0,14317.41,
2004-01-21,1.52,1.52,1.52,1.52,157.0,0.0,0.0201,238.64,
2004-01-22,1.52,1.52,1.52,1.52,0.0,0.0,0.0,0.0,
2004-01-23,1.52,1.52,1.52,1.52,0.0,0.0,0.0,0.0,
2004-01-26,1.46,1.56,1.46,1.46,0.0,0.0,-0.0395,0.0,
2004-01-27,1.52,1.52,1.49,1.52,13548.0,0.0,0.0411,20592.96,
2004-01-28,1.49,1.59,1.49,1.49,0.0,0.0,-0.0197,0.0,
2004-01-29,1.52,1.52,1.52,1.52,15753.0,0.0,0.0201,23944.56,
2004-01-30,0.92,1.52,0.92,0.92,0.0,0.0,-0.3947,0.0,
2004-02-02,0.92,0.92,0.92,0.92,0.0,0.0,0.0,0.0,
2004-02-03,1.52,1.52,1.52,1.52,7876.0,0.0,0.6522,11971.52,
2004-02-04,1.52,1.52,1.52,1.52,7876.0,0.0,0.0,11971.52,
2004-02-05,1.4,1.52,1.4,1.4,0.0,0.0,-0.0789,0.0,
2004-02-06,1.36,1.36,1.36,1.36,157.0,0.0,-0.0286,213.52,12799.34
2004-02-09,1.36,1.52,1.36,1.36,0.0,0.0,0.0,0.0,12799.34
2004-02-10,1.36,1.36,1.36,1.36,1575.0,0.0,0.0,2142.0,12782.33
2004-02-11,1.36,1.52,1.36,1.36,0.0,0.0,0.0,0.0,12782.33
2004-02-12,1.36,1.49,1.36,1.36,0.0,0.0,0.0,0.0,12734.13
2004-02-13,1.27,1.49,1.27,1.27,0.0,0.0,-0.0662,0.0,12734.13
2004-02-16,1.33,1.46,1.33,1.33,0.0,0.0,0.0472,0.0,12644.33
2004-02-17,1.27,1.43,1.27,1.27,0.0,0.0,-0.0451,0.0,12644.33
2004-02-18,1.33,1.46,1.33,1.33,0.0,0.0,0.0472,0.0,12644.33
2004-02-19,1.27,1.49,1.27,1.27,0.0,0.0,-0.0451,0.0,12644.33
2004-02-20,1.33,1.33,1.33,1.33,15753.0,0.0,0.0472,20951.49,13063.36
