Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2007-05-28,0.1,0.11,0.09,0.09,31170,-0.1,,2805.3,
2007-05-29,0.09,0.09,0.08,0.08,5487,-0.1111,-0.1111,438.96,
2007-05-30,0.09,0.09,0.08,0.08,1390,-0.1111,0.0,111.2,
2007-06-01,0.08,0.09,0.08,0.08,1521,0.0,0.0,121.68,
2007-06-04,0.08,0.08,0.08,0.08,1341,0.0,0.0,107.28,
2007-06-05,0.08,0.08,0.08,0.08,2241,0.0,0.0,179.28,
2007-06-06,0.08,0.08,0.08,0.08,965,0.0,0.0,77.2,
2007-06-07,0.08,0.08,0.08,0.08,1429,0.0,0.0,114.32,
2007-06-08,0.08,0.09,0.08,0.08,2040,0.0,0.0,163.2,
2007-06-11,0.08,0.08,0.08,0.08,1494,0.0,0.0,119.52,
2007-06-12,0.08,0.09,0.08,0.08,1254,0.0,0.0,100.32,
2007-06-13,0.08,0.08,0.08,0.08,455,0.0,0.0,36.4,
2007-06-14,0.08,0.08,0.08,0.08,403,0.0,0.0,32.24,
2007-06-15,0.08,0.08,0.08,0.08,441,0.0,0.0,35.28,
2007-06-18,0.08,0.08,0.08,0.08,150,0.0,0.0,12.0,
2007-06-19,0.08,0.08,0.08,0.08,387,0.0,0.0,30.96,
2007-06-20,0.08,0.08,0.08,0.08,365,0.0,0.0,29.2,
2007-06-21,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2007-06-22,0.08,0.08,0.08,0.08,106,0.0,0.0,8.48,
2007-06-25,0.08,0.08,0.08,0.08,2430,0.0,0.0,194.4,
2007-06-26,0.08,0.09,0.08,0.09,1142,0.125,0.125,102.78,
2007-06-27,0.09,0.09,0.08,0.08,1161,-0.1111,-0.1111,92.88,
2007-06-28,0.08,0.08,0.08,0.08,308,0.0,0.0,24.64,
2007-06-29,0.09,0.09,0.09,0.09,3019,0.0,0.125,271.71,
2007-07-02,0.09,0.1,0.09,0.09,3111,0.0,0.0,279.99,
2007-07-03,0.1,0.1,0.1,0.1,1876,0.0,0.1111,187.6,
2007-07-04,0.1,0.1,0.09,0.09,280,-0.1,-0.1,25.2,
2007-07-05,0.1,0.1,0.1,0.1,2732,0.0,0.1111,273.2,
2007-07-06,0.1,0.1,0.1,0.1,1344,0.0,0.0,134.4,
2007-07-09,0.1,0.1,0.1,0.1,1347,0.0,0.0,134.7,
2007-07-10,0.1,0.1,0.1,0.1,591,0.0,0.0,59.1,
2007-07-11,0.1,0.1,0.09,0.1,272,0.0,0.0,27.2,
2007-07-12,0.1,0.1,0.1,0.1,163,0.0,0.0,16.3,
2007-07-13,0.1,0.1,0.1,0.1,379,0.0,0.0,37.9,
2007-07-16,0.1,0.1,0.1,0.1,297,0.0,0.0,29.7,
2007-07-17,0.1,0.1,0.1,0.1,921,0.0,0.0,92.1,
2007-07-18,0.1,0.1,0.1,0.1,2053,0.0,0.0,205.3,
2007-07-19,0.1,0.1,0.1,0.1,444,0.0,0.0,44.4,
2007-07-20,0.1,0.1,0.1,0.1,1172,0.0,0.0,117.2,
2007-07-23,0.1,0.11,0.1,0.11,1641,0.1,0.1,180.51,
2007-07-24,0.11,0.11,0.11,0.11,2383,0.0,0.0,262.13,
2007-07-25,0.11,0.11,0.11,0.11,1044,0.0,0.0,114.84,
2007-07-26,0.11,0.11,0.11,0.11,1249,0.0,0.0,137.39,
2007-07-27,0.11,0.11,0.1,0.1,387,-0.0909,-0.0909,38.7,
2007-07-30,0.1,0.11,0.1,0.11,163,0.1,0.1,17.93,
2007-07-31,0.12,0.12,0.11,0.12,3469,0.0,0.0909,416.28,
2007-08-01,0.12,0.12,0.1,0.12,1652,0.0,0.0,198.24,
2007-08-02,0.11,0.12,0.11,0.11,1159,0.0,-0.0833,127.49,
2007-08-03,0.11,0.12,0.11,0.12,223,0.0909,0.0909,26.76,
2007-08-06,0.12,0.12,0.11,0.12,395,0.0,0.0,47.4,168.82
2007-08-07,0.12,0.12,0.11,0.11,741,-0.0833,-0.0833,81.51,114.35
2007-08-08,0.11,0.11,0.11,0.11,627,0.0,0.0,68.97,106.95
2007-08-10,0.11,0.11,0.11,0.11,1450,0.0,0.0,159.5,107.91
2007-08-13,0.1,0.11,0.1,0.1,1202,0.0,-0.0909,120.2,107.88
2007-08-14,0.11,0.11,0.11,0.11,883,0.0,0.1,97.13,107.68
2007-08-15,0.1,0.11,0.1,0.11,242,0.1,0.0,26.62,104.63
2007-08-16,0.11,0.11,0.1,0.11,1390,0.0,0.0,152.9,106.14
2007-08-17,0.1,0.1,0.1,0.1,291,0.0,-0.0909,29.1,104.44
2007-08-20,0.1,0.11,0.1,0.11,302,0.1,0.1,33.22,101.84
2007-08-21,0.11,0.11,0.11,0.11,0,0.0,0.0,0.0,99.45
2007-08-22,0.11,0.11,0.11,0.11,8,0.0,0.0,0.88,97.46
2007-08-23,0.11,0.11,0.11,0.11,313,0.0,0.0,34.43,97.42
2007-08-24,0.11,0.12,0.11,0.12,968,0.0909,0.0909,116.16,99.1
2007-08-27,0.12,0.12,0.12,0.12,120000,0.0,0.0,14400.0,386.39
