Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2009-12-07,0.12,0.12,0.1,0.11,18830000.0,-0.0833,,2071300.0,
2009-12-08,0.11,0.11,0.1,0.1,1316000.0,-0.0909,-0.0909,131600.0,
2009-12-09,0.1,0.1,0.09,0.09,1802000.0,-0.1,-0.1,162180.0,
2009-12-10,0.1,0.1,0.09,0.09,938000.0,-0.1,0.0,84420.0,
2009-12-11,0.1,0.1,0.1,0.1,1088000.0,0.0,0.1111,108800.0,
2009-12-14,0.1,0.1,0.09,0.09,1606000.0,-0.1,-0.1,144540.0,
2009-12-15,0.09,0.09,0.09,0.09,1128000.0,0.0,0.0,101520.0,
2009-12-16,0.09,0.09,0.09,0.09,112000.0,0.0,0.0,10080.0,
2009-12-17,0.09,0.09,0.09,0.09,316000.0,0.0,0.0,28440.0,
2009-12-18,0.09,0.09,0.09,0.09,400000.0,0.0,0.0,36000.0,
2009-12-21,0.09,0.09,0.09,0.09,32000.0,0.0,0.0,2880.0,
2009-12-22,0.09,0.1,0.09,0.09,124000.0,0.0,0.0,11160.0,
2009-12-23,0.1,0.1,0.09,0.1,230000.0,0.0,0.1111,23000.0,
2009-12-28,0.09,0.09,0.09,0.09,20000.0,0.0,-0.1,1800.0,
2009-12-29,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,
2009-12-30,0.1,0.1,0.1,0.1,2060000.0,0.0,0.1111,206000.0,
2010-01-04,0.1,0.1,0.1,0.1,3184000.0,0.0,0.0,318400.0,
2010-01-05,0.1,0.1,0.1,0.1,2202000.0,0.0,0.0,220200.0,
2010-01-06,0.1,0.1,0.1,0.1,5074000.0,0.0,0.0,507400.0,
2010-01-07,0.1,0.1,0.1,0.1,200000.0,0.0,0.0,20000.0,
2010-01-08,0.1,0.1,0.1,0.1,260000.0,0.0,0.0,26000.0,
2010-01-11,0.1,0.1,0.1,0.1,34000.0,0.0,0.0,3400.0,
2010-01-12,0.1,0.1,0.1,0.1,60000.0,0.0,0.0,6000.0,
2010-01-13,0.1,0.1,0.1,0.1,40000.0,0.0,0.0,4000.0,
2010-01-14,0.1,0.1,0.1,0.1,230000.0,0.0,0.0,23000.0,
2010-01-15,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,
2010-01-18,0.11,0.11,0.1,0.1,112000.0,-0.0909,0.0,11200.0,
2010-01-19,0.11,0.11,0.11,0.11,20000.0,0.0,0.1,2200.0,
2010-01-20,0.1,0.11,0.1,0.1,0.0,0.0,-0.0909,0.0,
2010-01-21,0.1,0.11,0.1,0.1,224000.0,0.0,0.0,22400.0,
2010-01-22,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,
2010-01-25,0.1,0.11,0.1,0.11,302000.0,0.1,0.1,33220.0,
2010-01-26,0.1,0.1,0.1,0.1,96000.0,0.0,-0.0909,9600.0,
2010-01-27,0.1,0.11,0.1,0.1,0.0,0.0,0.0,0.0,
2010-01-28,0.09,0.11,0.09,0.09,0.0,0.0,-0.1,0.0,
2010-01-29,0.1,0.1,0.09,0.1,128000.0,0.0,0.1111,12800.0,
2010-02-01,0.1,0.1,0.1,0.1,58000.0,0.0,0.0,5800.0,
2010-02-02,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,
2010-02-03,0.1,0.11,0.1,0.1,0.0,0.0,0.0,0.0,
2010-02-04,0.1,0.11,0.1,0.1,0.0,0.0,0.0,0.0,
2010-02-05,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,
2010-02-08,0.08,0.11,0.08,0.08,0.0,0.0,-0.2,0.0,
2010-02-09,0.1,0.11,0.1,0.11,204000.0,0.1,0.375,22440.0,
2010-02-10,0.11,0.11,0.1,0.11,70000.0,0.0,0.0,7700.0,
2010-02-11,0.11,0.11,0.11,0.11,250000.0,0.0,0.0,27500.0,
2010-02-12,0.1,0.1,0.1,0.1,2000.0,0.0,-0.0909,200.0,
2010-02-17,0.1,0.11,0.1,0.1,0.0,0.0,0.0,0.0,
2010-02-18,0.1,0.1,0.1,0.1,20000.0,0.0,0.0,2000.0,
2010-02-22,0.1,0.11,0.1,0.1,262000.0,0.0,0.0,26200.0,
2010-02-24,0.1,0.1,0.1,0.1,214000.0,0.0,0.0,21400.0,89135.6
2010-02-25,0.1,0.1,0.1,0.1,1290000.0,0.0,0.0,129000.0,50289.6
2010-03-01,0.1,0.1,0.1,0.1,200000.0,0.0,0.0,20000.0,48057.6
2010-03-04,0.1,0.1,0.1,0.1,80000.0,0.0,0.0,8000.0,44974.0
2010-03-15,0.09,0.1,0.09,0.1,120000.0,0.1111,0.0,12000.0,43525.6
2010-03-16,0.1,0.1,0.1,0.1,1302000.0,0.0,0.0,130200.0,43953.6
2010-03-17,0.1,0.1,0.1,0.1,40000.0,0.0,0.0,4000.0,41142.8
2010-03-24,0.1,0.1,0.1,0.1,100000.0,0.0,0.0,10000.0,39312.4
2010-04-05,0.1,0.1,0.1,0.1,402000.0,0.0,0.0,40200.0,39914.8
2010-04-07,0.1,0.1,0.1,0.1,22000.0,0.0,0.0,2200.0,39390.0
2010-04-14,0.09,0.1,0.09,0.1,142000.0,0.1111,0.0,14200.0,38954.0
2010-04-26,0.09,0.1,0.09,0.1,42000.0,0.1111,0.0,4200.0,38980.4
2010-04-28,0.1,0.1,0.1,0.1,20000.0,0.0,0.0,2000.0,38797.2
2010-05-19,0.09,0.09,0.09,0.09,40000.0,0.0,-0.1,3600.0,38409.2
2010-06-03,0.09,0.09,0.09,0.09,100000.0,0.0,0.0,9000.0,38553.2
2010-06-08,0.09,0.09,0.09,0.09,20000.0,0.0,0.0,1800.0,38589.2
2010-06-10,0.08,0.09,0.08,0.09,104000.0,0.125,0.0,9360.0,34656.4
2010-06-11,0.09,0.09,0.09,0.09,100000.0,0.0,0.0,9000.0,28468.4
2010-06-18,0.09,0.09,0.09,0.09,2000.0,0.0,0.0,180.0,24068.0
2010-06-28,0.09,0.09,0.09,0.09,40000.0,0.0,0.0,3600.0,13992.0
2010-06-29,0.09,0.09,0.09,0.09,2000.0,0.0,0.0,180.0,13595.6
2010-07-02,0.09,0.09,0.09,0.09,22000.0,0.0,0.0,1980.0,13115.2
2010-07-05,0.09,0.09,0.09,0.09,90000.0,0.0,0.0,8100.0,13209.2
2010-07-29,0.09,0.09,0.09,0.09,60000.0,0.0,0.0,5400.0,13197.2
2010-07-30,0.09,0.09,0.09,0.09,20000.0,0.0,0.0,1800.0,13153.2
