Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2007-11-29,0.85,0.86,0.85,0.86,289079,0.0118,,248607.94,
2007-11-30,0.86,0.86,0.85,0.86,219447,0.0,0.0,188724.42,
2007-12-03,0.85,0.85,0.85,0.85,56971,0.0,-0.0116,48425.35,
2007-12-04,0.85,0.85,0.85,0.85,271143,0.0,0.0,230471.55,
2007-12-05,0.85,0.85,0.85,0.85,1182693,0.0,0.0,1005289.05,
2007-12-06,0.85,0.86,0.85,0.86,664671,0.0118,0.0118,571617.06,
2007-12-07,0.86,0.86,0.86,0.86,0,0.0,0.0,0.0,
2007-12-10,0.89,0.91,0.89,0.91,1360994,0.0225,0.0581,1238504.54,
2007-12-11,0.9,0.9,0.88,0.9,130824,0.0,-0.011,117741.6,
2007-12-12,0.89,0.89,0.89,0.89,390362,0.0,-0.0111,347422.18,
2007-12-13,0.89,0.89,0.88,0.88,574993,-0.0112,-0.0112,505993.84,
2007-12-14,0.88,0.88,0.87,0.88,336556,0.0,0.0,296169.28,
2007-12-17,0.88,0.88,0.88,0.88,2497266,0.0,0.0,2197594.08,
2007-12-18,0.88,0.88,0.88,0.88,0,0.0,0.0,0.0,
2007-12-19,0.88,0.88,0.88,0.88,244768,0.0,0.0,215395.84,
2007-12-21,0.88,0.89,0.88,0.89,666781,0.0114,0.0114,593435.09,
2007-12-24,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,
2007-12-26,0.89,0.89,0.89,0.89,34816,0.0,0.0,30986.24,
2007-12-27,0.89,0.89,0.89,0.89,225777,0.0,0.0,200941.53,
2007-12-28,0.88,0.89,0.88,0.88,314400,0.0,-0.0112,276672.0,
2007-12-31,0.88,0.88,0.88,0.88,0,0.0,0.0,0.0,
2008-01-02,0.88,0.9,0.88,0.88,390362,0.0,0.0,343518.56,
2008-01-03,0.88,0.88,0.87,0.87,205731,-0.0114,-0.0114,178985.97,
2008-01-04,0.87,0.88,0.87,0.88,104448,0.0115,0.0115,91914.24,
2008-01-07,0.88,0.88,0.86,0.87,870403,-0.0114,-0.0114,757250.61,
2008-01-08,0.87,0.87,0.85,0.85,1014943,-0.023,-0.023,862701.55,
2008-01-09,0.85,0.85,0.84,0.85,447334,0.0,0.0,380233.9,
2008-01-10,0.85,0.86,0.85,0.85,59081,0.0,0.0,50218.85,
2008-01-11,0.85,0.87,0.85,0.85,508526,0.0,0.0,432247.1,
2008-01-14,0.85,0.85,0.83,0.84,641461,-0.0118,-0.0118,538827.24,
2008-01-15,0.85,0.85,0.83,0.84,631965,-0.0118,0.0,530850.6,
2008-01-16,0.84,0.84,0.81,0.81,1618423,-0.0357,-0.0357,1310922.63,
