Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2003-12-01,0.82,0.82,0.82,0.82,4200.0,0.0,,3444.0,
2003-12-02,0.82,0.82,0.82,0.82,23400.0,0.0,0.0,19188.0,
2003-12-03,0.82,0.82,0.82,0.82,9600.0,0.0,0.0,7872.0,
2003-12-05,0.82,0.82,0.82,0.82,4000.0,0.0,0.0,3280.0,
2003-12-08,0.82,0.82,0.82,0.82,26000.0,0.0,0.0,21320.0,
2003-12-10,0.82,0.82,0.82,0.82,1600.0,0.0,0.0,1312.0,
2003-12-11,0.82,0.82,0.82,0.82,5000.0,0.0,0.0,4100.0,
2003-12-15,0.82,0.82,0.82,0.82,2000.0,0.0,0.0,1640.0,
2003-12-17,0.8,0.8,0.8,0.8,2000.0,0.0,-0.0244,1600.0,
2003-12-18,0.75,0.75,0.75,0.75,2000.0,0.0,-0.0625,1500.0,
2003-12-19,0.77,0.8,0.77,0.8,10000.0,0.039,0.0667,8000.0,
2003-12-23,0.75,0.75,0.75,0.75,1000.0,0.0,-0.0625,750.0,
2003-12-29,0.82,0.82,0.8,0.8,7200.0,-0.0244,0.0667,5760.0,
2003-12-31,0.85,0.85,0.82,0.82,6800.0,-0.0353,0.025,5576.0,
2004-01-02,0.85,0.85,0.85,0.85,10000.0,0.0,0.0366,8500.0,
2004-01-05,0.85,0.88,0.85,0.85,54600.0,0.0,0.0,46410.0,
2004-01-06,0.88,0.88,0.82,0.88,27000.0,0.0,0.0353,23760.0,
2004-01-07,0.85,0.88,0.85,0.88,15200.0,0.0353,0.0,13376.0,
2004-01-08,0.88,0.88,0.85,0.85,26400.0,-0.0341,-0.0341,22440.0,
2004-01-09,0.82,0.85,0.82,0.85,21200.0,0.0366,0.0,18020.0,
2004-01-12,0.82,0.82,0.8,0.82,17400.0,0.0,-0.0353,14268.0,
2004-01-13,0.8,0.85,0.8,0.82,28600.0,0.025,0.0,23452.0,
2004-01-14,0.8,0.82,0.8,0.82,27600.0,0.025,0.0,22632.0,
2004-01-15,0.82,0.82,0.8,0.8,21200.0,-0.0244,-0.0244,16960.0,
2004-01-16,0.9,0.9,0.77,0.77,15000.0,-0.1444,-0.0375,11550.0,
2004-01-19,0.8,0.85,0.8,0.85,14000.0,0.0625,0.1039,11900.0,
2004-01-20,0.82,0.82,0.8,0.82,15600.0,0.0,-0.0353,12792.0,
2004-01-21,0.8,0.82,0.8,0.82,5000.0,0.025,0.0,4100.0,
2004-01-27,0.77,0.77,0.77,0.77,27000.0,0.0,-0.061,20790.0,
2004-01-28,0.8,0.82,0.8,0.8,34000.0,0.0,0.039,27200.0,
2004-01-29,0.8,0.8,0.77,0.8,35000.0,0.0,0.0,28000.0,
2004-01-30,0.82,0.82,0.8,0.8,8600.0,-0.0244,0.0,6880.0,
2004-02-03,0.75,0.75,0.75,0.75,7200.0,0.0,-0.0625,5400.0,
2004-02-05,0.82,0.82,0.82,0.82,6000.0,0.0,0.0933,4920.0,
2004-02-06,0.77,0.77,0.77,0.77,37600.0,0.0,-0.061,28952.0,
2004-02-09,0.77,0.77,0.77,0.77,8000.0,0.0,0.0,6160.0,
2004-02-10,0.8,0.8,0.77,0.77,22200.0,-0.0375,0.0,17094.0,
2004-02-11,0.77,0.8,0.77,0.77,13800.0,0.0,0.0,10626.0,
2004-02-12,0.77,0.8,0.77,0.8,25000.0,0.039,0.039,20000.0,
2004-02-13,0.75,0.75,0.75,0.75,9000.0,0.0,-0.0625,6750.0,
2004-02-18,0.75,0.75,0.75,0.75,7600.0,0.0,0.0,5700.0,
2004-02-23,0.7,0.7,0.7,0.7,10000.0,0.0,-0.0667,7000.0,
2004-02-24,0.7,0.7,0.7,0.7,4400.0,0.0,0.0,3080.0,
2004-02-27,0.73,0.73,0.73,0.73,10000.0,0.0,0.0429,7300.0,
2004-03-01,0.8,0.8,0.75,0.77,15400.0,-0.0375,0.0548,11858.0,
2004-03-02,0.73,0.75,0.73,0.75,9000.0,0.0274,-0.026,6750.0,
2004-03-03,0.73,0.73,0.73,0.73,20000.0,0.0,-0.0267,14600.0,
2004-03-04,0.73,0.73,0.73,0.73,10000.0,0.0,0.0,7300.0,
2004-03-08,0.68,0.7,0.68,0.7,10800.0,0.0294,-0.0411,7560.0,
2004-03-09,0.7,0.73,0.7,0.73,7800.0,0.0429,0.0429,5694.0,11902.32
2004-03-10,0.73,0.73,0.73,0.73,400.0,0.0,0.0,292.0,11839.28
2004-03-11,0.7,0.73,0.7,0.73,23000.0,0.0429,0.0,16790.0,11791.32
2004-03-12,0.7,0.73,0.7,0.73,19000.0,0.0429,0.0,13870.0,11911.28
2004-03-15,0.75,0.75,0.73,0.73,23000.0,-0.0267,0.0,16790.0,12181.48
2004-03-16,0.75,0.75,0.75,0.75,15800.0,0.0,0.0274,11850.0,11992.08
2004-03-17,0.75,0.77,0.75,0.77,2000.0,0.0267,0.0267,1540.0,11996.64
