Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2005-03-04,0.85,0.9,0.82,0.83,10665428.0,-0.0235,,8852305.24,
2005-03-07,0.83,0.83,0.78,0.8,1132393.0,-0.0361,-0.0361,905914.4,
2005-03-08,0.8,0.8,0.78,0.79,157564.0,-0.0125,-0.0125,124475.56,
2005-03-09,0.78,0.82,0.77,0.8,918329.0,0.0256,0.0127,734663.2,
2005-03-10,0.8,0.87,0.8,0.83,2264389.0,0.0375,0.0375,1879442.87,
2005-03-11,0.85,0.85,0.83,0.85,835965.0,0.0,0.0241,710570.25,
2005-03-14,0.85,0.94,0.85,0.93,1452296.0,0.0941,0.0941,1350635.28,
2005-03-15,0.94,1.01,0.92,0.93,2578324.0,-0.0106,0.0,2397841.32,
2005-03-16,0.93,1.03,0.93,1.01,2147807.0,0.086,0.086,2169285.07,
2005-03-17,0.99,0.99,0.94,0.97,1439564.0,-0.0202,-0.0396,1396377.08,
2005-03-18,0.97,0.97,0.92,0.93,403857.0,-0.0412,-0.0412,375587.01,
2005-03-21,0.96,0.96,0.92,0.94,291255.0,-0.0208,0.0108,273779.7,
2005-03-22,0.94,0.94,0.87,0.87,450410.0,-0.0745,-0.0745,391856.7,
2005-03-23,0.87,0.92,0.87,0.89,660098.0,0.023,0.023,587487.22,
2005-03-24,0.92,0.92,0.9,0.9,352132.0,-0.0217,0.0112,316918.8,
2005-03-28,0.93,0.96,0.93,0.94,813684.0,0.0108,0.0444,764862.96,
2005-03-29,0.97,0.97,0.92,0.92,499749.0,-0.0515,-0.0213,459769.08,
2005-03-30,0.92,0.93,0.9,0.92,401072.0,0.0,0.0,368986.24,
2005-03-31,0.92,0.92,0.88,0.88,237937.0,-0.0435,-0.0435,209384.56,
2005-04-01,0.89,0.89,0.88,0.88,274145.0,-0.0112,0.0,241247.6,
2005-04-04,0.87,0.87,0.84,0.84,120560.0,-0.0345,-0.0455,101270.4,
2005-04-05,0.84,0.88,0.84,0.85,120958.0,0.0119,0.0119,102814.3,
2005-04-06,0.87,0.87,0.85,0.85,40982.0,-0.023,0.0,34834.7,
2005-04-07,0.88,0.88,0.84,0.85,126926.0,-0.0341,0.0,107887.1,
2005-04-08,0.85,0.9,0.85,0.9,318709.0,0.0588,0.0588,286838.1,
2005-04-11,0.89,0.89,0.88,0.88,84352.0,-0.0112,-0.0222,74229.76,
2005-04-12,0.88,0.88,0.87,0.87,53317.0,-0.0114,-0.0114,46385.79,
2005-04-13,0.87,0.87,0.87,0.87,45757.0,0.0,0.0,39808.59,
2005-04-14,0.85,0.85,0.82,0.84,186610.0,-0.0118,-0.0345,156752.4,
2005-04-15,0.83,0.83,0.83,0.83,96687.0,0.0,-0.0119,80250.21,
2005-04-18,0.82,0.83,0.79,0.82,59683.0,0.0,-0.012,48940.06,
2005-04-19,0.8,0.84,0.8,0.84,47348.0,0.05,0.0244,39772.32,
2005-04-20,0.84,0.84,0.8,0.8,64060.0,-0.0476,-0.0476,51248.0,
2005-04-21,0.8,0.82,0.79,0.8,130905.0,0.0,0.0,104724.0,
2005-04-22,0.8,0.8,0.79,0.79,71222.0,-0.0125,-0.0125,56265.38,
2005-04-25,0.79,0.79,0.79,0.79,35014.0,0.0,0.0,27661.06,
2005-04-26,0.79,0.8,0.79,0.8,57693.0,0.0127,0.0127,46154.4,
2005-04-27,0.8,0.8,0.79,0.79,31035.0,-0.0125,-0.0125,24517.65,
2005-04-28,0.79,0.79,0.78,0.78,68436.0,-0.0127,-0.0127,53380.08,
2005-04-29,0.78,0.79,0.77,0.79,26658.0,0.0128,0.0128,21059.82,
2005-05-03,0.79,0.84,0.79,0.83,150004.0,0.0506,0.0506,124503.32,
2005-05-04,0.82,0.82,0.8,0.8,67641.0,-0.0244,-0.0361,54112.8,
2005-05-05,0.82,0.82,0.82,0.82,10345.0,0.0,0.025,8482.9,
2005-05-06,0.82,0.83,0.82,0.83,27454.0,0.0122,0.0122,22786.82,
2005-05-09,0.83,0.83,0.82,0.82,7957.0,-0.012,-0.012,6524.74,
