Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2003-12-01,8.18,8.27,7.98,8.18,8628.0,0.0,,70577.04,
2003-12-02,8.18,8.18,7.98,8.18,2362.0,0.0,0.0,19321.16,
2003-12-03,8.18,8.27,8.18,8.27,8526.0,0.011,0.011,70510.02,
2003-12-04,8.18,8.57,8.18,8.47,39394.0,0.0355,0.0242,333667.18,
2003-12-05,8.27,8.27,8.08,8.08,7601.0,-0.023,-0.046,61416.08,
2003-12-08,7.98,8.08,7.98,7.98,4571.0,0.0,-0.0124,36476.58,
2003-12-09,7.98,8.18,7.89,8.18,4673.0,0.0251,0.0251,38225.14,
2003-12-10,7.98,7.98,7.89,7.89,6522.0,-0.0113,-0.0355,51458.58,
2003-12-11,8.08,8.08,7.89,8.08,9296.0,0.0,0.0241,75111.68,
2003-12-12,7.89,7.98,7.89,7.98,3903.0,0.0114,-0.0124,31145.94,
2003-12-15,7.98,8.18,7.89,8.18,12018.0,0.0251,0.0251,98307.24,
2003-12-16,7.98,7.98,7.98,7.98,513.0,0.0,-0.0244,4093.74,
2003-12-17,7.98,7.98,7.69,7.89,12635.0,-0.0113,-0.0113,99690.15,
2003-12-18,7.79,7.98,7.79,7.98,1284.0,0.0244,0.0114,10246.32,
2003-12-19,7.89,7.89,7.89,7.89,102.0,0.0,-0.0113,804.78,
2003-12-22,7.69,7.89,7.69,7.89,1746.0,0.026,0.0,13775.94,
2003-12-23,7.69,7.89,7.69,7.69,3081.0,0.0,-0.0253,23692.89,
2003-12-24,7.69,8.18,7.69,8.08,1592.0,0.0507,0.0507,12863.36,
2003-12-25,8.08,8.08,8.08,8.08,0.0,0.0,0.0,0.0,
2003-12-26,7.79,8.18,7.79,7.98,5392.0,0.0244,-0.0124,43028.16,
2003-12-29,7.79,8.18,7.79,8.18,8166.0,0.0501,0.0251,66797.88,
2003-12-30,7.98,8.08,7.98,8.08,6625.0,0.0125,-0.0122,53530.0,
2003-12-31,7.98,8.18,7.89,8.18,3646.0,0.0251,0.0124,29824.28,
2004-01-01,8.18,8.18,8.18,8.18,0.0,0.0,0.0,0.0,
2004-01-02,8.08,8.27,8.08,8.27,27529.0,0.0235,0.011,227664.83,
2004-01-05,8.27,8.27,8.18,8.27,26502.0,0.0,0.0,219171.54,
2004-01-06,8.27,8.37,8.18,8.18,32820.0,-0.0109,-0.0109,268467.6,
2004-01-07,8.18,8.18,8.08,8.18,11967.0,0.0,0.0,97890.06,
2004-01-08,8.08,8.08,7.89,8.08,39394.0,0.0,-0.0122,318303.52,
2004-01-09,7.89,7.98,7.89,7.98,15408.0,0.0114,-0.0124,122955.84,
2004-01-12,7.98,7.98,7.69,7.69,31330.0,-0.0363,-0.0363,240927.7,
2004-01-13,7.79,7.79,7.69,7.69,11299.0,-0.0128,0.0,86889.31,
2004-01-14,7.59,7.69,7.59,7.69,28608.0,0.0132,0.0,219995.52,
2004-01-15,7.69,7.69,7.5,7.5,13867.0,-0.0247,-0.0247,104002.5,
2004-01-16,7.59,7.59,7.4,7.5,4673.0,-0.0119,0.0,35047.5,
2004-01-19,7.4,7.4,7.3,7.4,9347.0,0.0,-0.0133,69167.8,
