Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2008-03-13,0.09,0.1,0.08,0.08,7929600,-0.1111,,634368.0,
2008-03-14,0.09,0.09,0.08,0.08,2112768,-0.1111,0.0,169021.44,
2008-03-17,0.07,0.07,0.07,0.07,1005312,0.0,-0.125,70371.84,
2008-03-18,0.07,0.08,0.06,0.08,792960,0.1429,0.1429,63436.8,
2008-03-19,0.09,0.09,0.08,0.09,1577856,0.0,0.125,142007.04,
2008-03-20,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-03-24,0.08,0.08,0.07,0.07,198912,-0.125,-0.2222,13923.84,
2008-03-25,0.08,0.08,0.07,0.07,48384,-0.125,0.0,3386.88,
2008-03-26,0.07,0.07,0.07,0.07,13440,0.0,0.0,940.8,
2008-03-27,0.07,0.07,0.07,0.07,59136,0.0,0.0,4139.52,
2008-03-28,0.07,0.08,0.07,0.08,75264,0.1429,0.1429,6021.12,
2008-03-31,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2008-04-01,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2008-04-02,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2008-04-03,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2008-04-04,0.08,0.09,0.08,0.09,32256,0.125,0.125,2903.04,
2008-04-07,0.09,0.09,0.09,0.09,18816,0.0,0.0,1693.44,
2008-04-08,0.09,0.09,0.09,0.09,75264,0.0,0.0,6773.76,
2008-04-09,0.09,0.09,0.09,0.09,43008,0.0,0.0,3870.72,
2008-04-10,0.09,0.09,0.09,0.09,45696,0.0,0.0,4112.64,
2008-04-11,0.09,0.09,0.09,0.09,53760,0.0,0.0,4838.4,
2008-04-14,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-04-15,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-04-16,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-04-17,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-04-18,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-04-21,0.07,0.07,0.07,0.07,26880,0.0,-0.2222,1881.6,
2008-04-22,0.09,0.09,0.09,0.09,13440,0.0,0.2857,1209.6,
2008-04-23,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-04-24,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-04-25,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-04-28,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-04-29,0.08,0.08,0.08,0.08,5376,0.0,-0.1111,430.08,
2008-04-30,0.09,0.09,0.09,0.09,8064,0.0,0.125,725.76,
2008-05-02,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-05-05,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-05-06,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-05-07,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-05-08,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-05-09,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-05-12,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-05-13,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-05-14,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-05-15,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-05-16,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-05-20,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,
2008-05-21,0.08,0.08,0.08,0.08,26880,0.0,-0.1111,2150.4,
2008-05-22,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2008-05-23,0.08,0.08,0.08,0.08,43008,0.0,0.0,3440.64,
2008-05-26,0.09,0.09,0.06,0.06,10752,-0.3333,-0.25,645.12,22845.85
2008-05-27,0.07,0.07,0.07,0.07,21504,0.0,0.1667,1505.28,10188.6
2008-05-28,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,6808.17
2008-05-29,0.08,0.08,0.07,0.07,18816,-0.125,0.0,1317.12,5427.07
2008-05-30,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,4158.34
2008-06-02,0.09,0.09,0.09,0.09,8064,0.0,0.2857,725.76,1332.71
2008-06-03,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,1332.71
2008-06-04,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,1054.23
2008-06-05,0.09,0.09,0.09,0.09,43008,0.0,0.0,3870.72,1063.91
