Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2008-01-02,3.55,3.55,3.55,3.55,0.0,0.0,,0.0,
2008-01-03,3.48,3.48,3.48,3.48,0.0,0.0,-0.0197,0.0,
2008-01-04,3.52,3.52,3.52,3.52,0.0,0.0,0.0115,0.0,
2008-01-07,3.44,3.44,3.44,3.44,0.0,0.0,-0.0227,0.0,
2008-01-08,3.42,3.42,3.42,3.42,0.0,0.0,-0.0058,0.0,
2008-01-09,3.43,3.43,3.43,3.43,0.0,0.0,0.0029,0.0,
2008-01-10,3.4,3.4,3.4,3.4,0.0,0.0,-0.0087,0.0,
2008-01-11,3.37,3.37,3.37,3.37,0.0,0.0,-0.0088,0.0,
2008-01-14,3.3,3.3,3.3,3.3,0.0,0.0,-0.0208,0.0,
2008-01-15,3.24,3.24,3.24,3.24,0.0,0.0,-0.0182,0.0,
2008-01-16,3.14,3.14,3.14,3.14,0.0,0.0,-0.0309,0.0,
2008-01-17,3.23,3.23,3.23,3.23,0.0,0.0,0.0287,0.0,
2008-01-18,3.19,3.19,3.19,3.19,0.0,0.0,-0.0124,0.0,
2008-01-21,3.0,3.0,3.0,3.0,0.0,0.0,-0.0596,0.0,
2008-01-22,2.95,2.95,2.95,2.95,0.0,0.0,-0.0167,0.0,
2008-01-23,3.07,3.07,3.07,3.07,0.0,0.0,0.0407,0.0,
2008-01-24,3.08,3.08,3.08,3.08,0.0,0.0,0.0033,0.0,
2008-01-25,3.19,3.19,3.19,3.19,0.0,0.0,0.0357,0.0,
2008-01-28,3.07,3.07,3.07,3.07,0.0,0.0,-0.0376,0.0,
2008-01-29,3.08,3.08,3.08,3.08,0.0,0.0,0.0033,0.0,
2008-01-30,3.03,3.03,3.03,3.03,0.0,0.0,-0.0162,0.0,
2008-01-31,3.01,3.01,3.01,3.01,0.0,0.0,-0.0066,0.0,
2008-02-01,3.03,3.03,3.03,3.03,0.0,0.0,0.0066,0.0,
2008-02-04,3.1,3.1,3.1,3.1,0.0,0.0,0.0231,0.0,
2008-02-05,3.06,3.06,3.06,3.06,0.0,0.0,-0.0129,0.0,
2008-02-06,2.96,2.96,2.96,2.96,0.0,0.0,-0.0327,0.0,
2008-02-11,2.89,2.89,2.89,2.89,0.0,0.0,-0.0236,0.0,
2008-02-12,2.95,2.95,2.95,2.95,0.0,0.0,0.0208,0.0,
2008-02-13,2.98,2.98,2.98,2.98,0.0,0.0,0.0102,0.0,
2008-02-14,3.07,3.07,3.07,3.07,0.0,0.0,0.0302,0.0,
2008-02-15,3.12,3.12,3.12,3.12,0.0,0.0,0.0163,0.0,
2008-02-18,3.11,3.11,3.11,3.11,0.0,0.0,-0.0032,0.0,
2008-02-19,3.12,3.12,3.12,3.12,0.0,0.0,0.0032,0.0,
2008-02-20,3.05,3.05,3.05,3.05,0.0,0.0,-0.0224,0.0,
2008-02-21,3.08,3.08,3.08,3.08,0.0,0.0,0.0098,0.0,
2008-02-22,3.07,3.07,3.07,3.07,0.0,0.0,-0.0032,0.0,
2008-02-25,3.09,3.09,3.09,3.09,0.0,0.0,0.0065,0.0,
2008-02-26,3.1,3.1,3.1,3.1,0.0,0.0,0.0032,0.0,
2008-02-27,3.12,3.12,3.12,3.12,0.0,0.0,0.0065,0.0,
2008-02-28,3.1,3.1,3.1,3.1,0.0,0.0,-0.0064,0.0,
2008-02-29,3.05,3.05,3.05,3.05,0.0,0.0,-0.0161,0.0,
2008-03-03,2.95,2.95,2.95,2.95,0.0,0.0,-0.0328,0.0,
2008-03-04,2.94,2.94,2.94,2.94,0.0,0.0,-0.0034,0.0,
2008-03-05,2.94,2.94,2.94,2.94,0.0,0.0,0.0,0.0,
2008-03-06,2.94,2.94,2.94,2.94,0.0,0.0,0.0,0.0,
2008-03-07,2.89,2.89,2.89,2.89,0.0,0.0,-0.017,0.0,
2008-03-10,2.86,2.86,2.86,2.86,0.0,0.0,-0.0104,0.0,
2008-03-11,2.89,2.89,2.89,2.89,0.0,0.0,0.0105,0.0,
2008-03-12,2.94,2.94,2.94,2.94,0.0,0.0,0.0173,0.0,
2008-03-13,2.83,2.83,2.83,2.83,0.0,0.0,-0.0374,0.0,0.0
2008-03-14,2.86,2.86,2.86,2.86,0.0,0.0,0.0106,0.0,0.0
