Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2021-11-22,1.37,1.37,1.37,1.37,0,0.0,,0.0,
2021-11-23,1.37,1.37,1.37,1.37,0,0.0,0.0,0.0,
2021-11-24,1.0,1.0,1.0,1.0,124950,0.0,-0.2701,124950.0,
2021-11-25,1.01,1.01,1.01,1.01,320000,0.0,0.01,323200.0,
2021-11-26,1.0,1.0,0.99,0.99,126300,-0.01,-0.0198,125037.0,
2021-11-29,1.0,1.0,1.0,1.0,20,0.0,0.0101,20.0,
2021-11-30,1.0,1.0,0.97,0.97,101140,-0.03,-0.03,98105.8,
2021-12-01,0.97,0.97,0.97,0.97,0,0.0,0.0,0.0,
2021-12-02,0.97,0.97,0.97,0.97,30,0.0,0.0,29.1,
2021-12-03,0.97,0.97,0.97,0.97,127500,0.0,0.0,123675.0,
2021-12-06,0.97,0.97,0.97,0.97,0,0.0,0.0,0.0,
2021-12-07,0.97,0.97,0.97,0.97,127500,0.0,0.0,123675.0,
2021-12-08,0.99,0.99,0.99,0.99,255000,0.0,0.0206,252450.0,
2021-12-09,0.99,0.99,0.99,0.99,0,0.0,0.0,0.0,
2021-12-10,0.99,0.99,0.99,0.99,0,0.0,0.0,0.0,
2021-12-13,0.99,0.99,0.99,0.99,0,0.0,0.0,0.0,
2021-12-14,0.99,0.99,0.99,0.99,127980,0.0,0.0,126700.2,
2021-12-15,0.99,0.99,0.99,0.99,0,0.0,0.0,0.0,
2021-12-16,0.99,0.99,0.99,0.99,0,0.0,0.0,0.0,
2021-12-17,0.99,0.99,0.99,0.99,0,0.0,0.0,0.0,
2021-12-20,0.99,0.99,0.99,0.99,4000,0.0,0.0,3960.0,
2021-12-21,0.99,0.99,0.99,0.99,0,0.0,0.0,0.0,
2021-12-22,0.97,0.97,0.97,0.97,127500,0.0,-0.0202,123675.0,
2021-12-23,0.97,0.97,0.97,0.97,127500,0.0,0.0,123675.0,
2021-12-24,0.96,0.96,0.96,0.96,0,0.0,-0.0103,0.0,
2021-12-27,0.96,0.96,0.96,0.96,0,0.0,0.0,0.0,
2021-12-28,0.96,0.96,0.96,0.96,0,0.0,0.0,0.0,
2021-12-29,0.96,0.96,0.96,0.96,0,0.0,0.0,0.0,
2021-12-30,0.99,0.99,0.99,0.99,127500,0.0,0.0312,126225.0,
2021-12-31,0.99,0.99,0.99,0.99,0,0.0,0.0,0.0,
2022-01-03,0.99,0.99,0.99,0.99,0,0.0,0.0,0.0,
2022-01-04,0.99,0.99,0.99,0.99,0,0.0,0.0,0.0,
2022-01-05,0.99,0.99,0.99,0.99,0,0.0,0.0,0.0,
2022-01-06,0.99,0.99,0.99,0.99,0,0.0,0.0,0.0,
2022-01-07,1.0,1.0,1.0,1.0,0,0.0,0.0101,0.0,
2022-01-10,0.99,0.99,0.99,0.99,0,0.0,-0.01,0.0,
2022-01-11,0.96,0.96,0.96,0.96,20,0.0,-0.0303,19.2,
2022-01-12,0.96,0.96,0.96,0.96,0,0.0,0.0,0.0,
2022-01-13,0.96,0.96,0.96,0.96,0,0.0,0.0,0.0,
2022-01-14,0.96,0.96,0.96,0.96,0,0.0,0.0,0.0,
2022-01-17,0.96,0.96,0.96,0.96,0,0.0,0.0,0.0,
2022-01-18,0.96,0.96,0.96,0.96,0,0.0,0.0,0.0,
2022-01-19,0.95,0.95,0.95,0.95,10,0.0,-0.0104,9.5,
2022-01-20,0.95,0.95,0.95,0.95,0,0.0,0.0,0.0,
2022-01-21,0.93,0.93,0.93,0.93,210,0.0,-0.0211,195.3,
2022-01-24,0.93,0.93,0.93,0.93,20,0.0,0.0,18.6,
2022-01-25,0.93,0.93,0.92,0.92,220,-0.0108,-0.0108,202.4,
2022-01-26,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,
2022-01-27,0.92,0.92,0.89,0.89,260,-0.0326,-0.0326,231.4,
2022-01-28,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,33521.07
2022-01-31,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,33521.07
2022-02-03,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,33521.07
2022-02-04,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,31022.07
2022-02-07,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,24558.07
2022-02-08,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,22057.33
2022-02-09,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,22056.93
2022-02-10,0.88,0.88,0.88,0.88,0,0.0,-0.0112,0.0,20094.81
2022-02-11,0.89,0.89,0.89,0.89,0,0.0,0.0114,0.0,20094.81
2022-02-14,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,20094.23
2022-02-15,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,17620.73
2022-02-16,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,17620.73
2022-02-17,0.93,0.93,0.93,0.93,10000,0.0,0.0449,9300.0,15333.23
2022-02-18,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,10284.23
2022-02-21,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,10284.23
2022-02-22,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,10284.23
2022-02-23,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,10284.23
2022-02-24,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,7750.23
2022-02-25,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,7750.23
2022-02-28,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,7750.23
2022-03-01,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,7750.23
2022-03-02,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,7671.03
2022-03-03,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,7671.03
2022-03-04,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,5197.53
2022-03-07,0.95,0.95,0.95,0.95,0,0.0,0.0215,0.0,2724.03
2022-03-08,0.95,0.95,0.95,0.95,0,0.0,0.0,0.0,2724.03
2022-03-09,0.95,0.95,0.95,0.95,0,0.0,0.0,0.0,2724.03
2022-03-10,0.93,0.93,0.93,0.93,0,0.0,-0.0211,0.0,2724.03
2022-03-11,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,2724.03
2022-03-14,0.95,0.95,0.95,0.95,0,0.0,0.0215,0.0,199.53
2022-03-15,0.95,0.95,0.95,0.95,0,0.0,0.0,0.0,199.53
2022-03-16,0.95,0.95,0.95,0.95,0,0.0,0.0,0.0,199.53
2022-03-17,0.93,0.93,0.93,0.93,25,0.0,-0.0211,23.25,199.99
2022-03-18,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,199.99
2022-03-21,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,199.99
2022-03-22,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,199.99
2022-03-23,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,199.99
2022-03-24,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,199.61
2022-03-25,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,199.61
2022-03-28,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,199.61
2022-03-29,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,199.61
2022-03-30,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,199.61
2022-03-31,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,199.61
2022-04-01,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,199.42
2022-04-04,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,199.42
2022-04-05,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,195.51
2022-04-06,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,195.14
2022-04-07,0.95,0.95,0.95,0.95,0,0.0,0.0215,0.0,191.09
2022-04-08,0.95,0.95,0.95,0.95,0,0.0,0.0,0.0,191.09
2022-04-11,0.95,0.95,0.95,0.95,0,0.0,0.0,0.0,186.46
2022-04-12,0.95,0.95,0.95,0.95,0,0.0,0.0,0.0,186.46
2022-04-13,0.95,0.95,0.95,0.95,0,0.0,0.0,0.0,186.46
2022-04-14,0.93,0.93,0.93,0.93,0,0.0,-0.0211,0.0,186.46
2022-04-18,0.95,0.95,0.95,0.95,0,0.0,0.0215,0.0,186.46
2022-04-19,0.95,0.95,0.95,0.95,0,0.0,0.0,0.0,186.46
2022-04-20,0.93,0.93,0.93,0.93,200,0.0,-0.0211,186.0,190.18
2022-04-21,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,190.18
2022-04-22,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,190.18
2022-04-25,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,190.18
2022-04-26,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,190.18
2022-04-27,0.94,0.94,0.94,0.94,0,0.0,0.0108,0.0,190.18
2022-04-28,0.92,0.93,0.92,0.93,340000,0.0109,-0.0106,316200.0,6514.18
2022-04-29,0.93,0.93,0.93,0.93,0,0.0,0.0,0.0,6328.18
2022-05-04,0.9,0.9,0.89,0.89,300,-0.0111,-0.043,267.0,6333.52
2022-05-05,0.9,0.9,0.9,0.9,0,0.0,0.0112,0.0,6333.52
2022-05-06,0.9,0.9,0.9,0.9,0,0.0,0.0,0.0,6333.52
2022-05-09,0.9,0.9,0.9,0.9,0,0.0,0.0,0.0,6333.52
2022-05-10,0.9,0.9,0.9,0.9,0,0.0,0.0,0.0,6333.52
2022-05-11,0.9,0.9,0.9,0.9,0,0.0,0.0,0.0,6333.52
2022-05-12,0.9,0.9,0.9,0.9,0,0.0,0.0,0.0,6333.52
2022-05-13,0.9,0.9,0.9,0.9,0,0.0,0.0,0.0,6333.52
2022-05-17,0.9,0.9,0.9,0.9,0,0.0,0.0,0.0,6333.52
2022-05-18,0.9,0.9,0.9,0.9,0,0.0,0.0,0.0,6333.52
2022-05-19,0.9,0.9,0.9,0.9,0,0.0,0.0,0.0,6333.52
2022-05-20,0.9,0.9,0.9,0.9,0,0.0,0.0,0.0,6333.52
2022-05-23,0.89,0.89,0.89,0.89,0,0.0,-0.0111,0.0,6333.52
2022-05-24,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,6333.52
2022-05-25,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,6333.52
2022-05-26,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,6333.52
2022-05-27,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,6333.52
2022-05-30,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,6333.52
2022-05-31,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,6333.52
2022-06-01,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,6333.06
2022-06-02,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,6333.06
2022-06-03,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,6333.06
2022-06-06,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,6333.06
2022-06-07,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,6333.06
2022-06-08,0.89,0.89,0.89,0.89,0,0.0,0.0,0.0,6333.06
2022-06-09,0.9,0.9,0.9,0.9,0,0.0,0.0112,0.0,6333.06
2022-06-10,0.9,0.9,0.9,0.9,0,0.0,0.0,0.0,6333.06
2022-06-13,0.9,0.9,0.9,0.9,0,0.0,0.0,0.0,6333.06
2022-06-14,0.9,0.9,0.9,0.9,0,0.0,0.0,0.0,6333.06
2022-06-15,0.9,0.9,0.9,0.9,0,0.0,0.0,0.0,6333.06
