Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2003-12-01,1.79,1.8,1.79,1.79,365621.0,0.0,,654461.59,
2003-12-02,1.8,1.82,1.75,1.76,443675.0,-0.0222,-0.0168,780868.0,
2003-12-03,1.77,1.78,1.75,1.76,457027.0,-0.0056,0.0,804367.52,
2003-12-04,1.76,1.8,1.76,1.76,408756.0,0.0,0.0,719410.56,
2003-12-05,1.75,1.76,1.75,1.76,110918.0,0.0057,0.0,195215.68,
2003-12-08,1.74,1.77,1.74,1.76,573081.0,0.0115,0.0,1008622.56,
2003-12-09,1.76,1.76,1.73,1.74,229027.0,-0.0114,-0.0114,398506.98,
2003-12-10,1.73,1.75,1.73,1.74,430324.0,0.0058,0.0,748763.76,
2003-12-11,1.74,1.75,1.73,1.74,584378.0,0.0,0.0,1016817.72,
2003-12-12,1.75,1.75,1.74,1.74,386162.0,-0.0057,0.0,671921.88,
2003-12-15,1.76,1.78,1.75,1.76,617243.0,0.0,0.0115,1086347.68,
2003-12-16,1.75,1.75,1.72,1.73,553567.0,-0.0114,-0.017,957670.91,
2003-12-17,1.75,1.75,1.71,1.74,189999.0,-0.0057,0.0058,330598.26,
2003-12-18,1.73,1.76,1.73,1.76,100648.0,0.0173,0.0115,177140.48,
2003-12-19,1.75,1.76,1.75,1.76,168432.0,0.0057,0.0,296440.32,
2003-12-22,1.72,1.75,1.72,1.73,181783.0,0.0058,-0.017,314484.59,
2003-12-23,1.73,1.73,1.71,1.72,236216.0,-0.0058,-0.0058,406291.52,
2003-12-24,1.72,1.73,1.72,1.73,134540.0,0.0058,0.0058,232754.2,
2003-12-25,1.73,1.73,1.73,1.73,0.0,0.0,0.0,0.0,
2003-12-26,1.73,1.74,1.72,1.74,193081.0,0.0058,0.0058,335960.94,
2003-12-29,1.75,1.79,1.75,1.79,299891.0,0.0229,0.0287,536804.89,
2003-12-30,1.79,1.86,1.78,1.86,908918.0,0.0391,0.0391,1690587.48,
2003-12-31,1.86,1.86,1.83,1.85,141729.0,-0.0054,-0.0054,262198.65,
2004-01-01,1.85,1.85,1.85,1.85,0.0,0.0,0.0,0.0,
2004-01-02,1.85,1.89,1.85,1.88,282432.0,0.0162,0.0162,530972.16,
2004-01-05,1.88,1.9,1.88,1.88,328648.0,0.0,0.0,617858.24,
2004-01-06,1.9,1.92,1.86,1.88,637783.0,-0.0105,0.0,1199032.04,
2004-01-07,1.88,1.9,1.87,1.88,565891.0,0.0,0.0,1063875.08,
2004-01-08,1.88,1.89,1.87,1.88,265999.0,0.0,0.0,500078.12,
2004-01-09,1.88,1.89,1.88,1.88,630594.0,0.0,0.0,1185516.72,
2004-01-12,1.86,1.88,1.86,1.86,155081.0,0.0,-0.0106,288450.66,
2004-01-13,1.87,1.87,1.84,1.85,401567.0,-0.0107,-0.0054,742898.95,
2004-01-14,1.86,1.86,1.83,1.83,121189.0,-0.0161,-0.0108,221775.87,
2004-01-15,1.82,1.83,1.82,1.82,36972.0,0.0,-0.0055,67289.04,
2004-01-16,1.84,1.85,1.83,1.83,54432.0,-0.0054,0.0055,99610.56,
2004-01-19,1.83,1.84,1.83,1.84,44162.0,0.0055,0.0055,81258.08,
2004-01-20,1.84,1.85,1.84,1.85,58540.0,0.0054,0.0054,108299.0,
2004-01-21,1.86,1.86,1.85,1.86,62648.0,0.0,0.0054,116525.28,
2004-01-22,1.86,1.86,1.86,1.86,0.0,0.0,0.0,0.0,
2004-01-23,1.86,1.86,1.86,1.86,0.0,0.0,0.0,0.0,
