Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2007-11-06,1.46,1.5,1.46,1.5,81089.0,0.0274,,121633.5,
2007-11-07,1.47,1.47,1.47,1.47,6006.0,0.0,-0.02,8828.82,
2007-11-09,1.45,1.46,1.45,1.46,24026.0,0.0069,-0.0068,35077.96,
2007-11-12,1.45,1.45,1.38,1.4,133147.0,-0.0345,-0.0411,186405.8,
2007-11-13,1.4,1.4,1.38,1.38,58064.0,-0.0143,-0.0143,80128.32,
2007-11-14,1.39,1.42,1.39,1.41,60066.0,0.0144,0.0217,84693.06,
2007-11-15,1.4,1.4,1.35,1.36,700777.0,-0.0286,-0.0355,953056.72,
2007-11-16,1.32,1.32,1.28,1.3,755838.0,-0.0152,-0.0441,982589.4,
2007-11-19,1.31,1.36,1.31,1.33,126139.0,0.0153,0.0231,167764.87,
2007-11-20,1.32,1.35,1.32,1.35,16017.0,0.0227,0.015,21622.95,
2007-11-21,1.35,1.35,1.29,1.3,119132.0,-0.037,-0.037,154871.6,
2007-11-22,1.3,1.3,1.3,1.3,17018.0,0.0,0.0,22123.4,
2007-11-23,1.32,1.35,1.32,1.34,62068.0,0.0152,0.0308,83171.12,
2007-11-26,1.34,1.34,1.33,1.34,29032.0,0.0,0.0,38902.88,
2007-11-27,1.31,1.35,1.31,1.34,59065.0,0.0229,0.0,79147.1,
2007-11-28,1.33,1.39,1.31,1.32,279309.0,-0.0075,-0.0149,368687.88,
2007-11-29,1.31,1.32,1.3,1.3,2165400.0,-0.0076,-0.0152,2815020.0,
2007-11-30,1.34,1.34,1.3,1.3,1020131.0,-0.0299,0.0,1326170.3,
2007-12-03,1.34,1.36,1.31,1.36,139154.0,0.0149,0.0462,189249.44,
2007-12-04,1.36,1.37,1.33,1.35,446495.0,-0.0074,-0.0074,602768.25,
2007-12-05,1.34,1.34,1.31,1.33,275305.0,-0.0075,-0.0148,366155.65,
2007-12-06,1.35,1.39,1.35,1.39,590654.0,0.0296,0.0451,821009.06,
2007-12-07,1.39,1.43,1.39,1.42,431478.0,0.0216,0.0216,612698.76,
2007-12-10,1.45,1.45,1.42,1.45,107118.0,0.0,0.0211,155321.1,
2007-12-11,1.45,1.45,1.4,1.4,188208.0,-0.0345,-0.0345,263491.2,
2007-12-12,1.4,1.4,1.4,1.4,135149.0,0.0,0.0,189208.6,
2007-12-13,1.4,1.4,1.38,1.38,212235.0,-0.0143,-0.0143,292884.3,
2007-12-17,1.38,1.39,1.36,1.39,742823.0,0.0072,0.0072,1032523.97,
2007-12-18,1.34,1.38,1.34,1.37,129143.0,0.0224,-0.0144,176925.91,
2007-12-19,1.36,1.36,1.34,1.35,114126.0,-0.0074,-0.0146,154070.1,
2007-12-21,1.32,1.36,1.32,1.36,191212.0,0.0303,0.0074,260048.32,
2007-12-24,1.37,1.4,1.37,1.39,78086.0,0.0146,0.0221,108539.54,
2007-12-26,1.39,1.41,1.39,1.39,80088.0,0.0,0.0,111322.32,
2007-12-27,1.44,1.48,1.43,1.47,426472.0,0.0208,0.0576,626913.84,
2007-12-28,1.4,1.43,1.36,1.43,627695.0,0.0214,-0.0272,897603.85,
2007-12-31,1.42,1.46,1.4,1.46,204226.0,0.0282,0.021,298169.96,
2008-01-02,1.44,1.46,1.44,1.46,38042.0,0.0139,0.0,55541.32,
2008-01-04,1.46,1.46,1.43,1.43,24026.0,-0.0205,-0.0205,34357.18,
2008-01-07,1.4,1.45,1.4,1.45,25027.0,0.0357,0.014,36289.15,
2008-01-08,1.45,1.45,1.45,1.45,25027.0,0.0,0.0,36289.15,
2008-01-09,1.41,1.41,1.36,1.39,369409.0,-0.0142,-0.0414,513478.51,
2008-01-10,1.38,1.38,1.33,1.37,156173.0,-0.0072,-0.0144,213957.01,
2008-01-11,1.35,1.35,1.34,1.35,274304.0,0.0,-0.0146,370310.4,
2008-01-14,1.33,1.33,1.28,1.3,273303.0,-0.0226,-0.037,355293.9,
2008-01-15,1.3,1.3,1.19,1.22,1119240.0,-0.0615,-0.0615,1365472.8,
2008-01-16,1.2,1.26,1.2,1.25,631700.0,0.0417,0.0246,789625.0,
2008-01-17,1.23,1.23,1.21,1.22,492546.0,-0.0081,-0.024,600906.12,
2008-01-18,1.2,1.23,1.19,1.23,496550.0,0.025,0.0082,610756.5,
2008-01-21,1.21,1.21,1.14,1.15,501556.0,-0.0496,-0.065,576789.4,
2008-01-22,1.14,1.2,1.12,1.12,320355.0,-0.0175,-0.0261,358797.6,412133.28
2008-01-23,1.13,1.25,1.13,1.14,616683.0,0.0088,0.0179,703018.62,423760.98
2008-01-24,1.23,1.24,1.16,1.2,1069185.0,-0.0244,0.0526,1283022.0,449244.84
2008-01-25,1.21,1.23,1.21,1.21,581644.0,0.0,0.0083,703789.24,462619.07
2008-01-28,1.21,1.21,1.19,1.2,102113.0,-0.0083,-0.0083,122535.6,461341.67
2008-01-29,1.18,1.25,1.18,1.21,364404.0,0.0254,0.0083,440928.84,468557.68
2008-01-30,1.21,1.21,1.2,1.21,446495.0,0.0,0.0,540258.95,477668.99
2008-01-31,1.21,1.22,1.19,1.21,427473.0,0.0,0.0,517242.33,468952.71
2008-02-01,1.21,1.23,1.2,1.23,392435.0,0.0165,0.0165,482695.05,458954.82
2008-02-04,1.23,1.31,1.23,1.25,351389.0,0.0163,0.0163,439236.25,464384.25
2008-02-05,1.24,1.24,1.2,1.21,525582.0,-0.0242,-0.032,635954.22,476670.87
2008-02-06,1.17,1.24,1.17,1.19,573636.0,0.0171,-0.0165,682626.84,487225.98
2008-02-11,1.22,1.22,1.19,1.2,484537.0,-0.0164,0.0084,581444.4,498412.4
