Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2009-03-10,153.05,153.38,153.05,153.05,3000,0.0,,459150.0,
2009-03-11,153.05,153.05,153.05,153.05,0,0.0,0.0,0.0,
2009-03-12,153.05,153.05,153.05,153.05,0,0.0,0.0,0.0,
2009-03-13,153.05,153.05,153.05,153.05,0,0.0,0.0,0.0,
2009-03-16,153.05,153.05,153.05,153.05,0,0.0,0.0,0.0,
2009-03-17,154.17,154.17,154.17,153.57,99,-0.0039,0.0034,15203.43,
2009-03-18,151.24,151.24,151.24,151.24,0,0.0,-0.0152,0.0,
2009-03-19,151.24,151.24,151.24,151.24,0,0.0,0.0,0.0,
2009-03-20,151.24,151.24,151.24,151.24,0,0.0,0.0,0.0,
2009-03-23,151.24,151.24,151.24,151.24,0,0.0,0.0,0.0,
2009-03-24,151.24,151.24,151.24,151.24,0,0.0,0.0,0.0,
2009-03-25,151.24,151.24,151.24,151.24,0,0.0,0.0,0.0,
2009-03-26,151.24,151.24,151.24,151.24,0,0.0,0.0,0.0,
2009-03-27,151.24,151.24,151.24,151.24,0,0.0,0.0,0.0,
2009-03-30,151.24,151.24,151.24,151.24,0,0.0,0.0,0.0,
2009-03-31,151.24,151.24,151.24,151.24,0,0.0,0.0,0.0,
2009-04-01,148.99,148.99,148.99,148.99,0,0.0,-0.0149,0.0,
2009-04-02,153.92,153.92,153.86,153.74,10000,-0.0012,0.0319,1537400.0,
2009-04-03,153.74,153.74,153.74,153.74,0,0.0,0.0,0.0,
2009-04-06,153.74,153.74,153.74,153.74,0,0.0,0.0,0.0,
2009-04-07,153.74,153.74,153.74,153.74,0,0.0,0.0,0.0,
2009-04-08,153.74,153.74,153.74,153.74,0,0.0,0.0,0.0,
2009-04-09,152.15,152.15,152.15,151.62,10000,-0.0035,-0.0138,1516200.0,
2009-04-13,149.36,149.36,149.36,149.36,0,0.0,-0.0149,0.0,
2009-04-14,149.36,149.36,149.36,149.36,0,0.0,0.0,0.0,
2009-04-15,149.36,149.36,149.36,149.36,0,0.0,0.0,0.0,
2009-04-16,150.96,150.96,150.73,150.66,15600,-0.002,0.0087,2350296.0,
2009-04-17,150.66,150.66,150.66,150.66,0,0.0,0.0,0.0,
2009-04-20,152.94,152.94,152.94,152.94,0,0.0,0.0151,0.0,
2009-04-21,152.94,152.94,152.94,152.94,0,0.0,0.0,0.0,
2009-04-22,150.66,150.66,150.66,150.66,0,0.0,-0.0149,0.0,
2009-04-23,150.66,150.66,150.66,150.66,0,0.0,0.0,0.0,
2009-04-24,150.66,150.66,150.66,150.66,0,0.0,0.0,0.0,
2009-04-27,150.66,150.66,150.66,150.66,0,0.0,0.0,0.0,
2009-04-28,150.66,150.66,150.66,150.66,0,0.0,0.0,0.0,
2009-04-29,150.66,150.66,150.66,150.66,0,0.0,0.0,0.0,
2009-04-30,148.44,148.44,148.44,148.44,0,0.0,-0.0147,0.0,
2009-05-01,148.44,148.44,148.44,148.44,0,0.0,0.0,0.0,
2009-05-04,148.44,148.44,148.44,148.44,0,0.0,0.0,0.0,
2009-05-05,148.44,148.44,148.44,148.44,0,0.0,0.0,0.0,
2009-05-06,148.44,148.44,148.44,148.44,0,0.0,0.0,0.0,
2009-05-07,146.29,146.29,146.29,146.29,0,0.0,-0.0145,0.0,
2009-05-08,146.29,146.29,146.29,146.29,0,0.0,0.0,0.0,
2009-05-11,148.44,148.44,148.44,148.44,0,0.0,0.0147,0.0,
2009-05-12,148.44,148.44,148.44,148.44,0,0.0,0.0,0.0,
2009-05-13,148.44,148.44,148.44,148.44,0,0.0,0.0,0.0,
2009-05-14,148.44,148.44,148.44,148.44,0,0.0,0.0,0.0,
2009-05-15,148.44,148.44,148.44,148.44,0,0.0,0.0,0.0,
2009-05-18,148.44,148.44,148.44,148.44,0,0.0,0.0,0.0,
2009-05-19,148.44,148.44,148.44,148.44,0,0.0,0.0,0.0,117564.99
2009-05-20,146.29,146.29,146.29,146.29,0,0.0,-0.0145,0.0,108381.99
2009-05-21,146.29,146.29,146.29,146.29,0,0.0,0.0,0.0,108381.99
2009-05-22,146.29,146.29,146.29,146.29,0,0.0,0.0,0.0,108381.99
2009-05-25,146.29,146.29,146.29,146.29,0,0.0,0.0,0.0,108381.99
2009-05-26,146.29,146.29,146.29,146.29,0,0.0,0.0,0.0,108381.99
2009-05-27,150.22,150.22,150.22,150.07,9240,-0.001,0.0258,1386646.8,135810.86
2009-05-28,148.26,148.72,148.26,148.97,3000,0.0048,-0.0073,446910.0,144749.06
2009-05-29,149.57,149.57,149.57,150.77,1000,0.008,0.0121,150770.0,147764.46
2009-06-01,149.36,149.36,149.36,147.99,1000,-0.0092,-0.0184,147990.0,150724.26
2009-06-02,150.0,150.0,150.0,150.83,1000,0.0055,0.0192,150830.0,153740.86
2009-06-03,151.03,151.03,151.03,150.96,4150,-0.0005,0.0009,626484.0,166270.54
2009-06-04,150.61,150.61,149.91,150.25,4626,-0.0024,-0.0047,695056.5,180171.67
2009-06-05,150.25,150.25,150.25,150.25,0,0.0,0.0,0.0,180171.67
2009-06-08,150.25,150.25,150.25,150.25,0,0.0,0.0,0.0,180171.67
2009-06-09,150.25,150.25,150.25,150.25,0,0.0,0.0,0.0,180171.67
2009-06-10,150.25,150.25,150.25,150.25,0,0.0,0.0,0.0,180171.67
2009-06-11,150.25,150.25,150.25,150.25,0,0.0,0.0,0.0,180171.67
2009-06-12,150.25,150.25,150.25,150.25,0,0.0,0.0,0.0,149423.67
2009-06-15,150.37,150.37,150.37,150.13,540,-0.0016,-0.0008,81070.2,151045.07
2009-06-16,148.64,148.64,148.35,149.49,206,0.0057,-0.0043,30794.94,151660.97
2009-06-17,149.71,149.71,149.71,149.93,2000,0.0015,0.0029,299860.0,157658.17
2009-06-18,150.0,150.0,150.0,149.84,1000,-0.0011,-0.0006,149840.0,160654.97
2009-06-19,149.2,149.2,149.2,149.96,5000,0.0051,0.0008,749800.0,145326.97
2009-06-22,150.04,150.04,150.04,150.1,1000,0.0004,0.0009,150100.0,148328.97
2009-06-23,150.64,150.64,150.64,151.07,1000,0.0029,0.0065,151070.0,151350.37
2009-06-24,151.07,151.07,151.07,151.07,0,0.0,0.0,0.0,151350.37
2009-06-25,149.67,149.78,149.67,149.94,2000,0.0018,-0.0075,299880.0,110342.05
2009-06-26,150.58,150.75,150.58,151.12,33418,0.0036,0.0079,5050128.16,211344.61
2009-06-29,151.12,151.12,151.12,151.12,0,0.0,0.0,0.0,211344.61
2009-06-30,151.12,151.12,151.12,151.12,0,0.0,0.0,0.0,211344.61
2009-07-01,151.12,151.12,151.12,151.12,0,0.0,0.0,0.0,211344.61
2009-07-02,151.12,151.12,151.12,151.12,0,0.0,0.0,0.0,211344.61
2009-07-03,151.12,151.12,151.12,151.12,0,0.0,0.0,0.0,211344.61
2009-07-06,151.12,151.12,151.12,151.12,0,0.0,0.0,0.0,211344.61
2009-07-07,153.85,153.85,153.85,153.71,163,-0.0009,0.0171,25054.73,211845.71
2009-07-08,152.1,152.17,152.1,152.62,2000,0.0034,-0.0071,305240.0,217950.51
2009-07-09,154.87,154.87,154.87,154.87,0,0.0,0.0147,0.0,217950.51
2009-07-10,155.44,155.44,155.44,155.78,1000,0.0022,0.0059,155780.0,221066.11
2009-07-13,153.77,153.77,153.77,153.42,1000,-0.0023,-0.0151,153420.0,224134.51
2009-07-14,153.42,153.42,153.42,153.42,0,0.0,0.0,0.0,224134.51
2009-07-15,153.42,153.42,153.42,153.42,0,0.0,0.0,0.0,224134.51
2009-07-16,152.75,152.75,152.75,153.16,15578,0.0027,-0.0017,2385926.48,271853.04
2009-07-17,153.16,153.16,153.16,153.16,0,0.0,0.0,0.0,271853.04
2009-07-20,153.16,153.16,153.16,153.16,0,0.0,0.0,0.0,271853.04
2009-07-21,152.88,152.88,152.88,153.52,520,0.0042,0.0024,79830.4,273449.64
2009-07-22,153.52,153.52,153.52,153.52,0,0.0,0.0,0.0,273449.64
2009-07-23,153.52,153.52,153.52,153.52,0,0.0,0.0,0.0,273449.64
2009-07-24,153.52,153.52,153.52,153.52,0,0.0,0.0,0.0,273449.64
2009-07-27,153.52,153.52,153.52,153.52,0,0.0,0.0,0.0,273449.64
2009-07-28,153.52,153.52,153.52,153.52,0,0.0,0.0,0.0,273449.64
2009-07-29,153.52,153.52,153.52,153.52,0,0.0,0.0,0.0,273449.64
2009-07-30,149.26,149.26,148.89,148.93,14309,-0.0022,-0.0299,2131039.37,316070.43
2009-07-31,150.39,150.39,150.39,150.74,2000,0.0023,0.0122,301480.0,322100.03
2009-08-03,150.74,150.74,150.74,150.74,0,0.0,0.0,0.0,322100.03
2009-08-04,150.74,150.74,150.74,150.74,0,0.0,0.0,0.0,322100.03
2009-08-05,150.74,150.74,150.74,150.74,0,0.0,0.0,0.0,294367.1
2009-08-06,152.93,152.93,152.93,152.93,0,0.0,0.0145,0.0,285428.9
2009-08-07,152.97,152.97,152.97,150.55,310,-0.0158,-0.0156,46670.5,283346.91
2009-08-11,150.57,150.57,150.57,150.57,0,0.0,0.0001,0.0,280387.11
2009-08-12,150.57,150.57,150.57,150.57,0,0.0,0.0,0.0,277370.51
2009-08-13,150.57,150.57,150.57,150.57,0,0.0,0.0,0.0,264840.83
2009-08-14,150.57,150.57,150.57,150.57,0,0.0,0.0,0.0,250939.7
2009-08-17,152.87,153.43,152.87,153.3,4069,0.0028,0.0181,623777.7,263415.25
2009-08-18,153.3,153.3,153.3,153.3,0,0.0,0.0,0.0,263415.25
2009-08-19,153.3,153.3,153.3,153.3,0,0.0,0.0,0.0,263415.25
2009-08-20,151.91,152.39,151.8,151.93,15171,0.0001,-0.0089,2304930.03,309513.85
