Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2010-11-10,0.25,0.32,0.25,0.25,252548000,0.0,,63137000.0,
2010-11-11,0.25,0.26,0.22,0.22,183492000,-0.12,-0.12,40368240.0,
2010-11-12,0.22,0.23,0.21,0.22,46017000,0.0,0.0,10123740.0,
2010-11-15,0.22,0.22,0.2,0.21,7870000,-0.0455,-0.0455,1652700.0,
2010-11-16,0.21,0.21,0.19,0.19,7901000,-0.0952,-0.0952,1501190.0,
2010-11-18,0.19,0.2,0.19,0.19,14676000,0.0,0.0,2788440.0,
2010-11-19,0.19,0.2,0.19,0.19,15114000,0.0,0.0,2871660.0,
2010-11-22,0.19,0.19,0.17,0.18,9514000,-0.0526,-0.0526,1712520.0,
2010-11-23,0.18,0.18,0.16,0.17,8443000,-0.0556,-0.0556,1435310.0,
2010-11-24,0.17,0.18,0.16,0.17,8323000,0.0,0.0,1414910.0,
2010-11-25,0.17,0.18,0.17,0.17,8520000,0.0,0.0,1448400.0,
2010-11-26,0.17,0.18,0.17,0.17,4244000,0.0,0.0,721480.0,
2010-11-29,0.17,0.17,0.16,0.17,3370000,0.0,0.0,572900.0,
2010-11-30,0.17,0.17,0.16,0.16,4143000,-0.0588,-0.0588,662880.0,
2010-12-01,0.16,0.17,0.16,0.17,5653000,0.0625,0.0625,961010.0,
2010-12-02,0.17,0.17,0.16,0.16,5147000,-0.0588,-0.0588,823520.0,
2010-12-03,0.17,0.17,0.16,0.16,3008000,-0.0588,0.0,481280.0,
2010-12-06,0.16,0.17,0.16,0.16,1104000,0.0,0.0,176640.0,
2010-12-07,0.16,0.17,0.16,0.17,2060000,0.0625,0.0625,350200.0,
2010-12-08,0.17,0.17,0.16,0.16,2444000,-0.0588,-0.0588,391040.0,
2010-12-09,0.17,0.19,0.17,0.19,19758000,0.1176,0.1875,3754020.0,
2010-12-10,0.19,0.19,0.18,0.18,8793000,-0.0526,-0.0526,1582740.0,
2010-12-13,0.19,0.19,0.18,0.18,3558000,-0.0526,0.0,640440.0,
2010-12-14,0.18,0.18,0.17,0.18,4565000,0.0,0.0,821700.0,
2010-12-15,0.18,0.18,0.17,0.17,3530000,-0.0556,-0.0556,600100.0,
2010-12-16,0.17,0.17,0.17,0.17,1546000,0.0,0.0,262820.0,
2010-12-17,0.17,0.17,0.17,0.17,1640000,0.0,0.0,278800.0,
2010-12-20,0.17,0.17,0.17,0.17,2155000,0.0,0.0,366350.0,
2010-12-21,0.17,0.17,0.17,0.17,3067000,0.0,0.0,521390.0,
2010-12-22,0.17,0.17,0.17,0.17,1040000,0.0,0.0,176800.0,
2010-12-23,0.17,0.17,0.17,0.17,427000,0.0,0.0,72590.0,
2010-12-24,0.17,0.17,0.17,0.17,0,0.0,0.0,0.0,
2010-12-27,0.17,0.17,0.17,0.17,947000,0.0,0.0,160990.0,
2010-12-28,0.17,0.18,0.17,0.18,2599000,0.0588,0.0588,467820.0,
2010-12-29,0.17,0.19,0.17,0.18,6582000,0.0588,0.0,1184760.0,
2010-12-30,0.17,0.17,0.17,0.17,1767000,0.0,-0.0556,300390.0,
2010-12-31,0.18,0.18,0.18,0.18,0,0.0,0.0588,0.0,
