Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2003-12-01,0.55,0.55,0.54,0.55,1151000.0,0.0,,633050.0,
2003-12-02,0.55,0.56,0.54,0.54,1240000.0,-0.0182,-0.0182,669600.0,
2003-12-03,0.53,0.54,0.53,0.54,312000.0,0.0189,0.0,168480.0,
2003-12-04,0.54,0.54,0.52,0.53,329000.0,-0.0185,-0.0185,174370.0,
2003-12-05,0.53,0.53,0.51,0.51,323000.0,-0.0377,-0.0377,164730.0,
2003-12-08,0.51,0.51,0.5,0.51,365000.0,0.0,0.0,186150.0,
2003-12-09,0.52,0.52,0.51,0.51,1114000.0,-0.0192,0.0,568140.0,
2003-12-10,0.5,0.51,0.5,0.5,414000.0,0.0,-0.0196,207000.0,
2003-12-11,0.51,0.51,0.51,0.51,207000.0,0.0,0.02,105570.0,
2003-12-12,0.52,0.52,0.51,0.51,614000.0,-0.0192,0.0,313140.0,
2003-12-15,0.52,0.54,0.52,0.54,1670000.0,0.0385,0.0588,901800.0,
2003-12-16,0.54,0.54,0.52,0.52,957000.0,-0.037,-0.037,497640.0,
2003-12-17,0.54,0.54,0.51,0.52,1508000.0,-0.037,0.0,784160.0,
2003-12-18,0.52,0.52,0.51,0.51,128000.0,-0.0192,-0.0192,65280.0,
2003-12-19,0.52,0.52,0.51,0.51,312000.0,-0.0192,0.0,159120.0,
2003-12-22,0.51,0.51,0.51,0.51,525000.0,0.0,0.0,267750.0,
2003-12-23,0.51,0.51,0.5,0.51,202000.0,0.0,0.0,103020.0,
2003-12-24,0.51,0.51,0.5,0.5,583000.0,-0.0196,-0.0196,291500.0,
2003-12-26,0.51,0.52,0.51,0.52,270000.0,0.0196,0.04,140400.0,
2003-12-29,0.51,0.54,0.51,0.54,825000.0,0.0588,0.0385,445500.0,
2003-12-30,0.54,0.54,0.53,0.54,1009000.0,0.0,0.0,544860.0,
2003-12-31,0.54,0.54,0.53,0.54,477000.0,0.0,0.0,257580.0,
2004-01-02,0.55,0.57,0.55,0.57,3477000.0,0.0364,0.0556,1981890.0,
2004-01-05,0.57,0.58,0.56,0.57,2733000.0,0.0,0.0,1557810.0,
2004-01-06,0.58,0.58,0.56,0.56,1496000.0,-0.0345,-0.0175,837760.0,
2004-01-07,0.56,0.58,0.56,0.58,4687000.0,0.0357,0.0357,2718460.0,
2004-01-08,0.58,0.59,0.56,0.57,3511000.0,-0.0172,-0.0172,2001270.0,
2004-01-09,0.58,0.59,0.57,0.57,5982000.0,-0.0172,0.0,3409740.0,
2004-01-12,0.57,0.57,0.56,0.56,1561000.0,-0.0175,-0.0175,874160.0,
2004-01-13,0.57,0.57,0.57,0.57,1673000.0,0.0,0.0179,953610.0,
2004-01-14,0.57,0.62,0.57,0.6,12594000.0,0.0526,0.0526,7556400.0,
2004-01-15,0.6,0.6,0.56,0.56,4555000.0,-0.0667,-0.0667,2550800.0,
2004-01-16,0.57,0.57,0.56,0.57,1280000.0,0.0,0.0179,729600.0,
2004-01-19,0.57,0.57,0.57,0.57,717000.0,0.0,0.0,408690.0,
2004-01-20,0.57,0.58,0.57,0.58,2024000.0,0.0175,0.0175,1173920.0,
2004-01-21,0.58,0.58,0.57,0.58,1543000.0,0.0,0.0,894940.0,
2004-01-26,0.6,0.61,0.59,0.59,8116000.0,-0.0167,0.0172,4788440.0,
2004-01-27,0.6,0.6,0.58,0.58,2394000.0,-0.0333,-0.0169,1388520.0,
2004-01-28,0.58,0.58,0.56,0.57,2066000.0,-0.0172,-0.0172,1177620.0,
2004-01-29,0.56,0.57,0.56,0.57,1391000.0,0.0179,0.0,792870.0,
2004-01-30,0.58,0.58,0.57,0.57,1469000.0,-0.0172,0.0,837330.0,
2004-02-03,0.57,0.57,0.56,0.57,2903000.0,0.0,0.0,1654710.0,
2004-02-04,0.57,0.63,0.57,0.62,35464000.0,0.0877,0.0877,21987680.0,
