Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2003-12-01,5.82,5.97,5.77,5.92,10221101.0,0.0172,,60508917.92,
2003-12-02,5.97,5.97,5.82,5.82,6367581.0,-0.0251,-0.0169,37059321.42,
2003-12-03,5.82,5.92,5.82,5.87,3066330.0,0.0086,0.0086,17999357.1,
2003-12-04,5.87,5.92,5.77,5.77,5168250.0,-0.017,-0.017,29820802.5,
2003-12-05,5.73,5.77,5.68,5.77,3132273.0,0.007,0.0,18073215.21,
2003-12-08,5.73,5.82,5.73,5.82,3404286.0,0.0157,0.0087,19812944.52,
2003-12-09,5.82,5.82,5.73,5.73,3189972.0,-0.0155,-0.0155,18278539.56,
2003-12-10,5.73,5.87,5.73,5.87,4912723.0,0.0244,0.0244,28837684.01,
2003-12-11,5.92,5.92,5.82,5.92,3907098.0,0.0,0.0085,23130020.16,
2003-12-12,5.92,5.97,5.77,5.82,5749369.0,-0.0169,-0.0169,33461327.58,
2003-12-15,5.87,5.92,5.77,5.82,7134164.0,-0.0085,0.0,41520834.48,
2003-12-16,5.77,5.77,5.73,5.77,7987296.0,0.0,-0.0086,46086697.92,
2003-12-17,5.77,5.77,5.63,5.68,15001939.0,-0.0156,-0.0156,85211013.52,
2003-12-18,5.68,5.73,5.63,5.68,13814973.0,0.0,0.0,78469046.64,
2003-12-19,5.68,5.73,5.63,5.73,7212471.0,0.0088,0.0088,41327458.83,
2003-12-22,5.73,5.73,5.68,5.73,9376212.0,0.0,0.0,53725694.76,
2003-12-23,5.73,5.73,5.68,5.73,3325979.0,0.0,0.0,19057859.67,
2003-12-24,5.68,5.73,5.68,5.73,1079809.0,0.0088,0.0,6187305.57,
2003-12-25,5.73,5.73,5.73,5.73,0.0,0.0,0.0,0.0,
2003-12-26,5.73,5.77,5.73,5.73,1030353.0,0.0,0.0,5903922.69,
2003-12-29,5.77,5.82,5.73,5.77,4146140.0,0.0,0.007,23923227.8,
2003-12-30,5.87,5.87,5.77,5.87,9957331.0,0.0,0.0173,58449532.97,
2003-12-31,5.87,5.87,5.87,5.87,1834028.0,0.0,0.0,10765744.36,
2004-01-01,5.87,5.87,5.87,5.87,0.0,0.0,0.0,0.0,
2004-01-02,5.87,5.97,5.87,5.92,7286656.0,0.0085,0.0085,43137003.52,
2004-01-05,5.92,5.97,5.87,5.97,7805954.0,0.0084,0.0084,46601545.38,
2004-01-06,5.97,6.02,5.87,5.92,13303917.0,-0.0084,-0.0084,78759188.64,
2004-01-07,5.92,6.07,5.92,6.07,14124078.0,0.0253,0.0253,85733153.46,
2004-01-08,6.07,6.11,5.97,5.97,10324137.0,-0.0165,-0.0165,61635097.89,
