Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2011-11-03,1.05,1.18,1.04,1.13,35566000,0.0762,,40189580.0,
2011-11-04,1.16,1.3,1.16,1.26,19775000,0.0862,0.115,24916500.0,
2011-11-08,1.29,1.32,1.25,1.28,5123000,-0.0078,0.0159,6557440.0,
2011-11-09,1.3,1.3,1.23,1.25,1652000,-0.0385,-0.0234,2065000.0,
2011-11-10,1.22,1.23,1.19,1.22,3096000,0.0,-0.024,3777120.0,
2011-11-11,1.2,1.23,1.19,1.2,2214000,0.0,-0.0164,2656800.0,
2011-11-14,1.22,1.26,1.21,1.25,8097000,0.0246,0.0417,10121250.0,
2011-11-15,1.23,1.24,1.22,1.23,2136000,0.0,-0.016,2627280.0,
2011-11-16,1.24,1.24,1.2,1.21,1832000,-0.0242,-0.0163,2216720.0,
2011-11-17,1.2,1.22,1.2,1.21,1183000,0.0083,0.0,1431430.0,
2011-11-18,1.2,1.21,1.2,1.2,394000,0.0,-0.0083,472800.0,
2011-11-21,1.2,1.2,1.15,1.15,1644000,-0.0417,-0.0417,1890600.0,
2011-11-22,1.15,1.19,1.15,1.18,633000,0.0261,0.0261,746940.0,
2011-11-23,1.15,1.16,1.15,1.15,225000,0.0,-0.0254,258750.0,
2011-11-24,1.15,1.17,1.15,1.17,564000,0.0174,0.0174,659880.0,
2011-11-25,1.17,1.18,1.15,1.16,196000,-0.0085,-0.0085,227360.0,
2011-11-28,1.17,1.17,1.15,1.17,66000,0.0,0.0086,77220.0,
2011-11-29,1.15,1.16,1.15,1.16,718000,0.0087,-0.0085,832880.0,
2011-11-30,1.15,1.15,1.15,1.15,1379000,0.0,-0.0086,1585850.0,
2011-12-01,1.16,1.19,1.16,1.18,197000,0.0172,0.0261,232460.0,
2011-12-02,1.19,1.19,1.16,1.18,18000,-0.0084,0.0,21240.0,
2011-12-05,1.17,1.19,1.17,1.17,65000,0.0,-0.0085,76050.0,
2011-12-06,1.17,1.22,1.17,1.19,106000,0.0171,0.0171,126140.0,
2011-12-07,1.18,1.25,1.18,1.24,136000,0.0508,0.042,168640.0,
2011-12-08,1.22,1.22,1.2,1.21,28000,-0.0082,-0.0242,33880.0,
2011-12-09,1.2,1.22,1.19,1.22,77000,0.0167,0.0083,93940.0,
2011-12-12,1.22,1.23,1.22,1.23,75000,0.0082,0.0082,92250.0,
2011-12-13,1.23,1.23,1.21,1.21,84000,-0.0163,-0.0163,101640.0,
2011-12-14,1.21,1.23,1.21,1.23,40000,0.0165,0.0165,49200.0,
2011-12-15,1.22,1.22,1.21,1.22,40000,0.0,-0.0081,48800.0,
2011-12-16,1.22,1.24,1.22,1.24,21000,0.0164,0.0164,26040.0,
2011-12-19,1.24,1.24,1.24,1.24,0,0.0,0.0,0.0,
2011-12-20,1.24,1.24,1.24,1.24,35000,0.0,0.0,43400.0,
2011-12-21,1.24,1.24,1.24,1.24,26000,0.0,0.0,32240.0,
2011-12-22,1.24,1.25,1.24,1.25,120000,0.0081,0.0081,150000.0,
2011-12-23,1.24,1.24,1.24,1.24,66000,0.0,-0.008,81840.0,
2011-12-27,1.24,1.25,1.24,1.25,73000,0.0081,0.0081,91250.0,
2011-12-28,1.25,1.25,1.25,1.25,0,0.0,0.0,0.0,
2011-12-29,1.24,1.25,1.23,1.25,201000,0.0081,0.0,251250.0,
2011-12-30,1.24,1.25,1.24,1.25,38000,0.0081,0.0,47500.0,
2012-01-03,1.25,1.25,1.24,1.25,281000,0.0,0.0,351250.0,
2012-01-04,1.25,1.26,1.25,1.25,102000,0.0,0.0,127500.0,
2012-01-05,1.25,1.26,1.25,1.26,159000,0.008,0.008,200340.0,
2012-01-06,1.26,1.27,1.26,1.26,45000,0.0,0.0,56700.0,
2012-01-09,1.26,1.26,1.26,1.26,0,0.0,0.0,0.0,
2012-01-10,1.26,1.26,1.26,1.26,0,0.0,0.0,0.0,
2012-01-11,1.26,1.27,1.26,1.27,125000,0.0079,0.0079,158750.0,
2012-01-12,1.27,1.31,1.27,1.31,230000,0.0315,0.0315,301300.0,
2012-01-13,1.31,1.32,1.3,1.32,184000,0.0076,0.0076,242880.0,
2012-01-16,1.3,1.31,1.3,1.31,133000,0.0077,-0.0076,174230.0,2133842.2
2012-01-17,1.32,1.34,1.32,1.33,187000,0.0076,0.0153,248710.0,1335024.8
2012-01-18,1.33,1.37,1.33,1.37,204000,0.0301,0.0301,279480.0,842284.4
2012-01-19,1.37,1.4,1.37,1.4,9000,0.0219,0.0219,12600.0,711387.6
2012-01-20,1.4,1.5,1.4,1.48,234000,0.0571,0.0571,346320.0,677014.0
2012-01-25,1.43,1.46,1.43,1.45,69000,0.014,-0.0203,100050.0,603472.6
2012-01-26,1.45,1.5,1.44,1.49,240000,0.0276,0.0276,357600.0,557488.6
2012-01-27,1.49,1.49,1.43,1.49,171000,0.0,0.0,254790.0,360159.4
2012-01-30,1.49,1.49,1.49,1.49,0,0.0,0.0,0.0,307613.8
2012-01-31,1.48,1.49,1.42,1.48,35000,0.0,-0.0067,51800.0,264315.4
2012-02-01,1.48,1.49,1.48,1.48,4000,0.0,0.0,5920.0,235805.2
2012-02-02,1.49,1.5,1.48,1.5,1166000,0.0067,0.0135,1749000.0,261329.2
2012-02-03,1.52,1.52,1.5,1.5,54000,-0.0132,0.0,81000.0,225137.2
2012-02-06,1.5,1.54,1.5,1.54,100000,0.0267,0.0267,154000.0,213278.4
2012-02-07,1.54,1.55,1.54,1.54,9013000,0.0,0.0,13880020.0,485703.8
2012-02-08,1.53,1.54,1.52,1.52,166000,-0.0065,-0.013,252320.0,477552.6
2012-02-09,1.53,1.53,1.53,1.53,5000,0.0,0.0066,7650.0,473158.4
2012-02-10,1.53,1.53,1.35,1.36,244000,-0.1111,-0.1111,331840.0,478250.8
2012-02-13,1.38,1.46,1.38,1.46,247000,0.058,0.0735,360620.0,468805.6
2012-02-14,1.46,1.58,1.46,1.52,240000,0.0411,0.0411,364800.0,444384.6
2012-02-15,1.55,1.55,1.51,1.52,397000,-0.0194,0.0,603440.0,451804.2
2012-02-16,1.52,1.52,1.52,1.52,0,0.0,0.0,0.0,451379.4
2012-02-17,1.45,1.52,1.45,1.52,6000,0.0483,0.0,9120.0,450040.8
2012-02-20,1.48,1.51,1.48,1.5,22000,0.0135,-0.0132,33000.0,448178.0
2012-02-21,1.48,1.5,1.48,1.5,35000,0.0135,0.0,52500.0,445855.2
2012-02-22,1.48,1.48,1.48,1.48,165000,0.0,-0.0133,244200.0,450061.6
2012-02-23,1.46,1.46,1.45,1.45,43000,-0.0068,-0.0203,62350.0,449429.8
2012-02-24,1.46,1.46,1.45,1.45,181000,-0.0068,0.0,262450.0,452833.8
2012-02-27,1.45,1.45,1.45,1.45,76000,0.0,0.0,110200.0,453005.0
2012-02-28,1.43,1.43,1.43,1.43,170000,0.0,-0.0138,243100.0,456883.0
2012-02-29,1.43,1.43,1.43,1.43,25000,0.0,0.0,35750.0,456622.0
2012-03-01,1.45,1.45,1.45,1.45,690000,0.0,0.014,1000500.0,476111.2
2012-03-02,1.45,1.45,1.45,1.45,200000,0.0,0.0,290000.0,481911.2
2012-03-05,1.45,1.45,1.45,1.45,1051000,0.0,0.0,1523950.0,511522.2
2012-03-06,1.4,1.45,1.4,1.45,201000,0.0357,0.0,291450.0,516706.4
2012-03-07,1.43,1.43,1.43,1.43,6000,0.0,-0.0138,8580.0,513878.0
2012-03-08,1.45,1.45,1.44,1.44,55000,-0.0069,0.007,79200.0,513825.2
2012-03-09,1.4,1.4,1.4,1.4,330000,0.0,-0.0278,462000.0,521240.2
