Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2003-12-01,0.27,0.28,0.26,0.27,4961000.0,0.0,,1339470.0,
2003-12-02,0.28,0.28,0.26,0.27,4070000.0,-0.0357,0.0,1098900.0,
2003-12-03,0.27,0.27,0.27,0.27,1290000.0,0.0,0.0,348300.0,
2003-12-04,0.27,0.27,0.26,0.27,600000.0,0.0,0.0,162000.0,
2003-12-05,0.26,0.26,0.26,0.26,957000.0,0.0,-0.037,248820.0,
2003-12-08,0.26,0.26,0.25,0.25,1305000.0,-0.0385,-0.0385,326250.0,
2003-12-09,0.26,0.26,0.26,0.26,4737000.0,0.0,0.04,1231620.0,
2003-12-10,0.26,0.26,0.25,0.25,1072000.0,-0.0385,-0.0385,268000.0,
2003-12-11,0.26,0.27,0.25,0.26,5386000.0,0.0,0.04,1400360.0,
2003-12-12,0.27,0.28,0.26,0.26,3182000.0,-0.037,0.0,827320.0,
2003-12-15,0.28,0.28,0.27,0.28,5921000.0,0.0,0.0769,1657880.0,
2003-12-16,0.28,0.28,0.27,0.27,695000.0,-0.0357,-0.0357,187650.0,
2003-12-17,0.27,0.27,0.26,0.26,3620000.0,-0.037,-0.037,941200.0,
2003-12-18,0.26,0.26,0.26,0.26,1410000.0,0.0,0.0,366600.0,
2003-12-19,0.26,0.27,0.26,0.26,2759000.0,0.0,0.0,717340.0,
2003-12-22,0.26,0.26,0.26,0.26,660000.0,0.0,0.0,171600.0,
2003-12-23,0.26,0.26,0.26,0.26,446000.0,0.0,0.0,115960.0,
2003-12-24,0.26,0.26,0.26,0.26,335000.0,0.0,0.0,87100.0,
2003-12-25,0.26,0.26,0.26,0.26,0.0,0.0,0.0,0.0,
2003-12-26,0.26,0.27,0.26,0.26,918000.0,0.0,0.0,238680.0,
2003-12-29,0.26,0.28,0.26,0.27,1278000.0,0.0385,0.0385,345060.0,
2003-12-30,0.28,0.28,0.28,0.28,3536000.0,0.0,0.037,990080.0,
2003-12-31,0.28,0.28,0.28,0.28,360000.0,0.0,0.0,100800.0,
2004-01-01,0.28,0.28,0.28,0.28,0.0,0.0,0.0,0.0,
2004-01-02,0.28,0.29,0.28,0.29,6798000.0,0.0357,0.0357,1971420.0,
