Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2012-07-25,1.22,1.25,1.18,1.23,100968000,0.0082,,124190640.0,
2012-07-26,1.23,1.27,1.23,1.25,38367000,0.0163,0.0163,47958750.0,
2012-07-27,1.27,1.29,1.27,1.28,24456000,0.0079,0.024,31303680.0,
2012-07-30,1.29,1.3,1.26,1.29,14678000,0.0,0.0078,18934620.0,
2012-07-31,1.29,1.29,1.27,1.28,5074000,-0.0078,-0.0078,6494720.0,
2012-08-01,1.28,1.28,1.26,1.26,5078000,-0.0156,-0.0156,6398280.0,
2012-08-02,1.26,1.26,1.25,1.25,7144000,-0.0079,-0.0079,8930000.0,
2012-08-03,1.25,1.25,1.24,1.25,5518000,0.0,0.0,6897500.0,
2012-08-06,1.25,1.28,1.25,1.26,15831000,0.008,0.008,19947060.0,
2012-08-07,1.26,1.28,1.25,1.25,26799000,-0.0079,-0.0079,33498750.0,
2012-08-08,1.26,1.26,1.25,1.25,5215000,-0.0079,0.0,6518750.0,
2012-08-10,1.25,1.25,1.25,1.25,1920000,0.0,0.0,2400000.0,
2012-08-13,1.25,1.26,1.23,1.23,3906000,-0.016,-0.016,4804380.0,
2012-08-14,1.23,1.25,1.23,1.24,2570000,0.0081,0.0081,3186800.0,
2012-08-15,1.25,1.25,1.24,1.24,1825000,-0.008,0.0,2263000.0,
2012-08-16,1.24,1.25,1.24,1.24,1990000,0.0,0.0,2467600.0,
2012-08-17,1.24,1.25,1.24,1.24,1585000,0.0,0.0,1965400.0,
2012-08-21,1.24,1.25,1.24,1.24,1098000,0.0,0.0,1361520.0,
2012-08-22,1.24,1.25,1.24,1.24,2383000,0.0,0.0,2954920.0,
2012-08-23,1.25,1.26,1.25,1.25,5102000,0.0,0.0081,6377500.0,
2012-08-24,1.25,1.25,1.24,1.24,738000,-0.008,-0.008,915120.0,
2012-08-27,1.25,1.25,1.24,1.24,833000,-0.008,0.0,1032920.0,
2012-08-28,1.25,1.25,1.24,1.24,495000,-0.008,0.0,613800.0,
2012-08-29,1.26,1.28,1.26,1.27,17428000,0.0079,0.0242,22133560.0,
2012-08-30,1.27,1.28,1.25,1.25,3116000,-0.0157,-0.0157,3895000.0,
2012-08-31,1.25,1.25,1.25,1.25,1024000,0.0,0.0,1280000.0,
2012-09-03,1.25,1.26,1.25,1.25,829000,0.0,0.0,1036250.0,
2012-09-04,1.25,1.25,1.25,1.25,742000,0.0,0.0,927500.0,
2012-09-05,1.25,1.25,1.24,1.24,1197000,-0.008,-0.008,1484280.0,
2012-09-06,1.24,1.24,1.24,1.24,1564000,0.0,0.0,1939360.0,
2012-09-07,1.25,1.25,1.24,1.25,1549000,0.0,0.0081,1936250.0,
2012-09-10,1.25,1.25,1.25,1.25,581000,0.0,0.0,726250.0,
2012-09-11,1.25,1.25,1.24,1.25,2203000,0.0,0.0,2753750.0,
2012-09-12,1.25,1.25,1.24,1.25,1777000,0.0,0.0,2221250.0,
2012-09-13,1.25,1.25,1.24,1.25,1852000,0.0,0.0,2315000.0,
2012-09-14,1.31,1.32,1.29,1.3,10540000,-0.0076,0.04,13702000.0,
2012-09-17,1.3,1.32,1.29,1.29,3315000,-0.0077,-0.0077,4276350.0,
2012-09-18,1.29,1.3,1.28,1.28,1359000,-0.0078,-0.0078,1739520.0,
2012-09-19,1.28,1.29,1.28,1.29,1612000,0.0078,0.0078,2079480.0,
2012-09-20,1.29,1.29,1.28,1.28,2013000,-0.0078,-0.0078,2576640.0,
2012-09-21,1.28,1.31,1.28,1.3,8830000,0.0156,0.0156,11479000.0,
2012-09-24,1.3,1.3,1.29,1.29,3385000,-0.0077,-0.0077,4366650.0,
2012-09-25,1.29,1.29,1.28,1.28,812000,-0.0078,-0.0078,1039360.0,
