Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2004-05-06,0.21,0.22,0.19,0.19,40474137.0,-0.0952,,7690086.03,
2004-05-07,0.19,0.19,0.18,0.19,10930359.0,0.0,0.0,2076768.21,
2004-05-10,0.19,0.19,0.17,0.18,2264727.0,-0.0526,-0.0526,407650.86,
2004-05-11,0.17,0.19,0.17,0.19,4756296.0,0.1176,0.0556,903696.24,
2004-05-12,0.19,0.19,0.17,0.18,3684958.0,-0.0526,-0.0526,663292.44,
2004-05-13,0.18,0.18,0.17,0.17,2966213.0,-0.0556,-0.0556,504256.21,
2004-05-14,0.17,0.17,0.16,0.16,3239903.0,-0.0588,-0.0588,518384.48,
2004-05-17,0.16,0.16,0.15,0.15,2290616.0,-0.0625,-0.0625,343592.4,
2004-05-18,0.15,0.15,0.15,0.15,1317905.0,0.0,0.0,197685.75,
2004-05-19,0.15,0.15,0.15,0.15,1750632.0,0.0,0.0,262594.8,
2004-05-20,0.15,0.15,0.13,0.13,1485572.0,-0.1333,-0.1333,193124.36,
2004-05-21,0.13,0.15,0.13,0.14,1112021.0,0.0769,0.0769,155682.94,
2004-05-24,0.14,0.14,0.14,0.14,369852.0,0.0,0.0,51779.28,
2004-05-25,0.14,0.15,0.13,0.13,1209416.0,-0.0714,-0.0714,157224.08,
2004-05-26,0.14,0.14,0.14,0.14,913534.0,0.0,0.0769,127894.76,
2004-05-27,0.14,0.14,0.14,0.14,346428.0,0.0,0.0,48499.92,
2004-05-28,0.14,0.14,0.13,0.14,363687.0,0.0,0.0,50916.18,
2004-05-31,0.13,0.14,0.13,0.14,216979.0,0.0769,0.0,30377.06,
2004-06-01,0.14,0.14,0.14,0.14,398207.0,0.0,0.0,55748.98,
2004-06-02,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,
2004-06-03,0.14,0.14,0.13,0.14,210815.0,0.0,0.0,29514.1,
2004-06-04,0.13,0.13,0.13,0.13,61642.0,0.0,-0.0714,8013.46,
2004-06-07,0.14,0.14,0.13,0.13,99860.0,-0.0714,0.0,12981.8,
2004-06-08,0.13,0.14,0.13,0.14,200952.0,0.0769,0.0769,28133.28,
2004-06-09,0.14,0.14,0.13,0.13,246568.0,-0.0714,-0.0714,32053.84,
2004-06-10,0.13,0.13,0.13,0.13,32053.0,0.0,0.0,4166.89,
2004-06-11,0.14,0.14,0.13,0.13,49313.0,-0.0714,0.0,6410.69,
2004-06-14,0.13,0.13,0.13,0.13,123284.0,0.0,0.0,16026.92,
2004-06-15,0.13,0.13,0.13,0.13,123284.0,0.0,0.0,16026.92,
2004-06-16,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,
2004-06-17,0.13,0.13,0.13,0.13,197254.0,0.0,0.0,25643.02,
2004-06-18,0.13,0.13,0.13,0.13,246568.0,0.0,0.0,32053.84,
2004-06-21,0.13,0.13,0.13,0.13,73970.0,0.0,0.0,9616.1,
2004-06-22,0.13,0.13,0.12,0.12,292183.0,-0.0769,-0.0769,35061.96,
2004-06-23,0.13,0.13,0.13,0.13,40683.0,0.0,0.0833,5288.79,
2004-06-24,0.13,0.13,0.13,0.13,197254.0,0.0,0.0,25643.02,
2004-06-25,0.13,0.13,0.13,0.13,78901.0,0.0,0.0,10257.13,
2004-06-28,0.13,0.13,0.13,0.13,166433.0,0.0,0.0,21636.29,
2004-06-29,0.13,0.14,0.13,0.14,154105.0,0.0769,0.0769,21574.7,
2004-06-30,0.14,0.14,0.14,0.14,51779.0,0.0,0.0,7249.06,
2004-07-01,0.14,0.14,0.14,0.14,28355.0,0.0,0.0,3969.7,
2004-07-02,0.14,0.14,0.13,0.13,61642.0,-0.0714,-0.0714,8013.46,
2004-07-05,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,
2004-07-06,0.14,0.14,0.14,0.14,202185.0,0.0,0.0769,28305.9,
2004-07-07,0.14,0.14,0.13,0.13,88764.0,-0.0714,-0.0714,11539.32,
2004-07-08,0.14,0.14,0.14,0.14,12328.0,0.0,0.0769,1725.92,
2004-07-09,0.13,0.13,0.13,0.13,82600.0,0.0,-0.0714,10738.0,
2004-07-12,0.14,0.14,0.13,0.13,88764.0,-0.0714,0.0,11539.32,
2004-07-13,0.13,0.13,0.13,0.13,154105.0,0.0,0.0,20033.65,
2004-07-14,0.13,0.13,0.13,0.13,162734.0,0.0,0.0,21155.42,298072.55
2004-07-15,0.13,0.13,0.13,0.13,160269.0,0.0,0.0,20834.97,144687.53
2004-07-16,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,103152.16
2004-07-19,0.13,0.13,0.13,0.13,191090.0,0.0,0.0,24841.7,95495.98
2004-07-20,0.13,0.13,0.13,0.13,94928.0,0.0,0.0,12340.64,77668.87
2004-07-21,0.13,0.13,0.13,0.13,146707.0,0.0,0.0,19071.91,64784.46
2004-07-22,0.13,0.13,0.13,0.13,228075.0,0.0,0.0,29649.75,55292.33
2004-07-23,0.13,0.13,0.13,0.13,44382.0,0.0,0.0,5769.66,45040.03
2004-07-26,0.13,0.13,0.13,0.13,6164.0,0.0,0.0,801.32,38184.21
2004-07-27,0.13,0.13,0.13,0.13,170131.0,0.0,0.0,22117.03,34672.84
2004-07-28,0.13,0.13,0.13,0.13,61642.0,0.0,0.0,8013.46,29581.21
2004-07-29,0.13,0.13,0.13,0.13,75203.0,0.0,0.0,9776.39,25914.25
