Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2003-12-01,2.64,2.66,2.64,2.66,77000.0,0.0076,,204820.0,
2003-12-02,2.66,2.67,2.63,2.63,47000.0,-0.0113,-0.0113,123610.0,
2003-12-03,2.63,2.65,2.63,2.65,55000.0,0.0076,0.0076,145750.0,
2003-12-04,2.66,2.68,2.66,2.68,92000.0,0.0075,0.0113,246560.0,
2003-12-05,2.68,2.68,2.65,2.65,22000.0,-0.0112,-0.0112,58300.0,
2003-12-08,2.63,2.63,2.63,2.63,6000.0,0.0,-0.0075,15780.0,
2003-12-09,2.63,2.66,2.63,2.64,134000.0,0.0038,0.0038,353760.0,
2003-12-10,2.63,2.63,2.57,2.6,414000.0,-0.0114,-0.0152,1076400.0,
2003-12-11,2.58,2.61,2.58,2.6,172000.0,0.0078,0.0,447200.0,
2003-12-12,2.6,2.6,2.58,2.58,112000.0,-0.0077,-0.0077,288960.0,
2003-12-15,2.58,2.61,2.58,2.58,336000.0,0.0,0.0,866880.0,
2003-12-16,2.57,2.58,2.56,2.56,145000.0,-0.0039,-0.0078,371200.0,
2003-12-17,2.58,2.58,2.52,2.52,526000.0,-0.0233,-0.0156,1325520.0,
2003-12-18,2.52,2.54,2.52,2.52,150000.0,0.0,0.0,378000.0,
2003-12-19,2.53,2.55,2.53,2.54,55000.0,0.004,0.0079,139700.0,
2003-12-22,2.54,2.57,2.52,2.52,186000.0,-0.0079,-0.0079,468720.0,
2003-12-23,2.51,2.52,2.51,2.52,111000.0,0.004,0.0,279720.0,
2003-12-24,2.52,2.53,2.52,2.53,78000.0,0.004,0.004,197340.0,
2003-12-26,2.53,2.55,2.53,2.55,74000.0,0.0079,0.0079,188700.0,
2003-12-29,2.58,2.61,2.58,2.61,208000.0,0.0116,0.0235,542880.0,
2003-12-30,2.63,2.64,2.61,2.61,142000.0,-0.0076,0.0,370620.0,
2003-12-31,2.63,2.63,2.63,2.63,68000.0,0.0,0.0077,178840.0,
2004-01-02,2.64,2.67,2.64,2.67,177000.0,0.0114,0.0152,472590.0,
2004-01-05,2.68,2.69,2.66,2.66,474000.0,-0.0075,-0.0037,1260840.0,
2004-01-06,2.68,2.71,2.62,2.63,295000.0,-0.0187,-0.0113,775850.0,
2004-01-07,2.66,2.69,2.66,2.69,120000.0,0.0113,0.0228,322800.0,
2004-01-08,2.69,2.7,2.65,2.66,179000.0,-0.0112,-0.0112,476140.0,
2004-01-09,2.66,2.67,2.65,2.65,220000.0,-0.0038,-0.0038,583000.0,
2004-01-12,2.65,2.65,2.63,2.63,105000.0,-0.0075,-0.0075,276150.0,
2004-01-13,2.63,2.71,2.63,2.71,496000.0,0.0304,0.0304,1344160.0,
2004-01-14,2.71,2.74,2.7,2.71,369000.0,0.0,0.0,999990.0,
2004-01-15,2.73,2.73,2.68,2.68,310000.0,-0.0183,-0.0111,830800.0,
2004-01-16,2.7,2.7,2.69,2.69,134000.0,-0.0037,0.0037,360460.0,
2004-01-19,2.69,2.7,2.69,2.7,44000.0,0.0037,0.0037,118800.0,
