Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2013-07-24,0.98,1.0,0.98,0.99,121952000,0.0102,,120732480.0,
2013-07-25,0.99,0.99,0.98,0.98,43628000,-0.0101,-0.0101,42755440.0,
2013-07-26,0.99,0.99,0.99,0.99,17029000,0.0,0.0102,16858710.0,
2013-07-29,0.99,1.0,0.99,0.99,18717000,0.0,0.0,18529830.0,
2013-07-30,0.99,0.99,0.99,0.99,6068000,0.0,0.0,6007320.0,
2013-07-31,0.99,0.99,0.98,0.98,11249000,-0.0101,-0.0101,11024020.0,
2013-08-01,0.98,0.99,0.98,0.99,8562000,0.0102,0.0102,8476380.0,
2013-08-02,0.99,1.0,0.99,0.99,19628000,0.0,0.0,19431720.0,
2013-08-05,0.99,0.99,0.99,0.99,12673000,0.0,0.0,12546270.0,
2013-08-06,0.99,0.99,0.99,0.99,2890000,0.0,0.0,2861100.0,
2013-08-07,0.99,0.99,0.98,0.99,7343000,0.0,0.0,7269570.0,
2013-08-12,0.99,0.99,0.99,0.99,706000,0.0,0.0,698940.0,
2013-08-13,0.99,0.99,0.98,0.99,3071000,0.0,0.0,3040290.0,
2013-08-14,0.99,0.99,0.98,0.99,1181000,0.0,0.0,1169190.0,
2013-08-15,0.99,0.99,0.98,0.98,2540000,-0.0101,-0.0101,2489200.0,
2013-08-16,0.98,0.99,0.98,0.98,4377000,0.0,0.0,4289460.0,
2013-08-19,0.97,0.98,0.96,0.96,2769000,-0.0103,-0.0204,2658240.0,
2013-08-20,0.97,0.98,0.96,0.96,1456000,-0.0103,0.0,1397760.0,
2013-08-21,0.96,0.97,0.94,0.94,7036000,-0.0208,-0.0208,6613840.0,
2013-08-22,0.94,0.95,0.94,0.95,5357000,0.0106,0.0106,5089150.0,
2013-08-23,0.95,0.96,0.95,0.95,2032000,0.0,0.0,1930400.0,
2013-08-26,0.96,0.96,0.95,0.95,2933000,-0.0104,0.0,2786350.0,
