Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2020-03-05,0.08,0.08,0.08,0.08,5914800,0.0,,473184.0,
2020-03-06,0.08,0.08,0.08,0.08,105000,0.0,0.0,8400.0,
2020-03-09,0.08,0.08,0.08,0.08,1350000,0.0,0.0,108000.0,
2020-03-10,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2020-03-11,0.08,0.08,0.08,0.08,2922000,0.0,0.0,233760.0,
2020-03-12,0.08,0.08,0.08,0.08,780300,0.0,0.0,62424.0,
2020-03-13,0.08,0.08,0.08,0.08,90000,0.0,0.0,7200.0,
2020-03-16,0.08,0.09,0.08,0.09,3201000,0.125,0.125,288090.0,
2020-03-17,0.08,0.08,0.08,0.08,903300,0.0,-0.1111,72264.0,
2020-03-18,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2020-03-19,0.08,0.08,0.08,0.08,450000,0.0,0.0,36000.0,
2020-03-20,0.08,0.08,0.08,0.08,360000,0.0,0.0,28800.0,
2020-03-23,0.08,0.08,0.08,0.08,1821300,0.0,0.0,145704.0,
2020-03-24,0.08,0.08,0.08,0.08,300000,0.0,0.0,24000.0,
2020-03-25,0.08,0.08,0.08,0.08,60300,0.0,0.0,4824.0,
2020-03-26,0.08,0.08,0.08,0.08,450000,0.0,0.0,36000.0,
2020-03-27,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2020-03-30,0.08,0.08,0.08,0.08,2250000,0.0,0.0,180000.0,
2020-03-31,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2020-04-01,0.08,0.08,0.08,0.08,300000,0.0,0.0,24000.0,
2020-04-02,0.08,0.08,0.08,0.08,330000,0.0,0.0,26400.0,
2020-04-03,0.08,0.08,0.08,0.08,645000,0.0,0.0,51600.0,
2020-04-06,0.08,0.09,0.08,0.08,3285000,0.0,0.0,262800.0,
2020-04-07,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2020-04-08,0.08,0.08,0.08,0.08,210000,0.0,0.0,16800.0,
2020-04-09,0.08,0.08,0.08,0.08,1050000,0.0,0.0,84000.0,
2020-04-13,0.08,0.08,0.08,0.08,300000,0.0,0.0,24000.0,
2020-04-14,0.08,0.08,0.08,0.08,450000,0.0,0.0,36000.0,
2020-04-15,0.08,0.08,0.08,0.08,810000,0.0,0.0,64800.0,
2020-04-16,0.08,0.08,0.08,0.08,90000,0.0,0.0,7200.0,
2020-04-17,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2020-04-20,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2020-04-21,0.08,0.08,0.08,0.08,150000,0.0,0.0,12000.0,
2020-04-22,0.08,0.08,0.08,0.08,630000,0.0,0.0,50400.0,
2020-04-23,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2020-04-24,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2020-04-27,0.08,0.08,0.08,0.08,60000,0.0,0.0,4800.0,
2020-04-28,0.08,0.08,0.08,0.08,330000,0.0,0.0,26400.0,
2020-04-29,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2020-04-30,0.08,0.08,0.08,0.08,147300,0.0,0.0,11784.0,
2020-05-04,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2020-05-05,0.08,0.08,0.08,0.08,450000,0.0,0.0,36000.0,
2020-05-06,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2020-05-08,0.08,0.08,0.08,0.08,120000,0.0,0.0,9600.0,
2020-05-11,0.08,0.08,0.08,0.08,450000,0.0,0.0,36000.0,
2020-05-12,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2020-05-13,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2020-05-14,0.08,0.08,0.08,0.08,120000,0.0,0.0,9600.0,
2020-05-15,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,
2020-05-18,0.08,0.08,0.08,0.08,450000,0.0,0.0,36000.0,50776.68
2020-05-19,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,41313.0
2020-05-20,0.08,0.08,0.08,0.08,30000,0.0,0.0,2400.0,41193.0
2020-05-21,0.08,0.08,0.08,0.08,30000,0.0,0.0,2400.0,39081.0
2020-05-22,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,39081.0
2020-05-26,0.08,0.08,0.08,0.08,12000,0.0,0.0,960.0,34425.0
2020-05-27,0.08,0.08,0.08,0.08,45000,0.0,0.0,3600.0,33248.52
2020-05-28,0.08,0.08,0.08,0.08,30300,0.0,0.0,2424.0,33153.0
2020-05-29,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,27391.2
2020-06-01,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,25945.92
2020-06-02,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,25945.92
2020-06-03,0.07,0.07,0.07,0.07,30000,0.0,-0.125,2100.0,25267.92
2020-06-04,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,24691.92
2020-06-05,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,21777.84
2020-06-08,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,21297.84
2020-06-09,0.08,0.08,0.08,0.08,6000,0.0,0.1429,480.0,21210.96
2020-06-10,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,20490.96
2020-06-11,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,20490.96
2020-06-12,0.08,0.08,0.08,0.08,90000,0.0,0.0,7200.0,17034.96
2020-06-15,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,17034.96
2020-06-16,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,16554.96
2020-06-17,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,16026.96
2020-06-18,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,14994.96
2020-06-19,0.07,0.07,0.07,0.07,30000,0.0,-0.125,2100.0,9780.96
2020-06-22,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,9780.96
2020-06-23,0.07,0.08,0.07,0.08,300000,0.1429,0.1429,24000.0,9924.96
2020-06-24,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,8244.96
2020-06-25,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,7764.96
2020-06-26,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,7044.96
2020-06-29,0.06,0.07,0.06,0.07,330000,0.1667,-0.125,23100.0,6210.96
2020-06-30,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,6066.96
2020-07-01,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,6066.96
2020-07-02,0.08,0.08,0.08,0.08,300000,0.0,0.1429,24000.0,6546.96
2020-07-03,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,6306.96
2020-07-06,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,5298.96
2020-07-07,0.07,0.08,0.07,0.08,300000,0.1429,0.0,24000.0,5778.96
2020-07-08,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,5778.96
2020-07-09,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,5682.96
2020-07-13,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,5154.96
2020-07-14,0.08,0.08,0.07,0.07,240900,-0.125,-0.125,16863.0,5492.22
2020-07-15,0.07,0.07,0.07,0.07,60000,0.0,0.0,4200.0,5340.54
2020-07-16,0.07,0.07,0.07,0.07,90000,0.0,0.0,6300.0,5466.54
2020-07-17,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,4746.54
2020-07-20,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,4746.54
2020-07-21,0.07,0.07,0.07,0.07,60000,0.0,0.0,4200.0,4638.54
2020-07-22,0.07,0.07,0.07,0.07,420000,0.0,0.0,29400.0,4506.54
2020-07-23,0.07,0.07,0.07,0.07,150000,0.0,0.0,10500.0,4716.54
2020-07-24,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,4716.54
2020-07-27,0.07,0.07,0.07,0.07,60000,0.0,0.0,4200.0,4608.54
2020-07-28,0.07,0.08,0.07,0.08,330000,0.1429,0.1429,26400.0,5136.54
2020-07-29,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,4416.54
2020-07-30,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,4416.54
2020-08-03,0.07,0.08,0.07,0.08,120000,0.1429,0.0,9600.0,4560.54
2020-08-04,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,4512.54
2020-08-05,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,4512.54
2020-08-06,0.07,0.07,0.07,0.07,90000,0.0,-0.125,6300.0,4619.34
2020-08-07,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,4547.34
2020-08-11,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,4498.86
2020-08-12,0.08,0.08,0.08,0.08,90000,0.0,0.1429,7200.0,4642.86
2020-08-13,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,4642.86
2020-08-14,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,4642.86
2020-08-17,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,4600.86
2020-08-18,0.08,0.08,0.08,0.08,120000,0.0,0.0,9600.0,4792.86
2020-08-19,0.07,0.07,0.07,0.07,63000,0.0,-0.125,4410.0,4881.06
2020-08-20,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,4881.06
2020-08-21,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,4871.46
2020-08-24,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,4871.46
2020-08-25,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,4871.46
2020-08-26,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,4727.46
2020-08-27,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,4727.46
2020-08-28,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,4727.46
2020-08-31,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,4727.46
2020-09-01,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,4727.46
2020-09-02,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,4685.46
2020-09-03,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,4685.46
2020-09-04,0.07,0.07,0.07,0.07,165000,0.0,0.0,11550.0,4436.46
2020-09-07,0.07,0.07,0.07,0.07,150000,0.0,0.0,10500.0,4646.46
2020-09-08,0.07,0.07,0.06,0.07,153000,0.0,0.0,10710.0,4860.66
2020-09-09,0.07,0.07,0.07,0.07,120000,0.0,0.0,8400.0,5028.66
2020-09-10,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,4566.66
2020-09-11,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,4566.66
2020-09-14,0.07,0.07,0.07,0.07,45000,0.0,0.0,3150.0,4629.66
