Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2017-01-16,0.08,0.09,0.08,0.08,16660500,0.0,,1332840.0,
2017-01-17,0.08,0.08,0.08,0.08,734700,0.0,0.0,58776.0,
2017-01-18,0.08,0.08,0.08,0.08,807000,0.0,0.0,64560.0,
2017-01-19,0.08,0.08,0.08,0.08,1095300,0.0,0.0,87624.0,
2017-01-20,0.08,0.08,0.07,0.07,498000,-0.125,-0.125,34860.0,
2017-01-23,0.07,0.07,0.07,0.07,777000,0.0,0.0,54390.0,
2017-01-24,0.07,0.07,0.06,0.07,1368300,0.0,0.0,95781.0,
2017-01-25,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2017-01-26,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2017-01-27,0.06,0.07,0.06,0.07,171300,0.1667,0.0,11991.0,
2017-01-31,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2017-02-01,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2017-02-02,0.06,0.06,0.06,0.06,74400,0.0,-0.1429,4464.0,
2017-02-03,0.06,0.06,0.06,0.06,0,0.0,0.0,0.0,
2017-02-06,0.06,0.06,0.06,0.06,0,0.0,0.0,0.0,
2017-02-07,0.06,0.06,0.06,0.06,45000,0.0,0.0,2700.0,
2017-02-08,0.06,0.06,0.06,0.06,0,0.0,0.0,0.0,
2017-02-09,0.06,0.06,0.06,0.06,0,0.0,0.0,0.0,
2017-02-10,0.06,0.06,0.06,0.06,45000,0.0,0.0,2700.0,
2017-02-13,0.06,0.06,0.06,0.06,0,0.0,0.0,0.0,
2017-02-14,0.06,0.06,0.06,0.06,45000,0.0,0.0,2700.0,
2017-02-15,0.06,0.06,0.06,0.06,0,0.0,0.0,0.0,
2017-02-16,0.06,0.06,0.06,0.06,330000,0.0,0.0,19800.0,
2017-02-17,0.06,0.06,0.06,0.06,0,0.0,0.0,0.0,
2017-02-20,0.06,0.06,0.06,0.06,0,0.0,0.0,0.0,
2017-02-21,0.06,0.06,0.06,0.06,293700,0.0,0.0,17622.0,
2017-02-22,0.06,0.07,0.06,0.07,62700,0.1667,0.1667,4389.0,
2017-02-23,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2017-02-24,0.07,0.07,0.07,0.07,60000,0.0,0.0,4200.0,
2017-02-27,0.07,0.07,0.07,0.07,30000,0.0,0.0,2100.0,
2017-02-28,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2017-03-01,0.07,0.07,0.07,0.07,72000,0.0,0.0,5040.0,
2017-03-02,0.07,0.07,0.07,0.07,540000,0.0,0.0,37800.0,
2017-03-03,0.07,0.07,0.07,0.07,60000,0.0,0.0,4200.0,
2017-03-06,0.07,0.07,0.07,0.07,150000,0.0,0.0,10500.0,
2017-03-07,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2017-03-08,0.07,0.07,0.07,0.07,108000,0.0,0.0,7560.0,
2017-03-09,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2017-03-10,0.07,0.07,0.07,0.07,87000,0.0,0.0,6090.0,
2017-03-13,0.07,0.07,0.07,0.07,106800,0.0,0.0,7476.0,
2017-03-14,0.07,0.07,0.07,0.07,60000,0.0,0.0,4200.0,
2017-03-15,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2017-03-16,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2017-03-17,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,
2017-03-20,0.07,0.07,0.07,0.07,105000,0.0,0.0,7350.0,
2017-03-21,0.07,0.07,0.07,0.07,180000,0.0,0.0,12600.0,
2017-03-22,0.07,0.07,0.07,0.07,135000,0.0,0.0,9450.0,
2017-03-23,0.07,0.07,0.07,0.07,148200,0.0,0.0,10374.0,
2017-03-24,0.07,0.08,0.07,0.07,332400,0.0,0.0,23268.0,
2017-03-27,0.07,0.07,0.07,0.07,15000,0.0,0.0,1050.0,38969.1
2017-03-28,0.07,0.07,0.07,0.07,0,0.0,0.0,0.0,12312.3
2017-03-29,0.08,0.08,0.08,0.08,346800,0.0,0.1429,27744.0,11691.66
2017-03-30,0.08,0.08,0.08,0.08,75000,0.0,0.0,6000.0,10520.46
2017-03-31,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,8767.98
2017-04-03,0.08,0.08,0.08,0.08,0,0.0,0.0,0.0,8070.78
2017-04-04,0.08,0.08,0.08,0.08,195000,0.0,0.0,15600.0,7294.98
2017-04-05,0.08,0.08,0.08,0.08,540000,0.0,0.0,43200.0,6243.36
2017-04-06,0.08,0.08,0.08,0.08,210000,0.0,0.0,16800.0,6579.36
