Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,427.0,428.0,415.0,419.6,62855,-0.0173,,26373958.0,
2003-12-02,422.4,428.0,421.0,427.0,54450,0.0109,0.0176,23250150.0,
2003-12-03,429.0,429.6,420.0,429.0,41045,0.0,0.0047,17608305.0,
2003-12-04,429.0,431.0,427.4,430.8,34525,0.0042,0.0042,14873370.0,
2003-12-05,428.8,438.0,425.0,435.6,36820,0.0159,0.0111,16038792.0,
2003-12-08,435.0,435.6,426.2,435.0,29505,0.0,-0.0014,12834675.0,
2003-12-09,433.4,433.6,413.8,414.0,73225,-0.0448,-0.0483,30315150.0,
2003-12-10,413.6,413.6,384.6,401.0,162710,-0.0305,-0.0314,65246710.0,
2003-12-11,399.8,414.0,399.8,414.0,44825,0.0355,0.0324,18557550.0,
2003-12-12,411.0,419.8,410.0,411.0,29360,0.0,-0.0072,12066960.0,
2003-12-15,419.0,422.0,410.8,418.4,56310,-0.0014,0.018,23560104.0,23716562.0
2003-12-16,416.4,430.0,415.2,429.0,43745,0.0303,0.0253,18766605.0,23435176.6
2003-12-17,428.8,436.4,427.0,436.4,41355,0.0177,0.0172,18047322.0,22986822.1
2003-12-18,436.4,446.6,436.4,442.4,61565,0.0137,0.0137,27236356.0,23030723.8
2003-12-19,445.0,449.2,442.0,449.2,44415,0.0094,0.0154,19951218.0,24267022.4
2003-12-22,444.0,458.4,443.2,457.0,37260,0.0293,0.0174,17027820.0,24658265.0
2003-12-23,457.0,460.2,450.6,458.2,47370,0.0026,0.0026,21704934.0,25077579.5
2003-12-24,458.2,463.0,458.0,462.8,20615,0.01,0.01,9540622.0,24216557.9
2003-12-26,462.8,474.8,462.8,471.8,21955,0.0194,0.0194,10358369.0,18645949.1
2003-12-29,470.2,475.0,465.0,472.8,41240,0.0055,0.0021,19498272.0,17826031.0
2003-12-30,466.2,470.0,462.0,468.2,30240,0.0043,-0.0097,14158368.0,18569162.2
2003-12-31,465.0,470.0,461.6,461.6,35675,-0.0073,-0.0141,16467580.0,17628988.6
2004-01-02,457.8,464.0,451.4,457.6,65930,-0.0004,-0.0087,30169568.0,17399086.1
2004-01-05,460.0,476.0,460.0,473.6,47420,0.0296,0.035,22458112.0,18611310.7
2004-01-06,474.4,484.0,473.0,482.0,41725,0.016,0.0177,20111450.0,18133486.3
2004-01-07,482.0,482.0,464.6,466.0,67610,-0.0332,-0.0332,31506260.0,18149509.5
2004-01-08,472.0,473.6,463.0,463.0,38150,-0.0191,-0.0064,17663450.0,19597353.5
