Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2013-09-26,10.0,10.09,9.37,9.96,946000,-0.004,,9422160.0,
2013-09-27,10.44,10.44,10.0,10.1,253300,-0.0326,0.0141,2558330.0,
2013-09-30,10.0,10.18,9.71,10.0,84900,0.0,-0.0099,849000.0,
2013-10-01,9.95,10.02,9.92,10.0,74500,0.005,0.0,745000.0,
2013-10-02,9.99,10.0,9.89,9.97,94000,-0.002,-0.003,937180.0,
2013-10-03,10.0,10.01,9.8,10.0,72400,0.0,0.003,724000.0,
2013-10-04,10.1,10.2,9.82,10.2,109800,0.0099,0.02,1119960.0,
2013-10-07,10.4,10.4,10.06,10.18,52700,-0.0212,-0.002,536486.0,
2013-10-08,10.2,10.2,10.1,10.12,13900,-0.0078,-0.0059,140668.0,
2013-10-09,10.14,10.21,10.14,10.15,14800,0.001,0.003,150220.0,
2013-10-10,10.5,10.55,10.01,10.2,80300,-0.0286,0.0049,819060.0,1718300.4
2013-10-11,10.31,10.41,10.15,10.18,23700,-0.0126,-0.002,241266.0,857990.4
2013-10-14,9.51,10.05,9.07,10.0,64400,0.0515,-0.0177,644000.0,626284.0
2013-10-15,9.78,10.29,9.77,10.18,10200,0.0409,0.018,103836.0,605784.0
2013-10-16,10.28,10.28,10.01,10.25,7100,-0.0029,0.0069,72775.0,541667.6
2013-10-17,10.09,10.55,10.0,10.44,63100,0.0347,0.0185,658764.0,455227.1
2013-10-18,10.49,12.0,10.48,11.01,154200,0.0496,0.0546,1697742.0,448703.5
2013-10-21,12.98,13.0,11.55,12.9,252600,-0.0062,0.1717,3258540.0,506481.7
2013-10-22,13.0,13.5,12.67,13.13,321200,0.01,0.0178,4217356.0,778687.1
2013-10-23,12.99,13.41,12.9,13.11,65000,0.0092,-0.0015,852150.0,1186355.9
2013-10-24,13.1,13.49,12.45,12.61,74700,-0.0374,-0.0381,941967.0,1256548.9
2013-10-25,12.45,12.8,12.26,12.36,130200,-0.0072,-0.0198,1609272.0,1268839.6
2013-10-28,12.25,12.38,11.53,11.87,67800,-0.031,-0.0396,804786.0,1405640.2
2013-10-29,11.91,13.18,11.91,13.06,180100,0.0966,0.1003,2352106.0,1421718.8
2013-10-30,13.05,13.18,11.6,12.55,133500,-0.0383,-0.0391,1675425.0,1646545.8
2013-10-31,12.65,13.02,12.55,12.68,89300,0.0024,0.0104,1132324.0,1806810.8
2013-11-01,12.87,12.95,12.29,12.76,46400,-0.0085,0.0063,592064.0,1854166.8
2013-11-04,12.85,13.0,12.85,13.0,67700,0.0117,0.0188,880100.0,1743599.0
2013-11-05,12.85,13.0,12.75,13.0,29200,0.0117,0.0,379600.0,1505755.0
2013-11-06,12.5,13.31,12.5,13.12,99900,0.0496,0.0092,1310688.0,1121979.4
2013-11-07,13.0,13.48,12.75,13.0,75100,0.0,-0.0091,976300.0,1167833.2
2013-11-08,12.9,12.99,12.42,12.8,88200,-0.0078,-0.0154,1128960.0,1171266.5
2013-11-11,12.8,13.06,12.69,12.9,17200,0.0078,0.0078,221880.0,1123235.3
2013-11-12,12.92,13.1,12.86,13.0,12200,0.0062,0.0078,158600.0,1064944.7
2013-11-13,12.88,12.99,12.52,12.62,13500,-0.0202,-0.0292,170370.0,845594.1
2013-11-14,12.51,12.58,12.21,12.39,20900,-0.0096,-0.0182,258951.0,695088.6
2013-11-15,12.39,12.69,12.25,12.66,16500,0.0218,0.0218,208890.0,607751.3
2013-11-18,12.52,12.78,12.2,12.21,79900,-0.0248,-0.0355,975579.0,569433.9
2013-11-19,12.34,12.49,12.24,12.43,10400,0.0073,0.018,129272.0,578981.8
2013-11-20,12.49,12.57,12.31,12.5,22000,0.0008,0.0056,275000.0,553949.0
2013-11-21,12.5,12.56,12.38,12.56,27200,0.0048,0.0048,341632.0,450380.2
2013-11-22,12.58,12.58,12.31,12.57,39300,-0.0008,0.0008,494001.0,386913.4
2013-11-25,12.57,12.8,12.57,12.57,59600,0.0,0.0,749172.0,323417.5
2013-11-26,12.64,12.64,12.23,12.63,46600,-0.0008,0.0048,588558.0,376146.7
2013-11-27,12.5,12.99,12.24,12.96,36200,0.0368,0.0261,469152.0,419142.5
2013-11-29,12.96,13.24,12.25,13.19,54600,0.0177,0.0177,720174.0,449020.7
2013-12-02,13.07,13.27,12.58,12.58,18600,-0.0375,-0.0462,233988.0,495143.0
2013-12-03,12.61,13.0,12.2,12.31,47300,-0.0238,-0.0215,582263.0,497652.8
2013-12-04,12.38,12.91,12.3,12.89,75000,0.0412,0.0471,966750.0,458321.2
2013-12-05,12.75,13.2,12.75,13.12,126000,0.029,0.0178,1653120.0,542069.0
2013-12-06,13.16,14.74,13.16,14.37,192100,0.0919,0.0953,2760477.0,679881.0
2013-12-09,14.71,15.84,14.5,14.88,195100,0.0116,0.0355,2903088.0,921765.5
2013-12-10,14.73,15.75,14.73,15.59,100600,0.0584,0.0477,1568354.0,1162674.2
2013-12-11,15.6,16.61,15.51,15.81,127900,0.0135,0.0141,2022099.0,1244592.4
2013-12-12,16.0,16.1,14.69,15.14,97400,-0.0537,-0.0424,1474636.0,1387946.5
2013-12-13,15.26,15.96,14.29,14.78,68800,-0.0315,-0.0238,1016864.0,1488494.9
2013-12-16,14.93,15.87,14.71,15.48,92400,0.0368,0.0474,1430352.0,1518163.9
2013-12-17,15.51,15.83,14.89,15.14,77500,-0.0239,-0.022,1173350.0,1637800.3
2013-12-18,15.15,15.43,14.85,15.2,77200,0.0033,0.004,1173440.0,1696909.0
2013-12-19,15.2,15.65,14.75,15.39,80800,0.0125,0.0125,1243512.0,1717578.0
2013-12-20,15.06,15.32,14.5,14.8,693700,-0.0173,-0.0383,10266760.0,1676617.2
2013-12-23,14.72,15.03,14.72,14.93,32400,0.0143,0.0088,483732.0,2427245.5
2013-12-24,14.9,15.19,14.85,15.02,51900,0.0081,0.006,779538.0,2185309.9
2013-12-26,15.02,15.05,14.88,14.97,22700,-0.0033,-0.0033,339819.0,2106428.3
2013-12-27,15.0,15.08,14.85,14.89,66800,-0.0073,-0.0053,994652.0,1938200.3
2013-12-30,14.85,15.0,14.67,14.98,37200,0.0088,0.006,557256.0,1890201.9
2013-12-31,15.0,15.1,14.71,15.01,83900,0.0007,0.002,1259339.0,1844241.1
2014-01-02,14.88,14.92,14.61,14.63,22500,-0.0168,-0.0253,329175.0,1827139.8
2014-01-03,14.63,14.75,14.26,14.35,47300,-0.0191,-0.0191,678755.0,1742722.3
2014-01-06,14.35,14.49,14.1,14.33,64100,-0.0014,-0.0014,918553.0,1693253.8
2014-01-07,14.89,14.89,14.35,14.74,49300,-0.0101,0.0286,726682.0,1660757.9
2014-01-08,14.75,14.82,14.5,14.66,37600,-0.0061,-0.0054,551216.0,706750.1
2014-01-09,14.65,14.65,14.01,14.16,42600,-0.0334,-0.0341,603216.0,713498.5
2014-01-10,14.16,14.32,13.58,14.0,48200,-0.0113,-0.0113,674800.0,695866.3
2014-01-13,13.83,14.06,13.69,13.7,43300,-0.0094,-0.0214,593210.0,729364.4
2014-01-14,13.72,14.13,13.59,13.88,116600,0.0117,0.0131,1618408.0,689220.2
2014-01-15,14.0,14.11,13.59,13.97,63600,-0.0021,0.0065,888492.0,795335.4
2014-01-16,13.9,14.56,13.85,14.29,71400,0.0281,0.0229,1020306.0,758250.7
2014-01-17,14.15,14.5,14.15,14.42,45000,0.0191,0.0091,648900.0,827363.8
2014-01-21,14.35,14.48,14.1,14.15,14900,-0.0139,-0.0187,210835.0,824378.3
2014-01-22,14.11,14.33,13.92,14.15,41600,0.0028,0.0,588640.0,753606.5
2014-01-23,13.84,14.36,13.6,13.73,38100,-0.0079,-0.0297,523113.0,739802.3
2014-01-24,13.46,13.59,13.0,13.39,117200,-0.0052,-0.0248,1569308.0,736992.0
2014-01-27,13.5,13.81,13.4,13.72,33900,0.0163,0.0246,465108.0,833601.2
2014-01-28,13.85,14.19,13.76,13.84,44000,-0.0007,0.0087,608960.0,812632.0
2014-01-29,13.63,13.82,13.57,13.61,26100,-0.0015,-0.0166,355221.0,814207.0
2014-01-30,13.67,14.41,13.67,14.0,72700,0.0241,0.0287,1017800.0,687888.3
2014-01-31,13.88,13.96,13.4,13.63,37600,-0.018,-0.0264,512488.0,700819.1
2014-02-03,13.7,14.36,13.45,13.61,116600,-0.0066,-0.0015,1586926.0,650037.3
2014-02-04,13.69,13.86,13.6,13.68,26800,-0.0007,0.0051,366624.0,743839.9
2014-02-05,13.56,13.64,13.12,13.14,39700,-0.031,-0.0395,521658.0,759418.8
2014-02-06,13.23,13.33,13.11,13.16,30500,-0.0053,0.0015,401380.0,752720.6
2014-02-07,12.9,13.07,12.38,13.07,49000,0.0132,-0.0068,640430.0,740547.3
2014-02-10,13.12,13.25,12.75,13.12,31300,0.0,0.0038,410656.0,647659.5
2014-02-11,13.19,13.35,12.78,12.79,22400,-0.0303,-0.0252,286496.0,642214.3
2014-02-12,12.87,12.99,12.49,12.52,39100,-0.0272,-0.0211,489532.0,609967.9
2014-02-13,12.0,12.62,11.19,12.54,64100,0.045,0.0016,803814.0,623399.0
2014-02-14,12.5,14.19,12.5,14.0,78500,0.12,0.1164,1099000.0,602000.4
2014-02-18,14.1,14.11,13.61,13.66,109100,-0.0312,-0.0243,1490306.0,660651.6
2014-02-19,13.52,15.16,13.5,15.02,101300,0.1109,0.0996,1521526.0,650989.6
2014-02-20,15.5,18.75,15.5,17.98,469000,0.16,0.1971,8432620.0,766479.8
2014-02-21,17.64,20.75,17.64,20.67,358800,0.1718,0.1496,7416396.0,1557576.0
2014-02-24,20.5,21.12,19.1,20.1,297900,-0.0195,-0.0276,5987790.0,2259077.6
2014-02-25,20.2,20.99,19.47,20.0,126500,-0.0099,-0.005,2530000.0,2793813.6
2014-02-26,20.35,20.57,19.61,19.79,95600,-0.0275,-0.0105,1891924.0,3005748.0
2014-02-27,19.7,20.0,18.94,19.2,196200,-0.0254,-0.0298,3767040.0,3166290.8
2014-02-28,23.55,24.96,21.66,23.66,488100,0.0047,0.2323,11548446.0,3494041.6
2014-03-03,22.88,25.49,22.01,25.11,270100,0.0975,0.0613,6782211.0,4568504.8
2014-03-04,25.02,25.39,24.05,24.64,217000,-0.0152,-0.0187,5346880.0,5136825.9
2014-03-05,24.74,25.37,24.27,25.15,163300,0.0166,0.0207,4106995.0,5522483.3
2014-03-06,25.0,26.45,24.93,26.36,223800,0.0544,0.0481,5899368.0,5781030.2
2014-03-07,25.85,25.85,24.4,25.29,165800,-0.0217,-0.0406,4193082.0,5527705.0
2014-03-10,25.31,27.52,25.05,27.42,108800,0.0834,0.0842,2983296.0,5205373.6
2014-03-11,27.67,28.01,26.18,26.32,83500,-0.0488,-0.0401,2197720.0,4904924.2
2014-03-12,26.26,26.96,26.15,26.46,124900,0.0076,0.0053,3304854.0,4871696.2
2014-03-13,26.95,27.22,26.0,26.2,174100,-0.0278,-0.0098,4561420.0,5012989.2
2014-03-14,26.07,26.3,25.05,25.4,88100,-0.0257,-0.0305,2237740.0,5092427.2
2014-03-17,25.55,26.5,25.12,25.75,119500,0.0078,0.0138,3077125.0,4161356.6
2014-03-18,25.68,25.92,24.8,25.51,174800,-0.0066,-0.0093,4459148.0,3790848.0
2014-03-19,25.48,26.45,24.62,26.34,160800,0.0338,0.0325,4235472.0,3702074.8
2014-03-20,25.08,27.0,25.0,25.7,1383700,0.0247,-0.0243,35561090.0,3714922.5
2014-03-21,25.68,26.03,25.05,25.47,234500,-0.0082,-0.0089,5972715.0,6681094.7
2014-03-24,26.01,26.15,24.84,25.81,213300,-0.0077,0.0133,5505273.0,6859058.0
2014-03-25,26.0,26.75,24.92,25.43,209600,-0.0219,-0.0147,5330128.0,7111255.7
2014-03-26,25.5,25.74,23.98,24.27,468900,-0.0482,-0.0456,11380203.0,7424496.5
2014-03-27,24.29,25.23,23.61,24.95,367500,0.0272,0.028,9169125.0,8232031.4
2014-03-28,25.0,25.35,24.06,24.96,274700,-0.0016,0.0004,6856512.0,8692801.9
2014-03-31,24.7,24.84,24.5,24.67,511700,-0.0012,-0.0116,12623639.0,9154679.1
