Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,0.82,0.82,0.82,0.82,0,0.0,,0.0,
2003-12-02,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,
2003-12-03,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,
2003-12-04,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,
2003-12-05,0.8,0.81,0.8,0.81,15000,0.0125,-0.0122,12150.0,
2003-12-08,0.81,0.81,0.81,0.81,0,0.0,0.0,0.0,
2003-12-09,0.81,0.81,0.81,0.81,0,0.0,0.0,0.0,
2003-12-10,0.81,0.81,0.81,0.81,0,0.0,0.0,0.0,
2003-12-11,0.81,0.81,0.81,0.81,0,0.0,0.0,0.0,
2003-12-12,0.81,0.81,0.81,0.81,0,0.0,0.0,0.0,
2003-12-15,0.81,0.81,0.81,0.81,0,0.0,0.0,0.0,1215.0
2003-12-16,0.8,0.8,0.8,0.8,3000,0.0,-0.0123,2400.0,1215.0
2003-12-17,0.8,0.8,0.8,0.8,12000,0.0,0.0,9600.0,1455.0
2003-12-18,0.81,0.82,0.81,0.82,6000,0.0123,0.025,4920.0,2415.0
2003-12-19,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,2907.0
2003-12-22,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,1692.0
2003-12-23,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,1692.0
2003-12-24,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,1692.0
2003-12-26,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,1692.0
2003-12-29,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,1692.0
2003-12-30,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,1692.0
2003-12-31,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,1692.0
2004-01-02,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,1452.0
2004-01-05,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,492.0
2004-01-06,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,0.0
2004-01-07,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,0.0
2004-01-08,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,0.0
2004-01-09,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,0.0
2004-01-12,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,0.0
2004-01-13,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,0.0
2004-01-14,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,0.0
2004-01-15,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,0.0
2004-01-16,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,0.0
2004-01-20,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,0.0
2004-01-21,0.82,0.82,0.82,0.82,0,0.0,0.0,0.0,0.0
2004-01-22,0.93,0.93,0.92,0.92,30000,-0.0108,0.122,27600.0,0.0
2004-01-23,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,2760.0
2004-01-26,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,2760.0
2004-01-27,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,2760.0
2004-01-28,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,2760.0
2004-01-29,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,2760.0
2004-01-30,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,2760.0
2004-02-02,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,2760.0
2004-02-03,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,2760.0
2004-02-04,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,2760.0
2004-02-05,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,2760.0
2004-02-06,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,0.0
2004-02-09,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,0.0
2004-02-10,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,0.0
2004-02-11,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,0.0
2004-02-12,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,0.0
2004-02-13,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,0.0
2004-02-17,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,0.0
2004-02-18,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,0.0
2004-02-19,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,0.0
2004-02-20,0.92,0.92,0.92,0.92,0,0.0,0.0,0.0,0.0
2004-02-23,0.94,0.94,0.94,0.94,27000,0.0,0.0217,25380.0,0.0
2004-02-24,0.94,0.94,0.94,0.94,0,0.0,0.0,0.0,2538.0
2004-02-25,0.94,0.94,0.94,0.94,0,0.0,0.0,0.0,2538.0
2004-02-26,0.92,0.92,0.92,0.92,9000,0.0,-0.0213,8280.0,2538.0
2004-02-27,0.98,0.98,0.98,0.98,9000,0.0,0.0652,8820.0,3366.0
2004-03-01,1.1,1.12,1.1,1.11,9000,0.0091,0.1327,9990.0,4248.0
2004-03-02,1.11,1.11,1.11,1.11,0,0.0,0.0,0.0,5247.0
2004-03-03,1.26,1.26,1.26,1.26,27000,0.0,0.1351,34020.0,5247.0
2004-03-04,1.28,1.4,1.28,1.36,2874000,0.0625,0.0794,3908640.0,8649.0
