Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,19.95,20.57,19.91,20.2,8760286,0.0125,,176957777.2,
2003-12-02,20.21,20.32,20.05,20.32,9048991,0.0054,0.0059,183875497.12,
2003-12-03,20.42,20.65,20.29,20.33,7994415,-0.0044,0.0005,162526456.95,
2003-12-04,20.37,20.42,20.24,20.36,5974370,-0.0005,0.0015,121638173.2,
2003-12-05,20.37,20.37,19.87,20.18,6265080,-0.0093,-0.0088,126429314.4,
2003-12-08,20.18,20.38,20.1,20.34,6412106,0.0079,0.0079,130422236.04,
2003-12-09,20.3,20.6,20.28,20.45,7098449,0.0074,0.0054,145163282.05,
2003-12-10,20.5,20.51,20.3,20.36,6722197,-0.0068,-0.0044,136863930.92,
2003-12-11,20.47,20.63,20.36,20.54,6190008,0.0034,0.0088,127142764.32,
2003-12-12,20.64,20.64,20.34,20.57,5163946,-0.0034,0.0015,106222369.22,
2003-12-15,20.58,20.67,20.47,20.49,5940064,-0.0044,-0.0039,121711911.36,141724180.14
2003-12-16,20.54,20.66,20.52,20.6,5941401,0.0029,0.0054,122392860.6,136199593.56
2003-12-17,20.49,20.6,20.24,20.47,6856302,-0.001,-0.0063,140348501.94,130051329.91
2003-12-18,20.54,20.98,20.51,20.91,13557559,0.018,0.0215,283488558.69,127833534.4
2003-12-19,20.92,20.92,20.71,20.83,12017129,-0.0043,-0.0038,250316797.07,144018572.95
2003-12-22,20.78,20.87,20.67,20.78,7930036,0.0,-0.0024,164786148.08,156407321.22
2003-12-23,20.69,20.9,20.68,20.88,7450865,0.0092,0.0048,155574061.2,159843712.43
2003-12-24,20.87,21.07,20.73,21.04,4431713,0.0081,0.0077,93243241.52,160884790.34
2003-12-26,21.01,21.1,20.88,21.03,2944080,0.001,-0.0005,61914002.4,156522721.4
2003-12-29,20.98,21.17,20.93,21.17,7325225,0.0091,0.0067,155075013.25,149999845.21
2003-12-30,21.01,21.15,20.85,20.91,7023822,-0.0048,-0.0123,146868118.02,154885109.61
2003-12-31,20.96,21.01,20.83,20.92,7922016,-0.0019,0.0005,165728574.72,157400730.28
2004-01-02,20.92,21.17,20.8,20.99,6894172,0.0033,0.0033,144708670.28,161734301.69
2004-01-05,21.14,21.21,20.74,20.99,14395828,-0.0071,0.0,302168429.72,162170318.52
2004-01-06,20.85,20.96,20.72,20.83,7790584,-0.001,-0.0076,162277864.72,164038305.63
2004-01-07,20.85,21.05,20.72,21.05,7774322,0.0096,0.0106,163649478.1,155234412.39
2004-01-08,20.42,20.45,20.25,20.43,17053876,0.0005,-0.0295,348410686.68,155120745.39
2004-01-09,20.32,20.47,20.16,20.17,13285561,-0.0074,-0.0127,267969765.37,174404407.94
2004-01-12,20.17,20.19,19.88,19.95,11558676,-0.0109,-0.0109,230595586.2,191877060.33
2004-01-13,19.84,19.95,19.62,19.94,8744024,0.005,-0.0005,174355838.56,208745218.71
2004-01-14,19.94,20.02,19.67,19.98,10335021,0.002,0.002,206493719.58,210673301.24
2004-01-15,19.86,20.2,19.71,20.18,9916443,0.0161,0.01,200113819.74,216635861.39
2004-01-16,19.63,19.93,19.37,19.41,24586497,-0.0112,-0.0382,477223906.77,220074385.9
2004-01-20,19.46,19.63,19.4,19.43,11832456,-0.0015,0.001,229904620.08,253325909.54
2004-01-21,19.41,19.8,19.33,19.62,13352836,0.0108,0.0098,261982642.32,246099528.58
2004-01-22,19.55,19.63,19.33,19.34,13757157,-0.0107,-0.0143,266063416.38,256070006.34
2004-01-23,19.43,19.59,19.27,19.29,9337028,-0.0072,-0.0026,180111270.12,266311400.17
2004-01-26,19.3,19.75,19.3,19.7,9474475,0.0207,0.0213,186647157.5,249481458.51
2004-01-27,19.56,19.71,19.41,19.48,9324553,-0.0041,-0.0112,181642292.44,241349197.72
2004-01-28,19.52,19.79,19.52,19.66,10579173,0.0072,0.0092,207986541.18,236453868.35
2004-01-29,19.53,19.68,19.45,19.64,11907306,0.0056,-0.001,233859489.84,239816938.61
2004-01-30,19.64,19.65,19.26,19.34,10103344,-0.0153,-0.0153,195398672.96,242553515.64
2004-02-02,19.36,19.63,19.26,19.52,10008668,0.0083,0.0093,195369199.36,242082000.96
2004-02-03,19.62,19.86,19.39,19.86,10066365,0.0122,0.0174,199918008.9,213896530.22
2004-02-04,19.86,20.07,19.73,19.87,16356172,0.0005,0.0005,324997137.64,210897869.1
2004-02-05,19.84,20.04,19.81,20.01,8244582,0.0086,0.007,164974085.82,217199318.63
2004-02-06,19.95,20.05,19.79,19.92,6350845,-0.0015,-0.0045,126508832.4,207090385.58
2004-02-09,19.98,20.02,19.73,19.91,8492743,-0.0035,-0.0005,169090513.13,201730141.8
2004-02-10,19.86,19.98,19.76,19.8,7314310,-0.003,-0.0055,144823338.0,199974477.37
2004-02-11,19.87,20.13,19.68,20.02,9177750,0.0075,0.0111,183738555.0,196292581.92
2004-02-12,19.91,19.94,19.62,19.65,8325000,-0.0131,-0.0185,163586250.0,193867783.3
2004-02-13,19.65,19.95,19.65,19.89,9485167,0.0122,0.0122,188659971.63,186840459.32
2004-02-17,19.94,20.25,19.94,20.2,10795702,0.013,0.0156,218073180.4,186166589.19
2004-02-18,20.1,20.2,19.98,20.02,12227198,-0.004,-0.0089,244788503.96,188436987.29
2004-02-19,19.99,19.99,19.38,19.46,19640639,-0.0265,-0.028,382206834.94,192924036.8
2004-02-20,19.53,19.77,19.42,19.47,9550883,-0.0031,0.0005,185955692.01,198645006.53
2004-02-23,19.53,19.72,19.46,19.63,6770537,0.0051,0.0082,132905641.31,200743167.15
2004-02-24,19.51,19.63,19.4,19.55,7895284,0.0021,-0.0041,154352802.2,201382848.04
2004-02-25,19.53,19.6,19.41,19.53,6074392,0.0,-0.001,118632875.76,199909076.94
2004-02-26,19.43,19.51,19.28,19.33,8507223,-0.0051,-0.0102,164444620.59,197290030.72
2004-02-27,19.21,19.41,19.11,19.21,8220523,0.0,-0.0062,157916246.83,195360637.28
2004-03-01,19.21,19.56,19.11,19.48,8070601,0.0141,0.0141,157215307.48,194793636.96
2004-03-02,19.38,19.66,19.37,19.58,8678531,0.0103,0.0051,169925636.98,191649170.55
2004-03-03,19.58,19.75,19.43,19.72,7616381,0.0072,0.0072,150195033.32,186834416.21
2004-03-04,19.62,19.7,19.48,19.59,6245477,-0.0015,-0.0066,122348894.43,177375069.14
2004-03-05,19.5,19.7,19.45,19.56,10793029,0.0031,-0.0015,211111647.24,151389275.09
2004-03-08,19.56,19.59,19.33,19.37,8414330,-0.0097,-0.0097,162985572.1,153904870.61
2004-03-09,19.3,19.45,18.95,19.03,9388932,-0.014,-0.0176,178671375.96,156912863.69
2004-03-10,18.99,19.0,18.56,18.61,14341028,-0.02,-0.0221,266886531.08,159344721.07
2004-03-11,18.61,18.8,18.48,18.64,13991285,0.0016,0.0016,260797552.4,174170086.6
2004-03-12,18.67,18.69,18.45,18.6,10144779,-0.0037,-0.0021,188692889.4,183805379.78
2004-03-15,18.49,18.6,18.25,18.27,8756276,-0.0119,-0.0177,159977162.52,186883044.04
2004-03-16,18.58,18.78,18.5,18.66,10704368,0.0043,0.0213,199743506.88,187159229.54
2004-03-17,18.67,18.7,17.96,18.24,20303591,-0.023,-0.0225,370337499.84,190141016.53
2004-03-18,18.13,18.24,17.88,18.0,20121146,-0.0072,-0.0132,362180628.0,212155263.18
2004-03-19,18.05,18.23,17.99,18.05,11661594,0.0,0.0028,210491771.7,236138436.54
2004-03-22,17.96,18.06,17.71,17.78,9386482,-0.01,-0.015,166891649.96,236076448.99
2004-03-23,17.87,18.09,17.87,17.97,9696795,0.0056,0.0107,174251406.15,236467056.77
2004-03-24,17.94,18.07,17.63,17.66,10956316,-0.0156,-0.0173,193488540.56,236025059.79
2004-03-25,17.69,18.02,17.68,17.87,10294700,0.0102,0.0119,183966289.0,228685260.74
2004-03-26,17.78,18.13,17.78,18.02,8443067,0.0135,0.0084,152144067.34,221002134.4
2004-03-29,18.14,18.27,18.0,18.21,10740456,0.0039,0.0105,195583703.76,217347252.2
2004-03-30,18.27,18.42,18.18,18.39,8813750,0.0066,0.0099,162084862.5,220907906.32
2004-03-31,18.42,18.58,18.32,18.45,9788575,0.0016,0.0033,180599208.75,217142041.88
2004-04-01,18.52,18.92,18.49,18.79,10479374,0.0146,0.0184,196907437.46,198168212.77
2004-04-02,19.05,19.07,18.87,19.02,10817756,-0.0016,0.0122,205753719.12,181640893.72
2004-04-05,19.05,19.28,19.0,19.25,12296033,0.0105,0.0121,236698635.25,181167088.46
2004-04-06,19.24,19.41,19.16,19.39,8192677,0.0078,0.0073,158856007.03,188147786.99
2004-04-07,19.4,19.46,19.18,19.19,13725970,-0.0108,-0.0103,263401364.3,186608247.08
2004-04-08,19.44,19.5,18.93,19.0,15125165,-0.0226,-0.0099,287378135.0,193599529.45
