Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2004-05-27,7.44,7.5,6.5,6.7,1919200,-0.0995,,12858640.0,
2004-05-28,6.88,6.88,6.61,6.61,105600,-0.0392,-0.0134,698016.0,
2004-06-01,6.59,6.71,6.4,6.5,118600,-0.0137,-0.0166,770900.0,
2004-06-02,6.4,6.45,6.25,6.3,33000,-0.0156,-0.0308,207900.0,
2004-06-03,6.25,6.5,6.25,6.25,30900,0.0,-0.0079,193125.0,
2004-06-04,6.6,6.6,6.0,6.02,94200,-0.0879,-0.0368,567084.0,
2004-06-07,6.1,6.3,6.0,6.1,92100,0.0,0.0133,561810.0,
2004-06-08,6.49,6.49,6.06,6.1,52100,-0.0601,0.0,317810.0,
2004-06-09,6.3,6.3,5.96,5.96,48200,-0.054,-0.023,287272.0,
2004-06-10,6.2,6.2,5.79,6.1,48600,-0.0161,0.0235,296460.0,
2004-06-14,6.15,6.23,6.05,6.2,45600,0.0081,0.0164,282720.0,1675901.7
2004-06-15,6.11,6.7,6.1,6.4,42900,0.0475,0.0323,274560.0,418309.7
2004-06-16,6.4,6.7,6.26,6.4,24300,0.0,0.0,155520.0,375964.1
2004-06-17,6.5,6.92,6.3,6.85,133500,0.0538,0.0703,914475.0,314426.1
2004-06-18,6.95,6.95,6.51,6.62,15400,-0.0475,-0.0336,101948.0,385083.6
2004-06-21,6.81,6.89,6.55,6.6,13700,-0.0308,-0.003,90420.0,375965.9
2004-06-22,6.6,6.75,6.35,6.35,16100,-0.0379,-0.0379,102235.0,328299.5
2004-06-23,6.84,6.84,6.1,6.4,14600,-0.0643,0.0079,93440.0,282342.0
2004-06-24,6.25,6.3,6.01,6.2,13800,-0.008,-0.0312,85560.0,259905.0
2004-06-25,6.48,6.48,6.0,6.0,1700,-0.0741,-0.0323,10200.0,239733.8
2004-06-28,6.44,6.44,5.99,6.15,8100,-0.045,0.025,49815.0,211107.8
2004-06-29,6.4,6.5,6.18,6.27,11500,-0.0203,0.0195,72105.0,187817.3
2004-06-30,6.27,6.27,6.13,6.2,3500,-0.0112,-0.0112,21700.0,167571.8
2004-07-01,6.32,6.39,6.25,6.3,3100,-0.0032,0.0161,19530.0,154189.8
2004-07-02,6.35,6.35,6.13,6.3,1600,-0.0079,0.0,10080.0,64695.3
2004-07-06,6.15,6.25,6.15,6.15,2500,0.0,-0.0238,15375.0,55508.5
2004-07-07,6.17,6.17,6.07,6.08,1900,-0.0146,-0.0114,11552.0,48004.0
2004-07-08,6.3,6.3,6.0,6.07,2300,-0.0365,-0.0016,13961.0,38935.7
2004-07-09,6.01,6.01,6.0,6.0,2600,-0.0017,-0.0115,15600.0,30987.8
2004-07-12,6.25,6.5,6.25,6.38,7000,0.0208,0.0633,44660.0,23991.8
2004-07-13,6.3,6.4,6.06,6.3,4000,0.0,-0.0125,25200.0,27437.8
2004-07-14,6.15,6.15,6.15,6.15,100,0.0,-0.0238,615.0,24976.3
2004-07-15,6.15,6.35,6.0,6.2,6800,0.0081,0.0081,42160.0,17827.3
2004-07-16,6.35,6.35,6.05,6.3,900,-0.0079,0.0161,5670.0,19873.3
2004-07-19,6.05,6.3,6.0,6.03,5400,-0.0033,-0.0429,32562.0,18487.3
2004-07-20,6.03,6.2,6.0,6.2,2200,0.0282,0.0282,13640.0,20735.5
2004-07-21,6.02,6.3,6.0,6.01,19600,-0.0017,-0.0306,117796.0,20562.0
2004-07-22,6.2,6.3,6.0,6.3,33800,0.0161,0.0483,212940.0,31186.4
2004-07-23,6.3,6.3,6.02,6.17,1500,-0.0206,-0.0206,9255.0,51084.3
2004-07-26,5.97,6.4,5.97,6.11,8800,0.0235,-0.0097,53768.0,50449.8
2004-07-27,6.29,6.3,6.11,6.3,32200,0.0016,0.0311,202860.0,51360.6
2004-07-28,6.15,6.3,6.15,6.29,33500,0.0228,-0.0016,210715.0,69126.6
2004-07-29,6.08,6.3,5.98,6.29,10200,0.0345,0.0,64158.0,90136.6
2004-07-30,6.15,6.34,6.1,6.22,23200,0.0114,-0.0111,144304.0,92336.4
2004-08-02,6.0,6.25,6.0,6.25,800,0.0417,0.0048,5000.0,106199.8
2004-08-03,6.33,6.48,5.9,5.96,10500,-0.0585,-0.0464,62580.0,103443.6
2004-08-04,5.96,6.02,5.75,5.85,17600,-0.0185,-0.0185,102960.0,108337.6
2004-08-05,5.8,5.8,5.2,5.23,15600,-0.0983,-0.106,81588.0,106854.0
2004-08-06,5.23,5.39,4.95,5.39,9700,0.0306,0.0306,52283.0,93718.8
2004-08-09,5.07,5.3,5.06,5.15,3900,0.0158,-0.0445,20085.0,98021.6
2004-08-10,5.2,5.46,5.1,5.46,4600,0.05,0.0602,25116.0,94653.3
2004-08-11,5.13,5.38,5.12,5.12,700,-0.0019,-0.0623,3584.0,76878.9
2004-08-12,5.4,5.47,5.4,5.47,400,0.013,0.0684,2188.0,56165.8
2004-08-13,5.35,5.45,5.14,5.45,1900,0.0187,-0.0037,10355.0,49968.8
2004-08-16,5.16,5.47,5.14,5.28,3600,0.0233,-0.0312,19008.0,36573.9
2004-08-17,5.3,5.75,5.27,5.7,9800,0.0755,0.0795,55860.0,37974.7
2004-08-18,5.7,5.7,5.7,5.7,900,0.0,0.0,5130.0,37302.7
2004-08-19,5.7,5.7,5.45,5.6,2200,-0.0175,-0.0175,12320.0,27519.7
2004-08-20,5.5,5.73,5.0,5.7,1005000,0.0364,0.0179,5728500.0,20592.9
2004-08-23,5.7,5.7,5.3,5.7,3400,0.0,0.0,19380.0,588214.6
2004-08-24,5.7,5.7,5.4,5.6,2300,-0.0175,-0.0175,12880.0,588144.1
