Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2022-03-24,9.85,9.85,9.8,9.81,155000,-0.0041,,1520550.0,
2022-03-25,9.8,9.81,9.8,9.8,175000,0.0,-0.001,1715000.0,
2022-03-28,9.8,9.83,9.8,9.81,48900,0.001,0.001,479709.0,
2022-03-29,9.83,9.83,9.82,9.82,5100,-0.001,0.001,50082.0,
2022-03-30,9.92,9.92,9.92,9.92,1000,0.0,0.0102,9920.0,
2022-03-31,9.86,9.86,9.86,9.86,1600,0.0,-0.006,15776.0,
2022-04-01,9.86,9.86,9.86,9.86,0,0.0,0.0,0.0,
2022-04-04,9.88,9.89,9.86,9.88,54300,0.0,0.002,536484.0,
2022-04-05,9.88,9.91,9.88,9.91,300,0.003,0.003,2973.0,
2022-04-06,9.87,9.87,9.87,9.87,231100,0.0,-0.004,2280957.0,
2022-04-07,9.87,9.87,9.87,9.87,0,0.0,0.0,0.0,661145.1
2022-04-08,9.89,9.89,9.89,9.89,100,0.0,0.002,989.0,509090.1
2022-04-11,9.89,9.89,9.89,9.89,0,0.0,0.0,0.0,337689.0
2022-04-12,9.89,9.89,9.89,9.89,0,0.0,0.0,0.0,289718.1
2022-04-13,9.88,9.91,9.88,9.91,1400,0.003,0.002,13874.0,284709.9
2022-04-14,9.91,9.91,9.91,9.91,0,0.0,0.0,0.0,285105.3
2022-04-18,9.91,9.91,9.91,9.91,0,0.0,0.0,0.0,283527.7
2022-04-19,9.91,9.91,9.91,9.91,0,0.0,0.0,0.0,283527.7
2022-04-20,9.91,9.91,9.91,9.91,0,0.0,0.0,0.0,229879.3
2022-04-21,9.91,9.91,9.91,9.91,0,0.0,0.0,0.0,229582.0
2022-04-22,9.91,9.91,9.91,9.91,0,0.0,0.0,0.0,1486.3
2022-04-25,9.91,9.91,9.91,9.91,0,0.0,0.0,0.0,1486.3
2022-04-26,9.91,9.91,9.91,9.91,0,0.0,0.0,0.0,1387.4
2022-04-27,9.91,9.91,9.91,9.91,0,0.0,0.0,0.0,1387.4
2022-04-28,9.9,9.93,9.9,9.93,400,0.003,0.002,3972.0,1387.4
2022-04-29,9.93,9.93,9.93,9.93,0,0.0,0.0,0.0,397.2
2022-05-02,9.93,9.93,9.93,9.93,0,0.0,0.0,0.0,397.2
2022-05-03,9.93,9.93,9.93,9.93,0,0.0,0.0,0.0,397.2
2022-05-04,9.93,9.93,9.93,9.93,0,0.0,0.0,0.0,397.2
2022-05-05,9.93,9.93,9.93,9.93,0,0.0,0.0,0.0,397.2
2022-05-06,9.93,9.93,9.93,9.93,0,0.0,0.0,0.0,397.2
2022-05-09,9.9,9.92,9.83,9.83,163100,-0.0071,-0.0101,1603273.0,397.2
2022-05-10,9.83,9.83,9.83,9.83,0,0.0,0.0,0.0,160724.5
2022-05-11,9.83,9.83,9.83,9.83,0,0.0,0.0,0.0,160724.5
2022-05-12,9.83,9.83,9.83,9.83,0,0.0,0.0,0.0,160724.5
2022-05-13,9.87,9.87,9.86,9.86,7500,-0.001,0.0031,73950.0,160327.3
2022-05-16,9.86,9.86,9.86,9.86,0,0.0,0.0,0.0,167722.3
