Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,4.13,4.22,4.11,4.17,1170900,0.0097,,4882653.0,
2003-12-02,4.21,4.32,4.2,4.26,949500,0.0119,0.0216,4044870.0,
2003-12-03,4.3,4.33,4.25,4.26,796500,-0.0093,0.0,3393090.0,
2003-12-04,4.27,4.27,4.16,4.23,1715400,-0.0094,-0.007,7256142.0,
2003-12-05,4.21,4.27,4.21,4.24,938700,0.0071,0.0024,3980088.0,
2003-12-08,4.27,4.36,4.27,4.34,2439000,0.0164,0.0236,10585260.0,
2003-12-09,4.33,4.36,4.31,4.35,900900,0.0046,0.0023,3918915.0,
2003-12-10,4.33,4.35,4.31,4.33,2520000,0.0,-0.0046,10911600.0,
2003-12-11,4.33,4.34,4.3,4.33,515700,0.0,0.0,2232981.0,
2003-12-12,4.31,4.36,4.31,4.36,334800,0.0116,0.0069,1459728.0,
2003-12-15,4.36,4.37,4.3,4.32,562500,-0.0092,-0.0092,2430000.0,5266532.7
2003-12-16,4.3,4.35,4.29,4.3,395100,0.0,-0.0046,1698930.0,5021267.4
2003-12-17,4.33,4.33,4.25,4.26,549000,-0.0162,-0.0093,2338740.0,4786673.4
2003-12-18,4.25,4.33,4.25,4.33,266400,0.0188,0.0164,1153512.0,4681238.4
2003-12-19,4.33,4.36,4.28,4.34,509400,0.0023,0.0023,2210796.0,4070975.4
2003-12-22,4.36,4.38,4.34,4.37,471600,0.0023,0.0069,2060892.0,3894046.2
2003-12-23,4.32,4.38,4.31,4.36,324000,0.0093,-0.0023,1412640.0,3041609.4
2003-12-24,4.35,4.39,4.34,4.37,244800,0.0046,0.0023,1069776.0,2790981.9
2003-12-26,4.36,4.4,4.36,4.37,255600,0.0023,0.0,1116972.0,1806799.5
2003-12-29,4.38,4.42,4.34,4.4,917100,0.0046,0.0069,4035240.0,1695198.6
2003-12-30,4.4,4.44,4.39,4.44,766800,0.0091,0.0091,3404592.0,1952749.8
