Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2012-04-27,18.0,18.03,17.8,17.82,558900,-0.01,,9959598.0,
2012-04-30,17.8,18.05,17.76,17.98,123800,0.0101,0.009,2225924.0,
2012-05-01,17.98,18.06,17.95,18.0,91100,0.0011,0.0011,1639800.0,
2012-05-02,18.0,18.07,17.81,17.84,139700,-0.0089,-0.0089,2492248.0,
2012-05-03,17.93,17.99,17.6,17.75,169000,-0.01,-0.005,2999750.0,
2012-05-04,17.15,17.67,16.75,17.53,241200,0.0222,-0.0124,4228236.0,
2012-05-07,17.43,17.5,16.82,17.5,216000,0.004,-0.0017,3780000.0,
2012-05-08,17.5,17.53,17.35,17.36,108000,-0.008,-0.008,1874880.0,
2012-05-09,17.2,17.24,16.55,16.8,498200,-0.0233,-0.0323,8369760.0,
2012-05-10,16.65,16.82,16.26,16.53,320800,-0.0072,-0.0161,5302824.0,
2012-05-11,16.45,16.81,16.44,16.6,145000,0.0091,0.0042,2407000.0,4287302.0
2012-05-14,16.18,16.98,16.02,16.63,148000,0.0278,0.0018,2461240.0,3532042.2
2012-05-15,16.52,16.6,16.46,16.57,109000,0.003,-0.0036,1806130.0,3555573.8
2012-05-16,16.53,16.61,16.48,16.5,128800,-0.0018,-0.0042,2125200.0,3572206.8
2012-05-17,16.5,16.61,16.11,16.45,120500,-0.003,-0.003,1982225.0,3535502.0
2012-05-18,16.38,16.78,16.12,16.76,203000,0.0232,0.0188,3402280.0,3433749.5
2012-05-21,16.66,17.05,16.65,17.0,105200,0.0204,0.0143,1788400.0,3351153.9
2012-05-22,16.75,16.93,16.45,16.46,93600,-0.0173,-0.0318,1540656.0,3151993.9
2012-05-23,16.3,16.55,16.11,16.55,126000,0.0153,0.0055,2085300.0,3118571.5
2012-05-24,16.56,16.72,16.36,16.72,78100,0.0097,0.0103,1305832.0,2490125.5
2012-05-25,16.72,16.72,16.45,16.64,58800,-0.0048,-0.0048,978432.0,2090426.3
2012-05-29,16.72,17.17,16.59,16.61,49200,-0.0066,-0.0018,817212.0,1947569.5
2012-05-30,16.49,16.84,16.49,16.55,52500,0.0036,-0.0036,868875.0,1783166.7
2012-05-31,16.6,16.65,16.29,16.49,79600,-0.0066,-0.0036,1312604.0,1689441.2
2012-06-01,16.13,16.51,16.12,16.35,55400,0.0136,-0.0085,905790.0,1608181.6
2012-06-04,16.28,16.73,15.76,16.57,113000,0.0178,0.0135,1872410.0,1500538.1
2012-06-05,16.48,17.0,16.48,16.8,81100,0.0194,0.0139,1362480.0,1347551.1
2012-06-06,16.93,17.29,16.57,17.17,72600,0.0142,0.022,1246542.0,1304959.1
2012-06-07,17.28,17.6,17.18,17.5,299300,0.0127,0.0192,5237750.0,1275547.7
2012-06-08,17.54,17.54,17.04,17.32,76200,-0.0125,-0.0103,1319784.0,1590792.7
2012-06-11,17.72,17.72,17.12,17.31,86900,-0.0231,-0.0006,1504239.0,1592187.9
2012-06-12,17.24,17.53,17.0,17.45,73700,0.0122,0.0081,1286065.0,1644768.6
2012-06-13,17.47,17.54,17.21,17.5,39200,0.0017,0.0029,686000.0,1691653.9
2012-06-14,17.43,17.5,17.4,17.5,71900,0.004,0.0,1258250.0,1673366.4
2012-06-15,17.55,18.0,17.44,17.98,399400,0.0245,0.0274,7181212.0,1667931.0
2012-06-18,17.74,17.74,17.39,17.52,89600,-0.0124,-0.0256,1569792.0,2295473.2
2012-06-19,17.64,17.65,17.24,17.33,97500,-0.0176,-0.0108,1689675.0,2265211.4
2012-06-20,17.23,17.63,17.2,17.63,46400,0.0232,0.0173,818032.0,2297930.9
2012-06-21,17.56,17.69,17.12,17.12,147500,-0.0251,-0.0289,2525200.0,2255079.9
2012-06-22,17.31,17.5,17.02,17.41,999800,0.0058,0.0169,17406518.0,1983824.9
2012-06-25,17.21,17.56,17.08,17.09,79400,-0.007,-0.0184,1356946.0,3592498.3
2012-06-26,17.21,17.27,16.84,17.03,76300,-0.0105,-0.0035,1299389.0,3577769.0
2012-06-27,17.04,17.28,16.71,17.2,55700,0.0094,0.01,958040.0,3579101.4
2012-06-28,17.1,17.22,16.76,17.2,116400,0.0058,0.0,2002080.0,3606305.4
2012-06-29,17.45,17.48,16.91,17.48,103600,0.0017,0.0163,1810928.0,3680688.4
2012-07-02,17.49,17.82,17.03,17.38,40400,-0.0063,-0.0057,702152.0,3143660.0
2012-07-03,17.32,17.4,17.24,17.35,12300,0.0017,-0.0017,213405.0,3056896.0
2012-07-05,17.31,17.5,17.19,17.2,7400,-0.0064,-0.0086,127280.0,2909269.0
2012-07-06,17.1,17.1,16.82,16.92,58000,-0.0105,-0.0163,981360.0,2840193.8
2012-07-09,16.85,16.93,16.73,16.91,23200,0.0036,-0.0006,392312.0,2685809.8
2012-07-10,16.92,17.31,16.88,17.17,20700,0.0148,0.0154,355419.0,984389.2
2012-07-11,17.15,17.15,16.75,16.85,59200,-0.0175,-0.0186,997520.0,884236.5
2012-07-12,16.7,16.92,16.7,16.78,45600,0.0048,-0.0042,765168.0,854049.6
2012-07-13,16.8,17.14,16.75,16.96,26300,0.0095,0.0107,446048.0,834762.4
2012-07-16,16.99,16.99,16.72,16.79,41000,-0.0118,-0.01,688390.0,679159.2
2012-07-17,16.71,17.03,16.71,16.79,41200,0.0048,0.0,691748.0,566905.4
2012-07-18,16.8,16.81,16.58,16.74,57900,-0.0036,-0.003,969246.0,565865.0
2012-07-19,16.85,17.0,16.7,16.85,46900,0.0,0.0066,790265.0,641449.1
2012-07-20,16.8,16.97,16.8,16.83,16600,0.0018,-0.0012,279378.0,707747.6
2012-07-23,16.8,17.06,16.63,16.74,47400,-0.0036,-0.0053,793476.0,637549.4
2012-07-24,16.7,16.95,16.69,16.89,49100,0.0114,0.009,829299.0,677665.8
2012-07-25,16.89,17.0,16.33,16.7,99700,-0.0112,-0.0112,1664990.0,725053.8
2012-07-26,16.7,16.87,16.48,16.75,65400,0.003,0.003,1095450.0,791800.8
2012-07-27,16.76,16.85,16.56,16.79,43000,0.0018,0.0024,721970.0,824829.0
2012-07-30,16.68,16.89,16.56,16.72,42900,0.0024,-0.0042,717288.0,852421.2
2012-07-31,16.76,16.97,16.56,16.74,84300,-0.0012,0.0012,1411182.0,855311.0
2012-08-01,16.8,16.99,16.51,16.51,65300,-0.0173,-0.0137,1078103.0,927254.4
2012-08-02,16.5,16.85,16.5,16.76,56300,0.0158,0.0151,943588.0,938140.1
2012-08-03,16.96,16.96,16.56,16.83,75000,-0.0077,0.0042,1262250.0,953472.4
2012-08-06,16.84,16.84,16.55,16.77,40600,-0.0042,-0.0036,680862.0,1051759.6
2012-08-07,16.8,16.99,16.68,16.75,91600,-0.003,-0.0012,1534300.0,1040498.2
