Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2020-05-18,30.0,30.99,29.73,30.0,819800,0.0,,24594000.0,
2020-05-19,30.03,31.88,29.8,31.14,837000,0.037,0.038,26064180.0,
2020-05-20,31.61,34.69,31.25,32.38,259900,0.0244,0.0398,8415562.0,
2020-05-21,32.79,35.0,32.7,34.33,445200,0.047,0.0602,15283716.0,
2020-05-22,34.78,36.28,34.0,35.3,380200,0.015,0.0283,13421060.0,
2020-05-26,35.83,37.33,35.39,36.4,342600,0.0159,0.0312,12470640.0,
2020-05-27,36.76,37.43,35.01,36.14,448300,-0.0169,-0.0071,16201562.0,
2020-05-28,36.0,37.98,35.06,37.95,279200,0.0542,0.0501,10595640.0,
2020-05-29,37.89,37.89,35.15,36.95,254100,-0.0248,-0.0264,9388995.0,
2020-06-01,36.79,37.56,35.39,36.23,215100,-0.0152,-0.0195,7793073.0,
2020-06-02,35.73,37.49,35.53,36.82,167400,0.0305,0.0163,6163668.0,14422842.8
2020-06-03,37.26,37.26,35.5,35.85,223900,-0.0378,-0.0263,8026815.0,12579809.6
2020-06-04,35.07,36.0,30.1,34.99,512000,-0.0023,-0.024,17914880.0,10776073.1
2020-06-05,35.0,35.4,34.17,34.95,139800,-0.0014,-0.0011,4886010.0,11726004.9
2020-06-08,35.49,36.53,34.54,35.25,124000,-0.0068,0.0086,4371000.0,10686234.3
2020-06-09,35.75,37.43,35.6,36.65,202700,0.0252,0.0397,7428955.0,9781228.3
2020-06-10,36.66,37.61,36.66,37.56,183100,0.0245,0.0248,6877236.0,9277059.8
2020-06-11,37.89,40.25,36.5,38.59,233200,0.0185,0.0274,8999188.0,8344627.2
2020-06-12,39.36,40.71,38.52,40.32,192700,0.0244,0.0448,7769664.0,8184982.0
2020-06-15,39.86,40.3,39.27,39.67,170100,-0.0048,-0.0161,6747867.0,8023048.9
2020-06-16,39.29,40.88,38.57,39.64,278500,0.0089,-0.0008,11039740.0,7918528.3
2020-06-17,38.96,40.0,38.0,39.1,215900,0.0036,-0.0136,8441690.0,8406135.5
