Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2019-11-15,25.42,25.51,25.19,25.5,3463739,0.0031,,88325344.5,
2019-11-18,25.5,25.59,25.43,25.54,1253678,0.0016,0.0016,32018936.12,
2019-11-19,25.51,26.0,25.5,25.85,1386323,0.0133,0.0121,35836449.55,
2019-11-20,25.79,25.92,24.75,25.8,1143420,0.0004,-0.0019,29500236.0,
2019-11-21,25.66,25.9,25.6,25.7,719707,0.0016,-0.0039,18496469.9,
2019-11-22,25.56,25.8,25.5,25.6,1081914,0.0016,-0.0039,27696998.4,
2019-11-25,25.73,25.88,25.67,25.82,582573,0.0035,0.0086,15042034.86,
2019-11-26,25.85,25.85,25.74,25.78,1042321,-0.0027,-0.0015,26871035.38,
2019-11-27,25.76,25.77,25.66,25.67,495980,-0.0035,-0.0043,12731806.6,
2019-11-29,25.68,25.76,25.3,25.31,1266234,-0.0144,-0.014,32048382.54,
2019-12-02,25.36,25.41,25.24,25.36,1199196,0.0,0.002,30411610.56,31856769.38
2019-12-03,25.29,25.47,25.29,25.42,179598,0.0051,0.0024,4565381.16,26065395.99
2019-12-04,25.46,25.54,25.4,25.44,90554,-0.0008,0.0008,2303693.76,23320040.49
2019-12-05,25.45,25.55,25.34,25.39,437282,-0.0024,-0.002,11102589.98,19966764.92
2019-12-06,25.33,25.44,25.3,25.44,62946,0.0043,0.002,1601346.24,18127000.31
2019-12-09,25.42,25.51,25.41,25.5,79284,0.0031,0.0024,2021742.0,16437487.95
2019-12-10,25.54,25.54,25.43,25.49,52349,-0.002,-0.0004,1334376.01,13869962.31
2019-12-11,25.49,25.58,25.46,25.55,168547,0.0024,0.0024,4306375.85,12499196.42
2019-12-12,25.56,25.6,25.46,25.51,150409,-0.002,-0.0016,3836933.59,10242730.47
2019-12-13,25.5,25.6,25.46,25.56,194229,0.0024,0.002,4964493.24,9353243.17
2019-12-16,25.58,25.7,25.54,25.68,95637,0.0039,0.0047,2455958.16,6644854.24
2019-12-17,25.68,25.72,25.64,25.72,61953,0.0016,0.0016,1593431.16,3849289.0
2019-12-18,25.76,25.85,25.67,25.8,147590,0.0016,0.0031,3807822.0,3552094.0
2019-12-19,25.83,25.83,25.75,25.8,767193,-0.0012,0.0,19793579.4,3702506.82
2019-12-20,25.83,25.92,25.8,25.92,75712,0.0035,0.0047,1962455.04,4571605.76
2019-12-23,25.94,26.04,25.86,26.04,52338,0.0039,0.0046,1362881.52,4607716.65
2019-12-24,26.03,26.03,25.95,25.99,23594,-0.0015,-0.0019,613208.06,4541830.6
2019-12-26,26.04,26.04,25.91,26.03,26545,-0.0004,0.0015,690966.35,4469713.8
2019-12-27,26.04,26.08,25.97,26.01,88458,-0.0012,-0.0008,2300792.58,4108172.85
2019-12-30,25.99,26.04,25.92,25.99,764297,0.0,-0.0008,19864079.03,3954558.75
2019-12-31,25.99,25.99,25.7,25.75,368513,-0.0092,-0.0092,9489209.75,5444517.33
2020-01-02,25.81,26.05,25.81,26.04,119130,0.0089,0.0113,3102145.2,6147842.49
2020-01-03,26.04,26.13,25.99,26.02,83635,-0.0008,-0.0008,2176182.7,6298713.89
2020-01-06,26.05,26.07,25.94,26.05,46804,0.0,0.0012,1219244.2,6135549.96
2020-01-07,26.05,26.07,25.95,25.95,85172,-0.0038,-0.0038,2210213.4,4278116.44
2020-01-08,26.0,26.09,26.0,26.09,179960,0.0035,0.0054,4695156.4,4302892.28
2020-01-09,26.09,26.29,26.03,26.26,246955,0.0065,0.0065,6485038.3,4636119.77
2020-01-10,26.26,26.35,26.21,26.35,29514,0.0034,0.0034,777693.9,5223302.79
2020-01-13,26.35,26.4,26.31,26.38,21308,0.0011,0.0011,562105.04,5231975.55
2020-01-14,26.39,26.4,26.31,26.4,28273,0.0004,0.0008,746407.2,5058106.79
2020-01-15,26.4,26.46,26.26,26.38,53532,-0.0008,-0.0008,1412174.16,3146339.61
2020-01-16,26.41,26.41,26.26,26.4,44391,-0.0004,0.0008,1171922.4,2338636.05
2020-01-17,26.4,26.53,26.31,26.48,126580,0.003,0.003,3351838.4,2145613.77
2020-01-21,26.55,26.55,26.43,26.48,43408,-0.0026,0.0,1149443.84,2263179.34
2020-01-22,26.41,26.52,26.35,26.52,130429,0.0042,0.0015,3458977.08,2256199.3
2020-01-23,26.52,26.52,26.37,26.46,23895,-0.0023,-0.0023,632261.7,2381075.67
2020-01-24,26.49,26.52,26.36,26.43,33442,-0.0023,-0.0011,883872.06,1974786.2
2020-01-27,26.32,26.4,26.27,26.3,24680,-0.0008,-0.0049,649084.0,1414669.58
2020-01-28,26.36,26.48,26.29,26.29,59515,-0.0027,-0.0004,1564649.35,1401808.59
2020-01-29,26.42,26.43,26.33,26.42,56237,0.0,0.0049,1485781.54,1502063.02
2020-01-30,26.45,26.56,26.38,26.55,45548,0.0038,0.0049,1209299.4,1576000.45
2020-01-31,26.55,26.55,26.22,26.26,314051,-0.0109,-0.0109,8246979.26,1555712.98
2020-02-03,26.32,26.35,26.31,26.34,47957,0.0008,0.003,1263187.38,2263218.66
2020-02-04,26.38,26.46,26.36,26.44,49253,0.0023,0.0038,1302249.32,2054353.56
2020-02-05,26.48,26.5,26.35,26.5,341426,0.0008,0.0023,9047789.0,2069634.11
2020-02-06,26.49,26.57,26.49,26.56,19430,0.0026,0.0023,516060.8,2628515.3
2020-02-07,26.6,26.72,26.52,26.55,60337,-0.0019,-0.0004,1601947.35,2616895.21
2020-02-10,26.6,26.65,26.55,26.57,19565,-0.0011,0.0008,519842.05,2688702.74
2020-02-11,26.6,26.63,26.51,26.55,47607,-0.0019,-0.0008,1263965.85,2675778.54
2020-02-12,26.58,26.61,26.56,26.56,34862,-0.0008,0.0004,925934.72,2645710.19
2020-02-13,26.18,26.23,26.13,26.15,61221,-0.0011,-0.0154,1600929.15,2589725.51
2020-02-14,26.19,26.3,26.16,26.29,99783,0.0038,0.0054,2623295.07,2628888.49
2020-02-18,26.3,26.36,26.25,26.26,35903,-0.0015,-0.0011,942812.78,2066520.07
2020-02-19,26.32,26.32,26.09,26.11,47245,-0.008,-0.0057,1233566.95,2034482.61
2020-02-20,26.17,26.28,26.13,26.26,40931,0.0034,0.0057,1074848.06,2027614.37
2020-02-21,26.28,26.28,26.17,26.17,58571,-0.0042,-0.0034,1532803.07,1230320.28
2020-02-24,25.98,26.13,25.92,26.0,35111,0.0008,-0.0065,912886.0,1331994.5
