Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,16.41,16.64,16.36,16.58,708000,0.0104,,11738640.0,
2003-12-02,16.58,16.58,16.45,16.54,291150,-0.0024,-0.0024,4815621.0,
2003-12-03,16.54,16.77,16.52,16.58,461100,0.0024,0.0024,7645038.0,
2003-12-04,16.58,16.71,16.5,16.67,355500,0.0054,0.0054,5926185.0,
2003-12-05,16.57,16.77,16.54,16.67,264600,0.006,0.0,4410882.0,
2003-12-08,16.75,16.97,16.73,16.97,340200,0.0131,0.018,5773194.0,
2003-12-09,16.93,17.04,16.83,16.91,286800,-0.0012,-0.0035,4849788.0,
2003-12-10,16.83,17.04,16.57,16.78,360600,-0.003,-0.0077,6050868.0,
2003-12-11,16.75,17.01,16.75,16.94,255900,0.0113,0.0095,4334946.0,
2003-12-12,16.87,16.95,16.73,16.89,331950,0.0012,-0.003,5606635.5,
2003-12-15,16.97,17.13,16.84,17.03,409950,0.0035,0.0083,6981448.5,6115179.75
2003-12-16,17.03,17.25,17.03,17.17,320850,0.0082,0.0082,5508994.5,5639460.6
2003-12-17,17.18,17.18,16.88,16.93,213000,-0.0146,-0.014,3606090.0,5708797.95
2003-12-18,17.0,17.18,16.81,17.17,398700,0.01,0.0142,6845679.0,5304903.15
2003-12-19,17.23,17.23,16.95,17.06,444450,-0.0099,-0.0064,7582317.0,5396852.55
2003-12-22,17.07,17.29,16.95,17.29,393750,0.0129,0.0135,6807937.5,5713996.05
2003-12-23,17.2,17.25,17.03,17.17,188850,-0.0017,-0.0069,3242554.5,5817470.4
2003-12-24,17.24,17.33,17.21,17.3,77550,0.0035,0.0076,1341615.0,5656747.05
2003-12-26,17.31,17.46,17.3,17.3,89400,-0.0006,0.0,1546620.0,5185821.75
2003-12-29,17.55,17.63,17.47,17.55,271350,0.0,0.0145,4762192.5,4906989.15
2003-12-30,17.55,17.73,17.53,17.73,276450,0.0103,0.0103,4901458.5,4822544.85
2003-12-31,17.67,17.8,17.57,17.64,327900,-0.0017,-0.0051,5784156.0,4614545.85
2004-01-02,17.65,17.84,17.52,17.63,229800,-0.0011,-0.0006,4051374.0,4642062.0
2004-01-05,17.69,18.1,17.69,18.1,493350,0.0232,0.0267,8929635.0,4686590.4
2004-01-06,18.05,18.34,18.04,18.23,460050,0.01,0.0072,8386711.5,4894986.0
2004-01-07,18.11,18.21,17.87,18.08,490500,-0.0017,-0.0082,8868240.0,4975425.45
2004-01-08,18.15,18.29,18.01,18.22,154800,0.0039,0.0077,2820456.0,5181455.7
2004-01-09,18.12,18.41,18.03,18.2,161250,0.0044,-0.0011,2934750.0,5139245.85
2004-01-12,17.9,18.04,17.68,17.98,741450,0.0045,-0.0121,13331271.0,5298559.35
2004-01-13,17.86,17.93,17.74,17.8,315300,-0.0034,-0.01,5612340.0,6477024.45
2004-01-14,17.93,18.07,17.86,17.9,284400,-0.0017,0.0056,5090760.0,6562039.2
2004-01-15,17.87,18.18,17.79,18.01,215550,0.0078,0.0061,3882055.5,6580969.35
2004-01-16,18.13,18.37,18.13,18.37,207000,0.0132,0.02,3802590.0,6390759.3
2004-01-20,18.4,18.73,18.37,18.61,428550,0.0114,0.0131,7975315.5,6365880.9
2004-01-21,18.61,18.69,18.13,18.34,814200,-0.0145,-0.0145,14932428.0,6270448.95
2004-01-22,18.4,18.45,18.16,18.21,368850,-0.0103,-0.0071,6716758.5,6925020.6
2004-01-23,18.19,18.47,18.19,18.29,226800,0.0055,0.0044,4148172.0,6709872.45
2004-01-26,18.29,18.57,18.29,18.55,501150,0.0142,0.0142,9296332.5,6842644.05
2004-01-27,18.59,18.65,18.41,18.61,405600,0.0011,0.0032,7548216.0,7478802.3
2004-01-28,18.63,18.91,18.51,18.75,602700,0.0064,0.0075,11300625.0,6900496.8
2004-01-29,18.69,18.93,18.69,18.93,715050,0.0128,0.0096,13535896.5,7469325.3
2004-01-30,18.87,19.11,18.68,19.08,432150,0.0111,0.0079,8245422.0,8313838.95
2004-02-02,19.4,19.45,19.23,19.37,783300,-0.0015,0.0152,15172521.0,8750175.6
2004-02-03,19.37,19.41,19.3,19.39,272400,0.001,0.001,5281836.0,9887168.7
2004-02-04,19.35,19.35,19.17,19.21,483900,-0.0072,-0.0093,9295719.0,9617820.75
2004-02-05,19.13,19.14,18.89,19.02,317550,-0.0058,-0.0099,6039801.0,9054149.85
2004-02-06,19.02,19.33,18.97,19.33,449700,0.0163,0.0163,8692701.0,8986454.1
2004-02-09,19.43,19.77,19.27,19.72,256500,0.0149,0.0202,5058180.0,9440907.0
2004-02-10,19.73,19.77,19.47,19.72,349950,-0.0005,0.0,6901014.0,9017091.75
2004-02-11,19.73,19.83,19.48,19.83,215550,0.0051,0.0056,4274356.5,8952371.55
2004-02-12,19.83,19.83,19.43,19.57,388350,-0.0131,-0.0131,7600009.5,8249744.7
2004-02-13,19.58,19.72,19.37,19.58,239850,0.0,0.0005,4696263.0,7656156.0
2004-02-17,19.87,19.89,19.7,19.87,277350,0.0,0.0148,5510944.5,7301240.1
2004-02-18,19.8,20.17,19.79,20.17,502200,0.0187,0.0151,10129374.0,6335082.45
2004-02-19,20.1,20.11,19.91,20.01,468750,-0.0045,-0.0079,9379687.5,6819836.25
2004-02-20,20.02,20.09,20.0,20.07,336900,0.0025,0.003,6761583.0,6828233.1
2004-02-23,20.1,20.1,19.96,19.99,539850,-0.0055,-0.004,10791601.5,6900411.3
2004-02-24,20.03,20.03,19.77,19.87,269100,-0.008,-0.006,5347017.0,7110301.35
2004-02-25,19.8,19.97,19.69,19.92,415050,0.0061,0.0025,8267796.0,7139185.05
2004-02-26,19.97,20.11,19.92,20.11,401100,0.007,0.0095,8066121.0,7275863.25
2004-02-27,20.11,20.11,19.9,20.05,699450,-0.003,-0.003,14023972.5,7655039.7
2004-03-01,19.95,20.13,19.89,20.13,602250,0.009,0.004,12123292.5,8297436.0
2004-03-02,20.0,20.17,20.0,20.15,327300,0.0075,0.001,6595095.0,9040138.95
2004-03-03,20.07,20.23,20.0,20.23,364650,0.008,0.004,7376869.5,9148554.0
2004-03-04,20.2,20.41,20.05,20.39,196800,0.0094,0.0079,4012752.0,8873303.55
2004-03-05,20.39,20.57,20.29,20.56,207750,0.0083,0.0083,4271340.0,8336610.0
2004-03-08,20.53,20.62,20.24,20.24,306450,-0.0141,-0.0156,6202548.0,8087585.7
2004-03-09,20.27,20.33,20.23,20.29,283500,0.001,0.0025,5752215.0,7628680.35
2004-03-10,20.2,20.28,20.01,20.03,400800,-0.0084,-0.0128,8028024.0,7669200.15
2004-03-11,19.85,19.91,19.43,19.43,320700,-0.0212,-0.03,6231201.0,7645222.95
2004-03-12,19.27,19.63,19.27,19.59,314700,0.0166,0.0082,6164973.0,7461730.95
2004-03-15,19.59,19.59,18.97,19.0,450750,-0.0301,-0.0301,8564250.0,6675831.0
2004-03-16,19.12,19.24,19.03,19.18,415200,0.0031,0.0095,7963536.0,6319926.75
2004-03-17,19.27,19.37,19.19,19.37,153600,0.0052,0.0099,2975232.0,6456770.85
2004-03-18,19.2,19.61,19.2,19.57,156450,0.0193,0.0103,3061726.5,6016607.1
2004-03-19,19.53,19.62,19.47,19.62,232350,0.0046,0.0026,4558707.0,5921504.55
2004-03-22,19.57,19.57,18.84,18.87,338250,-0.0358,-0.0382,6382777.5,5950241.25
2004-03-23,19.0,19.0,18.85,18.87,145050,-0.0068,0.0,2737093.5,5968264.2
2004-03-24,18.87,18.96,18.84,18.87,261750,0.0,0.0,4939222.5,5666752.05
2004-03-25,18.86,19.48,18.86,19.47,535650,0.0323,0.0318,10429105.5,5357871.9
2004-03-26,19.41,19.6,19.37,19.41,264300,0.0,-0.0031,5130063.0,5777662.35
2004-03-29,19.53,19.77,19.51,19.73,351600,0.0102,0.0165,6937068.0,5674171.35
2004-03-30,19.77,20.03,19.67,20.03,216750,0.0132,0.0152,4341502.5,5511453.15
2004-03-31,20.0,20.01,19.8,19.89,303900,-0.0055,-0.007,6044571.0,5149249.8
2004-04-01,19.8,20.55,19.8,20.55,346800,0.0379,0.0332,7126740.0,5456183.7
2004-04-02,20.59,20.61,20.36,20.55,237450,-0.0019,0.0,4879597.5,5862685.05
2004-04-05,20.56,20.67,20.53,20.59,229200,0.0015,0.0019,4719228.0,5894774.1
2004-04-06,20.55,20.55,20.1,20.17,563400,-0.0185,-0.0204,11363778.0,5728419.15
2004-04-07,20.2,20.29,20.03,20.13,521550,-0.0035,-0.002,10498801.5,6591087.6
2004-04-08,20.18,20.35,20.01,20.07,289500,-0.0055,-0.003,5810265.0,7147045.5
2004-04-12,19.95,20.22,19.95,20.22,303000,0.0135,0.0075,6126660.0,6685161.45
2004-04-13,20.23,20.25,19.91,19.91,285150,-0.0158,-0.0153,5677336.5,6784821.15
2004-04-14,19.92,20.2,19.89,19.93,297300,0.0005,0.001,5925189.0,6658848.0
2004-04-15,19.93,20.03,19.71,19.9,275550,-0.0015,-0.0015,5483445.0,6817216.65
2004-04-16,19.9,20.1,19.9,20.05,200550,0.0075,0.0075,4021027.5,6761104.05
2004-04-19,20.08,20.1,19.99,20.08,138000,0.0,0.0015,2771040.0,6450532.8
2004-04-20,20.08,20.21,19.69,19.75,247200,-0.0164,-0.0164,4882200.0,6239677.05
2004-04-21,19.75,19.95,19.6,19.93,140550,0.0091,0.0091,2801161.5,6255974.25
2004-04-22,19.95,20.28,19.74,20.19,186000,0.012,0.013,3755340.0,5399712.6
2004-04-23,20.12,20.13,19.91,20.09,137550,-0.0015,-0.005,2763379.5,4725366.45
2004-04-26,20.05,20.3,19.93,20.03,325500,-0.001,-0.003,6519765.0,4420677.9
2004-04-27,20.1,20.35,20.0,20.35,435450,0.0124,0.016,8861407.5,4459988.4
2004-04-28,20.3,20.32,20.02,20.19,236100,-0.0054,-0.0079,4766859.0,4778395.5
2004-04-29,20.19,20.31,19.99,20.22,257700,0.0015,0.0015,5210694.0,4662562.5
2004-04-30,20.17,20.47,20.1,20.47,442200,0.0149,0.0124,9051834.0,4635287.4
2004-05-03,20.47,20.47,20.21,20.27,335100,-0.0098,-0.0098,6792477.0,5138368.05
