Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2020-08-14,24.95,25.15,24.91,25.02,3402499,0.0028,,85130524.98,
2020-08-17,25.54,25.54,25.1,25.18,284760,-0.0141,0.0064,7170256.8,
2020-08-18,25.2,25.6,25.15,25.57,783013,0.0147,0.0155,20021642.41,
2020-08-19,25.52,25.7,25.52,25.65,323263,0.0051,0.0031,8291695.95,
2020-08-20,25.75,25.75,25.6,25.75,164524,0.0,0.0039,4236493.0,
2020-08-21,25.85,26.25,25.78,25.9,118276,0.0019,0.0058,3063348.4,
2020-08-24,25.88,26.0,25.65,25.99,79259,0.0043,0.0035,2059941.41,
2020-08-25,25.9,26.0,25.75,25.93,66366,0.0012,-0.0023,1720870.38,
2020-08-26,26.24,26.24,25.88,25.95,186762,-0.0111,0.0008,4846473.9,
2020-08-27,25.95,26.03,25.74,25.79,88770,-0.0062,-0.0062,2289378.3,
2020-08-28,25.8,25.81,25.64,25.7,108380,-0.0039,-0.0035,2785366.0,13883062.55
2020-08-31,25.76,25.76,25.5,25.57,268257,-0.0074,-0.0051,6859331.49,5648546.65
2020-09-01,25.64,25.9,25.56,25.88,101900,0.0094,0.0121,2637172.0,5617454.12
2020-09-02,25.89,25.94,25.79,25.84,88332,-0.0019,-0.0015,2282498.88,3879007.08
2020-09-03,25.89,25.89,25.6,25.65,111991,-0.0093,-0.0074,2872569.15,3278087.38
2020-09-04,25.7,25.77,25.52,25.74,78775,0.0016,0.0035,2027668.5,3141694.99
2020-09-08,25.55,25.72,25.3,25.61,44750,0.0023,-0.0051,1146047.5,3038127.0
2020-09-09,25.7,25.84,25.65,25.8,92343,0.0039,0.0074,2382449.4,2946737.61
2020-09-10,25.8,26.01,25.8,25.9,268727,0.0039,0.0039,6960029.3,3012895.51
2020-09-11,25.88,25.95,25.84,25.89,51106,0.0004,-0.0004,1323134.34,3224251.05
2020-09-14,26.04,26.05,25.88,26.02,127437,-0.0008,0.005,3315910.74,3127626.66
2020-09-15,26.05,26.05,25.91,25.96,65697,-0.0035,-0.0023,1705494.12,3180681.13
2020-09-16,25.99,26.05,25.95,26.0,80440,0.0004,0.0015,2091440.0,2665297.39
2020-09-17,25.89,26.05,25.83,26.04,44803,0.0058,0.0015,1166670.12,2610724.19
2020-09-18,25.92,26.0,25.88,25.97,35288,0.0019,-0.0027,916429.36,2499141.32
2020-09-21,25.85,26.0,25.75,25.9,52190,0.0019,-0.0027,1351721.0,2303527.34
2020-09-22,26.02,26.02,25.87,25.98,87204,-0.0015,0.0031,2265559.92,2235932.59
2020-09-23,26.04,26.04,25.65,25.89,134376,-0.0058,-0.0035,3478994.64,2347883.83
2020-09-24,25.75,25.98,25.64,25.88,45642,0.005,-0.0004,1181214.96,2457538.35
2020-09-25,25.94,26.04,25.86,26.0,47283,0.0023,0.0046,1229358.0,1879656.92
2020-09-28,26.05,26.29,25.95,26.17,75091,0.0046,0.0065,1965131.47,1870279.29
2020-09-29,26.32,26.32,26.03,26.25,37152,-0.0027,0.0031,975240.0,1735201.36
2020-09-30,26.29,26.34,26.03,26.16,485077,-0.0049,-0.0034,12689614.32,1662175.95
2020-10-01,26.09,26.15,26.0,26.1,37038,0.0004,-0.0023,966691.8,2721993.38
2020-10-02,26.0,26.22,26.0,26.2,25715,0.0077,0.0038,673733.0,2701995.55
2020-10-05,26.23,26.49,26.23,26.45,20005,0.0084,0.0095,529132.25,2677725.91
2020-10-06,26.45,26.72,26.1,26.13,50718,-0.0121,-0.0121,1325261.34,2595467.04
2020-10-07,26.24,26.4,26.2,26.34,16866,0.0038,0.008,444250.44,2501437.18
2020-10-08,26.34,26.36,26.08,26.21,23227,-0.0049,-0.0049,608779.67,2197962.76
2020-10-09,26.16,26.21,26.16,26.17,6526,0.0004,-0.0015,170785.42,2140719.23
2020-10-12,26.32,26.33,26.19,26.21,10488,-0.0042,0.0015,274890.48,2034861.97
2020-10-13,26.15,26.25,26.15,26.24,7044,0.0034,0.0011,184834.56,1865837.87
2020-10-14,26.25,26.25,26.15,26.23,5100,-0.0008,-0.0004,133773.0,1786797.33
2020-10-15,26.23,26.25,26.02,26.2,14644,-0.0011,-0.0011,383672.8,531213.2
2020-10-16,26.32,26.32,26.03,26.19,20242,-0.0049,-0.0004,530137.98,472911.3
2020-10-19,26.25,26.3,26.0,26.01,17374,-0.0091,-0.0069,451897.74,458551.79
2020-10-20,26.16,26.16,26.0,26.1,19099,-0.0023,0.0035,498483.9,450828.34
2020-10-21,26.03,26.33,26.02,26.2,30052,0.0065,0.0038,787362.4,368150.6
2020-10-22,26.18,26.49,26.17,26.39,30252,0.008,0.0073,798350.28,402461.8
2020-10-23,26.49,26.94,26.43,26.88,19330,0.0147,0.0186,519590.4,421418.86
2020-10-26,26.51,26.53,26.25,26.25,8745,-0.0098,-0.0234,229556.25,456299.35
2020-10-27,26.43,26.67,26.33,26.67,10830,0.0091,0.016,288836.1,451765.93
2020-10-28,26.71,26.72,26.24,26.24,18636,-0.0176,-0.0161,489008.64,462166.08
2020-10-29,26.24,26.39,26.16,26.25,43785,0.0004,0.0004,1149356.25,497689.65
2020-10-30,26.37,26.5,26.29,26.45,15166,0.003,0.0076,401140.7,574257.99
2020-11-02,26.76,26.76,26.4,26.4,5275,-0.0135,-0.0019,139260.0,561358.27
2020-11-03,26.02,26.6,25.82,26.37,12527,0.0135,-0.0011,330336.99,530094.49
2020-11-04,26.32,27.09,26.32,27.04,17879,0.0274,0.0254,483448.16,513279.8
2020-11-05,27.01,27.04,26.75,26.79,4297,-0.0081,-0.0092,115116.63,482888.38
2020-11-06,26.78,26.99,26.62,26.62,16699,-0.006,-0.0063,444527.38,414565.01
2020-11-09,26.95,26.95,26.71,26.71,11484,-0.0089,0.0034,306737.64,407058.71
2020-11-10,26.82,26.82,26.66,26.77,6826,-0.0019,0.0022,182732.02,414776.85
2020-11-11,26.8,26.86,26.8,26.84,2662,0.0015,0.0026,71448.08,404166.44
2020-11-12,26.81,26.84,26.73,26.75,13453,-0.0022,-0.0034,359867.75,362410.38
2020-11-13,26.68,26.85,26.68,26.81,6308,0.0049,0.0022,169117.48,283461.54
2020-11-16,26.83,26.86,26.7,26.86,12138,0.0011,0.0019,326026.68,260259.21
2020-11-17,26.78,27.42,26.78,27.2,19168,0.0157,0.0127,521369.6,278935.88
2020-11-18,27.28,27.39,27.02,27.02,13493,-0.0095,-0.0066,364580.86,298039.14
2020-11-19,27.38,27.38,27.02,27.02,3753,-0.0131,0.0,101406.06,286152.41
2020-11-20,27.02,27.02,27.02,27.02,0,0.0,0.0,0.0,284781.36
2020-11-23,27.17,27.17,27.0,27.07,8414,-0.0037,0.0019,227766.98,240328.62
2020-11-24,27.38,27.4,26.87,27.35,2120,-0.0011,0.0103,57982.0,232431.55
2020-11-25,27.3,27.34,27.04,27.2,2519,-0.0037,-0.0055,68516.8,219956.55
2020-11-27,27.03,27.19,27.03,27.06,1705,0.0011,-0.0051,46137.3,219663.42
2020-11-30,27.07,27.18,27.03,27.1,3777,0.0011,0.0015,102356.7,188290.38
2020-12-01,27.15,27.17,27.03,27.05,10151,-0.0037,-0.0018,274584.55,181614.3
2020-12-02,27.18,27.18,27.0,27.0,5910,-0.0066,-0.0018,159570.0,176470.09
2020-12-03,27.0,27.01,26.91,26.91,5177,-0.0033,-0.0033,139313.07,140290.12
2020-12-04,27.1,27.52,27.0,27.25,31461,0.0055,0.0126,857312.25,117763.35
2020-12-07,27.0,27.2,26.77,27.0,6008,0.0,-0.0092,162216.0,193353.96
2020-12-08,27.22,27.38,27.09,27.09,21384,-0.0048,0.0033,579292.56,209575.56
2020-12-09,27.14,27.15,26.85,26.86,5816,-0.0103,-0.0085,156217.76,244728.12
2020-12-10,26.88,26.88,26.8,26.8,2583,-0.003,-0.0022,69224.4,254551.7
2020-12-11,27.0,27.2,26.8,27.0,17199,0.0,0.0075,464373.0,254622.46
2020-12-14,26.99,26.99,26.87,26.94,12749,-0.0019,-0.0022,343458.06,296446.03
2020-12-15,26.94,26.94,26.89,26.91,1113,-0.0011,-0.0011,29950.83,320556.17
2020-12-16,26.88,26.89,26.75,26.75,6733,-0.0048,-0.0059,180107.75,296092.79
2020-12-17,26.8,26.94,26.8,26.81,16043,0.0004,0.0022,430112.83,298146.57
2020-12-18,26.77,26.85,26.77,26.82,2637,0.0019,0.0004,70724.34,327226.54
2020-12-21,26.88,27.07,26.88,27.01,6154,0.0048,0.0071,166219.54,248567.75
2020-12-22,27.16,27.3,26.82,26.9,12379,-0.0096,-0.0041,332995.1,248968.11
2020-12-23,26.97,27.18,26.87,26.87,6197,-0.0037,-0.0011,166513.39,224338.36
2020-12-24,26.83,27.16,26.83,27.07,4671,0.0089,0.0074,126443.97,225367.92
2020-12-28,26.96,27.24,26.96,27.05,12893,0.0033,-0.0007,348755.65,231089.88
2020-12-29,27.06,27.09,27.06,27.08,1200,0.0007,0.0011,32496.0,219528.15
2020-12-30,27.31,27.31,27.2,27.2,957,-0.004,0.0044,26030.4,188431.94
2020-12-31,27.05,27.21,27.05,27.21,1734,0.0059,0.0004,47182.14,188039.9
2021-01-04,27.13,27.13,26.99,27.09,3109,-0.0015,-0.0044,84222.81,174747.34
2021-01-05,27.1,27.1,26.92,27.08,5098,-0.0007,-0.0004,138053.84,140158.33
2021-01-06,26.76,26.76,26.4,26.58,10145,-0.0067,-0.0185,269654.1,146891.28
2021-01-07,26.57,26.67,25.77,26.42,11550,-0.0056,-0.006,305151.0,157234.74
2021-01-08,26.38,26.6,26.24,26.35,5114,-0.0011,-0.0026,134753.9,154450.33
