Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,9.76,10.18,9.7,9.9,80700,0.0143,,798930.0,
2003-12-02,9.86,9.86,9.79,9.82,11100,-0.0041,-0.0081,109002.0,
2003-12-03,9.82,9.96,9.77,9.79,124000,-0.0031,-0.0031,1213960.0,
2003-12-04,9.8,10.2,9.79,9.97,55900,0.0173,0.0184,557323.0,
2003-12-05,9.87,10.1,9.87,9.94,75400,0.0071,-0.003,749476.0,
2003-12-08,9.84,9.91,9.84,9.91,6400,0.0071,-0.003,63424.0,
2003-12-09,9.81,9.89,9.73,9.8,19100,-0.001,-0.0111,187180.0,
2003-12-10,9.7,9.84,9.7,9.83,1300,0.0134,0.0031,12779.0,
2003-12-11,9.83,9.87,9.65,9.87,153600,0.0041,0.0041,1516032.0,
2003-12-12,9.87,10.25,9.87,10.14,6600,0.0274,0.0274,66924.0,
2003-12-15,10.15,10.3,10.15,10.15,4800,0.0,0.001,48720.0,527503.0
2003-12-16,10.05,10.18,9.96,10.0,3900,-0.005,-0.0148,39000.0,452482.0
2003-12-17,10.05,10.09,9.9,9.95,81700,-0.01,-0.005,812915.0,445481.8
2003-12-18,9.95,9.98,9.75,9.97,8700,0.002,0.002,86739.0,405377.3
2003-12-19,10.03,10.12,10.03,10.08,10600,0.005,0.011,106848.0,358318.9
2003-12-22,10.18,10.4,10.18,10.4,2900,0.0216,0.0317,30160.0,294056.1
2003-12-23,10.51,10.51,10.5,10.5,600,-0.001,0.0096,6300.0,290729.7
2003-12-24,10.5,10.5,10.5,10.5,1200,0.0,0.0,12600.0,272641.7
2003-12-26,10.6,10.6,10.48,10.48,3100,-0.0113,-0.0019,32488.0,272623.8
2003-12-29,10.49,10.55,10.47,10.55,7800,0.0057,0.0067,82290.0,124269.4
2003-12-30,10.55,10.76,10.55,10.76,28300,0.0199,0.0199,304508.0,125806.0
2003-12-31,10.74,10.96,10.68,10.96,17300,0.0205,0.0186,189608.0,151384.8
2004-01-02,10.86,10.95,10.86,10.94,2600,0.0074,-0.0018,28444.0,166445.6
2004-01-05,10.99,11.13,10.95,11.08,6800,0.0082,0.0128,75344.0,87998.5
2004-01-06,11.2,11.36,11.2,11.22,11100,0.0018,0.0126,124542.0,86859.0
2004-01-07,11.23,11.4,11.1,11.24,10100,0.0009,0.0018,113524.0,88628.4
2004-01-08,11.24,11.35,11.24,11.34,5000,0.0089,0.0089,56700.0,96964.8
2004-01-09,11.3,11.39,11.2,11.37,26700,0.0062,0.0026,303579.0,102004.8
2004-01-12,11.45,11.85,11.45,11.85,8200,0.0349,0.0422,97170.0,131102.7
2004-01-13,12.0,12.08,11.75,11.83,27500,-0.0142,-0.0017,325325.0,137570.9
2004-01-14,11.78,12.02,11.61,11.91,6100,0.011,0.0068,72651.0,161874.4
2004-01-15,11.91,11.99,11.91,11.99,2500,0.0067,0.0067,29975.0,138688.7
2004-01-16,11.93,11.93,11.9,11.92,2700,-0.0008,-0.0058,32184.0,122725.4
2004-01-20,11.9,12.02,11.85,11.9,74300,0.0,-0.0017,884170.0,123099.4
2004-01-21,11.94,11.94,11.75,11.75,3200,-0.0159,-0.0126,37600.0,203982.0
2004-01-22,11.75,11.76,11.73,11.75,15700,0.0,0.0,184475.0,195287.8
2004-01-23,11.85,11.85,11.67,11.72,7000,-0.011,-0.0026,82040.0,202382.9
2004-01-26,11.82,11.82,11.6,11.6,43900,-0.0186,-0.0102,509240.0,204916.9
2004-01-27,11.7,11.78,11.7,11.72,17400,0.0017,0.0103,203928.0,225483.0
2004-01-28,11.82,11.82,11.64,11.65,12300,-0.0144,-0.006,143295.0,236158.8
2004-01-29,11.75,11.75,11.13,11.22,5800,-0.0451,-0.0369,65076.0,217955.8
2004-01-30,11.2,11.33,11.06,11.06,77800,-0.0125,-0.0143,860468.0,217198.3
2004-02-02,11.16,11.25,10.75,10.75,56400,-0.0367,-0.028,606300.0,300247.6
2004-02-03,10.85,10.97,10.8,10.96,9000,0.0101,0.0195,98640.0,357659.2
2004-02-04,11.06,11.14,11.04,11.04,1800,-0.0018,0.0073,19872.0,279106.2
2004-02-05,11.1,11.14,11.0,11.01,31000,-0.0081,-0.0027,341310.0,277333.4
2004-02-06,11.1,11.1,11.0,11.0,3400,-0.009,-0.0009,37400.0,293016.9
2004-02-09,11.1,11.11,10.95,11.0,21100,-0.009,0.0,232100.0,288552.9
2004-02-10,11.08,11.08,10.93,11.02,2200,-0.0054,0.0018,24244.0,260838.9
2004-02-11,11.12,11.12,11.0,11.0,14900,-0.0108,-0.0018,163900.0,242870.5
2004-02-12,11.1,11.26,11.07,11.11,8700,0.0009,0.01,96657.0,244931.0
2004-02-13,11.08,11.1,10.96,10.96,24900,-0.0108,-0.0135,272904.0,248089.1
2004-02-17,11.0,11.2,10.98,11.0,54700,0.0,0.0036,601700.0,189332.7
