Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2015-06-26,16.05,17.88,15.9,16.88,9088400,0.0517,,153412192.0,
2015-06-29,16.79,16.89,15.75,15.77,891000,-0.0608,-0.0658,14051070.0,
2015-06-30,16.0,16.25,14.71,15.38,805000,-0.0387,-0.0247,12380900.0,
2015-07-01,16.66,16.68,15.62,15.72,924500,-0.0564,0.0221,14533140.0,
2015-07-02,15.85,17.65,15.6,17.04,695300,0.0751,0.084,11847912.0,
2015-07-06,16.75,18.64,16.6,18.11,1145100,0.0812,0.0628,20737761.0,
2015-07-07,18.78,19.15,17.0,17.63,964600,-0.0612,-0.0265,17005898.0,
2015-07-08,17.36,17.69,16.75,17.39,579000,0.0017,-0.0136,10068810.0,
2015-07-09,17.52,17.96,16.3,16.45,329400,-0.0611,-0.0541,5418630.0,
2015-07-10,16.73,17.0,15.7,16.15,418800,-0.0347,-0.0182,6763620.0,
2015-07-13,16.3,16.7,15.8,16.21,249600,-0.0055,0.0037,4046016.0,26621993.3
2015-07-14,16.23,17.65,15.84,17.59,541500,0.0838,0.0851,9524985.0,11685375.7
2015-07-15,17.6,17.95,17.04,17.09,256500,-0.029,-0.0284,4383585.0,11232767.2
2015-07-16,17.31,17.5,16.61,17.18,340700,-0.0075,0.0053,5853226.0,10433035.7
2015-07-17,17.17,17.96,16.9,17.73,262300,0.0326,0.032,4650579.0,9565044.3
2015-07-20,18.0,18.85,17.37,18.78,400700,0.0433,0.0592,7525146.0,8845311.0
2015-07-21,18.68,18.68,17.2,18.0,685600,-0.0364,-0.0415,12340800.0,7524049.5
2015-07-22,18.38,18.38,17.74,17.99,299700,-0.0212,-0.0006,5391603.0,7057539.7
2015-07-23,18.07,18.46,17.27,17.74,486400,-0.0183,-0.0139,8628736.0,6589819.0
2015-07-24,17.81,18.0,17.3,17.63,158700,-0.0101,-0.0062,2797881.0,6910829.6
2015-07-27,17.31,17.76,17.08,17.15,185700,-0.0092,-0.0272,3184755.0,6514255.7
2015-07-28,17.37,17.46,16.71,17.08,371100,-0.0167,-0.0041,6338388.0,6428129.6
2015-07-29,17.14,18.04,16.91,18.02,353900,0.0513,0.055,6377278.0,6109469.9
2015-07-30,17.87,18.35,17.34,18.28,238600,0.0229,0.0144,4361608.0,6308839.2
2015-07-31,18.24,18.94,18.01,18.53,473300,0.0159,0.0137,8770249.0,6159677.4
2015-08-03,18.5,18.79,18.06,18.28,282500,-0.0119,-0.0135,5164100.0,6571644.4
2015-08-04,18.32,18.32,17.6,18.23,153600,-0.0049,-0.0027,2800128.0,6335539.8
2015-08-05,18.4,18.91,18.07,18.86,275900,0.025,0.0346,5203474.0,5381472.6
2015-08-06,18.93,18.99,17.34,17.47,476900,-0.0771,-0.0737,8331443.0,5362659.7
2015-08-07,17.55,17.96,16.36,17.03,703200,-0.0296,-0.0252,11975496.0,5332930.4
2015-08-10,17.28,17.68,17.06,17.54,227600,0.015,0.0299,3992104.0,6250691.9
2015-08-11,17.34,17.4,16.91,17.25,273300,-0.0052,-0.0165,4714425.0,6331426.8
2015-08-12,17.0,17.22,16.56,16.82,189200,-0.0106,-0.0249,3182344.0,6169030.5
2015-08-13,16.8,16.8,16.1,16.44,324200,-0.0214,-0.0226,5329848.0,5849537.1
2015-08-14,16.36,17.02,16.22,16.91,115200,0.0336,0.0286,1948032.0,5946361.1
2015-08-17,16.83,17.26,16.52,16.84,78200,0.0006,-0.0041,1316888.0,5264139.4
2015-08-18,16.77,17.44,16.69,17.18,120100,0.0244,0.0202,2063318.0,4879418.2
2015-08-19,17.02,17.5,17.0,17.44,84900,0.0247,0.0151,1480656.0,4805737.2
2015-08-20,17.18,17.44,16.58,16.76,200000,-0.0244,-0.039,3352000.0,4433455.4
2015-08-21,16.3,16.75,16.19,16.46,406400,0.0098,-0.0179,6689344.0,3935511.1
2015-08-24,15.05,17.06,10.26,16.01,325400,0.0638,-0.0273,5209654.0,3406895.9
2015-08-25,16.62,16.89,15.5,15.93,249000,-0.0415,-0.005,3966570.0,3528650.9
2015-08-26,16.37,16.45,15.6,16.29,280800,-0.0049,0.0226,4574232.0,3453865.4
