Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2017-06-29,275.0,280.0,207.4,216.0,108440,-0.2145,,23423040.0,
2017-06-30,215.0,229.6,214.6,223.0,12180,0.0372,0.0324,2716140.0,
2017-07-03,239.0,253.0,230.2,252.0,12565,0.0544,0.13,3166380.0,
2017-07-05,250.6,256.0,240.0,246.2,10025,-0.0176,-0.023,2468155.0,
2017-07-06,246.6,266.0,241.76,266.0,6270,0.0787,0.0804,1667820.0,
2017-07-07,269.0,286.34,267.0,276.0,7585,0.026,0.0376,2093460.0,
2017-07-10,275.4,284.7,265.4,269.0,4860,-0.0232,-0.0254,1307340.0,
2017-07-11,272.0,273.6,264.2,273.6,2170,0.0059,0.0171,593712.0,
2017-07-12,272.6,274.5,264.2,268.6,1735,-0.0147,-0.0183,466021.0,
2017-07-13,268.0,269.8,264.2,268.6,1710,0.0022,0.0,459306.0,
2017-07-14,269.6,271.8,250.58,271.8,2290,0.0082,0.0119,622422.0,3836137.4
2017-07-17,272.8,274.0,253.4,259.0,4710,-0.0506,-0.0471,1219890.0,1556075.6
2017-07-18,251.2,267.2,250.4,260.0,2495,0.035,0.0039,648700.0,1406450.6
2017-07-19,260.0,261.6,254.0,260.0,2125,0.0,0.0,552500.0,1154682.6
2017-07-20,260.0,263.4,250.98,258.4,1965,-0.0062,-0.0062,507756.0,963117.1
2017-07-21,255.0,260.0,252.4,255.6,1775,0.0024,-0.0108,453690.0,847110.7
2017-07-24,260.0,264.6,250.0,252.0,9745,-0.0308,-0.0141,2455740.0,683133.7
2017-07-25,252.4,262.6,252.4,260.0,2530,0.0301,0.0317,657800.0,797973.7
2017-07-26,264.0,264.0,252.0,258.2,3675,-0.022,-0.0069,948885.0,804382.5
2017-07-27,258.4,275.2,256.2,262.2,2590,0.0147,0.0155,679098.0,852668.9
2017-07-28,264.6,264.8,256.0,263.8,955,-0.003,0.0061,251929.0,874648.1
2017-07-31,266.0,280.0,256.0,256.0,3880,-0.0376,-0.0296,993280.0,837598.8
2017-08-01,257.2,268.28,240.4,249.6,3585,-0.0295,-0.025,894816.0,814937.8
2017-08-02,247.2,255.04,240.0,254.6,2455,0.0299,0.02,625043.0,839549.4
2017-08-03,252.6,257.48,240.0,243.2,2755,-0.0372,-0.0448,670016.0,846803.7
2017-08-04,242.0,243.92,223.98,242.8,4290,0.0033,-0.0016,1041612.0,863029.7
2017-08-07,238.8,250.0,227.08,243.2,3170,0.0184,0.0016,770944.0,921821.9
2017-08-08,257.18,257.22,241.0,245.8,1280,-0.0442,0.0107,314624.0,753342.3
2017-08-09,242.6,259.6,231.46,259.6,1315,0.0701,0.0561,341374.0,719024.7
2017-08-10,257.6,257.6,236.6,251.6,2350,-0.0233,-0.0308,591260.0,658273.6
2017-08-11,249.6,249.6,238.2,245.0,395,-0.0184,-0.0262,96775.0,649489.8
2017-08-14,244.6,255.52,242.46,251.2,440,0.027,0.0253,110528.0,633974.4
2017-08-15,246.8,246.86,240.02,242.2,285,-0.0186,-0.0358,69027.0,545699.2
2017-08-16,244.0,246.0,240.0,244.2,1330,0.0008,0.0083,324786.0,463120.3
2017-08-17,242.2,247.1,236.0,237.8,1525,-0.0182,-0.0262,362645.0,433094.6
2017-08-18,235.6,257.6,230.34,244.0,1065,0.0357,0.0261,259860.0,402357.5
2017-08-21,244.4,246.8,233.8,240.0,1080,-0.018,-0.0164,259200.0,324182.3
2017-08-22,239.6,244.9,228.76,243.8,695,0.0175,0.0158,169441.0,273007.9
2017-08-23,234.1,245.8,234.1,239.6,1770,0.0235,-0.0172,424092.0,258489.6
2017-08-24,228.96,243.0,228.6,243.0,940,0.0613,0.0142,228420.0,266761.4
2017-08-25,238.6,246.88,228.4,228.4,1665,-0.0427,-0.0601,380286.0,230477.4
2017-08-28,228.4,249.8,228.4,240.0,780,0.0508,0.0508,187200.0,258828.5
2017-08-29,231.66,242.86,231.66,240.0,400,0.036,0.0,96000.0,266495.7
2017-08-30,229.2,246.4,226.74,240.0,975,0.0471,0.0,234000.0,269193.0
2017-08-31,240.0,244.4,233.2,233.2,1885,-0.0283,-0.0283,439582.0,260114.4
2017-09-01,232.2,246.6,232.2,236.0,875,0.0164,0.012,206500.0,267808.1
2017-09-05,243.6,254.0,237.42,243.0,3715,-0.0025,0.0297,902745.0,262472.1
2017-09-06,245.2,260.0,245.0,256.4,6600,0.0457,0.0551,1692240.0,326826.6
2017-09-07,258.0,283.0,256.6,281.2,13785,0.0899,0.0967,3876342.0,479106.5
2017-09-08,279.0,293.12,275.4,280.0,4780,0.0036,-0.0043,1338400.0,824331.5
2017-09-11,278.0,290.72,241.6,247.6,3845,-0.1094,-0.1157,952022.0,935329.5
2017-09-12,249.8,270.0,249.8,268.4,2605,0.0745,0.084,699182.0,992503.1
2017-09-13,264.4,268.2,235.6,236.6,5830,-0.1051,-0.1185,1379378.0,1043701.3
2017-09-14,236.6,253.6,222.0,232.8,4205,-0.0161,-0.0161,978924.0,1172039.1
2017-09-15,230.8,254.0,228.4,228.4,21635,-0.0104,-0.0189,4941434.0,1246531.5
2017-09-18,228.0,242.6,226.0,231.8,4030,0.0167,0.0149,934154.0,1696716.7
2017-09-19,234.4,239.2,230.8,235.0,1600,0.0026,0.0138,376000.0,1769482.1
2017-09-20,236.8,245.0,235.0,242.0,1625,0.022,0.0298,393250.0,1716807.6
2017-09-21,237.08,244.0,236.6,242.4,1100,0.0224,0.0017,266640.0,1586908.6
2017-09-22,241.4,264.0,241.2,255.8,2150,0.0597,0.0553,549970.0,1225938.4
2017-09-25,248.12,256.0,236.0,237.8,1260,-0.0416,-0.0704,299628.0,1147095.4
2017-09-26,236.0,243.5,236.0,241.8,910,0.0246,0.0168,220038.0,1081856.0
2017-09-27,246.8,255.2,235.7,253.8,1010,0.0284,0.0496,256338.0,1033941.6
2017-09-28,245.8,255.6,240.2,244.6,1630,-0.0049,-0.0362,398698.0,921637.6
2017-09-29,242.2,269.8,242.2,267.6,1870,0.1049,0.094,500412.0,863615.0
2017-10-02,269.0,291.0,267.6,288.6,2405,0.0729,0.0785,694083.0,419512.8
2017-10-03,290.0,290.0,277.8,288.4,1715,-0.0055,-0.0007,494606.0,395505.7
2017-10-04,288.2,301.2,260.0,298.2,3815,0.0347,0.034,1137633.0,407366.3
2017-10-05,289.8,309.6,262.02,291.2,1995,0.0048,-0.0235,580944.0,481804.6
2017-10-06,297.4,299.92,288.0,292.2,1085,-0.0175,0.0034,317037.0,513235.0
2017-10-09,293.6,299.2,290.2,292.6,600,-0.0034,0.0014,175560.0,489941.7
2017-10-10,293.0,297.0,283.78,296.0,705,0.0102,0.0116,208680.0,477534.9
2017-10-11,293.6,293.6,280.6,282.4,470,-0.0381,-0.0459,132728.0,476399.1
2017-10-12,283.0,290.4,283.0,290.2,380,0.0254,0.0276,110276.0,464038.1
2017-10-13,270.6,291.8,270.6,283.6,475,0.048,-0.0227,134710.0,435195.9
