Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-01-06,25.95,26.52,25.95,26.1,51830,0.0058,,1352763.0,
2021-01-07,26.19,26.19,25.92,25.95,21118,-0.0092,-0.0057,548012.1,
2021-01-08,26.11,26.25,26.1,26.25,8227,0.0054,0.0116,215958.75,
2021-01-11,26.4,26.4,25.5,26.14,20995,-0.0098,-0.0042,548809.3,
2021-01-12,26.14,26.35,26.0,26.05,14888,-0.0034,-0.0034,387832.4,
2021-01-13,26.06,26.16,25.94,26.15,10785,0.0035,0.0038,282027.75,
2021-01-14,26.25,26.25,25.84,26.01,13694,-0.0091,-0.0054,356180.94,
2021-01-15,25.97,26.03,25.9,26.03,7014,0.0023,0.0008,182574.42,
2021-01-19,26.14,26.4,26.1,26.2,13523,0.0023,0.0065,354302.6,
2021-01-20,26.18,26.2,26.0,26.11,16460,-0.0027,-0.0034,429770.6,
2021-01-21,26.16,26.25,26.1,26.2,2778,0.0015,0.0034,72783.6,465823.19
2021-01-22,26.25,26.47,26.2,26.3,6595,0.0019,0.0038,173448.5,337825.25
2021-01-25,26.3,26.31,26.15,26.24,6058,-0.0023,-0.0023,158961.92,300368.89
2021-01-26,26.47,26.47,26.02,26.1,7959,-0.014,-0.0053,207729.9,294669.2
2021-01-27,26.12,26.21,26.12,26.21,919,0.0034,0.0042,24086.99,260561.26
2021-01-28,26.05,26.46,26.05,26.25,1775,0.0077,0.0015,46593.75,224186.72
2021-01-29,26.05,26.15,26.05,26.15,4904,0.0038,-0.0038,128239.6,200643.32
2021-02-01,26.1,26.27,26.1,26.22,4065,0.0046,0.0027,106584.3,177849.19
2021-02-02,26.25,26.25,26.12,26.2,6099,-0.0019,-0.0008,159793.8,170250.18
2021-02-03,26.5,26.5,26.15,26.3,6025,-0.0075,0.0038,158457.5,150799.3
2021-02-04,26.3,26.42,26.12,26.42,6432,0.0046,0.0046,169933.44,123667.99
2021-02-05,26.25,26.25,26.18,26.25,5883,0.0,-0.0064,154428.75,133382.97
2021-02-08,26.25,26.25,26.17,26.24,22749,-0.0004,-0.0004,596933.76,131481.0
2021-02-09,26.35,26.4,26.2,26.25,15029,-0.0038,0.0004,394511.25,175278.18
2021-02-10,26.4,26.4,26.16,26.16,6461,-0.0091,-0.0034,169019.76,193956.31
2021-02-11,26.2,26.21,26.07,26.11,5283,-0.0034,-0.0019,137939.13,208449.59
2021-02-12,26.26,26.4,26.18,26.25,7416,-0.0004,0.0054,194670.0,217584.13
2021-02-16,26.15,26.45,26.15,26.45,3075,0.0115,0.0076,81333.75,224227.17
2021-02-17,26.44,26.44,26.32,26.32,1887,-0.0045,-0.0049,49665.84,221702.11
2021-02-18,26.43,26.43,26.22,26.26,4180,-0.0064,-0.0023,109766.8,210689.32
2021-02-19,26.42,26.42,26.23,26.23,25742,-0.0072,-0.0011,675212.66,205820.25
2021-02-22,26.32,26.38,26.2,26.2,10838,-0.0046,-0.0011,283955.6,256348.17
2021-02-23,26.2,26.33,25.65,26.09,8672,-0.0042,-0.0042,226252.48,269300.86
2021-02-24,26.11,26.25,26.11,26.24,6345,0.005,0.0057,166492.8,232232.73
2021-02-25,26.25,26.4,26.25,26.4,3545,0.0057,0.0061,93588.0,209430.88
2021-02-26,26.31,26.32,26.17,26.24,1955,-0.0027,-0.0061,51299.2,201887.71
2021-03-01,26.4,26.4,26.21,26.25,4498,-0.0057,0.0004,118072.5,193223.71
2021-03-02,26.25,26.4,26.25,26.4,2137,0.0057,0.0057,56416.8,185563.96
2021-03-03,26.4,26.4,26.13,26.16,4224,-0.0091,-0.0091,110499.84,183072.27
2021-03-04,26.31,26.31,25.67,26.18,13261,-0.0049,0.0008,347172.98,189155.67
2021-03-05,26.24,26.24,25.75,25.88,53776,-0.0137,-0.0115,1391722.88,212896.29
2021-03-08,25.95,26.38,25.95,26.0,7851,0.0019,0.0046,204126.0,284547.31
2021-03-09,26.07,26.38,26.07,26.1,4057,0.0012,0.0038,105887.7,276564.35
2021-03-10,26.19,26.3,26.09,26.1,10453,-0.0034,0.0,272823.3,264527.87
2021-03-11,26.19,26.24,26.18,26.18,4806,-0.0004,0.0031,125821.08,275160.92
2021-03-12,26.3,26.45,26.16,26.2,9874,-0.0038,0.0008,258698.8,278384.23
2021-03-15,26.3,26.43,26.15,26.3,3220,0.0,0.0038,84686.0,299124.19
2021-03-16,26.3,26.44,26.2,26.25,3980,-0.0019,-0.0019,104475.0,295785.54
2021-03-17,26.34,26.44,26.25,26.25,5433,-0.0034,0.0,142616.25,300591.36
2021-03-18,26.25,26.42,26.21,26.33,13089,0.003,0.003,344633.37,303803.0
2021-03-19,26.45,27.18,26.43,27.0,14696,0.0208,0.0254,396792.0,303549.04
2021-03-22,28.0,28.0,27.06,27.34,811,-0.0236,0.0126,22172.74,204055.95
2021-03-23,27.5,27.63,27.18,27.21,6649,-0.0105,-0.0048,180919.29,185860.62
2021-03-24,27.21,27.3,27.2,27.2,3195,-0.0004,-0.0004,86904.0,193363.78
2021-03-25,27.21,27.21,26.75,27.0,10893,-0.0077,-0.0074,294111.0,174771.85
2021-03-26,28.2,28.2,26.77,27.24,3036,-0.034,0.0089,82700.64,191600.84
2021-03-29,26.9,27.22,26.4,26.65,16220,-0.0093,-0.0217,432263.0,174001.03
2021-03-30,27.22,27.96,26.66,27.23,3714,0.0004,0.0218,101132.22,208758.73
2021-03-31,27.0,27.32,26.94,27.01,2354,0.0004,-0.0081,63581.54,208424.45
2021-04-01,26.94,27.19,26.92,27.1,2745,0.0059,0.0033,74389.5,200520.98
2021-04-05,27.08,27.55,27.08,27.18,2326,0.0037,0.003,63220.68,173496.59
2021-04-06,27.2,27.2,26.88,27.0,8356,-0.0074,-0.0066,225612.0,140139.46
2021-04-07,27.25,27.5,26.95,27.25,4737,0.0,0.0093,129083.25,160483.39
2021-04-08,27.35,27.41,27.15,27.2,6552,-0.0055,-0.0018,178214.4,155299.78
2021-04-09,28.05,28.05,27.06,27.46,2702,-0.021,0.0096,74196.92,164430.82
2021-04-12,27.71,27.87,27.31,27.87,3233,0.0058,0.0149,90103.71,142439.41
2021-04-13,27.79,28.07,27.51,28.07,9437,0.0101,0.0072,264896.59,143179.72
2021-04-14,27.55,27.55,27.0,27.24,17997,-0.0113,-0.0296,490238.28,126443.08
2021-04-15,27.4,27.4,27.1,27.22,6444,-0.0066,-0.0007,175405.68,165353.69
2021-04-16,27.25,27.4,27.21,27.21,4385,-0.0015,-0.0004,119315.85,176536.1
2021-04-19,27.3,27.33,27.3,27.33,1225,0.0011,0.0044,33479.25,181028.74
2021-04-20,27.06,27.36,27.06,27.33,7726,0.01,0.0,211151.58,178054.59
2021-04-21,27.2,27.38,27.02,27.3,3817,0.0037,-0.0011,104204.1,176608.55
2021-04-22,27.33,27.4,27.23,27.4,1846,0.0026,0.0037,50580.4,174120.64
2021-04-23,27.25,27.35,27.25,27.3,2888,0.0018,-0.0036,78842.4,161357.24
2021-04-26,27.4,28.02,27.4,27.68,5752,0.0102,0.0139,159215.36,161821.78
2021-04-27,27.35,27.97,27.35,27.45,3160,0.0037,-0.0083,86742.0,168732.95
2021-04-28,28.55,28.55,27.4,27.42,6282,-0.0396,-0.0011,172252.44,150917.49
2021-04-29,27.49,27.7,27.4,27.4,2800,-0.0033,-0.0007,76720.0,119118.91
2021-04-30,27.4,27.4,27.29,27.3,6358,-0.0036,-0.0036,173573.4,109250.34
2021-05-03,28.38,28.38,27.36,27.5,3643,-0.031,0.0073,100182.5,114676.09
2021-05-04,27.49,27.52,27.16,27.51,2294,0.0007,0.0004,63107.94,121346.42
2021-05-05,27.18,27.28,27.07,27.08,9886,-0.0037,-0.0156,267712.88,106542.05
2021-05-06,27.11,28.46,27.08,27.27,10338,0.0059,0.007,281917.26,122892.93
2021-05-07,27.63,27.71,27.17,27.24,8550,-0.0141,-0.0011,232902.0,146026.62
2021-05-10,27.4,27.4,27.4,27.4,505,0.0,0.0059,13837.0,161432.58
2021-05-11,27.1,27.4,27.1,27.4,1142,0.0111,0.0,31290.8,146894.74
2021-05-12,27.26,27.26,27.1,27.1,847,-0.0059,-0.0109,22953.7,141349.62
2021-05-13,27.4,27.5,27.4,27.5,642,0.0036,0.0148,17655.0,126419.75
2021-05-14,27.26,27.35,27.16,27.23,8409,-0.0011,-0.0098,228977.07,120513.25
2021-05-17,27.33,27.89,27.24,27.47,4232,0.0051,0.0088,116253.04,126053.62
2021-05-18,27.79,27.79,27.49,27.5,2229,-0.0104,0.0011,61297.5,127660.67
2021-05-19,27.49,27.92,27.42,27.6,11083,0.004,0.0036,305890.8,127479.62
2021-05-20,27.56,27.8,27.56,27.8,600,0.0087,0.0072,16680.0,131297.42
2021-05-21,27.8,27.84,27.46,27.5,4058,-0.0108,-0.0108,111595.0,104773.69
2021-05-24,27.6,27.6,27.59,27.6,2292,0.0,0.0036,63259.2,92642.99
2021-05-25,28.04,28.04,27.52,27.75,10003,-0.0103,0.0054,277583.25,97585.21
2021-05-26,27.82,27.82,27.45,27.56,6815,-0.0093,-0.0068,187821.4,122214.46
2021-05-27,27.53,28.02,27.44,27.7,8820,0.0062,0.0051,244314.0,138701.23
2021-05-28,27.7,27.7,27.42,27.5,2274,-0.0072,-0.0072,62535.0,161367.13
2021-06-01,27.96,27.96,27.45,27.7,7291,-0.0093,0.0073,201960.7,144722.92
2021-06-02,27.72,27.84,27.5,27.6,5348,-0.0043,-0.0036,147604.8,153293.68
2021-06-03,28.15,28.21,27.55,27.58,17048,-0.0202,-0.0007,470183.84,161924.41
2021-06-04,27.5,27.63,27.45,27.63,5300,0.0047,0.0018,146439.0,178353.72
2021-06-07,27.57,27.94,27.5,27.58,11359,0.0004,-0.0018,313281.22,191329.62
2021-06-08,27.77,27.77,27.7,27.7,399,-0.0025,0.0044,11052.3,211498.24
2021-06-09,27.63,27.75,27.47,27.55,5621,-0.0029,-0.0054,154858.55,206277.55
2021-06-10,27.56,27.58,27.5,27.54,6124,-0.0007,-0.0004,168654.96,194005.08
2021-06-11,27.55,27.87,27.47,27.78,11923,0.0083,0.0087,331220.94,192088.44
2021-06-14,27.65,27.65,27.56,27.6,1244,-0.0018,-0.0065,34334.4,200779.13
2021-06-15,27.6,27.68,27.6,27.64,3967,0.0014,0.0014,109647.88,197959.07
2021-06-16,27.51,27.82,27.51,27.58,1594,0.0025,-0.0022,43962.52,188727.79
2021-06-17,27.5,27.6,27.5,27.59,1582,0.0033,0.0004,43647.38,178363.56
2021-06-18,27.6,27.82,27.58,27.71,854,0.004,0.0043,23664.34,135709.91
2021-06-21,27.74,27.76,27.56,27.72,3839,-0.0007,0.0004,106417.08,123432.45
2021-06-22,28.4,28.4,27.58,27.7,2873,-0.0246,-0.0007,79582.1,102746.04
2021-06-23,27.63,27.82,27.63,27.71,4113,0.0029,0.0004,113971.23,109599.01
2021-06-24,27.55,27.62,27.53,27.6,1320,0.0018,-0.004,36432.0,105510.28
2021-06-25,27.55,27.65,27.53,27.58,3613,0.0011,-0.0007,99646.54,92287.99
2021-06-28,27.98,28.55,27.58,27.7,4150,-0.01,0.0044,114955.0,69130.55
2021-06-29,27.77,28.29,27.58,27.68,2317,-0.0032,-0.0007,64134.56,77192.61
2021-06-30,27.68,27.68,27.68,27.68,0,0.0,0.0,0.0,72641.27
2021-07-01,27.68,28.08,27.58,27.7,2028,0.0007,0.0007,56175.6,68245.02
2021-07-02,27.72,28.05,27.72,28.01,7324,0.0105,0.0112,205145.24,69497.84
2021-07-06,28.18,28.18,27.8,28.0,842,-0.0064,-0.0004,23576.0,87645.94
2021-07-07,28.03,28.17,28.03,28.15,4227,0.0043,0.0054,118990.05,79361.83
2021-07-08,28.03,28.32,28.03,28.25,2059,0.0078,0.0036,58166.75,83302.62
2021-07-09,28.53,28.81,28.1,28.77,6327,0.0084,0.0184,182027.79,77722.17
2021-07-12,28.85,28.85,28.6,28.85,5004,0.0,0.0028,144365.4,92281.75
2021-07-13,28.91,28.91,28.83,28.83,395,-0.0028,-0.0007,11387.85,96753.64
2021-07-14,28.29,28.75,28.29,28.5,3267,0.0074,-0.0114,93109.5,86396.92
2021-07-15,28.5,28.5,28.5,28.5,880,0.0,0.0,25080.0,89294.42
2021-07-16,28.5,28.5,28.5,28.5,0,0.0,0.0,0.0,91802.42
2021-07-19,28.23,28.23,27.9,28.0,810,-0.0081,-0.0175,22680.0,86184.86
2021-07-20,28.0,28.0,27.29,27.72,3985,-0.01,-0.01,110464.2,67938.33
2021-07-21,27.68,27.99,27.68,27.72,1447,0.0014,0.0,40110.84,76627.15
2021-07-22,27.86,27.86,27.26,27.26,3854,-0.0215,-0.0166,105060.04,68739.23
2021-07-23,27.51,27.75,27.51,27.68,3375,0.0062,0.0154,93420.0,73428.56
2021-07-26,27.68,27.85,27.49,27.54,8370,-0.0051,-0.0051,230509.8,64567.78
2021-07-27,27.56,28.36,27.56,28.03,3567,0.0171,0.0178,99983.01,73182.22
2021-07-28,28.03,28.05,28.03,28.04,845,0.0004,0.0004,23693.8,82041.74
2021-07-29,28.25,28.25,27.88,28.18,1072,-0.0025,0.005,30208.96,75100.17
2021-07-30,28.22,28.39,27.94,27.94,1969,-0.0099,-0.0085,55013.86,75613.06
2021-08-02,28.42,28.58,27.77,28.54,4456,0.0042,0.0215,127174.24,81114.45
2021-08-03,28.97,28.97,27.9,28.42,1303,-0.019,-0.0042,37031.26,91563.88
2021-08-04,27.99,28.41,27.99,28.41,6543,0.015,-0.0004,185886.63,84220.58
2021-08-05,28.45,28.5,28.3,28.3,3897,-0.0053,-0.0039,110285.1,98798.16
2021-08-06,28.3,28.3,28.3,28.3,0,0.0,0.0,0.0,99320.67
2021-08-09,28.04,28.15,28.04,28.15,464,0.0039,-0.0053,13061.6,89978.67
2021-08-10,28.2,28.49,28.2,28.4,1239,0.0071,0.0089,35187.6,68233.85
2021-08-11,28.13,28.67,28.13,28.67,400,0.0192,0.0095,11468.0,61754.3
2021-08-12,28.67,28.67,28.67,28.67,0,0.0,0.0,0.0,60531.72
2021-08-13,28.25,28.25,28.04,28.23,2388,-0.0007,-0.0153,67413.24,57510.83
2021-08-16,28.2,28.45,28.2,28.43,1999,0.0082,0.0071,56831.57,58750.77
2021-08-17,28.44,28.7,28.43,28.65,1890,0.0074,0.0077,54148.5,51716.5
2021-08-18,28.6,28.6,28.25,28.5,2108,-0.0035,-0.0052,60078.0,53428.22
2021-08-19,28.1,28.1,28.0,28.0,1222,-0.0036,-0.0175,34216.0,40847.36
2021-08-20,28.0,28.0,28.0,28.0,0,0.0,0.0,0.0,33240.45
2021-08-23,28.13,28.26,28.07,28.07,875,-0.0021,0.0025,24561.25,33240.45
2021-08-24,28.32,28.41,28.2,28.21,1449,-0.0039,0.005,40876.29,34390.42
