Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-06-15,29.0,33.55,11.0,13.5,5127100,-0.5345,,69215850.0,
2021-06-16,12.79,12.79,9.88,10.35,1242100,-0.1908,-0.2333,12855735.0,
2021-06-17,11.04,11.97,9.81,10.09,529700,-0.0861,-0.0251,5344673.0,
2021-06-18,9.99,10.47,8.61,9.03,394200,-0.0961,-0.1051,3559626.0,
2021-06-21,9.19,9.19,7.51,8.12,402100,-0.1164,-0.1008,3265052.0,
2021-06-22,8.12,8.85,7.06,8.4,1056200,0.0345,0.0345,8872080.0,
2021-06-23,9.0,9.48,8.38,8.94,1529900,-0.0067,0.0643,13677306.0,
2021-06-24,8.4,9.03,8.05,8.26,450100,-0.0167,-0.0761,3717826.0,
2021-06-25,8.37,9.39,8.26,8.6,1114600,0.0275,0.0412,9585560.0,
2021-06-28,9.05,12.14,8.74,9.6,5393800,0.0608,0.1163,51780480.0,
2021-06-29,9.39,11.36,9.09,11.06,5906800,0.1778,0.1521,65329208.0,18187418.8
2021-06-30,10.67,12.13,8.6,8.74,13515700,-0.1809,-0.2098,118127218.0,17798754.6
2021-07-01,9.2,9.25,7.53,7.68,2724300,-0.1652,-0.1213,20922624.0,28325902.9
2021-07-02,7.2,7.8,6.81,7.28,1092200,0.0111,-0.0521,7951216.0,29883698.0
2021-07-06,7.4,7.46,6.91,6.97,843900,-0.0581,-0.0426,5881983.0,30322857.0
2021-07-07,6.96,7.1,5.62,6.5,1687700,-0.0661,-0.0674,10970050.0,30584550.1
2021-07-08,6.06,6.45,5.91,6.28,957200,0.0363,-0.0338,6011216.0,30794347.1
2021-07-09,6.21,6.74,6.08,6.13,1233100,-0.0129,-0.0239,7558903.0,30027738.1
2021-07-12,6.25,6.41,5.78,6.11,435300,-0.0224,-0.0033,2659683.0,30411845.8
2021-07-13,6.04,6.66,6.0,6.2,1359500,0.0265,0.0147,8428900.0,29719258.1
2021-07-14,6.2,7.16,5.8,6.41,2640900,0.0339,0.0339,16928169.0,25384100.1
2021-07-15,6.45,7.17,6.1,6.98,3892900,0.0822,0.0889,27172442.0,20543996.2
2021-07-16,6.63,6.87,6.13,6.17,2400200,-0.0694,-0.116,14809234.0,11448518.6
2021-07-19,5.97,5.97,4.85,5.27,1989100,-0.1173,-0.1459,10482557.0,10837179.6
2021-07-20,5.25,5.46,5.07,5.25,993900,0.0,-0.0038,5217975.0,11090313.7
2021-07-21,5.24,5.72,5.2,5.53,1562200,0.0553,0.0533,8638966.0,11023912.9
2021-07-22,5.96,6.65,5.56,5.74,4541200,-0.0369,0.038,26066488.0,10790804.5
2021-07-23,8.14,8.28,5.63,5.73,28185400,-0.2961,-0.0017,161502342.0,12796331.7
2021-07-26,5.28,5.29,4.87,4.91,2248900,-0.0701,-0.1431,11042099.0,28190675.6
2021-07-27,4.8,4.84,4.3,4.42,1525900,-0.0792,-0.0998,6744478.0,29028917.2
2021-07-28,4.42,6.74,4.33,5.22,10970100,0.181,0.181,57263922.0,28860475.0
