Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2012-10-10,6.71,6.85,6.0,6.06,3566700,-0.0969,,21614202.0,
2012-10-11,6.06,6.44,6.0,6.08,416700,0.0033,0.0033,2533536.0,
2012-10-12,6.05,6.3,6.01,6.23,155200,0.0298,0.0247,966896.0,
2012-10-15,6.35,6.4,6.05,6.15,156700,-0.0315,-0.0128,963705.0,
2012-10-16,6.15,6.3,5.94,6.01,173000,-0.0228,-0.0228,1039730.0,
2012-10-17,6.0,6.08,5.99,6.0,113600,0.0,-0.0017,681600.0,
2012-10-18,6.2,6.2,5.55,6.0,247300,-0.0323,0.0,1483800.0,
2012-10-19,6.08,6.08,5.99,6.0,132900,-0.0132,0.0,797400.0,
2012-10-22,6.47,6.47,6.1,6.11,304400,-0.0556,0.0183,1859884.0,
2012-10-23,6.18,6.18,6.0,6.0,75000,-0.0291,-0.018,450000.0,
2012-10-24,6.01,6.1,6.01,6.02,106700,0.0017,0.0033,642334.0,3239075.3
2012-10-25,6.1,6.32,6.05,6.24,316400,0.023,0.0365,1974336.0,1141888.5
2012-10-26,6.19,6.75,6.19,6.58,206500,0.063,0.0545,1358770.0,1085968.5
2012-10-31,6.78,7.42,6.52,7.22,295300,0.0649,0.0973,2132066.0,1125155.9
2012-11-01,8.44,8.44,7.42,7.65,247000,-0.0936,0.0596,1889550.0,1241992.0
2012-11-02,7.81,8.2,7.51,7.7,86200,-0.0141,0.0065,663740.0,1326974.0
2012-11-05,8.1,8.43,7.85,8.23,251700,0.016,0.0688,2071491.0,1325188.0
2012-11-06,8.7,8.84,8.35,8.59,233900,-0.0126,0.0437,2009201.0,1383957.1
2012-11-07,8.6,8.77,8.15,8.19,338700,-0.0477,-0.0466,2773953.0,1505137.2
2012-11-08,8.2,8.34,7.67,7.82,169600,-0.0463,-0.0452,1326272.0,1596544.1
2012-11-09,7.82,8.23,7.7,8.0,154800,0.023,0.023,1238400.0,1684171.3
2012-11-12,8.0,8.0,7.52,7.73,76900,-0.0337,-0.0337,594437.0,1743777.9
2012-11-13,7.95,8.03,7.59,8.0,47100,0.0063,0.0349,376800.0,1605788.0
2012-11-14,8.03,8.03,7.65,7.88,41700,-0.0187,-0.015,328596.0,1507591.0
2012-11-15,7.6,8.5,7.6,8.36,125300,0.1,0.0609,1047508.0,1327244.0
2012-11-16,8.35,8.88,8.23,8.71,162400,0.0431,0.0419,1414504.0,1243039.8
2012-11-19,8.9,9.5,8.89,9.22,291300,0.036,0.0586,2685786.0,1318116.2
2012-11-20,9.22,9.49,9.1,9.31,90600,0.0098,0.0098,843486.0,1379545.7
2012-11-21,9.5,9.5,9.05,9.15,92600,-0.0368,-0.0172,847290.0,1262974.2
2012-11-23,9.15,9.45,9.15,9.3,18900,0.0164,0.0164,175770.0,1070307.9
2012-11-26,9.3,9.31,8.79,8.92,100800,-0.0409,-0.0409,899136.0,955257.7
2012-11-27,8.91,9.0,8.65,8.88,61600,-0.0034,-0.0045,547008.0,921331.3
2012-11-28,8.94,8.94,8.65,8.73,71300,-0.0235,-0.0169,622449.0,916588.4
2012-11-29,8.78,8.99,8.66,8.7,69800,-0.0091,-0.0034,607260.0,941153.3
2012-11-30,8.95,8.99,8.65,8.71,48400,-0.0268,0.0011,421564.0,969019.7
2012-12-03,9.0,9.18,8.67,8.67,51300,-0.0367,-0.0046,444771.0,906425.3
2012-12-04,8.73,8.98,8.3,8.63,199100,-0.0115,-0.0046,1718233.0,809452.0
2012-12-05,8.56,8.98,8.5,8.98,147600,0.0491,0.0406,1325448.0,712696.7
2012-12-06,9.04,9.58,8.6,9.08,425900,0.0044,0.0111,3867172.0,760892.9
2012-12-07,9.1,9.22,8.91,9.02,118500,-0.0088,-0.0066,1068870.0,1062881.1
2012-12-10,9.23,9.23,8.6,8.72,80800,-0.0553,-0.0333,704576.0,1152191.1
2012-12-11,8.84,9.06,8.65,8.92,87600,0.009,0.0229,781392.0,1132735.1
2012-12-12,8.99,9.45,8.96,9.29,189900,0.0334,0.0415,1764171.0,1156173.5
2012-12-13,9.41,9.48,9.23,9.35,99200,-0.0064,0.0065,927520.0,1270345.7
2012-12-14,9.28,10.29,8.74,9.1,497900,-0.0194,-0.0267,4530890.0,1302371.7
2012-12-17,9.35,10.1,8.8,10.0,244400,0.0695,0.0989,2444000.0,1713304.3
2012-12-18,10.0,10.5,9.78,10.36,289700,0.036,0.036,3001292.0,1913227.2
2012-12-19,10.23,10.33,9.95,10.18,152400,-0.0049,-0.0174,1551432.0,2041533.1
2012-12-20,10.16,10.32,9.91,10.0,100600,-0.0157,-0.0177,1006000.0,2064131.5
2012-12-21,9.85,9.9,9.29,9.76,767600,-0.0091,-0.024,7491776.0,1778014.3
2012-12-24,9.69,9.73,9.21,9.59,79000,-0.0103,-0.0174,757610.0,2420304.9
2012-12-26,9.62,10.02,9.55,10.0,86200,0.0395,0.0428,862000.0,2425608.3
2012-12-27,10.25,10.5,9.96,10.43,154300,0.0176,0.043,1609349.0,2433669.1
2012-12-28,10.35,11.17,10.35,11.0,349500,0.0628,0.0547,3844500.0,2418186.9
2012-12-31,11.0,11.19,10.9,11.15,211200,0.0136,0.0136,2354880.0,2709884.9
2013-01-02,11.98,11.99,11.26,11.95,264200,-0.0025,0.0717,3157190.0,2492283.9
2013-01-03,12.0,12.05,11.65,11.73,220300,-0.0225,-0.0184,2584119.0,2563602.9
2013-01-04,11.73,11.93,11.72,11.88,99500,0.0128,0.0128,1182060.0,2521885.6
2013-01-07,12.1,12.1,11.83,11.93,146400,-0.014,0.0042,1746552.0,2484948.4
2013-01-08,11.9,12.06,11.81,12.06,130200,0.0134,0.0109,1570212.0,2559003.6
2013-01-09,12.17,12.98,12.05,12.94,282700,0.0633,0.073,3658138.0,1966847.2
2013-01-10,13.14,13.42,12.5,13.05,251500,-0.0068,0.0085,3282075.0,2256900.0
2013-01-11,13.13,13.25,12.75,12.78,125300,-0.0267,-0.0207,1601334.0,2498907.5
2013-01-14,12.79,13.0,12.25,12.81,118500,0.0016,0.0023,1517985.0,2498106.0
2013-01-15,12.71,12.83,12.56,12.75,89500,0.0031,-0.0047,1141125.0,2265454.5
2013-01-16,12.76,12.8,12.5,12.6,62200,-0.0125,-0.0118,783720.0,2144079.0
2013-01-17,12.64,12.75,11.25,11.45,461300,-0.0941,-0.0913,5281885.0,1906732.0
2013-01-18,11.48,11.85,11.37,11.67,157800,0.0166,0.0192,1841526.0,2176508.6
2013-01-22,11.75,12.38,11.72,12.19,254500,0.0374,0.0446,3102355.0,2242455.2
2013-01-23,12.15,12.29,11.82,11.99,115700,-0.0132,-0.0164,1387243.0,2378035.5
2013-01-24,11.97,12.03,11.5,11.63,130000,-0.0284,-0.03,1511900.0,2359738.6
2013-01-25,11.71,11.9,11.52,11.84,76800,0.0111,0.0181,909312.0,2145114.8
2013-01-28,11.79,11.84,11.5,11.57,78300,-0.0187,-0.0228,905931.0,1907838.5
2013-01-29,11.52,11.72,11.44,11.52,49700,0.0,-0.0043,572544.0,1838298.2
2013-01-30,11.6,11.83,10.07,10.16,510500,-0.1241,-0.1181,5186680.0,1743754.1
2013-01-31,10.24,10.33,9.55,9.96,324100,-0.0273,-0.0197,3228036.0,2148309.6
2013-02-01,10.02,10.56,10.02,10.48,184700,0.0459,0.0522,1935656.0,2392741.2
2013-02-04,10.52,10.52,10.1,10.24,75200,-0.0266,-0.0229,770048.0,2058118.3
2013-02-05,10.22,10.29,9.9,9.98,119000,-0.0235,-0.0254,1187620.0,1950970.5
2013-02-06,9.95,10.1,9.9,9.99,84700,0.004,0.001,846153.0,1759497.0
2013-02-07,9.75,10.12,9.65,9.98,253400,0.0236,-0.001,2528932.0,1705388.0
2013-02-08,9.93,10.0,9.52,9.73,92000,-0.0201,-0.0251,895160.0,1807091.2
2013-02-11,9.73,9.73,9.04,9.42,182300,-0.0319,-0.0319,1717266.0,1805676.0
2013-02-12,9.45,9.71,9.39,9.7,86200,0.0265,0.0297,836140.0,1886809.5
2013-02-13,9.73,9.84,9.59,9.68,62400,-0.0051,-0.0021,604032.0,1913169.1
2013-02-14,9.78,9.91,9.5,9.51,112600,-0.0276,-0.0176,1070826.0,1454904.3
2013-02-15,9.57,9.82,9.12,9.8,191400,0.024,0.0305,1875720.0,1239183.3
2013-02-19,9.85,10.18,9.71,9.87,46300,0.002,0.0071,456981.0,1233189.7
2013-02-20,9.91,10.01,9.32,9.49,166600,-0.0424,-0.0385,1581034.0,1201883.0
2013-02-21,9.44,9.46,9.15,9.31,126700,-0.0138,-0.019,1179577.0,1241224.4
2013-02-22,9.3,9.7,9.29,9.49,141600,0.0204,0.0193,1343784.0,1274566.8
2013-02-25,9.59,9.96,9.59,9.59,67200,0.0,0.0105,644448.0,1156052.0
2013-02-26,9.68,9.84,9.62,9.74,45600,0.0062,0.0156,444144.0,1130980.8
2013-02-27,9.78,9.98,9.63,9.75,64400,-0.0031,0.001,627900.0,1003668.6
2013-02-28,9.72,10.09,9.66,9.96,77800,0.0247,0.0215,774888.0,982844.6
2013-03-01,9.86,10.64,9.83,10.58,104100,0.073,0.0622,1101378.0,999930.2
2013-03-04,10.59,10.59,9.98,10.15,129000,-0.0415,-0.0406,1309350.0,1002985.4
2013-03-05,10.3,10.65,10.2,10.58,86200,0.0272,0.0424,911996.0,946348.4
2013-03-06,10.66,11.67,10.62,11.54,192800,0.0826,0.0907,2224912.0,991849.9
2013-03-07,11.82,12.18,11.25,11.97,266400,0.0127,0.0373,3188808.0,1056237.7
2013-03-08,13.45,14.73,13.0,13.58,1745600,0.0097,0.1345,23705248.0,1257160.8
2013-03-11,14.0,14.38,13.31,13.74,523400,-0.0186,0.0118,7191516.0,3493307.2
2013-03-12,13.85,13.9,12.42,12.79,547700,-0.0765,-0.0691,7005083.0,4148014.0
2013-03-13,12.85,13.65,12.61,13.31,231200,0.0358,0.0407,3077272.0,4804107.9
2013-03-14,13.28,14.0,12.95,13.9,222200,0.0467,0.0443,3088580.0,5049045.1
2013-03-15,13.96,13.99,13.34,13.49,171300,-0.0337,-0.0295,2310837.0,5280414.3
2013-03-18,13.42,13.71,12.03,12.35,597000,-0.0797,-0.0845,7372950.0,5401360.2
2013-03-19,12.46,12.85,12.26,12.62,296000,0.0128,0.0219,3735520.0,6007720.2
2013-03-20,12.77,13.35,12.61,12.94,261900,0.0133,0.0254,3388986.0,6290072.6
2013-03-21,12.86,13.04,12.61,12.95,110900,0.007,0.0008,1436155.0,6406480.0
2013-03-22,12.99,13.25,12.78,12.9,196400,-0.0069,-0.0039,2533560.0,6231214.7
2013-03-25,13.4,14.63,13.2,14.13,887500,0.0545,0.0953,12540375.0,4114045.9
2013-03-26,14.37,15.47,14.25,15.04,1171700,0.0466,0.0644,17622368.0,4648931.8
2013-03-27,15.19,15.26,14.51,14.79,601000,-0.0263,-0.0166,8888790.0,5710660.3
2013-03-28,14.76,15.91,14.72,15.66,853800,0.061,0.0588,13370508.0,6291812.1
2013-04-01,15.91,16.0,14.56,14.87,795000,-0.0654,-0.0504,11821650.0,7320004.9
