Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2009-03-11,9.4,9.4,9.4,9.4,0,0.0,,0.0,
2009-03-12,9.4,9.4,9.4,9.4,0,0.0,0.0,0.0,
2009-03-13,9.4,9.4,9.4,9.4,0,0.0,0.0,0.0,
2009-03-16,9.4,9.4,9.4,9.4,0,0.0,0.0,0.0,
2009-03-17,9.4,9.4,9.4,9.4,0,0.0,0.0,0.0,
2009-03-18,9.4,9.4,9.4,9.4,0,0.0,0.0,0.0,
2009-03-19,9.4,9.4,9.4,9.4,0,0.0,0.0,0.0,
2009-03-20,9.4,9.4,9.4,9.4,0,0.0,0.0,0.0,
2009-03-23,9.4,9.4,9.4,9.4,0,0.0,0.0,0.0,
2009-03-24,9.4,9.4,9.4,9.4,0,0.0,0.0,0.0,
2009-03-25,9.4,9.4,9.4,9.4,0,0.0,0.0,0.0,0.0
2009-03-26,9.4,9.4,9.4,9.4,0,0.0,0.0,0.0,0.0
2009-03-27,9.4,9.4,9.4,9.4,0,0.0,0.0,0.0,0.0
2009-03-30,9.4,9.4,9.4,9.4,0,0.0,0.0,0.0,0.0
2009-03-31,9.4,9.4,9.4,9.4,0,0.0,0.0,0.0,0.0
2009-04-01,9.4,9.4,9.4,9.4,0,0.0,0.0,0.0,0.0
2009-04-02,9.4,9.4,9.4,9.4,0,0.0,0.0,0.0,0.0
2009-04-03,9.4,9.4,9.4,9.4,0,0.0,0.0,0.0,0.0
2009-04-06,2.0,2.0,2.0,2.0,50,0.0,-0.7872,100.0,0.0
2009-04-07,2.0,2.0,2.0,2.0,0,0.0,0.0,0.0,10.0
2009-04-08,2.0,2.0,2.0,2.0,0,0.0,0.0,0.0,10.0
2009-04-09,2.0,2.0,2.0,2.0,120,0.0,0.0,240.0,10.0
2009-04-13,17.0,17.0,17.0,17.0,10,0.0,7.5,170.0,34.0
2009-04-14,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,51.0
2009-04-15,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,51.0
2009-04-16,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,51.0
2009-04-17,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,51.0
2009-04-20,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,51.0
2009-04-21,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,51.0
2009-04-22,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,41.0
2009-04-23,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,41.0
2009-04-24,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,41.0
2009-04-27,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,17.0
2009-04-28,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-04-29,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-04-30,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-01,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-04,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-05,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-06,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-07,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-08,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-11,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-12,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-13,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-14,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-15,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-18,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-19,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-20,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-21,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-22,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-26,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-27,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-28,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-05-29,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-06-01,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-06-02,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-06-03,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-06-04,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-06-05,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-06-08,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-06-09,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-06-10,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-06-11,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-06-12,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-06-15,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-06-16,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-06-17,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-06-18,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-06-19,17.0,17.0,17.0,17.0,0,0.0,0.0,0.0,0.0
2009-06-22,2.0,2.0,1.0,1.2,3500,-0.4,-0.9294,4200.0,0.0
2009-06-23,1.1,1.1,1.1,1.1,500,0.0,-0.0833,550.0,420.0
2009-06-24,1.0,1.2,1.0,1.2,750,0.2,0.0909,900.0,475.0
2009-06-25,1.2,1.2,1.2,1.2,2070,0.0,0.0,2484.0,565.0
2009-06-26,1.0,1.0,1.0,1.0,190,0.0,-0.1667,190.0,813.4
2009-06-29,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,832.4
2009-06-30,0.8,0.8,0.8,0.8,1000,0.0,-0.2,800.0,832.4
2009-07-01,0.7,0.8,0.5,0.6,3000,-0.1429,-0.25,1800.0,912.4
2009-07-02,0.6,0.6,0.6,0.6,0,0.0,0.0,0.0,1092.4
2009-07-06,0.5,0.5,0.5,0.5,1500,0.0,-0.1667,750.0,1092.4
2009-07-07,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,1167.4
2009-07-08,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,747.4
2009-07-09,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,692.4
2009-07-10,0.4,0.4,0.4,0.4,1000,0.0,-0.2,400.0,602.4
2009-07-13,0.4,0.4,0.4,0.4,0,0.0,0.0,0.0,394.0
2009-07-14,0.4,0.4,0.4,0.4,0,0.0,0.0,0.0,375.0
2009-07-15,0.4,0.4,0.4,0.4,0,0.0,0.0,0.0,375.0
2009-07-16,0.3,0.3,0.3,0.3,500,0.0,-0.25,150.0,295.0
2009-07-17,0.2,0.2,0.2,0.2,500,0.0,-0.3333,100.0,130.0
2009-07-20,0.1,0.1,0.1,0.1,3000,0.0,-0.5,300.0,140.0
2009-07-21,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,95.0
2009-07-22,0.1,0.1,0.1,0.1,500,0.0,0.0,50.0,95.0
2009-07-23,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,100.0
2009-07-24,0.1,0.1,0.1,0.1,500,0.0,0.0,50.0,100.0
2009-07-27,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,65.0
2009-07-28,0.1,0.1,0.1,0.1,1000,0.0,0.0,100.0,65.0
2009-07-29,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,75.0
2009-07-30,0.1,0.1,0.1,0.1,1000,0.0,0.0,100.0,75.0
2009-07-31,0.1,0.1,0.1,0.1,5000,0.0,0.0,500.0,70.0
2009-08-03,0.1,0.1,0.1,0.1,5000,0.0,0.0,500.0,110.0
2009-08-04,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,130.0
2009-08-05,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,130.0
2009-08-06,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,125.0
2009-08-07,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,125.0
2009-08-10,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,120.0
2009-08-11,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,120.0
2009-08-12,0.2,0.2,0.2,0.2,690,0.0,1.0,138.0,110.0
2009-08-13,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,123.8
2009-08-14,0.3,0.3,0.3,0.3,2600,0.0,0.5,780.0,113.8
2009-08-17,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,141.8
2009-08-18,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,91.8
2009-08-19,0.3,0.4,0.3,0.4,660,0.3333,0.3333,264.0,91.8
2009-08-20,0.4,0.4,0.4,0.4,1250,0.0,0.0,500.0,118.2
2009-08-21,0.4,0.4,0.4,0.4,0,0.0,0.0,0.0,168.2
2009-08-24,0.3,0.4,0.3,0.4,1060,0.3333,0.0,424.0,168.2
2009-08-25,0.4,0.4,0.4,0.4,0,0.0,0.0,0.0,210.6
2009-08-26,0.4,0.4,0.4,0.4,0,0.0,0.0,0.0,210.6
2009-08-27,0.4,0.4,0.4,0.4,0,0.0,0.0,0.0,196.8
2009-08-28,0.4,0.4,0.4,0.4,0,0.0,0.0,0.0,196.8
2009-08-31,0.3,0.3,0.3,0.3,1000,0.0,-0.25,300.0,118.8
2009-09-01,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,148.8
2009-09-02,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,148.8
2009-09-03,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,122.4
2009-09-04,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,72.4
2009-09-08,0.4,0.5,0.4,0.4,11500,0.0,0.3333,4600.0,72.4
2009-09-09,0.4,0.4,0.4,0.4,0,0.0,0.0,0.0,490.0
2009-09-10,0.4,0.4,0.4,0.4,500,0.0,0.0,200.0,490.0
2009-09-11,0.4,0.4,0.4,0.4,0,0.0,0.0,0.0,510.0
