Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,57.79,59.3,57.79,59.23,9961800,0.0249,,590037414.0,
2003-12-02,59.13,59.94,58.8,58.89,10527900,-0.0041,-0.0057,619988031.0,
2003-12-03,59.25,59.47,58.65,58.84,9291300,-0.0069,-0.0008,546700092.0,
2003-12-04,58.55,59.94,58.5,59.61,9105600,0.0181,0.0131,542784816.0,
2003-12-05,59.58,59.59,58.11,58.3,9099800,-0.0215,-0.022,530518340.0,
2003-12-08,58.3,58.5,57.11,57.95,11041900,-0.006,-0.006,639878105.0,
2003-12-09,58.88,59.0,57.77,57.93,10118800,-0.0161,-0.0003,586182084.0,
2003-12-10,57.82,58.75,57.62,58.21,7676900,0.0067,0.0048,446872349.0,
2003-12-11,58.46,58.95,56.76,58.74,9399900,0.0048,0.0091,552150126.0,
2003-12-12,58.8,59.5,58.46,59.43,8385100,0.0107,0.0117,498326493.0,
2003-12-15,59.47,60.42,59.47,59.73,13204200,0.0044,0.005,788686866.0,555343785.0
2003-12-16,59.02,60.53,58.95,60.38,12974700,0.023,0.0109,783412386.0,575208730.2
2003-12-17,60.46,62.29,60.4,62.15,12638500,0.028,0.0293,785482775.0,591551165.7
2003-12-18,62.25,62.37,61.25,61.59,8198400,-0.0106,-0.009,504939456.0,615429434.0
2003-12-19,62.14,62.15,61.25,61.85,8586900,-0.0047,0.0042,531099765.0,611644898.0
2003-12-22,61.6,61.75,60.93,61.16,6848500,-0.0071,-0.0112,418854260.0,611703040.5
2003-12-23,61.42,62.0,61.16,61.77,6446300,0.0057,0.01,398187951.0,589600656.0
2003-12-24,61.6,61.95,61.41,61.46,2034400,-0.0023,-0.005,125034224.0,570801242.7
2003-12-26,61.53,61.71,61.03,61.12,1647600,-0.0067,-0.0055,100701312.0,538617430.2
2003-12-29,61.45,62.0,61.36,61.87,4347900,0.0068,0.0123,269004573.0,493472548.8
2003-12-30,62.01,62.05,61.46,61.97,5578500,-0.0006,0.0016,345699645.0,470540356.8
2003-12-31,61.95,62.31,61.38,61.79,5667100,-0.0026,-0.0029,350170109.0,426241634.7
2004-01-02,62.07,62.8,62.03,62.35,5933300,0.0045,0.0091,369941255.0,382917407.0
2004-01-05,62.76,62.82,61.87,62.35,7671200,-0.0065,0.0,478299320.0,341363255.0
2004-01-06,62.35,63.2,62.15,62.55,8716300,0.0032,0.0032,545204565.0,338699241.4
2004-01-07,62.48,63.5,62.4,63.38,9168800,0.0144,0.0133,581118544.0,340109721.4
2004-01-08,63.63,63.9,62.79,63.36,9122700,-0.0042,-0.0003,578014272.0,356336149.8
2004-01-09,62.83,63.96,62.52,63.0,10417200,0.0027,-0.0057,656283600.0,374318781.9
2004-01-12,63.26,63.4,62.04,63.03,7963900,-0.0036,0.0005,501964617.0,427443719.5
2004-01-13,63.14,63.8,62.95,63.75,8559500,0.0097,0.0114,545668125.0,467570050.0
2004-01-14,63.8,64.4,63.6,64.05,10241400,0.0039,0.0047,655961670.0,495236405.2
2004-01-15,64.24,64.49,63.06,63.15,11031400,-0.017,-0.0141,696632910.0,526262607.7
2004-01-16,63.58,63.92,63.34,63.5,11376900,-0.0013,0.0055,722433150.0,560908887.8
2004-01-20,64.0,64.08,62.76,62.95,9380100,-0.0164,-0.0087,590477295.0,596158077.3
2004-01-21,62.87,63.49,62.57,62.81,10976900,-0.001,-0.0022,689459089.0,607375874.8
2004-01-22,62.99,63.47,61.1,61.47,17198800,-0.0241,-0.0213,1057210236.0,621801327.2
2004-01-23,62.03,64.3,61.65,63.93,15874400,0.0306,0.04,1014850392.0,669410496.4
2004-01-26,63.62,65.73,63.49,65.33,11058900,0.0269,0.0219,722477937.0,713094108.4
2004-01-27,64.85,65.2,64.44,64.5,7469500,-0.0054,-0.0127,481782750.0,719713542.1
2004-01-28,64.81,65.5,64.08,64.3,11384600,-0.0079,-0.0031,732029780.0,717695355.4
2004-01-29,64.37,65.3,64.27,64.99,8966700,0.0096,0.0107,582745833.0,736331520.9
2004-01-30,64.93,65.11,64.49,64.66,6730800,-0.0042,-0.0051,435213528.0,729009937.2
2004-02-02,64.65,66.88,64.51,66.13,11028000,0.0229,0.0227,729281640.0,702867999.0
2004-02-03,66.25,66.7,65.77,66.23,7330200,-0.0003,0.0015,485479146.0,703552848.0
2004-02-04,66.03,66.5,65.25,65.36,8205000,-0.0101,-0.0131,536278800.0,693053033.1
2004-02-05,65.75,65.85,64.33,64.55,8331500,-0.0183,-0.0124,537798325.0,677735004.2
2004-02-06,64.63,65.56,64.6,64.86,6605500,0.0036,0.0048,428432730.0,625793813.1
2004-02-09,65.25,65.3,64.15,64.22,6173400,-0.0158,-0.0099,396455748.0,567152046.9
2004-02-10,64.13,65.05,63.71,64.97,7145500,0.0131,0.0117,464243135.0,534549828.0
2004-02-11,64.88,66.08,64.61,65.84,7171800,0.0148,0.0134,472191312.0,532795866.5
