Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2016-07-20,112.0,112.0,112.0,112.0,43,0.0,,4816.0,
2016-07-21,112.0,112.0,112.0,112.0,0,0.0,0.0,0.0,
2016-07-22,112.0,112.0,110.18,110.18,43,-0.0162,-0.0162,4737.74,
2016-07-25,84.7,94.5,84.7,94.5,2243,0.1157,-0.1423,211963.5,
2016-07-26,98.0,98.0,95.34,96.6,1736,-0.0143,0.0222,167697.6,
2016-07-27,116.06,116.06,68.74,77.14,5336,-0.3353,-0.2014,411619.04,
2016-07-28,83.86,83.86,68.74,70.14,1664,-0.1636,-0.0907,116712.96,
2016-07-29,84.28,84.28,49.42,51.94,11564,-0.3837,-0.2595,600634.16,
2016-08-01,60.06,60.62,37.52,40.46,207093,-0.3263,-0.221,8378982.78,
2016-08-02,41.16,51.8,39.69,41.44,141843,0.0068,0.0242,5877973.92,
2016-08-03,42.7,42.7,39.48,41.16,70843,-0.0361,-0.0068,2915897.88,1577513.77
2016-08-04,41.02,44.1,41.02,42.98,55357,0.0478,0.0442,2379243.86,1868621.96
2016-08-05,44.66,44.66,38.36,39.48,103557,-0.116,-0.0814,4088430.36,2106546.34
2016-08-08,38.5,42.0,36.82,38.36,91414,-0.0036,-0.0284,3506641.04,2514915.61
2016-08-09,39.06,40.32,35.98,36.96,62186,-0.0538,-0.0365,2298394.56,2844383.36
2016-08-10,37.1,38.78,36.4,37.8,63550,0.0189,0.0227,2402190.0,3057453.06
2016-08-11,39.48,39.9,37.52,38.78,84821,-0.0177,0.0259,3289358.38,3256510.15
2016-08-12,39.62,43.82,38.78,42.98,50564,0.0848,0.1083,2173240.72,3573774.69
2016-08-15,44.1,47.46,43.26,44.24,36857,0.0032,0.0293,1630553.68,3731035.35
2016-08-16,45.5,46.06,41.02,42.28,22736,-0.0708,-0.0443,961278.08,3056192.44
2016-08-17,42.7,45.78,42.52,45.08,22443,0.0557,0.0662,1011730.44,2564522.86
2016-08-18,45.5,50.96,44.52,44.66,27029,-0.0185,-0.0093,1207115.14,2374106.11
2016-08-19,44.66,47.32,44.24,46.62,25436,0.0439,0.0439,1185826.32,2256893.24
2016-08-22,48.02,50.54,44.52,44.94,52450,-0.0641,-0.036,2357103.0,1966632.84
2016-08-23,45.64,47.46,43.4,45.08,26807,-0.0123,0.0031,1208459.56,1851679.03
2016-08-24,45.5,47.32,42.14,42.28,29336,-0.0708,-0.0621,1240326.08,1742685.53
2016-08-25,41.86,42.7,41.16,41.72,16764,-0.0033,-0.0132,699394.08,1626499.14
2016-08-26,42.0,43.54,41.16,42.28,18564,0.0067,0.0134,784885.92,1367502.71
2016-08-29,42.56,42.56,39.48,40.18,10321,-0.0559,-0.0497,414697.78,1228667.23
2016-08-30,40.32,40.6,38.78,40.04,12129,-0.0069,-0.0035,485645.16,1107081.64
2016-08-31,39.76,39.76,37.1,38.08,29814,-0.0423,-0.049,1135317.12,1059518.35
2016-09-01,37.8,38.92,36.68,37.1,21714,-0.0185,-0.0257,805589.4,1071877.02
2016-09-02,36.82,37.1,35.28,37.1,18336,0.0076,0.0,680265.6,1031724.44
2016-09-06,36.96,36.96,32.62,33.6,28971,-0.0909,-0.0943,973425.6,981168.37
2016-09-07,33.46,33.88,32.06,32.2,25471,-0.0377,-0.0417,820166.2,842800.63
2016-09-08,32.48,32.76,30.24,30.8,26529,-0.0517,-0.0435,817093.2,803971.29
2016-09-09,32.48,43.26,32.48,35.14,326336,0.0819,0.1409,11467447.04,761648.01
2016-09-12,35.28,37.38,32.48,35.42,61071,0.004,0.008,2163134.82,1838453.3
2016-09-13,35.56,35.56,33.04,33.6,26614,-0.0551,-0.0514,894230.4,1976278.19
2016-09-14,33.88,34.58,33.6,34.3,13014,0.0124,0.0208,446380.2,2024231.45
2016-09-15,34.58,34.68,32.48,32.9,21279,-0.0486,-0.0408,700079.1,2020304.96
2016-09-16,32.76,33.46,31.5,31.5,60500,-0.0385,-0.0426,1905750.0,1976781.16
2016-09-19,31.78,32.9,31.36,31.64,12957,-0.0044,0.0044,409959.48,2086797.22
2016-09-20,31.92,34.58,31.78,33.04,31800,0.0351,0.0442,1050672.0,2059766.6
2016-09-21,33.46,35.84,32.9,35.56,32400,0.0628,0.0763,1152144.0,2067491.24
