Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2007-08-21,79.4,80.75,78.0,78.5,1029100,-0.0113,,80784350.0,
2007-08-22,77.0,80.49,75.85,78.25,996500,0.0162,-0.0032,77976125.0,
2007-08-23,79.0,79.1,75.51,76.25,742700,-0.0348,-0.0256,56630875.0,
2007-08-24,76.1,77.43,76.0,77.12,416000,0.0134,0.0114,32081920.0,
2007-08-27,77.1,77.5,74.38,75.37,447000,-0.0224,-0.0227,33690390.0,
2007-08-28,75.25,75.7,75.02,75.4,532500,0.002,0.0004,40150500.0,
2007-08-29,75.3,77.4,75.25,77.33,229300,0.027,0.0256,17731769.0,
2007-08-30,77.03,78.25,76.83,77.43,787000,0.0052,0.0013,60937410.0,
2007-08-31,77.5,77.9,76.07,77.5,760600,0.0,0.0009,58946500.0,
2007-09-04,77.5,79.82,76.75,79.1,654400,0.0206,0.0206,51763040.0,
2007-09-05,78.85,80.0,77.75,79.35,854100,0.0063,0.0032,67772835.0,51069287.9
2007-09-06,79.25,79.73,78.16,79.49,461000,0.003,0.0018,36644890.0,49768136.4
2007-09-07,79.4,79.4,75.65,77.55,646800,-0.0233,-0.0244,50159340.0,45635012.9
2007-09-10,77.3,78.66,74.85,78.33,751100,0.0133,0.0101,58833663.0,44987859.4
2007-09-11,78.5,79.09,78.04,78.98,655000,0.0061,0.0083,51731900.0,47663033.7
2007-09-12,78.98,79.0,78.38,78.81,313700,-0.0022,-0.0022,24722697.0,49467184.7
2007-09-13,79.25,79.99,78.85,79.41,406900,0.002,0.0076,32311929.0,47924404.4
2007-09-14,78.5,79.15,72.53,78.93,371500,0.0055,-0.006,29322495.0,49382420.4
2007-09-17,79.1,79.1,76.78,77.05,536800,-0.0259,-0.0238,41360440.0,46220928.9
2007-09-18,77.45,79.05,76.67,78.37,446600,0.0119,0.0171,35000042.0,44462322.9
2007-09-19,79.0,80.0,77.3,78.39,371200,-0.0077,0.0003,29098368.0,42786023.1
2007-09-20,78.6,79.83,77.35,78.0,301000,-0.0076,-0.005,23478000.0,38918576.4
2007-09-21,78.74,79.85,77.95,79.5,876000,0.0097,0.0192,69642000.0,37601887.4
2007-09-24,78.8,79.72,78.35,78.45,440000,-0.0044,-0.0132,34518000.0,39550153.4
2007-09-25,77.6,79.11,77.6,78.77,374500,0.0151,0.0041,29499365.0,37118587.1
2007-09-26,79.0,80.32,78.03,78.25,742500,-0.0095,-0.0066,58100625.0,34895333.6
2007-09-27,78.3,80.37,78.15,79.99,490100,0.0216,0.0222,39203099.0,38233126.4
2007-09-28,79.9,80.7,79.52,80.34,868800,0.0055,0.0044,69799392.0,38922243.4
2007-10-01,80.0,84.08,80.0,82.58,1274200,0.0322,0.0279,105223436.0,42969933.1
2007-10-02,82.5,85.89,82.5,84.98,841300,0.0301,0.0291,71493674.0,49356232.7
2007-10-03,84.38,85.4,84.31,84.58,584700,0.0024,-0.0047,49453926.0,53005595.9
