Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2019-11-05,9.78,9.78,9.78,9.78,150000,0.0,,1467000.0,
2019-11-06,9.78,9.78,9.78,9.78,250000,0.0,0.0,2445000.0,
2019-11-07,9.78,9.78,9.78,9.78,0,0.0,0.0,0.0,
2019-11-08,9.78,9.78,9.78,9.78,0,0.0,0.0,0.0,
2019-11-11,9.78,9.78,9.78,9.78,0,0.0,0.0,0.0,
2019-11-12,9.78,9.78,9.78,9.78,0,0.0,0.0,0.0,
2019-11-13,9.78,9.78,9.78,9.78,0,0.0,0.0,0.0,
2019-11-14,9.78,9.78,9.78,9.78,0,0.0,0.0,0.0,
2019-11-15,9.78,9.78,9.78,9.78,0,0.0,0.0,0.0,
2019-11-18,9.96,9.96,9.96,9.96,100,0.0,0.0184,996.0,
2019-11-19,10.06,10.06,10.06,10.06,100,0.0,0.01,1006.0,391299.6
2019-11-20,10.06,10.06,10.06,10.06,0,0.0,0.0,0.0,244700.2
2019-11-21,10.06,10.06,10.06,10.06,100,0.0,0.0,1006.0,200.2
2019-11-22,10.06,10.06,10.06,10.06,0,0.0,0.0,0.0,300.8
2019-11-25,10.25,10.25,10.25,10.25,100,0.0,0.0189,1025.0,300.8
2019-11-26,10.25,10.25,10.25,10.25,0,0.0,0.0,0.0,403.3
2019-11-27,10.25,10.25,10.25,10.25,0,0.0,0.0,0.0,403.3
2019-11-29,10.25,10.25,10.25,10.25,0,0.0,0.0,0.0,403.3
2019-12-02,10.25,10.25,10.25,10.25,0,0.0,0.0,0.0,403.3
2019-12-03,10.25,10.25,10.25,10.25,0,0.0,0.0,0.0,403.3
2019-12-04,10.18,10.18,9.82,9.89,252000,-0.0285,-0.0351,2492280.0,303.7
2019-12-05,9.89,9.89,9.89,9.89,0,0.0,0.0,0.0,249431.1
2019-12-06,9.89,9.89,9.89,9.89,0,0.0,0.0,0.0,249431.1
2019-12-09,9.85,9.9,9.82,9.85,712700,0.0,-0.004,7020095.0,249330.5
2019-12-10,9.85,9.85,9.85,9.85,0,0.0,0.0,0.0,951340.0
2019-12-11,9.85,9.85,9.85,9.85,0,0.0,0.0,0.0,951237.5
2019-12-12,9.85,9.85,9.85,9.85,0,0.0,0.0,0.0,951237.5
2019-12-13,9.85,9.85,9.85,9.85,0,0.0,0.0,0.0,951237.5
2019-12-16,9.85,9.85,9.85,9.85,0,0.0,0.0,0.0,951237.5
2019-12-17,9.97,10.43,9.85,10.43,157500,0.0461,0.0589,1642725.0,951237.5
2019-12-18,9.91,9.98,9.91,9.91,400,0.0,-0.0499,3964.0,1115510.0
2019-12-19,9.91,9.91,9.91,9.91,0,0.0,0.0,0.0,866678.4
2019-12-20,9.91,9.91,9.91,9.91,0,0.0,0.0,0.0,866678.4
2019-12-23,9.91,9.91,9.91,9.91,0,0.0,0.0,0.0,866678.4
2019-12-24,9.91,9.91,9.91,9.91,0,0.0,0.0,0.0,164668.9
2019-12-26,9.85,9.9,9.85,9.9,1100,0.0051,-0.001,10890.0,164668.9
2019-12-27,9.9,9.9,9.9,9.9,0,0.0,0.0,0.0,165757.9
2019-12-30,9.88,9.88,9.87,9.87,102100,-0.001,-0.003,1007727.0,165757.9
2019-12-31,9.87,9.87,9.87,9.87,0,0.0,0.0,0.0,266530.6
2020-01-02,9.87,9.87,9.87,9.87,0,0.0,0.0,0.0,266530.6
2020-01-03,9.88,9.9,9.88,9.9,300000,0.002,0.003,2970000.0,102258.1
2020-01-06,9.9,9.9,9.9,9.9,0,0.0,0.0,0.0,398861.7
2020-01-07,9.95,9.95,9.95,9.95,225000,0.0,0.0051,2238750.0,398861.7
2020-01-08,9.95,9.95,9.95,9.95,0,0.0,0.0,0.0,622736.7
2020-01-09,9.95,9.95,9.95,9.95,50000,0.0,0.0,497500.0,622736.7
2020-01-10,9.95,10.0,9.95,9.98,275300,0.003,0.003,2747494.0,672486.7
2020-01-13,9.98,10.02,9.98,10.0,484100,0.002,0.002,4841000.0,946147.1
2020-01-14,10.0,10.0,10.0,10.0,0,0.0,0.0,0.0,1430247.1
