Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2005-03-16,2.89,2.89,2.82,2.88,299600,-0.0035,,862848.0,
2005-03-17,2.87,2.88,2.85,2.88,103600,0.0035,0.0,298368.0,
2005-03-18,2.88,2.88,2.85,2.88,118000,0.0,0.0,339840.0,
2005-03-21,2.87,2.88,2.85,2.88,162800,0.0035,0.0,468864.0,
2005-03-22,2.88,2.88,2.77,2.86,348000,-0.0069,-0.0069,995280.0,
2005-03-23,2.85,2.88,2.85,2.88,175200,0.0105,0.007,504576.0,
2005-03-24,2.86,2.88,2.85,2.85,76000,-0.0035,-0.0104,216600.0,
2005-03-28,2.85,2.88,2.85,2.87,29600,0.007,0.007,84952.0,
2005-03-29,2.88,2.88,2.62,2.81,359600,-0.0243,-0.0209,1010476.0,
2005-03-30,2.85,2.87,2.7,2.87,62800,0.007,0.0214,180236.0,
2005-03-31,2.8,2.86,2.8,2.81,8000,0.0036,-0.0209,22480.0,496204.0
2005-04-01,2.83,2.86,2.81,2.82,24800,-0.0035,0.0036,69936.0,412167.2
2005-04-04,2.81,2.85,2.81,2.82,15200,0.0036,0.0,42864.0,389324.0
2005-04-05,2.81,2.84,2.75,2.78,121200,-0.0107,-0.0142,336936.0,359626.4
2005-04-06,2.75,2.78,2.75,2.75,449600,0.0,-0.0108,1236400.0,346433.6
2005-04-07,2.76,2.78,2.75,2.76,91600,0.0,0.0036,252816.0,370545.6
2005-04-08,2.75,2.77,2.75,2.75,88800,0.0,-0.0036,244200.0,345369.6
2005-04-11,2.75,2.86,2.75,2.77,64800,0.0073,0.0073,179496.0,348129.6
2005-04-12,2.72,2.8,2.72,2.75,28400,0.011,-0.0072,78100.0,357584.0
2005-04-13,2.75,2.81,2.75,2.76,78800,0.0036,0.0036,217488.0,264346.4
2005-04-14,2.77,2.79,2.75,2.76,14000,-0.0036,0.0,38640.0,268071.6
2005-04-15,2.81,2.81,2.75,2.75,65200,-0.0214,-0.0036,179300.0,269687.6
2005-04-18,2.75,2.76,2.64,2.75,56000,0.0,0.0,154000.0,280624.0
2005-04-19,2.64,2.74,2.64,2.68,20800,0.0152,-0.0255,55744.0,291737.6
2005-04-20,2.65,2.71,2.65,2.67,6800,0.0075,-0.0037,18156.0,263618.4
2005-04-21,2.67,2.67,2.45,2.5,126000,-0.0637,-0.0637,315000.0,141794.0
2005-04-22,2.51,2.51,2.38,2.44,155200,-0.0279,-0.024,378688.0,148012.4
2005-04-25,2.38,2.38,2.22,2.28,303200,-0.042,-0.0656,691296.0,161461.2
2005-04-26,2.27,2.33,2.24,2.3,193600,0.0132,0.0088,445280.0,212641.2
2005-04-27,2.29,2.56,2.29,2.51,62800,0.0961,0.0913,157628.0,249359.2
2005-04-28,2.51,2.51,2.38,2.47,25200,-0.0159,-0.0159,62244.0,243373.2
2005-04-29,2.38,2.51,2.38,2.46,60000,0.0336,-0.004,147600.0,245733.6
2005-05-02,2.52,2.52,2.38,2.41,55600,-0.0437,-0.0203,133996.0,242563.6
2005-05-03,2.38,2.44,2.38,2.38,28000,0.0,-0.0124,66640.0,240563.2
2005-05-04,2.38,2.38,2.35,2.36,88000,-0.0084,-0.0084,207680.0,241652.8
2005-05-05,2.36,2.54,2.36,2.41,32800,0.0212,0.0212,79048.0,260605.2
2005-05-06,2.41,2.42,2.38,2.41,25200,0.0,0.0,60732.0,237010.0
2005-05-09,2.39,2.52,2.39,2.52,30800,0.0544,0.0456,77616.0,205214.4
2005-05-10,2.54,2.61,2.5,2.58,30000,0.0157,0.0238,77400.0,143846.4
2005-05-11,2.61,2.61,2.5,2.5,127200,-0.0421,-0.031,318000.0,107058.4
2005-05-12,2.5,2.5,2.47,2.5,11200,0.0,0.0,28000.0,123095.6
2005-05-13,2.64,2.64,2.5,2.55,38800,-0.0341,0.02,98940.0,119671.2
2005-05-16,2.5,2.5,2.45,2.5,10800,0.0,-0.0196,27000.0,114805.2
2005-05-17,2.5,2.5,2.4,2.42,9200,-0.032,-0.032,22264.0,104105.6
2005-05-18,2.5,2.5,2.39,2.44,22000,-0.024,0.0083,53680.0,99668.0
2005-05-19,2.4,2.44,2.38,2.44,18000,0.0167,0.0,43920.0,84268.0
2005-05-20,2.44,2.44,2.39,2.39,6800,-0.0205,-0.0205,16252.0,80755.2
2005-05-23,2.38,2.48,2.38,2.38,10800,0.0,-0.0042,25704.0,76307.2
2005-05-24,2.38,2.4,2.33,2.4,6000,0.0084,0.0084,14400.0,71116.0
2005-05-25,2.38,2.38,2.25,2.35,94000,-0.0126,-0.0208,220900.0,64816.0
2005-05-26,2.35,2.37,2.24,2.31,251600,-0.017,-0.017,581196.0,55106.0
2005-05-27,2.3,2.31,2.25,2.31,115600,0.0043,0.0,267036.0,110425.6
2005-05-31,2.2,2.36,2.2,2.29,227200,0.0409,-0.0087,520288.0,127235.2
2005-06-01,2.33,2.36,2.27,2.36,167200,0.0129,0.0306,394592.0,176564.0
2005-06-02,2.3,2.33,2.3,2.31,5600,0.0043,-0.0212,12936.0,213796.8
2005-06-03,2.31,2.5,2.3,2.44,106800,0.0563,0.0563,260592.0,209722.4
2005-06-06,2.4,2.47,2.36,2.36,8400,-0.0167,-0.0328,19824.0,231389.6
2005-06-07,2.36,2.47,2.36,2.47,43600,0.0466,0.0466,107692.0,231746.8
2005-06-08,2.47,2.47,2.4,2.47,6400,0.0,0.0,15808.0,239945.6
2005-06-09,2.47,2.47,2.47,2.47,0,0.0,0.0,0.0,240086.4
2005-06-10,2.4,2.51,2.4,2.51,61600,0.0458,0.0162,154616.0,217996.4
2005-06-13,2.4,2.47,2.25,2.34,187600,-0.025,-0.0677,438984.0,175338.4
2005-06-14,2.42,2.42,2.33,2.34,34400,-0.0331,0.0,80496.0,192533.2
2005-06-15,2.34,2.45,2.31,2.32,50800,-0.0085,-0.0085,117856.0,148554.0
2005-06-16,2.31,2.34,2.31,2.32,65600,0.0043,0.0,152192.0,120880.4
2005-06-17,2.41,2.41,2.19,2.31,60400,-0.0415,-0.0043,139524.0,134806.0
2005-06-20,2.31,2.4,2.26,2.28,59200,-0.013,-0.013,134976.0,122699.2
2005-06-21,2.29,2.3,2.23,2.28,188400,-0.0044,0.0,429552.0,134214.4
2005-06-22,2.23,2.26,2.23,2.23,105200,0.0,-0.0219,234596.0,166400.4
2005-06-23,2.23,2.25,2.22,2.25,297200,0.009,0.009,668700.0,188279.2
2005-06-24,2.25,2.25,2.22,2.22,22000,-0.0133,-0.0133,48840.0,255149.2
2005-06-27,2.24,2.25,2.08,2.12,384800,-0.0536,-0.045,815776.0,244571.6
2005-06-28,2.08,2.24,2.06,2.12,178800,0.0192,0.0,379056.0,282250.8
2005-06-29,2.19,2.29,2.13,2.21,15200,0.0091,0.0425,33592.0,312106.8
2005-06-30,2.31,2.31,2.22,2.26,86400,-0.0216,0.0226,195264.0,303680.4
2005-07-01,2.25,2.37,2.25,2.3,30800,0.0222,0.0177,70840.0,307987.6
2005-07-05,2.26,2.38,2.25,2.33,31200,0.031,0.013,72696.0,301119.2
2005-07-06,2.27,2.31,2.25,2.28,31600,0.0044,-0.0215,72048.0,294891.2
2005-07-07,2.31,2.44,2.31,2.42,79200,0.0476,0.0614,191664.0,259140.8
2005-07-08,2.42,2.42,2.36,2.38,11600,-0.0165,-0.0165,27608.0,254847.6
2005-07-11,2.38,2.42,2.28,2.42,12400,0.0168,0.0168,30008.0,190738.4
2005-07-12,2.49,2.49,2.36,2.36,23600,-0.0522,-0.0248,55696.0,188855.2
2005-07-13,2.38,2.38,2.38,2.38,800,0.0,0.0085,1904.0,112847.2
2005-07-14,2.44,2.47,2.43,2.43,30800,-0.0041,0.021,74844.0,75132.0
2005-07-15,2.47,2.47,2.35,2.39,42400,-0.0324,-0.0165,101336.0,79257.2
2005-07-18,2.39,2.39,2.33,2.39,34400,0.0,0.0,82216.0,69864.4
2005-07-19,2.39,2.47,2.35,2.39,104400,0.0,0.0,249516.0,71002.0
2005-07-20,2.4,2.4,2.32,2.37,45600,-0.0125,-0.0084,108072.0,88684.0
2005-07-21,2.33,2.36,2.33,2.36,13600,0.0129,-0.0042,32096.0,92286.4
2005-07-22,2.36,2.43,2.33,2.33,105600,-0.0127,-0.0127,246048.0,76329.6
2005-07-25,2.34,2.38,2.34,2.38,4000,0.0171,0.0215,9520.0,98173.6
2005-07-26,2.36,2.39,2.36,2.39,12400,0.0127,0.0042,29636.0,96124.8
2005-07-27,2.38,2.42,2.33,2.33,10800,-0.021,-0.0251,25164.0,93518.8
2005-07-28,2.38,2.38,2.33,2.33,9200,-0.021,0.0,21436.0,95844.8
2005-07-29,2.33,2.38,2.32,2.35,24000,0.0086,0.0086,56400.0,90504.0
2005-08-01,2.35,2.35,2.25,2.25,20000,-0.0426,-0.0426,45000.0,86010.4
2005-08-02,2.25,2.25,2.2,2.2,17600,-0.0222,-0.0222,38720.0,82288.8
2005-08-03,2.2,2.23,2.13,2.2,32400,0.0,0.0,71280.0,61209.2
2005-08-04,2.2,2.23,2.2,2.23,26800,0.0136,0.0136,59764.0,57530.0
2005-08-05,2.19,2.19,2.19,2.19,9600,0.0,-0.0179,21024.0,60296.8
2005-08-08,2.16,2.27,2.16,2.21,22000,0.0231,0.0091,48620.0,37794.4
2005-08-09,2.23,2.25,2.21,2.21,21200,-0.009,0.0,46852.0,41704.4
2005-08-10,2.22,2.22,2.2,2.22,10400,0.0,0.0045,23088.0,43426.0
2005-08-11,2.2,2.2,2.17,2.17,26000,-0.0136,-0.0225,56420.0,43218.4
2005-08-12,2.13,2.2,2.13,2.19,54400,0.0282,0.0092,119136.0,46716.8
2005-08-15,2.19,2.21,2.16,2.16,15200,-0.0137,-0.0137,32832.0,52990.4
2005-08-16,2.13,2.13,2.0,2.06,133600,-0.0329,-0.0463,275216.0,51773.6
