Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-01-08,2.0,2.0,1.71,1.71,13533,-0.145,,23141.43,
2021-01-11,1.77,2.19,1.77,2.12,158633,0.1977,0.2398,336301.96,
2021-01-12,2.25,2.33,1.92,2.0,59200,-0.1111,-0.0566,118400.0,
2021-01-13,2.1,2.1,1.96,2.0,3133,-0.0476,0.0,6266.0,
2021-01-14,1.88,2.25,1.88,2.04,26000,0.0851,0.02,53040.0,
2021-01-15,2.04,2.07,1.97,2.05,12967,0.0049,0.0049,26582.35,
2021-01-19,2.07,2.07,1.85,1.95,29300,-0.058,-0.0488,57135.0,
2021-01-20,1.97,2.04,1.84,1.91,58367,-0.0305,-0.0205,111480.97,
2021-01-21,1.86,1.92,1.8,1.92,21400,0.0323,0.0052,41088.0,
2021-01-22,1.93,2.04,1.93,2.04,8167,0.057,0.0625,16660.68,
2021-01-25,2.06,2.06,1.9,2.0,23433,-0.0291,-0.0196,46866.0,79009.64
2021-01-26,2.01,2.06,1.87,1.98,42833,-0.0149,-0.01,84809.34,81382.1
2021-01-27,1.81,2.3,1.81,2.25,67500,0.2431,0.1364,151875.0,56232.83
2021-01-28,2.3,2.37,2.13,2.2,55467,-0.0435,-0.0222,122027.4,59580.33
2021-01-29,2.22,2.81,2.22,2.81,68700,0.2658,0.2773,193047.0,71156.47
2021-02-01,2.97,3.88,2.8,3.85,207367,0.2963,0.3701,798362.95,85157.17
2021-02-02,3.88,4.44,2.85,4.42,127033,0.1392,0.1481,561485.86,162335.23
2021-02-03,4.5,4.51,3.93,4.32,54967,-0.04,-0.0226,237457.44,212770.32
2021-02-04,4.67,5.4,4.11,5.25,111767,0.1242,0.2153,586776.75,225367.97
2021-02-05,5.56,8.22,5.52,7.47,149333,0.3435,0.4229,1115517.51,279936.84
2021-02-08,8.55,9.3,5.04,7.05,177200,-0.1754,-0.0562,1249260.0,389822.52
2021-02-09,7.08,7.62,6.24,7.05,124000,-0.0042,0.0,874200.0,510061.92
2021-02-10,7.2,7.38,6.24,7.22,64567,0.0028,0.0241,466173.74,589000.99
2021-02-11,7.35,8.86,7.22,8.22,92633,0.1184,0.1385,761443.26,620430.86
2021-02-12,8.4,9.15,8.4,9.15,67533,0.0893,0.1131,617926.95,684372.45
2021-02-16,9.21,10.68,9.21,10.56,125933,0.1466,0.1541,1329852.48,726860.45
2021-02-17,10.19,10.8,9.9,10.68,75967,0.0481,0.0114,811327.56,780009.4
2021-02-18,11.25,11.3,9.57,10.39,83400,-0.0764,-0.0272,866526.0,804993.57
