Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,14.99,14.99,14.0,14.62,25600,-0.0247,,374272.0,
2003-12-02,14.99,15.0,14.49,14.53,4400,-0.0307,-0.0062,63932.0,
2003-12-03,14.36,14.5,14.06,14.5,23600,0.0097,-0.0021,342200.0,
2003-12-04,14.32,14.45,14.07,14.45,20400,0.0091,-0.0034,294780.0,
2003-12-05,14.45,14.82,14.26,14.58,7200,0.009,0.009,104976.0,
2003-12-08,14.56,15.0,14.24,14.44,12400,-0.0082,-0.0096,179056.0,
2003-12-09,14.41,14.6,14.2,14.2,54800,-0.0146,-0.0166,778160.0,
2003-12-10,14.58,14.61,14.35,14.38,12400,-0.0137,0.0127,178312.0,
2003-12-11,14.4,14.91,14.4,14.91,21600,0.0354,0.0369,322056.0,
2003-12-12,14.53,14.97,14.53,14.95,9200,0.0289,0.0027,137540.0,
2003-12-15,14.58,14.96,14.58,14.68,7600,0.0069,-0.0181,111568.0,277528.4
2003-12-16,14.67,14.91,14.52,14.62,6400,-0.0034,-0.0041,93568.0,251258.0
2003-12-17,14.52,14.88,14.52,14.84,2800,0.022,0.015,41552.0,254221.6
2003-12-18,14.81,14.81,14.65,14.81,1600,0.0,-0.002,23696.0,224156.8
2003-12-19,14.54,14.69,14.32,14.69,4400,0.0103,-0.0081,64636.0,197048.4
2003-12-22,14.3,14.3,14.3,14.3,400,0.0,-0.0265,5720.0,193014.4
2003-12-23,14.25,14.62,14.25,14.3,12800,0.0035,0.0,183040.0,175680.8
2003-12-24,14.25,14.6,14.25,14.6,4800,0.0246,0.021,70080.0,116168.8
2003-12-26,14.42,14.42,14.42,14.42,400,0.0,-0.0123,5768.0,105345.6
2003-12-29,14.6,14.74,14.6,14.61,5200,0.0007,0.0132,75972.0,73716.8
2003-12-30,14.26,14.75,14.26,14.74,29600,0.0337,0.0089,436304.0,67560.0
2003-12-31,14.3,14.44,14.3,14.44,6800,0.0098,-0.0204,98192.0,100033.6
2004-01-02,14.44,14.44,14.44,14.44,0,0.0,0.0,0.0,100496.0
2004-01-05,14.44,14.44,14.35,14.44,10400,0.0,0.0,150176.0,96340.8
2004-01-06,14.56,14.65,14.56,14.62,2000,0.0041,0.0125,29240.0,108988.8
2004-01-07,14.65,14.69,14.26,14.33,86800,-0.0218,-0.0198,1243844.0,105449.2
2004-01-08,14.29,14.29,14.18,14.18,33600,-0.0077,-0.0105,476448.0,229261.6
2004-01-09,14.15,14.23,14.09,14.18,12000,0.0021,0.0,170160.0,258602.4
2004-01-12,14.44,14.44,14.07,14.14,8800,-0.0208,-0.0028,124432.0,268610.4
2004-01-13,14.06,14.25,14.06,14.25,11200,0.0135,0.0078,159600.0,280476.8
2004-01-14,14.3,14.3,14.15,14.19,16400,-0.0077,-0.0042,232716.0,288839.6
2004-01-15,14.19,14.3,14.19,14.3,2000,0.0078,0.0078,28600.0,268480.8
2004-01-16,14.3,14.43,14.3,14.43,16400,0.0091,0.0091,236652.0,261521.6
2004-01-20,14.31,14.42,14.21,14.27,16000,-0.0028,-0.0111,228320.0,285186.8
2004-01-21,14.07,14.31,14.07,14.31,49600,0.0171,0.0028,709776.0,293001.2
2004-01-22,14.18,14.31,14.18,14.18,2000,0.0,-0.0091,28360.0,361054.8
2004-01-23,14.09,14.18,14.09,14.14,2800,0.0035,-0.0028,39592.0,239506.4
2004-01-26,14.3,14.3,14.24,14.24,9200,-0.0042,0.0071,131008.0,195820.8
2004-01-27,14.31,14.31,14.23,14.23,3600,-0.0056,-0.0007,51228.0,191905.6
2004-01-28,14.24,14.3,14.07,14.14,6000,-0.007,-0.0063,84840.0,184585.2
2004-01-29,14.06,14.31,13.88,14.31,23600,0.0178,0.012,337716.0,177109.2
2004-01-30,14.25,14.25,13.96,13.96,3600,-0.0204,-0.0245,50256.0,187609.2
2004-02-02,13.88,14.11,13.88,13.91,14400,0.0022,-0.0036,200304.0,189774.8
2004-02-03,13.88,13.95,13.81,13.88,16400,0.0,-0.0022,227632.0,186140.0
2004-02-04,14.03,14.03,13.81,13.88,37200,-0.0107,0.0,516336.0,186071.2
2004-02-05,13.85,13.97,13.82,13.83,8400,-0.0014,-0.0036,116172.0,166727.2
2004-02-06,14.02,14.13,13.82,14.13,8400,0.0078,0.0217,118692.0,175508.4
2004-02-09,13.99,14.14,13.99,14.13,8800,0.01,0.0,124344.0,183418.4
2004-02-10,14.13,14.13,14.13,14.13,0,0.0,0.0,0.0,182752.0
