Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,8.52,8.63,8.52,8.63,102417,0.0129,,883858.71,
2003-12-02,8.61,8.63,8.58,8.58,2283,-0.0035,-0.0058,19588.14,
2003-12-03,8.57,8.68,8.54,8.68,14351,0.0128,0.0117,124566.68,
2003-12-04,8.71,8.71,8.62,8.62,11090,-0.0103,-0.0069,95595.8,
2003-12-05,8.68,8.69,8.66,8.67,12394,-0.0012,0.0058,107455.98,
2003-12-08,8.6,8.63,8.6,8.63,979,0.0035,-0.0046,8448.77,
2003-12-09,8.65,8.65,8.62,8.62,1305,-0.0035,-0.0012,11249.1,
2003-12-10,8.58,8.58,8.51,8.51,5871,-0.0082,-0.0128,49962.21,
2003-12-11,8.51,8.51,8.48,8.51,15004,0.0,0.0,127684.04,
2003-12-12,8.55,8.55,8.55,8.55,326,0.0,0.0047,2787.3,
2003-12-15,8.63,8.63,8.48,8.48,8480,-0.0174,-0.0082,71910.4,143119.67
2003-12-16,8.48,8.48,8.48,8.48,0,0.0,0.0,0.0,61924.84
2003-12-17,8.44,8.49,8.41,8.41,5871,-0.0036,-0.0083,49375.11,59966.03
2003-12-18,8.41,8.41,8.41,8.41,0,0.0,0.0,0.0,52446.87
2003-12-19,8.41,8.41,8.41,8.41,0,0.0,0.0,0.0,42887.29
2003-12-22,8.45,8.45,8.42,8.42,51861,-0.0036,0.0012,436669.62,32141.69
2003-12-23,8.46,8.48,8.43,8.43,10764,-0.0035,0.0012,90740.52,74963.78
2003-12-24,8.47,8.47,8.43,8.43,6523,-0.0047,0.0,54988.89,82912.92
2003-12-26,8.51,8.51,8.48,8.48,1631,-0.0035,0.0059,13830.88,83415.59
2003-12-29,8.48,8.48,8.48,8.48,326,0.0,0.0,2764.48,72030.27
2003-12-30,8.55,8.56,8.5,8.56,15004,0.0012,0.0094,128434.24,72027.99
2003-12-31,8.59,8.59,8.59,8.59,1305,0.0,0.0035,11209.95,77680.37
2004-01-02,8.66,8.66,8.65,8.65,1305,-0.0012,0.007,11288.25,78801.37
2004-01-05,8.9,8.93,8.9,8.93,1631,0.0034,0.0324,14564.83,74992.68
2004-01-06,9.04,9.11,8.98,8.98,21527,-0.0066,0.0056,193312.46,76449.17
2004-01-07,9.03,9.03,8.92,8.92,11090,-0.0122,-0.0067,98922.8,95780.41
2004-01-08,8.92,9.04,8.92,9.04,34900,0.0135,0.0135,315496.0,62005.73
2004-01-09,9.14,9.3,9.14,9.3,41750,0.0175,0.0288,388275.0,84481.28
2004-01-12,9.34,9.43,9.34,9.35,25767,0.0011,0.0054,240921.45,117809.89
2004-01-13,9.41,9.41,9.32,9.32,14351,-0.0096,-0.0032,133751.32,140518.95
2004-01-14,9.34,9.34,9.14,9.3,31965,-0.0043,-0.0021,297274.5,153617.63
2004-01-15,9.34,9.34,9.27,9.27,24137,-0.0075,-0.0032,223749.99,170501.66
2004-01-16,9.23,9.27,9.23,9.23,6850,0.0,-0.0043,63225.5,191755.66
2004-01-20,9.18,9.2,9.18,9.19,4893,0.0011,-0.0043,44966.67,196949.38
2004-01-21,9.18,9.18,9.17,9.17,1631,-0.0011,-0.0022,14956.27,199989.57
2004-01-22,9.2,9.2,9.17,9.17,1631,-0.0033,0.0,14956.27,182153.95
2004-01-23,9.18,9.22,9.18,9.22,7502,0.0044,0.0055,69168.44,173757.3
2004-01-26,9.2,9.2,9.11,9.12,17613,-0.0087,-0.0108,160630.56,149124.54
2004-01-27,9.26,9.32,9.26,9.26,16308,0.0,0.0154,151012.08,126360.1
2004-01-28,9.23,9.25,9.16,9.16,3262,-0.0076,-0.0108,29879.92,117369.16
2004-01-29,9.08,9.08,8.69,8.73,41424,-0.0385,-0.0469,361631.52,106982.02
2004-01-30,8.89,9.04,8.86,9.04,30660,0.0169,0.0355,277166.4,113417.72
2004-02-02,9.19,9.24,9.17,9.17,10111,-0.0022,0.0144,92717.87,118759.36
2004-02-03,9.18,9.2,9.16,9.2,57732,0.0022,0.0033,531134.4,121708.6
2004-02-04,9.2,9.2,9.2,9.2,0,0.0,0.0,0.0,170325.37
2004-02-05,9.23,9.45,9.23,9.45,17939,0.0238,0.0272,169523.55,168829.75
2004-02-06,9.53,9.58,9.53,9.58,3262,0.0052,0.0138,31249.96,184286.47
2004-02-09,9.61,9.61,9.58,9.58,9785,-0.0031,0.0,93740.3,180494.63
2004-02-10,9.67,9.78,9.67,9.78,10111,0.0114,0.0209,98885.58,173805.6
2004-02-11,9.78,9.89,9.78,9.81,19896,0.0031,0.0031,195179.76,168592.95
2004-02-12,9.78,9.78,9.78,9.78,5219,0.0,-0.0031,51041.82,185122.93
2004-02-13,9.81,9.87,9.73,9.73,15330,-0.0082,-0.0051,149160.9,154063.96
2004-02-17,10.06,10.13,10.06,10.12,9133,0.006,0.0401,92425.96,141263.41
2004-02-18,10.32,10.32,10.24,10.24,4240,-0.0078,0.0119,43417.6,141234.22
2004-02-19,10.11,10.11,9.96,9.96,25115,-0.0148,-0.0273,250145.4,92462.54
2004-02-20,9.84,9.84,9.74,9.77,3588,-0.0071,-0.0191,35054.76,117477.08
2004-02-23,9.66,9.66,9.64,9.64,652,-0.0021,-0.0133,6285.28,104030.2
2004-02-24,9.63,9.63,9.58,9.6,2609,-0.0031,-0.0041,25046.4,101533.74
2004-02-25,9.67,9.7,9.66,9.66,5871,-0.001,0.0063,56713.86,94664.35
2004-02-26,9.66,9.71,9.63,9.67,11416,0.001,0.001,110392.72,90447.17
2004-02-27,9.57,9.6,9.57,9.6,3262,0.0031,-0.0072,31315.2,81968.47
2004-03-01,9.68,9.75,9.63,9.75,9133,0.0072,0.0156,89046.75,79995.81
2004-03-02,9.78,9.84,9.78,9.81,4566,0.0031,0.0062,44792.46,73984.39
2004-03-03,9.84,9.84,9.58,9.66,18265,-0.0183,-0.0153,176439.9,69221.04
2004-03-04,9.65,9.65,9.64,9.64,1305,-0.001,-0.0021,12580.2,82523.27
2004-03-05,9.73,9.81,9.73,9.81,12721,0.0082,0.0176,124793.01,58766.75
2004-03-08,9.73,9.73,9.53,9.53,32943,-0.0206,-0.0285,313946.79,67740.58
2004-03-09,9.56,9.61,9.56,9.6,19244,0.0042,0.0073,184742.4,98506.73
2004-03-10,9.53,9.53,9.35,9.38,64908,-0.0157,-0.0229,608837.04,114476.33
2004-03-11,9.04,9.14,9.04,9.09,23484,0.0055,-0.0309,213469.56,169688.65
2004-03-12,9.04,9.04,8.83,8.94,24463,-0.0111,-0.0165,218699.22,179996.33
2004-03-15,9.09,9.09,8.58,8.58,45990,-0.0561,-0.0403,394594.2,198734.73
2004-03-16,8.62,8.62,8.6,8.6,2283,-0.0023,0.0023,19633.8,229289.48
2004-03-17,8.53,8.53,8.49,8.49,979,-0.0047,-0.0128,8311.71,226773.61
2004-03-18,8.55,8.55,8.48,8.48,6197,-0.0082,-0.0012,52550.56,209960.79
2004-03-19,8.45,8.45,8.45,8.45,652,0.0,-0.0035,5509.4,213957.83
2004-03-22,8.37,8.37,8.11,8.11,25441,-0.0311,-0.0402,206326.51,202029.47
2004-03-23,8.19,8.19,8.01,8.03,55775,-0.0195,-0.0099,447873.25,191267.44
2004-03-24,7.99,7.99,7.99,7.99,326,0.0,-0.005,2604.74,217580.52
2004-03-25,7.96,7.96,7.76,7.8,11742,-0.0201,-0.0238,91587.6,156957.29
2004-03-26,8.06,8.23,8.06,8.11,46968,0.0062,0.0397,380910.48,144769.1
2004-03-29,8.28,8.29,8.28,8.28,3588,0.0,0.021,29708.64,160990.22
2004-03-30,8.28,8.28,8.28,8.28,326,0.0,0.0,2699.28,124501.67
2004-03-31,8.33,8.74,8.33,8.74,34248,0.0492,0.0556,299327.52,122808.22
2004-04-01,8.78,8.79,8.77,8.77,24463,-0.0011,0.0034,214540.51,151909.8
2004-04-02,8.78,8.81,8.74,8.74,9459,-0.0046,-0.0034,82671.66,168108.79
2004-04-05,8.77,8.89,8.77,8.8,13373,0.0034,0.0069,117682.4,175825.02
2004-04-06,8.8,8.8,8.8,8.8,0,0.0,0.0,0.0,166960.61
2004-04-07,8.74,8.83,8.74,8.83,8154,0.0103,0.0034,71999.82,122173.28
2004-04-08,8.8,8.8,8.8,8.8,3914,0.0,-0.0034,34443.2,129112.79
2004-04-12,8.88,8.92,8.88,8.92,2283,0.0045,0.0136,20364.36,123398.35
2004-04-13,8.97,8.97,8.91,8.91,2283,-0.0067,-0.0011,20341.53,87343.74
2004-04-14,8.89,8.89,8.81,8.81,17939,-0.009,-0.0112,158042.59,86407.03
2004-04-15,8.77,8.77,8.75,8.75,3914,-0.0023,-0.0068,34247.5,101941.36
2004-04-16,8.81,8.81,8.74,8.74,4893,-0.0079,-0.0011,42764.82,75433.36
2004-04-19,8.74,8.78,8.74,8.77,14351,0.0034,0.0034,125858.27,58255.79
2004-04-20,8.77,8.8,8.75,8.78,16308,0.0011,0.0011,143184.24,62574.45
2004-04-21,8.77,8.77,8.73,8.73,3914,-0.0046,-0.0057,34169.22,65124.63
2004-04-22,8.77,8.77,8.71,8.71,2283,-0.0068,-0.0023,19884.93,68541.56
2004-04-23,8.74,8.74,8.69,8.71,96872,-0.0034,0.0,843755.12,63330.07
2004-04-26,8.81,8.88,8.68,8.77,26420,-0.0045,0.0069,231703.4,144261.26
2004-04-27,8.8,8.89,8.75,8.76,26746,-0.0045,-0.0011,234294.96,165395.16
2004-04-28,8.68,8.68,8.68,8.68,979,0.0,-0.0091,8497.72,186790.5
2004-04-29,8.63,8.63,8.57,8.62,4893,-0.0012,-0.0069,42177.66,171836.02
2004-04-30,8.58,8.58,8.58,8.58,8480,0.0,-0.0046,72758.4,172629.03
2004-05-03,8.63,8.68,8.63,8.68,2936,0.0058,0.0117,25484.48,175628.39
2004-05-04,8.75,8.75,8.75,8.75,652,0.0,0.0081,5705.0,165591.01
2004-05-05,8.75,8.77,8.75,8.77,8807,0.0023,0.0023,77237.39,151843.09
