Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2015-12-07,647200.0,647200.0,580000.0,588000.0,0,-0.0915,,0.0,
2015-12-08,587200.0,587200.0,496000.0,502400.0,0,-0.1444,-0.1456,0.0,
2015-12-09,500000.0,501600.0,428000.0,480000.0,0,-0.04,-0.0446,0.0,
2015-12-10,480000.0,515840.0,480000.0,507200.0,0,0.0567,0.0567,0.0,
2015-12-11,504000.0,508000.0,480080.0,503200.0,0,-0.0016,-0.0079,0.0,
2015-12-14,488800.0,496000.0,488800.0,488800.0,0,0.0,-0.0286,0.0,
2015-12-15,558400.0,558400.0,477840.0,496000.0,1,-0.1117,0.0147,496000.0,
2015-12-16,480000.0,482320.0,465600.0,478400.0,0,-0.0033,-0.0355,0.0,
2015-12-17,447200.0,452960.0,404800.0,436000.0,0,-0.025,-0.0886,0.0,
2015-12-18,416800.0,420000.0,388000.0,396000.0,1,-0.0499,-0.0917,396000.0,
2015-12-21,389600.0,389600.0,336000.0,350560.0,0,-0.1002,-0.1147,0.0,89200.0
2015-12-22,344000.0,352000.0,338400.0,339200.0,0,-0.014,-0.0324,0.0,89200.0
2015-12-23,336000.0,353600.0,335200.0,338400.0,0,0.0071,-0.0024,0.0,89200.0
2015-12-24,336000.0,350000.0,335200.0,337600.0,0,0.0048,-0.0024,0.0,89200.0
2015-12-28,327200.0,343760.0,327200.0,332800.0,0,0.0171,-0.0142,0.0,89200.0
2015-12-29,338400.0,379120.0,334400.0,370400.0,2,0.0946,0.113,740800.0,89200.0
2015-12-30,388000.0,420000.0,388000.0,406400.0,0,0.0474,0.0972,0.0,163280.0
2015-12-31,392000.0,393440.0,388000.0,388000.0,0,-0.0102,-0.0453,0.0,113680.0
2016-01-04,389600.0,397280.0,389600.0,392800.0,0,0.0082,0.0124,0.0,113680.0
2016-01-05,392800.0,400000.0,392000.0,400000.0,0,0.0183,0.0183,0.0,113680.0
2016-01-06,432000.0,457200.0,432000.0,440800.0,1,0.0204,0.102,440800.0,74080.0
2016-01-07,432800.0,452000.0,432000.0,448000.0,0,0.0351,0.0163,0.0,118160.0
2016-01-08,448000.0,457600.0,442400.0,444000.0,0,-0.0089,-0.0089,0.0,118160.0
2016-01-11,416000.0,444800.0,412800.0,442080.0,0,0.0627,-0.0043,0.0,118160.0
2016-01-12,436800.0,437600.0,416800.0,429680.0,0,-0.0163,-0.028,0.0,118160.0
2016-01-13,420000.0,425600.0,412000.0,412000.0,0,-0.019,-0.0411,0.0,118160.0
2016-01-14,400800.0,408800.0,384800.0,407040.0,0,0.0156,-0.012,0.0,44080.0
2016-01-15,389600.0,391200.0,372000.0,378400.0,0,-0.0287,-0.0704,0.0,44080.0
2016-01-19,380000.0,384160.0,376800.0,380000.0,0,0.0,0.0042,0.0,44080.0
2016-01-20,365680.0,372800.0,360000.0,372800.0,0,0.0195,-0.0189,0.0,44080.0
2016-01-21,364000.0,373280.0,364000.0,368000.0,0,0.011,-0.0129,0.0,44080.0
2016-01-22,386000.0,386000.0,368800.0,374240.0,0,-0.0305,0.017,0.0,0.0
2016-01-25,376000.0,389440.0,346400.0,352800.0,0,-0.0617,-0.0573,0.0,0.0
2016-01-26,377600.0,388800.0,367200.0,388800.0,0,0.0297,0.102,0.0,0.0
2016-01-27,388000.0,388000.0,369600.0,375200.0,0,-0.033,-0.035,0.0,0.0
2016-01-28,369600.0,377840.0,364000.0,372800.0,0,0.0087,-0.0064,0.0,0.0
2016-01-29,366400.0,374400.0,366400.0,372000.0,0,0.0153,-0.0021,0.0,0.0
2016-02-01,361600.0,382400.0,361600.0,376800.0,0,0.042,0.0129,0.0,0.0
2016-02-02,385520.0,385520.0,372800.0,372800.0,0,-0.033,-0.0106,0.0,0.0
2016-02-03,367200.0,377600.0,364800.0,376000.0,0,0.024,0.0086,0.0,0.0
2016-02-04,375200.0,382400.0,368800.0,373600.0,0,-0.0043,-0.0064,0.0,0.0
2016-02-05,377600.0,378400.0,373600.0,377600.0,0,0.0,0.0107,0.0,0.0
2016-02-08,364000.0,370400.0,364000.0,369600.0,0,0.0154,-0.0212,0.0,0.0
2016-02-09,366400.0,376800.0,366400.0,376800.0,0,0.0284,0.0195,0.0,0.0
2016-02-10,364000.0,366400.0,364000.0,365600.0,0,0.0044,-0.0297,0.0,0.0
2016-02-11,365600.0,368000.0,364000.0,365600.0,0,0.0,0.0,0.0,0.0
2016-02-12,366400.0,375040.0,364800.0,367200.0,0,0.0022,0.0044,0.0,0.0
2016-02-16,368800.0,374400.0,368800.0,372800.0,0,0.0108,0.0153,0.0,0.0
2016-02-17,366400.0,370400.0,364000.0,367200.0,0,0.0022,-0.015,0.0,0.0
2016-02-18,364000.0,375360.0,364000.0,370400.0,0,0.0176,0.0087,0.0,0.0
