Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2013-01-25,27.75,28.94,27.5,28.32,9225700,0.0205,,261271824.0,
2013-01-28,28.42,28.62,27.9,28.25,728700,-0.006,-0.0025,20585775.0,
2013-01-29,28.0,28.82,27.82,28.75,387700,0.0268,0.0177,11146375.0,
2013-01-30,29.0,29.0,28.32,28.63,122300,-0.0128,-0.0042,3501449.0,
2013-01-31,28.47,28.62,27.5,28.0,274500,-0.0165,-0.022,7686000.0,
2013-02-01,28.2,28.63,27.8,28.3,108600,0.0035,0.0107,3073380.0,
2013-02-04,28.32,28.67,27.56,28.04,194700,-0.0099,-0.0092,5459388.0,
2013-02-05,28.08,28.3,27.5,27.86,255800,-0.0078,-0.0064,7126588.0,
2013-02-06,27.55,27.65,27.5,27.5,117300,-0.0018,-0.0129,3225750.0,
2013-02-07,27.5,28.9,27.5,28.5,135200,0.0364,0.0364,3853200.0,
2013-02-08,28.39,29.79,28.1,29.5,99800,0.0391,0.0351,2944100.0,32692972.9
2013-02-11,29.31,30.97,29.1,30.16,223800,0.029,0.0224,6749808.0,6860200.5
2013-02-12,31.5,31.5,29.21,29.25,239900,-0.0714,-0.0302,7017075.0,5476603.8
2013-02-13,29.25,29.3,28.89,29.01,32600,-0.0082,-0.0082,945726.0,5063673.8
2013-02-14,29.22,29.48,28.48,28.7,55900,-0.0178,-0.0107,1604330.0,4808101.5
2013-02-15,29.7,29.99,28.21,28.59,253400,-0.0374,-0.0038,7244706.0,4199934.5
2013-02-19,28.29,28.97,27.95,28.55,354100,0.0092,-0.0014,10109555.0,4617067.1
2013-02-20,28.41,29.75,28.32,29.09,31600,0.0239,0.0189,919244.0,5082083.8
2013-02-21,28.95,28.95,27.8,28.35,124300,-0.0207,-0.0254,3523905.0,4461349.4
2013-02-22,28.35,28.35,28.06,28.18,182000,-0.006,-0.006,5128760.0,4491164.9
2013-02-25,28.47,28.47,27.89,28.0,100400,-0.0165,-0.0064,2811200.0,4618720.9
2013-02-26,28.38,28.38,27.97,27.98,97200,-0.0141,-0.0007,2719656.0,4605430.9
2013-02-27,28.07,28.07,27.89,27.97,59900,-0.0036,-0.0004,1675403.0,4202415.7
2013-02-28,27.98,28.05,27.9,27.96,31400,-0.0007,-0.0004,877944.0,3668248.5
2013-03-01,27.86,28.02,27.86,27.99,43700,0.0047,0.0011,1223163.0,3661470.3
2013-03-04,27.99,28.06,27.96,28.0,51400,0.0004,0.0004,1439200.0,3623353.6
2013-03-05,28.05,29.55,27.53,28.35,236300,0.0107,0.0125,6699105.0,3042803.0
2013-03-06,28.35,28.48,27.82,28.03,84300,-0.0113,-0.0113,2362929.0,2701758.0
2013-03-07,28.03,28.25,27.62,27.95,122800,-0.0029,-0.0029,3432260.0,2846126.5
2013-03-08,27.93,28.51,27.66,28.08,116800,0.0054,0.0047,3279744.0,2836962.0
2013-03-11,28.08,29.25,28.0,28.99,210000,0.0324,0.0324,6087900.0,2652060.4
2013-03-12,29.14,30.88,28.77,30.56,170800,0.0487,0.0542,5219648.0,2979730.4
2013-03-13,30.74,31.43,29.44,30.0,202800,-0.0241,-0.0183,6084000.0,3229729.6
2013-03-14,30.5,33.49,30.14,33.04,515500,0.0833,0.1013,17032120.0,3670589.3
2013-03-15,33.09,33.38,32.04,32.15,430500,-0.0284,-0.0269,13840575.0,5286006.9
2013-03-18,32.11,33.85,31.55,32.79,228100,0.0212,0.0199,7479399.0,6547748.1
2013-03-19,32.9,33.95,32.34,33.67,54900,0.0234,0.0268,1848483.0,7151768.0
2013-03-20,33.91,35.13,33.91,34.76,86000,0.0251,0.0324,2989360.0,6666705.8
2013-03-21,33.25,36.19,32.89,35.51,418100,0.068,0.0216,14846731.0,6729348.9
2013-03-22,35.98,36.26,34.66,34.85,126800,-0.0314,-0.0186,4418980.0,7870796.0
2013-03-25,35.55,35.96,34.11,34.5,190200,-0.0295,-0.01,6561900.0,7984719.6
2013-03-26,34.23,34.56,33.39,34.38,252400,0.0044,-0.0035,8677512.0,8032119.6
2013-03-27,34.1,34.1,32.88,33.65,204400,-0.0132,-0.0212,6878060.0,8377906.0
2013-03-28,33.49,34.04,32.5,33.79,1195900,0.009,0.0042,40409461.0,8457312.0
2013-04-01,33.79,33.99,33.08,33.42,196700,-0.0109,-0.0109,6573714.0,10795046.1
2013-04-02,33.62,33.7,32.93,33.06,145600,-0.0167,-0.0108,4813536.0,10068360.0
2013-04-03,33.15,33.16,32.0,32.66,146400,-0.0148,-0.0121,4781424.0,9801773.7
2013-04-04,32.78,33.67,32.65,33.66,177000,0.0268,0.0306,5957820.0,10095067.8
2013-04-05,33.24,33.45,32.77,32.89,118500,-0.0105,-0.0229,3897465.0,10391913.8
2013-04-08,33.03,33.57,32.55,33.57,33100,0.0163,0.0207,1111167.0,9296987.2
2013-04-09,33.55,33.55,32.27,32.98,68100,-0.017,-0.0176,2245938.0,8966205.9
2013-04-10,32.95,33.68,32.68,33.24,187600,0.0088,0.0079,6235824.0,8534609.7
2013-04-11,33.24,33.71,32.62,33.35,84200,0.0033,0.0033,2808070.0,8290440.9
2013-04-12,33.31,34.05,33.19,33.81,134400,0.015,0.0138,4544064.0,7883441.9
2013-04-15,33.58,33.62,32.36,32.71,106400,-0.0259,-0.0325,3480344.0,4296902.2
2013-04-16,33.05,33.95,32.69,33.4,285900,0.0106,0.0211,9549060.0,3987565.2
2013-04-17,33.59,33.66,32.71,32.95,217600,-0.0191,-0.0135,7169920.0,4461117.6
2013-04-18,32.93,33.2,32.86,32.95,170900,0.0006,0.0,5631155.0,4699967.2
2013-04-19,32.99,33.44,32.57,33.03,59100,0.0012,0.0024,1952073.0,4667300.7
2013-04-22,33.13,33.28,32.13,32.3,68300,-0.0251,-0.0221,2206090.0,4472761.5
2013-04-23,32.38,33.42,31.89,33.41,191600,0.0318,0.0344,6401356.0,4582253.8
2013-04-24,33.29,33.29,32.42,32.96,51700,-0.0099,-0.0135,1704032.0,4997795.6
2013-04-25,32.97,33.11,32.37,33.02,38000,0.0015,0.0018,1254760.0,4544616.4
2013-04-26,33.01,33.01,31.74,32.5,75600,-0.0154,-0.0157,2457000.0,4389285.4
2013-04-29,32.64,33.24,32.44,32.54,117100,-0.0031,0.0012,3810434.0,4180579.0
2013-04-30,32.42,32.77,32.01,32.44,83500,0.0006,-0.0031,2708740.0,4213588.0
2013-05-01,32.4,32.5,31.51,31.66,92200,-0.0228,-0.024,2919052.0,3529556.0
2013-05-02,31.76,33.0,31.62,32.43,218300,0.0211,0.0243,7079469.0,3104469.2
2013-05-03,32.72,33.57,32.28,33.09,247400,0.0113,0.0204,8186466.0,3249300.6
2013-05-06,33.19,33.8,32.65,33.07,98200,-0.0036,-0.0006,3247474.0,3872739.9
2013-05-07,33.06,34.21,32.81,33.85,162600,0.0239,0.0236,5504010.0,3976878.3
2013-05-08,33.61,34.83,33.61,34.68,78200,0.0318,0.0245,2711976.0,3887143.7
2013-05-09,34.6,34.99,34.18,34.44,121700,-0.0046,-0.0069,4191348.0,3987938.1
2013-05-10,34.28,34.75,33.65,33.93,111400,-0.0102,-0.0148,3779802.0,4281596.9
2013-05-13,33.63,33.85,33.23,33.61,108100,-0.0006,-0.0094,3633241.0,4413877.1
2013-05-14,33.51,34.3,33.51,33.8,67200,0.0087,0.0057,2271360.0,4396157.8
2013-05-15,33.7,33.9,33.63,33.71,67600,0.0003,-0.0027,2278796.0,4352419.8
2013-05-16,33.72,34.01,33.62,33.91,81100,0.0056,0.0059,2750101.0,4288394.2
2013-05-17,33.96,34.0,33.75,33.97,106800,0.0003,0.0018,3627996.0,3855457.4
2013-05-20,33.93,34.34,33.61,34.31,184600,0.0112,0.01,6333626.0,3399610.4
2013-05-21,34.24,35.73,34.24,35.15,95200,0.0266,0.0245,3346280.0,3708225.6
2013-05-22,35.07,35.74,34.5,34.96,71900,-0.0031,-0.0054,2513624.0,3492452.6
2013-05-23,34.66,34.78,33.54,34.26,80300,-0.0115,-0.02,2751078.0,3472617.4
2013-05-24,34.19,34.76,33.24,34.57,54200,0.0111,0.009,1873694.0,3328590.4
2013-05-28,34.8,35.73,34.39,35.48,77500,0.0195,0.0263,2749700.0,3137979.6
2013-05-29,35.4,35.49,34.76,35.37,79900,-0.0008,-0.0031,2826063.0,3049625.5
2013-05-30,35.74,38.17,35.74,38.15,252400,0.0674,0.0786,9629060.0,3105095.8
2013-05-31,38.07,38.39,35.88,36.05,211400,-0.0531,-0.055,7620970.0,3840122.2
2013-06-03,36.17,36.17,34.05,35.15,144800,-0.0282,-0.025,5089720.0,4327209.1
2013-06-04,35.27,36.32,34.52,34.91,94000,-0.0102,-0.0068,3281540.0,4473381.5
2013-06-05,34.97,35.47,34.58,34.8,73600,-0.0049,-0.0032,2561280.0,4168172.9
2013-06-06,34.85,35.54,34.7,35.49,39800,0.0184,0.0198,1412502.0,4089672.9
2013-06-07,35.99,36.63,35.94,36.1,54000,0.0031,0.0172,1949400.0,3979560.7
2013-06-10,35.57,36.81,35.57,36.49,50600,0.0259,0.0108,1846394.0,3899392.9
2013-06-11,35.79,35.79,34.35,34.43,116300,-0.038,-0.0565,4004209.0,3896662.9
2013-06-12,34.44,34.44,32.87,33.05,358900,-0.0404,-0.0401,11861645.0,4022113.8
2013-06-13,33.45,33.55,32.75,33.5,3786500,0.0015,0.0136,126847750.0,4925672.0
2013-06-14,33.53,33.53,32.79,33.18,224700,-0.0104,-0.0096,7455546.0,16647541.0
2013-06-17,33.37,33.69,33.25,33.26,132800,-0.0033,0.0024,4416928.0,16630998.6
2013-06-18,33.31,34.07,33.29,34.01,301000,0.021,0.0225,10237010.0,16563719.4
2013-06-19,34.05,34.08,33.5,33.59,113900,-0.0135,-0.0123,3825901.0,17259266.4
2013-06-20,33.11,33.27,32.08,32.37,267800,-0.0223,-0.0363,8668686.0,17385728.5
2013-06-21,32.46,32.65,31.52,31.64,334500,-0.0253,-0.0226,10583580.0,18111346.9
2013-06-24,31.3,32.33,30.35,31.9,445800,0.0192,0.0082,14221020.0,18974764.9
2013-06-25,32.14,32.62,31.8,32.3,276000,0.005,0.0125,8914800.0,20212227.5
2013-06-26,32.63,33.74,32.63,33.69,112000,0.0325,0.043,3773280.0,20703286.6
2013-06-27,33.79,34.97,33.79,34.11,203200,0.0095,0.0125,6931152.0,19894450.1
2013-06-28,33.85,35.03,33.2,34.71,687900,0.0254,0.0176,23877009.0,7902790.3
2013-07-01,34.62,34.62,33.42,33.49,294700,-0.0326,-0.0351,9869503.0,9544936.6
2013-07-02,33.53,33.61,32.88,33.2,284900,-0.0098,-0.0087,9458680.0,10090194.1
2013-07-03,33.12,33.48,33.07,33.44,90800,0.0097,0.0072,3036352.0,10012361.1
2013-07-05,33.77,34.05,33.21,34.04,75800,0.008,0.0179,2580232.0,9933406.2
2013-07-08,34.26,34.26,33.88,34.09,101400,-0.005,0.0015,3456726.0,9324560.8
2013-07-09,34.33,34.44,33.73,33.8,134900,-0.0154,-0.0085,4559620.0,8611875.4
2013-07-10,33.83,34.78,33.66,34.77,70700,0.0278,0.0287,2458239.0,7645735.4
2013-07-11,35.06,35.06,34.22,34.77,194700,-0.0083,0.0,6769719.0,7000079.3
2013-07-12,34.71,35.1,34.42,34.87,52900,0.0046,0.0029,1844623.0,7299723.2
2013-07-15,34.86,35.04,34.6,35.01,40200,0.0043,0.004,1407402.0,6791070.3
2013-07-16,34.93,34.99,34.59,34.93,109800,0.0,-0.0023,3835314.0,4544109.6
2013-07-17,35.0,35.83,34.8,35.01,85100,0.0003,0.0023,2979351.0,3940690.7
2013-07-18,35.07,35.89,35.07,35.49,78700,0.012,0.0137,2793063.0,3292757.8
2013-07-19,35.54,35.77,35.01,35.19,152100,-0.0098,-0.0085,5352399.0,3268428.9
2013-07-22,35.36,35.77,35.12,35.34,213700,-0.0006,0.0043,7552158.0,3545645.6
2013-07-23,35.31,35.6,34.74,35.05,128700,-0.0074,-0.0082,4510935.0,3955188.8
2013-07-24,35.22,35.9,35.07,35.35,63500,0.0037,0.0086,2244725.0,3950320.3
2013-07-25,35.37,36.12,35.15,35.93,101700,0.0158,0.0164,3654081.0,3928968.9
2013-07-26,35.59,35.59,34.6,35.49,44600,-0.0028,-0.0122,1582854.0,3617405.1
2013-07-29,35.33,35.63,35.33,35.49,27300,0.0045,0.0,968877.0,3591228.2
2013-07-30,35.72,35.81,35.3,35.76,19900,0.0011,0.0076,711624.0,3547375.7
2013-07-31,35.76,35.76,34.95,35.41,56500,-0.0098,-0.0098,2000665.0,3235006.7
2013-08-01,35.62,35.98,35.0,35.94,78500,0.009,0.015,2821290.0,3137138.1
