Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-05-26,25.25,25.43,25.13,25.4,295500,0.0059,,7505700.0,
2021-05-27,25.38,25.5,25.28,25.45,302800,0.0028,0.002,7706260.0,
2021-05-28,25.4,25.59,25.34,25.44,1033900,0.0016,-0.0004,26302416.0,
2021-06-01,25.42,25.48,25.26,25.32,223300,-0.0039,-0.0047,5653956.0,
2021-06-02,25.37,25.44,25.3,25.3,54900,-0.0028,-0.0008,1388970.0,
2021-06-03,25.27,25.36,25.19,25.2,74500,-0.0028,-0.004,1877400.0,
2021-06-04,25.29,25.32,25.29,25.3,11400,0.0004,0.004,288420.0,
2021-06-07,25.34,25.34,25.17,25.22,33200,-0.0047,-0.0032,837304.0,
2021-06-08,25.26,25.36,25.2,25.29,30300,0.0012,0.0028,766287.0,
2021-06-09,25.34,25.35,25.23,25.29,30700,-0.002,0.0,776403.0,
2021-06-10,25.3,25.32,25.28,25.32,27400,0.0008,0.0012,693768.0,5310311.6
2021-06-11,25.39,25.39,25.25,25.37,29500,-0.0008,0.002,748415.0,4629118.4
2021-06-14,25.37,25.37,25.27,25.34,19000,-0.0012,-0.0012,481460.0,3933333.9
2021-06-15,25.33,25.33,25.17,25.24,25800,-0.0036,-0.0039,651192.0,1351238.3
2021-06-16,25.27,25.34,25.21,25.25,26400,-0.0008,0.0004,666600.0,850961.9
2021-06-17,25.25,25.34,25.25,25.33,52000,0.0032,0.0032,1317160.0,778724.9
2021-06-18,25.32,25.33,25.21,25.25,36600,-0.0028,-0.0032,924150.0,722700.9
2021-06-21,25.27,25.27,25.19,25.19,22400,-0.0032,-0.0024,564256.0,786273.9
2021-06-22,25.26,25.26,25.15,25.2,47200,-0.0024,0.0004,1189440.0,758969.1
2021-06-23,25.24,25.28,25.22,25.24,35000,0.0,0.0016,883400.0,801284.4
2021-06-24,25.28,25.36,25.28,25.28,37300,0.0,0.0016,942944.0,811984.1
2021-06-25,25.3,25.32,25.21,25.26,48900,-0.0016,-0.0008,1235214.0,836901.7
2021-06-28,25.25,25.28,25.21,25.26,30100,0.0004,0.0,760326.0,885581.6
2021-06-29,25.26,25.3,25.25,25.29,48800,0.0012,0.0012,1234152.0,913468.2
2021-06-30,25.31,25.47,25.26,25.4,398300,0.0036,0.0043,10116820.0,971764.2
2021-07-01,25.39,25.45,25.29,25.33,33900,-0.0024,-0.0028,858687.0,1916786.2
2021-07-02,25.38,25.54,25.37,25.49,37600,0.0043,0.0063,958424.0,1870938.9
2021-07-06,25.53,25.53,25.41,25.45,24400,-0.0031,-0.0016,620980.0,1874366.3
2021-07-07,25.5,25.55,25.44,25.55,53700,0.002,0.0039,1372035.0,1880038.7
2021-07-08,25.46,25.57,25.45,25.54,101400,0.0031,-0.0004,2589756.0,1898298.2
2021-07-09,25.55,25.68,25.53,25.65,45400,0.0039,0.0043,1164510.0,2068933.8
2021-07-12,25.7,25.7,25.63,25.68,36400,-0.0008,0.0012,934752.0,2091090.4
2021-07-13,25.69,25.73,25.51,25.62,106300,-0.0027,-0.0023,2723406.0,2061044.2
2021-07-14,25.62,25.75,25.62,25.73,36300,0.0043,0.0043,933999.0,2257352.2
2021-07-15,25.77,25.77,25.61,25.61,340800,-0.0062,-0.0047,8727888.0,2227336.9
2021-07-16,25.72,25.72,25.67,25.68,9200,-0.0016,0.0027,236256.0,2088443.7
2021-07-19,25.6,25.6,25.51,25.51,6200,-0.0035,-0.0066,158162.0,2026200.6
2021-07-20,25.64,25.76,25.59,25.73,14600,0.0035,0.0086,375658.0,1946174.4
2021-07-21,25.7,25.89,25.7,25.87,14000,0.0066,0.0054,362180.0,1921642.2
2021-07-22,25.8,25.87,25.71,25.83,8400,0.0012,-0.0015,216972.0,1820656.7
2021-07-23,25.79,25.79,25.65,25.68,30500,-0.0043,-0.0058,783240.0,1583378.3
2021-07-26,25.63,25.69,25.63,25.66,6600,0.0012,-0.0008,169356.0,1545251.3
2021-07-27,25.65,25.69,25.4,25.69,24000,0.0016,0.0012,616560.0,1468711.7
2021-07-28,25.7,25.7,25.62,25.7,10300,0.0,0.0004,264710.0,1258027.1
2021-07-29,25.7,25.92,25.7,25.92,15200,0.0086,0.0086,393984.0,1191098.2
2021-07-30,25.92,26.18,25.92,26.15,14800,0.0089,0.0089,387020.0,357707.8
2021-08-02,26.15,26.29,26.12,26.17,21700,0.0008,0.0008,567889.0,372784.2
2021-08-03,26.12,26.31,25.92,26.06,20000,-0.0023,-0.0042,521200.0,413756.9
2021-08-04,26.17,26.25,26.08,26.09,14200,-0.0031,0.0012,370478.0,428311.1
2021-08-05,26.1,26.3,26.1,26.22,10700,0.0046,0.005,280554.0,429140.9
2021-08-06,26.21,26.22,25.98,26.01,10000,-0.0076,-0.008,260100.0,435499.1
2021-08-09,26.07,26.15,26.05,26.05,11400,-0.0008,0.0015,296970.0,383185.1
2021-08-10,25.93,25.93,25.46,25.6,17500,-0.0127,-0.0173,448000.0,395946.5
2021-08-11,25.77,26.04,25.71,25.96,19500,0.0074,0.0141,506220.0,379090.5
2021-08-12,25.99,26.22,25.75,26.2,9900,0.0081,0.0092,259380.0,403241.5
