Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2020-09-18,10.5,10.99,9.7,9.99,553500,-0.0486,,5529465.0,
2020-09-21,10.0,10.0,9.31,9.75,163900,-0.025,-0.024,1598025.0,
2020-09-22,9.6,9.86,9.55,9.55,32100,-0.0052,-0.0205,306555.0,
2020-09-23,9.71,9.85,9.3,9.3,35400,-0.0422,-0.0262,329220.0,
2020-09-24,9.26,9.45,9.0,9.4,49800,0.0151,0.0108,468120.0,
2020-09-25,9.12,9.29,8.76,9.16,37500,0.0044,-0.0255,343500.0,
2020-09-28,9.2,9.47,8.9,9.34,19400,0.0152,0.0197,181196.0,
2020-09-29,9.36,9.48,9.25,9.46,12700,0.0107,0.0128,120142.0,
2020-09-30,9.67,9.86,9.25,9.51,15600,-0.0165,0.0053,148356.0,
2020-10-01,9.65,9.65,9.5,9.54,4300,-0.0114,0.0032,41022.0,
2020-10-02,9.31,9.5,9.27,9.37,9900,0.0064,-0.0178,92763.0,906560.1
2020-10-05,9.48,9.48,9.25,9.31,7700,-0.0179,-0.0064,71687.0,362889.9
2020-10-06,9.39,9.56,9.34,9.51,7200,0.0128,0.0215,68472.0,210256.1
2020-10-07,9.45,9.65,9.32,9.32,6600,-0.0138,-0.02,61512.0,186447.8
2020-10-08,9.55,9.65,9.32,9.32,2800,-0.0241,0.0,26096.0,159677.0
2020-10-09,9.65,9.89,9.37,9.6,24200,-0.0052,0.03,232320.0,115474.6
2020-10-12,9.5,9.82,9.34,9.38,5600,-0.0126,-0.0229,52528.0,104356.6
2020-10-13,9.31,10.25,9.31,9.9,65000,0.0634,0.0554,643500.0,91489.8
2020-10-14,10.29,12.0,9.97,10.55,141000,0.0253,0.0657,1487550.0,143825.6
2020-10-15,10.5,10.9,9.75,10.29,110800,-0.02,-0.0246,1140132.0,277745.0
2020-10-16,10.1,10.5,9.72,9.75,57900,-0.0347,-0.0525,564525.0,387656.0
2020-10-19,9.75,10.5,9.34,9.57,68800,-0.0185,-0.0185,658416.0,434832.2
2020-10-20,9.49,9.75,9.48,9.53,14900,0.0042,-0.0042,141997.0,493505.1
2020-10-21,9.66,9.66,9.0,9.11,38200,-0.0569,-0.0441,348002.0,500857.6
2020-10-22,9.11,9.4,9.0,9.18,19300,0.0077,0.0077,177174.0,529506.6
2020-10-23,9.1,9.25,9.0,9.01,9100,-0.0099,-0.0185,81991.0,544614.4
2020-10-26,9.0,9.1,7.84,7.98,107400,-0.1133,-0.1143,857052.0,529581.5
2020-10-27,8.05,8.53,8.0,8.03,36300,-0.0025,0.0063,291489.0,610033.9
2020-10-28,7.8,8.38,7.7,7.93,41800,0.0167,-0.0125,331474.0,574832.8
2020-10-29,8.01,8.38,7.95,8.3,19500,0.0362,0.0467,161850.0,459225.2
2020-10-30,8.31,8.4,7.91,7.97,41700,-0.0409,-0.0398,332349.0,361397.0
2020-11-02,8.18,8.18,7.93,7.93,8100,-0.0306,-0.005,64233.0,338179.4
