Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2020-11-19,11.0,11.0,11.0,11.0,500,0.0,,5500.0,
2020-11-20,9.6,9.6,9.6,9.6,500,0.0,-0.1273,4800.0,
2020-11-23,10.5,10.5,9.65,9.65,251500,-0.081,0.0052,2426975.0,
2020-11-24,9.7,9.75,9.7,9.7,401000,0.0,0.0052,3889700.0,
2020-11-25,9.9,9.95,9.85,9.9,700,0.0,0.0206,6930.0,
2020-11-27,9.9,9.9,9.9,9.9,100,0.0,0.0,990.0,
2020-11-30,9.8,9.81,9.72,9.75,352500,-0.0051,-0.0152,3436875.0,
2020-12-01,9.95,10.1,9.7,9.7,5000,-0.0251,-0.0051,48500.0,
2020-12-02,9.81,10.0,9.7,9.71,1300,-0.0102,0.001,12623.0,
2020-12-03,9.71,9.8,9.71,9.75,52800,0.0041,0.0041,514800.0,
2020-12-04,9.75,9.75,9.75,9.75,31000,0.0,0.0,302250.0,1034769.3
2020-12-07,9.85,10.02,9.85,10.02,60100,0.0173,0.0277,602202.0,1064444.3
2020-12-08,9.9,9.9,9.89,9.9,28400,0.0,-0.012,281160.0,1124184.5
2020-12-09,10.02,10.12,10.0,10.0,170700,-0.002,0.0101,1707000.0,909603.0
2020-12-10,9.87,10.0,9.87,9.96,123200,0.0091,-0.004,1227072.0,691333.0
2020-12-11,10.0,10.1,10.0,10.0,7100,0.0,0.004,71000.0,813347.2
2020-12-14,10.18,10.21,9.94,10.0,202400,-0.0177,0.0,2024000.0,820348.2
2020-12-15,10.0,10.01,10.0,10.01,106600,0.001,0.001,1067066.0,679060.7
2020-12-16,10.22,10.23,10.0,10.01,53200,-0.0205,0.0,532532.0,780917.3
2020-12-17,10.12,10.12,10.01,10.02,48800,-0.0099,0.001,488976.0,832908.2
2020-12-18,10.14,10.15,10.05,10.05,9200,-0.0089,0.003,92460.0,830325.8
2020-12-21,10.03,10.05,10.03,10.05,3600,0.002,0.0,36180.0,809346.8
2020-12-22,10.1,10.1,10.1,10.1,200,0.0,0.005,2020.0,752744.6
2020-12-23,10.14,10.21,10.14,10.21,23300,0.0069,0.0109,237893.0,724830.6
2020-12-24,10.21,10.21,10.21,10.21,100,0.0,0.0,1021.0,577919.9
2020-12-28,10.1,10.12,9.95,9.95,24200,-0.0149,-0.0255,240790.0,455314.8
2020-12-29,10.02,10.05,9.95,10.0,14300,-0.002,0.005,143000.0,472293.8
2020-12-30,10.1,10.1,10.01,10.01,4000,-0.0089,0.001,40040.0,284193.8
2020-12-31,10.02,10.18,10.02,10.08,4300,0.006,0.007,43344.0,181491.2
2021-01-04,10.24,10.29,10.24,10.25,5400,0.001,0.0169,55350.0,132572.4
2021-01-05,10.3,10.3,10.15,10.28,10600,-0.0019,0.0029,108968.0,89209.8
2021-01-06,10.27,10.3,10.17,10.17,22300,-0.0097,-0.0107,226791.0,90860.6
2021-01-07,10.27,10.45,10.27,10.41,39400,0.0136,0.0236,410154.0,109921.7
2021-01-08,16.27,17.0,14.59,16.48,4947700,0.0129,0.5831,81538096.0,150735.1
2021-01-11,15.52,15.61,14.58,15.0,6571100,-0.0335,-0.0898,98566500.0,8280755.4
2021-01-12,15.77,18.35,15.64,17.3,5779400,0.097,0.1533,99983620.0,18137303.3
2021-01-13,17.35,17.55,15.5,15.76,3103200,-0.0916,-0.089,48906432.0,28111586.3
2021-01-14,16.47,16.75,15.05,15.4,2592000,-0.065,-0.0228,39916800.0,32987929.5
2021-01-15,15.6,15.83,14.08,14.42,2287800,-0.0756,-0.0636,32990076.0,36975605.5
2021-01-19,14.85,15.1,14.2,14.61,2781900,-0.0162,0.0132,40643559.0,40270278.7
2021-01-20,14.73,15.05,13.97,14.57,1943300,-0.0109,-0.0027,28313881.0,44329099.6
2021-01-21,14.5,15.25,14.38,14.89,2185000,0.0269,0.022,32534650.0,47149590.9
2021-01-22,14.57,15.48,14.57,15.02,1412400,0.0309,0.0087,21214248.0,50380376.8
2021-01-25,15.76,15.82,14.6,15.1,2322200,-0.0419,0.0053,35065220.0,52460786.2
2021-01-26,15.01,15.32,14.8,14.91,1344800,-0.0067,-0.0126,20050968.0,47813498.6
2021-01-27,14.84,14.91,13.35,13.46,3067000,-0.093,-0.0973,41281820.0,39961945.4
2021-01-28,14.0,14.3,13.8,13.97,989700,-0.0021,0.0379,13826109.0,34091765.4
2021-01-29,14.65,15.25,14.07,14.93,1624900,0.0191,0.0687,24259757.0,30583733.1
2021-02-01,14.8,15.5,14.77,15.0,1063400,0.0135,0.0047,15951000.0,29018028.8
2021-02-02,15.0,15.23,14.55,14.89,642500,-0.0073,-0.0073,9566825.0,27314121.2
2021-02-03,15.0,17.25,15.0,16.76,1600000,0.1173,0.1256,26816000.0,24206447.8
2021-02-04,16.79,17.0,15.75,16.59,1152300,-0.0119,-0.0101,19116657.0,24056659.7
2021-02-05,17.0,17.6,16.55,16.92,539300,-0.0047,0.0199,9124956.0,22714860.4
2021-02-08,18.99,20.26,18.4,19.01,1706800,0.0011,0.1235,32446268.0,21505931.2
2021-02-09,19.77,19.77,17.95,19.59,827700,-0.0091,0.0305,16214643.0,21244036.0
2021-02-10,19.82,19.91,17.66,17.9,1310600,-0.0969,-0.0863,23459740.0,20860403.5
2021-02-11,18.86,18.99,17.59,18.08,680200,-0.0414,0.0101,12298016.0,19078195.5
2021-02-12,17.52,18.5,17.25,18.25,523800,0.0417,0.0094,9559350.0,18925386.2
2021-02-16,18.94,19.92,18.52,18.87,748000,-0.0037,0.034,14114760.0,17455345.5
