Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,19.24,19.3,18.73,18.95,969900,-0.0151,,18379605.0,
2003-12-02,18.88,19.08,18.81,18.81,816400,-0.0037,-0.0074,15356484.0,
2003-12-03,18.86,19.05,18.15,18.2,1232000,-0.035,-0.0324,22422400.0,
2003-12-04,18.24,18.35,17.47,17.93,1462600,-0.017,-0.0148,26224418.0,
2003-12-05,17.54,18.06,17.54,17.68,1134100,0.008,-0.0139,20050888.0,
2003-12-08,17.5,17.9,17.5,17.65,525900,0.0086,-0.0017,9282135.0,
2003-12-09,18.46,18.46,17.4,17.4,837300,-0.0574,-0.0142,14569020.0,
2003-12-10,17.26,17.39,16.12,16.84,2614400,-0.0243,-0.0322,44026496.0,
2003-12-11,16.85,17.42,16.63,17.22,1648100,0.022,0.0226,28380282.0,
2003-12-12,17.43,17.48,16.65,17.33,1422000,-0.0057,0.0064,24643260.0,
2003-12-15,17.85,17.97,16.68,16.8,1060800,-0.0588,-0.0306,17821440.0,22333498.8
2003-12-16,16.91,17.25,16.75,17.25,673800,0.0201,0.0268,11623050.0,22277682.3
2003-12-17,17.26,18.03,17.26,17.69,1282400,0.0249,0.0255,22685656.0,21904338.9
2003-12-18,17.65,18.14,17.55,17.99,615900,0.0193,0.017,11080041.0,21930664.5
2003-12-19,17.73,18.0,17.45,17.55,627300,-0.0102,-0.0245,11009115.0,20416226.8
2003-12-22,17.5,17.88,17.47,17.8,591100,0.0171,0.0142,10521580.0,19512049.5
2003-12-23,17.81,18.03,17.63,18.01,385400,0.0112,0.0118,6941054.0,19635994.0
2003-12-24,18.03,18.03,17.75,17.98,286700,-0.0028,-0.0017,5154866.0,18873197.4
2003-12-26,17.55,18.07,17.54,18.04,194300,0.0279,0.0033,3505172.0,14986034.4
2003-12-29,18.14,18.36,17.94,18.05,633400,-0.005,0.0006,11432870.0,12498523.4
2003-12-30,18.06,18.1,17.81,18.0,479400,-0.0033,-0.0028,8629200.0,11177484.4
2003-12-31,17.97,18.1,17.81,17.9,756900,-0.0039,-0.0056,13548510.0,10258260.4
2004-01-02,18.05,18.8,18.05,18.78,1273900,0.0404,0.0492,23923842.0,10450806.4
2004-01-05,18.95,19.63,18.76,19.63,987300,0.0359,0.0453,19380699.0,10574625.0
2004-01-06,19.01,19.21,18.7,18.8,1755600,-0.011,-0.0423,33005280.0,11404690.8
2004-01-07,18.75,18.89,18.11,18.68,1227800,-0.0037,-0.0064,22935304.0,13604307.3
2004-01-08,18.8,18.91,18.45,18.66,854300,-0.0074,-0.0011,15941238.0,14845679.7
2004-01-09,18.4,18.57,18.03,18.05,692400,-0.019,-0.0327,12497820.0,15745698.1
2004-01-12,18.07,18.68,18.05,18.68,560900,0.0338,0.0349,10477612.0,16479993.5
2004-01-13,18.69,18.82,18.26,18.41,468400,-0.015,-0.0145,8623244.0,17177237.5
2004-01-14,18.27,18.75,18.26,18.4,711400,0.0071,-0.0005,13089760.0,16896274.9
2004-01-15,18.45,18.8,18.0,18.65,576500,0.0108,0.0136,10751725.0,17342330.9
2004-01-16,18.6,19.5,18.45,19.22,786100,0.0333,0.0306,15108842.0,17062652.4
2004-01-20,19.36,19.46,18.88,19.3,956100,-0.0031,0.0042,18452730.0,16181152.4
2004-01-21,19.01,21.63,18.86,21.22,4907000,0.1163,0.0995,104126540.0,16088355.5
2004-01-22,21.19,21.3,20.23,20.35,1507800,-0.0396,-0.041,30683730.0,23200481.5
2004-01-23,20.47,20.91,20.23,20.58,669800,0.0054,0.0113,13784484.0,23975324.1
2004-01-26,20.85,20.85,20.41,20.74,464900,-0.0053,0.0078,9642026.0,23759648.7
2004-01-27,20.83,21.72,20.59,20.7,1063600,-0.0062,-0.0019,22016520.0,23474069.3
2004-01-28,20.85,20.96,19.17,19.34,1313100,-0.0724,-0.0657,25395354.0,24627960.1
2004-01-29,19.49,20.21,19.26,19.9,1052300,0.021,0.029,20940770.0,26305171.1
2004-01-30,19.65,19.75,19.0,19.13,776800,-0.0265,-0.0387,14860184.0,27090272.1
2004-02-02,19.3,20.0,19.1,19.25,554200,-0.0026,0.0063,10668350.0,27501118.0
2004-02-03,19.25,19.43,18.75,18.79,500600,-0.0239,-0.0239,9406274.0,27057068.8
2004-02-04,18.78,19.15,18.28,18.28,568100,-0.0266,-0.0271,10384868.0,26152423.2
2004-02-05,18.4,19.1,18.4,18.78,425600,0.0207,0.0274,7992768.0,16778256.0
2004-02-06,18.79,19.21,18.5,19.18,573500,0.0208,0.0213,10999730.0,14509159.8
2004-02-09,19.33,20.7,19.33,20.47,1858500,0.059,0.0673,38043495.0,14230684.4
2004-02-10,20.72,21.48,20.19,21.4,3248600,0.0328,0.0454,69520040.0,17070831.3
2004-02-11,23.6,25.65,23.25,24.87,13190100,0.0538,0.1621,328037787.0,21821183.3
2004-02-12,24.6,24.69,23.28,23.5,2978300,-0.0447,-0.0551,69990050.0,52085426.6
2004-02-13,23.5,24.51,23.4,23.98,1354600,0.0204,0.0204,32483308.0,56990354.6
2004-02-17,24.21,25.0,23.8,23.85,934200,-0.0149,-0.0054,22280670.0,58752667.0
2004-02-18,24.15,24.2,23.51,23.73,510700,-0.0174,-0.005,12118911.0,59913899.0
2004-02-19,23.95,24.49,23.24,23.35,1217400,-0.0251,-0.016,28426290.0,60185162.7
2004-02-20,23.33,23.41,22.23,22.3,1532600,-0.0441,-0.045,34176980.0,61989304.9
2004-02-23,22.23,22.48,21.44,21.71,975900,-0.0234,-0.0265,21186789.0,64607726.1
2004-02-24,21.73,22.0,21.0,21.2,791600,-0.0244,-0.0235,16781920.0,65626432.0
2004-02-25,21.2,21.63,21.14,21.5,816000,0.0142,0.0142,17544000.0,63500274.5
2004-02-26,21.51,22.43,21.31,22.21,642100,0.0325,0.033,14261041.0,58302670.5
2004-02-27,23.22,23.82,22.56,23.02,1510300,-0.0086,0.0365,34767106.0,26924995.9
2004-03-01,23.3,23.5,22.96,23.15,524800,-0.0064,0.0056,12149120.0,23402701.5
2004-03-02,23.16,23.38,22.3,22.47,701900,-0.0298,-0.0294,15771693.0,21369282.7
2004-03-03,22.37,22.77,22.13,22.75,494900,0.017,0.0125,11258975.0,20718385.0
