Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,41.55,41.95,41.55,41.9,122300,0.0084,,5124370.0,
2003-12-02,41.9,42.23,41.8,41.8,190600,-0.0024,-0.0024,7967080.0,
2003-12-03,41.65,41.65,40.99,41.1,262400,-0.0132,-0.0167,10784640.0,
2003-12-04,40.95,41.12,40.45,40.7,317900,-0.0061,-0.0097,12938530.0,
2003-12-05,40.65,40.7,40.14,40.23,254500,-0.0103,-0.0115,10238535.0,
2003-12-08,40.11,40.36,40.1,40.19,352500,0.002,-0.001,14166975.0,
2003-12-09,40.1,40.1,39.3,39.61,405100,-0.0122,-0.0144,16046011.0,
2003-12-10,39.95,40.53,39.9,40.33,423000,0.0095,0.0182,17059590.0,
2003-12-11,40.33,41.17,40.27,40.91,171100,0.0144,0.0144,6999701.0,
2003-12-12,41.25,41.7,41.1,41.42,247700,0.0041,0.0125,10259734.0,
2003-12-15,41.67,42.09,41.09,41.18,232000,-0.0118,-0.0058,9553760.0,11158516.6
2003-12-16,41.28,41.45,41.0,41.33,180600,0.0012,0.0036,7464198.0,11601455.6
2003-12-17,41.33,41.54,41.2,41.48,162300,0.0036,0.0036,6732204.0,11551167.4
2003-12-18,41.63,41.82,41.37,41.57,1307900,-0.0014,0.0022,54369403.0,11145923.8
2003-12-19,41.5,41.93,41.45,41.56,436300,0.0014,-0.0002,18132628.0,15289011.1
2003-12-22,41.36,41.7,41.24,41.42,182500,0.0015,-0.0034,7559150.0,16078420.4
2003-12-23,41.5,41.93,41.42,41.85,245300,0.0084,0.0104,10265805.0,15417637.9
2003-12-24,41.85,41.92,41.6,41.81,50900,-0.001,-0.001,2128129.0,14839617.3
2003-12-26,41.75,41.82,41.6,41.7,26200,-0.0012,-0.0026,1092540.0,13346471.2
2003-12-29,41.68,42.24,41.63,42.11,128300,0.0103,0.0098,5402713.0,12755755.1
2003-12-30,42.0,42.84,41.8,42.72,248500,0.0171,0.0145,10615920.0,12270053.0
2003-12-31,42.71,42.99,42.13,42.2,229600,-0.0119,-0.0122,9689120.0,12376269.0
2004-01-02,41.75,42.47,41.75,42.32,276800,0.0137,0.0028,11714176.0,12598761.2
2004-01-05,42.2,43.19,42.2,43.15,359700,0.0225,0.0196,15521055.0,13096958.4
2004-01-06,43.1,43.53,43.0,43.38,244700,0.0065,0.0053,10615086.0,9212123.6
2004-01-07,43.39,43.39,42.66,42.87,259200,-0.012,-0.0118,11111904.0,8460369.4
2004-01-08,43.0,43.17,42.88,43.01,195200,0.0002,0.0033,8395552.0,8815644.8
2004-01-09,42.85,43.21,42.7,42.8,158500,-0.0012,-0.0049,6783800.0,8628619.5
2004-01-12,42.7,42.97,42.64,42.84,75700,0.0033,0.0009,3242988.0,9094186.6
2004-01-13,42.75,42.75,42.15,42.29,138600,-0.0108,-0.0128,5861394.0,9309231.4
2004-01-14,42.34,42.58,42.23,42.36,124000,0.0005,0.0017,5252640.0,9355099.5
2004-01-15,42.6,43.74,42.57,42.8,275900,0.0047,0.0104,11808520.0,8818771.5
2004-01-16,42.98,43.09,42.72,42.87,154400,-0.0026,0.0016,6619128.0,9030711.5
2004-01-20,42.9,42.91,42.63,42.7,157200,-0.0047,-0.004,6712440.0,8521206.7
2004-01-21,42.75,42.88,42.47,42.8,213100,0.0012,0.0023,9120680.0,7640345.2
2004-01-22,42.7,42.76,42.43,42.54,188500,-0.0037,-0.0061,8018790.0,7490904.6
2004-01-23,42.65,42.85,42.1,42.29,344300,-0.0084,-0.0059,14560447.0,7181593.2
2004-01-26,42.29,42.85,42.2,42.8,345400,0.0121,0.0121,14783120.0,7798082.7
2004-01-27,44.0,44.99,43.8,44.77,530600,0.0175,0.046,23754962.0,8598014.7
2004-01-28,44.7,45.07,43.7,43.7,352400,-0.0224,-0.0239,15399880.0,10649212.1
2004-01-29,42.7,43.85,42.7,43.74,482200,0.0244,0.0009,21091428.0,11603060.7
2004-01-30,43.76,43.9,43.48,43.79,156600,0.0007,0.0011,6857514.0,13186939.5
2004-02-02,42.95,43.55,42.95,43.14,287300,0.0044,-0.0148,12394122.0,12691838.9
2004-02-03,43.45,43.57,43.14,43.42,298400,-0.0007,0.0065,12956528.0,13269338.3
2004-02-04,43.43,43.83,43.4,43.61,217700,0.0041,0.0044,9493897.0,13893747.1
2004-02-05,43.55,43.75,43.29,43.6,229300,0.0011,-0.0002,9997480.0,13931068.8
2004-02-06,43.45,44.1,43.4,44.1,639600,0.015,0.0115,28206360.0,14128937.8
2004-02-09,44.03,44.59,44.03,44.51,663500,0.0109,0.0093,29532385.0,15493529.1
2004-02-10,44.6,45.1,44.36,45.06,461000,0.0103,0.0124,20772660.0,16968455.6
2004-02-11,44.93,45.23,44.74,45.13,133900,0.0045,0.0016,6042907.0,16670225.4
2004-02-12,45.35,45.53,44.89,45.37,348200,0.0004,0.0053,15797834.0,15734528.1
2004-02-13,45.3,45.55,44.95,45.0,229800,-0.0066,-0.0082,10341000.0,15205168.7
2004-02-17,45.55,45.73,45.3,45.73,145200,0.004,0.0162,6639996.0,15553517.3
2004-02-18,45.75,45.96,45.44,45.55,169700,-0.0044,-0.0039,7729835.0,14978104.7
2004-02-19,45.75,45.76,45.33,45.37,152800,-0.0083,-0.004,6932536.0,14455435.4
2004-02-20,45.3,45.66,44.95,45.64,149900,0.0075,0.006,6841436.0,14199299.3
2004-02-23,45.52,45.6,45.0,45.01,172200,-0.0112,-0.0138,7750722.0,13883694.9
2004-02-24,45.1,45.43,44.9,45.12,171100,0.0004,0.0024,7720032.0,11838131.1
2004-02-25,45.0,45.25,44.7,45.15,169700,0.0033,0.0007,7661955.0,9656895.8
2004-02-26,44.98,45.14,44.58,44.96,165700,-0.0004,-0.0042,7449872.0,8345825.3
2004-02-27,45.82,45.82,44.96,45.64,187900,-0.0039,0.0151,8575756.0,8486521.8
2004-03-01,45.7,46.34,45.64,46.25,162400,0.012,0.0134,7511000.0,7764314.0
2004-03-02,46.25,46.25,46.0,46.18,155700,-0.0015,-0.0015,7190226.0,7481314.0
2004-03-03,46.1,46.5,45.93,46.47,245500,0.008,0.0063,11408385.0,7536337.0
2004-03-04,46.47,46.47,46.28,46.4,245700,-0.0015,-0.0015,11400480.0,7904192.0
2004-03-05,46.35,47.2,46.15,47.15,170700,0.0173,0.0162,8048505.0,8350986.4
2004-03-08,47.25,47.45,47.0,47.0,167000,-0.0053,-0.0032,7849000.0,8471693.3
2004-03-09,47.0,47.0,45.55,45.86,446900,-0.0243,-0.0243,20494834.0,8481521.1
2004-03-10,45.96,46.15,45.8,45.91,217000,-0.0011,0.0011,9962470.0,9759001.3
2004-03-11,45.85,45.85,45.09,45.1,193400,-0.0164,-0.0176,8722340.0,9989052.8
2004-03-12,45.22,45.29,44.82,45.29,190700,0.0015,0.0042,8636803.0,10116299.6
2004-03-15,44.65,44.81,44.05,44.26,335200,-0.0087,-0.0227,14835952.0,10122404.3
2004-03-16,44.46,44.79,44.44,44.57,192700,0.0025,0.007,8588639.0,10854899.5
2004-03-17,44.7,46.25,44.7,46.02,368000,0.0295,0.0325,16935360.0,10994740.8
2004-03-18,46.01,46.39,45.83,46.02,440300,0.0002,0.0,20262606.0,11547438.3
2004-03-19,46.0,46.48,45.9,46.02,330600,0.0004,0.0,15214212.0,12433650.9
2004-03-22,45.9,45.9,45.51,45.7,215300,-0.0044,-0.007,9839210.0,13150221.6
2004-03-23,45.8,46.07,45.74,45.75,239500,-0.0011,0.0011,10957125.0,13349242.6
2004-03-24,45.65,45.88,45.31,45.37,137400,-0.0061,-0.0083,6233838.0,12395471.7
2004-03-25,45.62,46.17,45.5,46.1,321000,0.0105,0.0161,14798100.0,12022608.5
2004-03-26,46.15,46.53,46.05,46.2,253900,0.0011,0.0022,11730180.0,12630184.5
2004-03-29,46.21,46.29,45.65,45.8,500700,-0.0089,-0.0087,22932060.0,12939522.2
2004-03-30,45.85,46.23,45.77,46.16,154800,0.0068,0.0079,7145568.0,13749133.0
2004-03-31,46.1,46.46,46.0,46.33,268200,0.005,0.0037,12425706.0,13604825.9
2004-04-01,46.28,46.6,46.28,46.45,254200,0.0037,0.0026,11807590.0,13153860.5
2004-04-02,46.75,46.84,45.11,45.27,486400,-0.0317,-0.0254,22019328.0,12308358.9
2004-04-05,45.3,45.32,44.9,45.2,313200,-0.0022,-0.0015,14156640.0,12988870.5
2004-04-06,45.2,45.2,44.85,44.94,230000,-0.0058,-0.0058,10336200.0,13420613.5
2004-04-07,44.8,45.16,44.75,44.88,327900,0.0018,-0.0013,14716152.0,13358521.0
2004-04-08,44.88,45.13,44.72,44.75,171800,-0.0029,-0.0029,7688050.0,14206752.4
2004-04-12,44.85,45.03,44.29,44.38,436000,-0.0105,-0.0083,19349680.0,13495747.4
2004-04-13,44.38,44.38,43.2,43.27,231500,-0.025,-0.025,10017005.0,14257697.4
2004-04-14,43.12,43.4,42.58,42.75,305000,-0.0086,-0.012,13038750.0,12966191.9
2004-04-15,42.85,43.02,42.15,42.2,303100,-0.0152,-0.0129,12790820.0,13555510.1
2004-04-16,42.3,43.03,42.3,43.0,251000,0.0165,0.019,10793000.0,13592021.5
2004-04-19,43.0,43.01,42.48,42.7,142900,-0.007,-0.007,6101830.0,13490562.5
2004-04-20,42.7,43.1,42.46,42.47,274200,-0.0054,-0.0054,11645274.0,11898812.7
2004-04-21,42.25,42.75,42.25,42.59,289300,0.008,0.0028,12321287.0,11647676.1
2004-04-22,43.2,43.52,42.6,43.22,371800,0.0005,0.0148,16069196.0,11846184.8
2004-04-23,43.15,43.15,42.8,43.06,170600,-0.0021,-0.0037,7346036.0,11981489.2
2004-04-26,43.55,43.55,42.91,43.15,242600,-0.0092,0.0021,10468190.0,11947287.8
2004-04-27,42.95,43.5,42.95,43.27,185500,0.0075,0.0028,8026585.0,11059138.8
2004-04-28,43.27,43.42,43.08,43.31,369400,0.0009,0.0009,15998714.0,10860096.8
2004-04-29,43.41,44.02,43.35,43.81,307500,0.0092,0.0115,13471575.0,11156093.2
2004-04-30,43.9,44.01,43.62,43.72,243000,-0.0041,-0.0021,10623960.0,11224168.7
2004-05-03,43.95,43.95,43.4,43.95,350400,0.0,0.0053,15400080.0,11207264.7
2004-05-04,43.88,44.88,43.88,44.43,260000,0.0125,0.0109,11551800.0,12137089.7
2004-05-05,44.63,45.01,44.54,44.6,193300,-0.0007,0.0038,8621180.0,12127742.3
2004-05-06,44.61,44.61,44.0,44.35,172400,-0.0058,-0.0056,7645940.0,11757731.6
2004-05-07,44.25,44.3,42.74,42.74,243600,-0.0341,-0.0363,10411464.0,10915406.0
2004-05-10,42.7,42.7,41.5,41.7,411300,-0.0234,-0.0243,17151210.0,11221948.8
2004-05-11,41.6,41.94,41.48,41.85,410600,0.006,0.0036,17183610.0,11890250.8
2004-05-12,41.8,41.84,40.97,41.74,344400,-0.0014,-0.0026,14375256.0,12805953.3
2004-05-13,41.6,42.96,41.6,42.34,425700,0.0178,0.0144,18024138.0,12643607.5
2004-05-14,42.34,42.8,42.22,42.26,219100,-0.0019,-0.0019,9259166.0,13098863.8
2004-05-17,42.15,42.2,41.51,41.79,127200,-0.0085,-0.0111,5315688.0,12962384.4
2004-05-18,41.75,42.3,41.62,42.22,173300,0.0113,0.0103,7316726.0,11953945.2
2004-05-19,42.22,43.21,42.1,42.13,172100,-0.0021,-0.0021,7250573.0,11530437.8
2004-05-20,41.92,42.51,41.9,42.38,212700,0.011,0.0059,9014226.0,11393377.1
2004-05-21,42.3,42.65,42.3,42.52,131600,0.0052,0.0033,5595632.0,11530205.7
2004-05-24,42.62,42.99,42.25,42.46,99400,-0.0038,-0.0014,4220524.0,11048622.5
2004-05-25,42.21,42.77,42.21,42.63,205100,0.01,0.004,8743413.0,9755553.9
2004-05-26,42.64,43.38,42.57,43.25,177800,0.0143,0.0145,7689850.0,8911534.2
2004-05-27,43.45,43.49,42.8,43.17,179500,-0.0064,-0.0018,7749015.0,8242993.6
2004-05-28,43.1,43.55,43.1,43.45,109300,0.0081,0.0065,4749085.0,7215481.3
2004-06-01,43.3,43.7,43.28,43.59,151500,0.0067,0.0032,6603885.0,6764473.2
2004-06-02,43.79,44.35,43.61,44.1,185600,0.0071,0.0117,8184960.0,6893292.9
2004-06-03,44.0,44.0,43.39,43.39,127900,-0.0139,-0.0161,5549581.0,6980116.3
2004-06-04,43.45,43.89,43.45,43.72,167100,0.0062,0.0076,7305612.0,6810017.1
2004-06-07,43.77,44.24,43.77,44.16,73400,0.0089,0.0101,3241344.0,6639155.7
2004-06-08,44.26,44.4,43.94,44.33,79700,0.0016,0.0038,3533101.0,6403726.9
2004-06-09,44.0,44.35,43.78,43.78,147000,-0.005,-0.0124,6435660.0,6334984.6
2004-06-10,43.8,43.99,43.76,43.84,72000,0.0009,0.0014,3156480.0,6104209.3
2004-06-14,43.84,43.84,43.14,43.24,118200,-0.0137,-0.0137,5110968.0,5650872.3
2004-06-15,43.45,44.38,43.45,44.13,230600,0.0157,0.0206,10176378.0,5387067.6
2004-06-16,44.13,44.3,43.92,44.15,137500,0.0005,0.0005,6070625.0,5929796.9
2004-06-17,44.08,44.1,43.91,44.0,109800,-0.0018,-0.0034,4831200.0,5876470.9
2004-06-18,43.8,44.28,43.8,43.98,149800,0.0041,-0.0005,6588204.0,5541094.9
2004-06-21,44.05,44.35,44.05,44.13,124600,0.0018,0.0034,5498598.0,5644957.2
2004-06-22,44.0,44.25,43.8,43.86,173400,-0.0032,-0.0061,7605324.0,5464255.8
2004-06-23,43.78,44.12,43.73,44.09,186200,0.0071,0.0052,8209558.0,5900653.8
2004-06-24,44.08,44.35,44.07,44.08,131400,0.0,-0.0002,5792112.0,6368299.5
2004-06-25,44.08,44.5,44.03,44.42,223900,0.0077,0.0077,9945638.0,6303944.7
