Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-07-27,24.7,25.14,24.56,25.07,641300,0.015,,16077391.0,
2021-07-28,25.17,25.3,25.03,25.11,708300,-0.0024,0.0016,17785413.0,
2021-07-29,25.11,25.2,25.0,25.2,534300,0.0036,0.0036,13464360.0,
2021-07-30,25.1,25.1,24.88,24.95,2846900,-0.006,-0.0099,71030155.0,
2021-08-02,24.89,24.99,24.86,24.92,607000,0.0012,-0.0012,15126440.0,
2021-08-03,24.9,24.92,24.8,24.89,420200,-0.0004,-0.0012,10458778.0,
2021-08-04,24.93,24.95,24.8,24.83,589700,-0.004,-0.0024,14642251.0,
2021-08-05,24.81,24.9,24.72,24.74,510800,-0.0028,-0.0036,12637192.0,
2021-08-06,24.73,24.77,24.63,24.67,349500,-0.0024,-0.0028,8622165.0,
2021-08-09,24.88,24.88,24.62,24.72,203800,-0.0064,0.002,5037936.0,
2021-08-10,24.71,24.82,24.57,24.58,105000,-0.0053,-0.0057,2580900.0,18488208.1
2021-08-11,24.58,24.77,24.52,24.52,153000,-0.0024,-0.0024,3751560.0,17138559.0
2021-08-12,24.5,24.75,24.5,24.64,143000,0.0057,0.0049,3523520.0,15735173.7
2021-08-13,24.64,24.78,24.64,24.7,194600,0.0024,0.0024,4806620.0,14741089.7
2021-08-16,24.75,24.76,24.7,24.71,228400,-0.0016,0.0004,5643764.0,8118736.2
2021-08-17,24.7,24.85,24.7,24.75,154100,0.002,0.0016,3813975.0,7170468.6
2021-08-18,24.75,24.9,24.67,24.75,126300,0.0,0.0,3125925.0,6505988.3
2021-08-19,24.66,24.85,24.65,24.75,273900,0.0036,0.0,6779025.0,5354355.7
2021-08-20,24.75,25.0,24.71,24.91,249400,0.0065,0.0065,6212554.0,4768539.0
2021-08-23,24.95,25.2,24.92,25.15,287300,0.008,0.0096,7225595.0,4527577.9
2021-08-24,25.25,25.29,25.13,25.28,209200,0.0012,0.0052,5288576.0,4746343.8
2021-08-25,25.25,25.29,25.18,25.27,408700,0.0008,-0.0004,10327849.0,5017111.4
2021-08-26,25.28,25.34,25.22,25.33,262500,0.002,0.0024,6649125.0,5674740.3
2021-08-27,25.32,25.33,25.07,25.32,278400,0.0,-0.0004,7049088.0,5987300.8
2021-08-30,25.45,25.55,25.3,25.48,366200,0.0012,0.0063,9330776.0,6211547.6
2021-08-31,25.36,25.94,25.26,25.82,2629200,0.0181,0.0133,67885944.0,6580248.8
2021-09-01,25.63,25.85,25.4,25.84,485600,0.0082,0.0008,12547904.0,12987445.7
2021-09-02,25.84,25.87,25.74,25.78,2613900,-0.0023,-0.0023,67386342.0,13929643.6
2021-09-03,25.77,25.84,25.76,25.77,170000,0.0,-0.0004,4380900.0,19990375.3
2021-09-07,25.75,25.82,25.5,25.59,36800,-0.0062,-0.007,941712.0,19807209.9
2021-09-08,25.56,25.6,25.45,25.51,24300,-0.002,-0.0031,619893.0,19178821.6
2021-09-09,25.45,25.45,25.11,25.17,160400,-0.011,-0.0133,4037268.0,18711953.3
2021-09-10,25.16,25.36,24.77,24.79,186200,-0.0147,-0.0151,4615898.0,18082895.2
2021-09-13,24.79,24.95,24.6,24.68,200300,-0.0044,-0.0044,4943404.0,17879572.5
2021-09-14,24.7,25.05,24.7,24.72,33000,0.0008,0.0016,815760.0,17669004.1
2021-09-15,24.75,25.06,24.71,24.98,205900,0.0093,0.0105,5143382.0,16817502.5
2021-09-16,24.97,25.12,24.91,24.91,56700,-0.0024,-0.0028,1412397.0,10543246.3
2021-09-17,24.92,25.22,24.81,24.9,52100,-0.0008,-0.0004,1297290.0,9429695.6
2021-09-20,24.89,24.97,24.68,24.78,54000,-0.0044,-0.0048,1338120.0,2820790.4
2021-09-21,24.73,24.83,24.71,24.71,49700,-0.0008,-0.0028,1228087.0,2516512.4
2021-09-22,24.71,24.83,24.68,24.75,69500,0.0016,0.0016,1720125.0,2545149.9
2021-09-23,25.42,25.42,24.73,24.75,36800,-0.0264,0.0,910800.0,2655173.1
2021-09-24,24.66,24.99,24.66,24.75,21000,0.0036,0.0,519750.0,2342526.3
2021-09-27,24.98,24.98,24.6,24.69,197600,-0.0116,-0.0024,4878744.0,1932911.5
2021-09-28,24.52,24.79,24.4,24.47,89900,-0.002,-0.0089,2199853.0,1926445.5
2021-09-29,24.48,24.58,24.47,24.55,35700,0.0029,0.0033,876435.0,2064854.8
2021-09-30,24.6,24.68,24.46,24.46,116800,-0.0057,-0.0037,2856928.0,1638160.1
2021-10-01,24.55,24.69,24.46,24.51,43400,-0.0016,0.002,1063734.0,1782613.2
2021-10-04,24.67,24.8,24.55,24.77,233400,0.0041,0.0106,5781318.0,1759257.6
2021-10-05,24.82,24.84,24.65,24.7,83100,-0.0048,-0.0028,2052570.0,2203577.4
2021-10-06,24.51,24.8,24.51,24.75,18800,0.0098,0.002,465300.0,2286025.7
2021-10-07,24.71,24.75,24.58,24.66,80000,-0.002,-0.0036,1972800.0,2160543.2
2021-10-08,24.6,24.65,24.52,24.52,26900,-0.0033,-0.0057,659588.0,2266743.2
2021-10-11,24.55,24.58,24.5,24.5,41000,-0.002,-0.0008,1004500.0,2280727.0
2021-10-12,24.55,24.7,24.52,24.59,61100,0.0016,0.0037,1502449.0,1893302.6
2021-10-13,24.55,24.84,24.55,24.78,39800,0.0094,0.0077,986244.0,1823562.2
2021-10-14,24.9,24.95,24.78,24.88,1188900,-0.0008,0.004,29579832.0,1834543.1
2021-10-15,24.81,25.2,24.77,25.17,382600,0.0145,0.0117,9630042.0,4506833.5
2021-10-18,25.14,25.35,25.13,25.2,363100,0.0024,0.0012,9150120.0,5363464.3
2021-10-19,25.21,25.32,25.12,25.15,117200,-0.0024,-0.002,2947580.0,5700344.5
2021-10-20,25.24,25.24,25.13,25.14,46100,-0.004,-0.0004,1158954.0,5789845.5
2021-10-21,25.12,25.38,25.02,25.03,185500,-0.0036,-0.0044,4643065.0,5859210.9
2021-10-22,25.0,25.2,25.0,25.02,37400,0.0008,-0.0004,935748.0,6126237.4
2021-10-25,25.03,25.07,24.85,24.89,326400,-0.0056,-0.0052,8124096.0,6153853.4
2021-10-26,24.83,24.99,24.78,24.89,1220400,0.0024,0.0,30375756.0,6865813.0
2021-10-27,24.93,25.11,24.9,25.11,53300,0.0072,0.0088,1338363.0,9753143.7
2021-10-28,24.9,25.14,24.9,24.96,33100,0.0024,-0.006,826176.0,9788355.6
2021-10-29,24.9,25.19,24.81,24.83,477200,-0.0028,-0.0052,11848876.0,6912990.0
2021-11-01,24.89,24.95,24.82,24.95,31400,0.0024,0.0048,783430.0,7134873.4
2021-11-02,24.92,25.07,24.84,24.94,64500,0.0008,-0.0004,1608630.0,6298204.4
2021-11-03,25.0,25.02,24.85,25.02,18200,0.0008,0.0032,455364.0,6164309.4
2021-11-04,25.17,25.17,24.97,25.05,25900,-0.0048,0.0012,648795.0,6093950.4
2021-11-05,24.98,25.12,24.98,25.12,21100,0.0056,0.0028,530032.0,5694523.4
2021-11-08,25.17,25.17,24.99,25.0,33000,-0.0068,-0.0048,825000.0,5653951.8
2021-11-09,25.0,25.05,24.98,25.01,16000,0.0004,0.0004,400160.0,4924042.2
2021-11-10,25.12,25.12,24.88,24.91,35900,-0.0084,-0.004,894269.0,1926482.6
2021-11-11,24.82,25.03,24.82,24.93,16200,0.0044,0.0008,403866.0,1882073.2
2021-11-12,24.81,24.98,24.81,24.92,14800,0.0044,-0.0004,368816.0,1839842.2
2021-11-15,24.81,24.94,24.81,24.89,26400,0.0032,-0.0012,657096.0,691836.2
2021-11-16,24.82,24.98,24.82,24.89,23700,0.0028,0.0,589893.0,679202.8
2021-11-17,24.91,25.0,24.88,24.92,45500,0.0004,0.0012,1133860.0,577329.1
2021-11-18,24.93,25.04,24.9,24.9,36800,-0.0012,-0.0008,916320.0,645178.7
2021-11-19,25.03,25.03,24.94,24.97,33000,-0.0024,0.0028,824010.0,671931.2
2021-11-22,25.0,25.08,24.93,25.01,29800,0.0004,0.0016,745298.0,701329.0
2021-11-23,25.02,25.09,24.95,25.05,20600,0.0012,0.0016,516030.0,693358.8
2021-11-24,25.05,25.15,25.0,25.13,29900,0.0032,0.0032,751387.0,704945.8
2021-11-26,25.05,25.05,24.94,25.02,22700,-0.0012,-0.0044,567954.0,690657.6
2021-11-29,25.2,25.2,25.03,25.15,28000,-0.002,0.0052,704200.0,707066.4
2021-11-30,25.0,25.11,24.68,25.03,530600,0.0012,-0.0048,13280918.0,740604.8
2021-12-01,25.08,25.08,24.8,24.89,19200,-0.0076,-0.0056,477888.0,2002987.0
2021-12-02,24.87,24.9,24.81,24.85,27700,-0.0008,-0.0016,688345.0,1991786.5
2021-12-03,24.97,24.97,24.8,24.84,27500,-0.0052,-0.0004,683100.0,1947235.0
2021-12-06,24.85,24.86,24.7,24.8,29600,-0.002,-0.0016,734080.0,1923913.0
2021-12-07,24.89,24.95,24.83,24.88,28400,-0.0004,0.0032,706592.0,1914920.0
2021-12-08,24.89,24.92,24.82,24.83,41500,-0.0024,-0.002,1030445.0,1911049.4
2021-12-09,24.94,24.94,24.75,24.75,15000,-0.0076,-0.0032,371250.0,1962490.9
2021-12-10,24.77,24.77,24.7,24.75,20900,-0.0008,0.0,517275.0,1924477.2
2021-12-13,24.68,24.87,24.68,24.7,41000,0.0008,-0.002,1012700.0,1919409.3
2021-12-14,24.88,24.98,24.68,24.92,32700,0.0016,0.0089,814884.0,1950259.3
2021-12-15,24.76,24.86,24.68,24.68,34900,-0.0032,-0.0096,861332.0,703655.9
2021-12-16,24.64,25.0,24.64,24.97,37100,0.0134,0.0118,926387.0,742000.3
2021-12-17,24.95,25.09,24.84,25.09,13300,0.0056,0.0048,333697.0,765804.5
2021-12-20,24.64,25.09,24.64,25.07,13400,0.0175,-0.0008,335938.0,730864.2
2021-12-21,25.09,25.13,24.83,24.95,18400,-0.0056,-0.0048,459080.0,691050.0
2021-12-22,25.14,25.14,24.75,24.83,27300,-0.0123,-0.0048,677859.0,666298.8
2021-12-23,24.9,24.9,24.75,24.79,41600,-0.0044,-0.0016,1031264.0,631040.2
2021-12-27,24.91,25.14,24.91,25.14,62200,0.0092,0.0141,1563708.0,697041.6
2021-12-28,25.15,25.79,24.92,25.64,78000,0.0195,0.0199,1999920.0,801684.9
